DesiredFlux,0.7,HitTime,1714663549.6096106,DesiredPos,0.53349518775939941 0.35310471057891846 0.22042769193649292
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714663548.9699342,-0.44302713377351255   1.0813397291480007 0.060031918654927158  -1.3989456575147659  -1.9662204294520029  -1.8205277399827202 -0.92656334465051482,-0.00057201566064598935 -4.0174015430527871e-06   0.0018388490532339589   -0.002262087863006342  4.2786345985834646e-06  4.8497279661447124e-05  -7.039233159639982e-05,-0.017475246429443359    62.666233695983884   -3.2926021575927735   -14.560520610809325   -1.2853473663330077    1.7048035736083984  -0.14751824188232421,-0.041319133317525902   -1.7181116146066238  -0.11538792447926494  -0.32908890651164946    1.1796254679094187   0.32450453040007438  -0.95978465254167311,    0.5396726131439209 -0.0044306819327175617    0.21598383784294128, -0.70246279239654541 -0.010883118957281113  0.023069005459547043   0.71126323938369751,-0.00055855727987363935  0.00071710860356688499  8.2012324128299952e-05,-0.0019871608819812536    0.76634430885314941  0.0014280431205406785,  0.24814340472221375  0.023309772834181786  0.065334893763065338  0.023309772834181786   0.23695851862430573 -0.016309598460793495  0.065334893763065338 -0.016309598460793495   0.18324181437492371,  -0.83031298369373729   -0.25035718729604639   -0.84622669059974953    0.48286609872505437     0.4983000528095971    0.10715845837960813 2.7608368924347815e-05,0.00083364866441115737
IIWA_7,1714663548.9749582,-0.44302911123155503   1.0813397291480007 0.060039648500018084  -1.3989570425156428  -1.9662203336334272  -1.8205273204492012  -0.9265636441926477,-0.00053671085021595854   -3.21392123444223e-06   0.0017802730462241985  -0.0022650703254826756  7.2556507084859946e-06  5.5579164490598034e-05 -6.8295550592141062e-05,-0.0053769989013671875      62.63666020202637    -3.2846787834167479    -14.555238361358642    -1.2844669914245606     1.7017998085021973   -0.14685073852539063,-0.042530024443903969    -1.729590231227502  -0.11159860406044864  -0.32512998079181515    1.1823104561741973   0.32052045750616964  -0.96019966352000541,   0.53966975212097168 -0.0044283033348619938    0.21598362922668457, -0.70245915651321411 -0.010880997404456139  0.023071706295013428   0.71126675605773926,-0.00056258129188790917  0.00066882872488349676  5.7312372518936172e-05,-0.0019855480641126633    0.76634442806243896  0.0014276440488174558,  0.24814422428607941   0.02330908365547657  0.065334618091583252   0.02330908365547657   0.23695901036262512 -0.016309196129441261  0.065334618091583252 -0.016309196129441261   0.18324069678783417,-0.83028496852932676  -0.2503516855636434 -0.84619951920572589  0.48285377895673776  0.49829620809127562  0.10716992342985066 2.76110192487522e-05,0.00080002169124782085
IIWA_7,1714663548.9799347,-0.44303066915607858   1.0813396691523076 0.060047378345109009  -1.3989684276256027  -1.9662203336334272  -1.8205273204492012 -0.92656406361708354,-0.00049168566111493445 -4.9709647107633525e-06     0.00173341224061639  -0.0022674606587823384  5.8045205667887964e-06  4.4463331592478428e-05 -7.1413417907676078e-05,0.026884994506835937   62.616496456146237  -3.2820376586914062  -14.569324359893798  -1.2888688659667968   1.7017998085021973 -0.14751824188232421,  18.931212904617862  0.94178848457268904   11.956477305478625  -4.1127852028039751   1.9466625323252362   1.8078570377555148 -0.96061778891052674,  0.53966683149337769 -0.004425418097525835   0.21598348021507263, -0.70245540142059326 -0.010879155248403549  0.023074746131896973   0.71127039194107056,-0.00056741025764495134  0.00065047084353864193  3.9864364225650206e-05,-0.0019839839078485966    0.76634466648101807  0.0014272183179855347,  0.24814498424530029  0.023308383300900459   0.06533435732126236  0.023308383300900459   0.23695956170558929 -0.016308721154928207   0.06533435732126236 -0.016308721154928207   0.18323956429958344,  -0.83025623027754847   -0.25034464403983492    -0.8461699271826717    0.48284014053834312    0.49829312059745945    0.10718340384041625 2.7614087905192264e-05,0.00078928138827905059
IIWA_7,1714663548.9849339, -0.4430046034272816   1.0813450621106131 0.060086926306045341  -1.3989961111655334  -1.9662181285844502   -1.820510063178973 -0.92656484268842842, 0.00064928062298752302  0.00021174156045072832   0.0029686482299463679  -0.0029213101242521232   9.284557553209084e-05  0.00072586147440061965 -8.8293588121371078e-05,-0.17071971511840819   62.512989227294923  -3.7433541107177732   -14.38180450439453  -1.3179212379455567    1.638053237915039 -0.14718449020385743,  18.931049381105375  0.94077299767912892   11.956424280826328  -4.1120674209259809   1.9467172809443896   1.8081767727816778 -0.96103428514518063,   0.53966391086578369 -0.0044221924617886543    0.21598334610462189, -0.70245158672332764 -0.010877413675189018  0.023077886551618576   0.71127408742904663,-0.00056959467474371195  0.00064940640004351735  2.6371408239356242e-05,-0.0019824355840682983    0.76634472608566284  0.0014268325176090002,  0.24814572930335999  0.023307651281356812  0.065334126353263855  0.023307651281356812   0.23696014285087585 -0.016308186575770378  0.065334126353263855 -0.016308186575770378    0.1832384318113327,  -0.83022605888682932   -0.25033643483940438   -0.84613791702636831    0.48282545389977116    0.49829004677270916    0.10719752430077278 2.7617302222893159e-05,0.00078939029481261969
IIWA_7,1714663548.9899569,-0.44259510249720624   1.0813798163065926 0.060590263772523398  -1.3991524453244559  -1.9661913796683341  -1.8203225100975535 -0.92656532199947428,   0.016899461701404304   0.0015595610875420269    0.022508417243079379  -0.0085904144563047988    0.001144233105069383   0.0080828124363000655 -8.9807312331233443e-05, -8.6892302246093749   60.686153850555421  -9.5908042526245119  -12.496041450500488  -1.3936334800720214   1.4905349960327148 -0.14685073852539063,  18.930584867752557  0.93994634581997627   11.956054073460599  -4.1113169936423484   1.9467737407775365   1.8087207537339822 -0.96141291453891042,  0.53966093063354492 -0.004418747965246439   0.21598330140113831, -0.70244765281677246 -0.010875984095036983  0.023081241175532341   0.71127790212631226,-0.00057396624470129609  0.00065730774076655507  1.9388069631531835e-05,-0.0019808453507721424    0.76634490489959717  0.0014264102792367339,  0.24814644455909729  0.023306949064135551   0.06533389538526535  0.023306949064135551   0.23696073889732361 -0.016307635232806206   0.06533389538526535 -0.016307635232806206   0.18323729932308197,  -0.83019689627583659   -0.25032769052923953   -0.84610591289813186     0.4828104314702486    0.49828791659400906    0.10721330125118556 2.7620854936571959e-05,0.00079728005221113563
IIWA_7,1714663548.9949338,-0.44219470956783241   1.0813724459993277 0.060969444624666955  -1.3992645577488718    -1.96615916612633  -1.8199587888265087  -0.9265667001550848,   0.029535286536076538   0.0009528365794359314    0.033173967880205782   -0.011356828541679395   0.0022039281642199631    0.021015100790831302 -0.00012697207428581848, -15.817786518096923   60.797726577758787  -12.428252582550048  -12.618413562774657 -0.78001216888427738    1.602008056640625  -0.1491870002746582,  18.902156561749415  0.93187050108807645   11.933953026837921  -4.1001797195489065   1.9508071847937192   1.8128662959234347 -0.96314451783594024,   0.53965705633163452 -0.0043864804320037365    0.21598170697689056, -0.70243585109710693 -0.010883609764277935  0.023097964003682137    0.7112889289855957,-0.00061639753403142095   0.0018165336223319173 -4.7984238335629925e-05,-0.0019792532548308372    0.76634514331817627  0.0014259816380217671,  0.24814616143703461  0.023303501307964325  0.065334737300872803  0.023303501307964325   0.23696449398994446 -0.016302214935421944  0.065334737300872803 -0.016302214935421944   0.18323448300361633,  -0.83004775581763113   -0.25022396546869885   -0.84587102645539147    0.48270681332240883    0.49829632277376135     0.1073070160231282 2.7641535282896257e-05,0.0017527309246361256
IIWA_7,1714663548.9999611, -0.4419061892982683   1.0813795167644598 0.061328252248451981  -1.3994138212517453  -1.9661156393601145  -1.8194483208173717 -0.92656682003738777,    0.03516904001142554   0.0010450998688314142    0.040891479255565674   -0.015056002948282543   0.0035042131799980268    0.037230800998145464 -0.00010637295154759682, -18.129896045684813    60.72513709259033   -12.20551773071289  -12.835866165161132  -1.5987608337402344   1.3383442306518554 -0.14584948348999024,  18.490957111470099   0.9212779963882759   11.574073413025284  -4.0055972704462084   1.9787774229989019   1.8909376436321481 -0.96389540573496124,   0.53966385126113892 -0.0039628427475690842     0.2160118967294693,-0.70231133699417114 -0.01108131930232048 0.023272374644875526  0.71140313148498535,-0.00022803404135629535    0.018398549407720566    0.001171617885120213,-0.0019776166882365942    0.76634621620178223  0.0014255057321861386,  0.24811407923698425   0.02327008917927742  0.065358392894268036   0.02327008917927742   0.23701030015945435 -0.016229333356022835  0.065358392894268036 -0.016229333356022835    0.1832256019115448,  -0.82853638764479598   -0.24880883863787062   -0.84299482160332673     0.4814946048696811    0.49855196529957624    0.10858037194871883 2.7921510437067809e-05,0.016840660944581032
IIWA_7,1714663549.0049586,-0.44170389560231899   1.0813790373443311 0.061804445481738392  -1.3996319940623125  -1.9660879319091733  -1.8187425098860315  -0.9265681981929984,   0.036226979847113164  0.00081690308991684037    0.051760912735908972   -0.020771714781315672   0.0039116685816448712    0.058017078052126615 -0.00014022458566335006, -17.369050701141358   61.002052536010744  -10.163928318023682  -12.618413562774657 -0.63298955917358402   1.1854859619140625 -0.15819829559326171,   18.22670146042033  0.90942333175655121   11.376319909774555  -3.9810808739930419   1.9945662360086032   1.8840354918956779 -0.95805895113600892,   0.53970682621002197 -0.0035945421550422907    0.21601192653179169, -0.70228570699691772 -0.011227376759052277  0.023371459916234016   0.71142286062240601, 0.0015213873703032732   0.029452860355377197 0.00094167882343754172,-0.0019757766276597977    0.76635897159576416  0.0014255859423428774,  0.24808306992053986  0.023235134780406952  0.065381035208702087  0.023235134780406952   0.23704667389392853 -0.016163019463419914  0.065381035208702087 -0.016163019463419914   0.18322625756263733,  -0.82703742604817165   -0.24751949842372056   -0.84036538273668526    0.48033974079153552    0.49861415094554218    0.10926002657107858 2.8069512936212959e-05,0.026951638981699944
IIWA_7,1714663549.0099576,-0.44150657533115628   1.0813800560711988 0.062486407797847185  -1.3998952875610344  -1.9660295447115745  -1.8178463894529675 -0.92656951646199903,   0.036874394724198706  0.00069427154664355041    0.068687222833078904   -0.027149111773928335   0.0054648227692664477    0.082258479764260248 -0.00016491042855577929, -15.035433177947999   60.719760093688961  -10.365534172058105   -12.53741907119751  -1.2783043670654297   1.2979602775573731 -0.15619578552246094,  18.102838880675421  0.85038839146465395   11.292642924647017  -3.9665701780846137   2.0147899904456779   1.8184021687100609 -0.96302404711884593,  0.53975754976272583 -0.003286486491560936   0.21596959233283997, -0.70229887962341309 -0.011279428377747536  0.023412082344293594   0.71140772104263306,  0.0032313363626599312    0.035888098180294037 -0.00093553634360432625,-0.0019745233003050089    0.76636916399002075  0.0014134490629658103,   0.2480657547712326  0.023189643397927284  0.065399162471294403  0.023189643397927284   0.23707674443721771 -0.016102001070976257  0.065399162471294403 -0.016102001070976257   0.18322169780731201,  -0.82520864848589781    -0.2463831571883901   -0.83772393749992347    0.47923320096998623     0.4983966956340069    0.10943503056015658 2.8110170191553152e-05,0.032923281192779541
IIWA_7,1714663549.0149579,-0.44122692340677078   1.0813780187265463 0.063305469653690938  -1.4002104127570514  -1.9659949343089087  -1.8166818224365651 -0.92656969623091201,   0.040685592754779148  0.00047392345121327953     0.08771225250021325   -0.034324297259820752   0.0057562743220465817     0.11238946446750581 -0.00013911909936373883, -14.214096595764159   60.325894924163819  -11.241507205963135  -12.619293937683105  -1.2615772438049315     1.37539066696167 -0.14651698684692382,  18.035121325446919  0.77879709597414848   11.221976478222055  -3.9570896670097575   2.0418167307430841   1.7192995815789502 -0.97442864129489304,  0.53981775045394897 -0.002972819609567523   0.21590618789196014,-0.70233017206192017 -0.01128267589956522 0.023409660905599594   0.7113768458366394,0.0049732965417206287  0.041262086480855942 -0.003276801435276866,-0.0019983663223683834    0.76637756824493408  0.0014206102350726724,  0.24805155396461487  0.023126522079110146  0.065419301390647888  0.023126522079110146   0.23710924386978149 -0.016031865030527115  0.065419301390647888 -0.016031865030527115   0.18321478366851807,  -0.82273703684787591   -0.24515012874015696   -0.83449857894901669    0.47796938224209384    0.49792706615381377    0.10931323906859802 2.8089655934593338e-05,0.038078218698501587
