DesiredFlux,0.53,HitTime,1714663076.2675204,DesiredPos, 0.5354539155960083 0.35043400526046753 0.22029426693916321
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714663075.528671,-0.44255363707392043    1.033822097646393 0.052894353990908159  -1.4829128896501016  -1.9342563923874259  -1.7662125362461267 -0.98084337465760962, 9.6193981188807346e-05   0.0011815833500609736  0.00053895925287281816  1.2986207618530274e-06   0.0017607702411922097 -0.00016756432358967771    -0.01272572709398637,  0.21911270523071288    60.983233039855961   -3.1191683006286621   -14.068391036987304   -1.6093253326416015    1.9073908424377441 -0.055736530303955076, -0.22872135066920996 -0.082188936137067209  0.053731200437400317    0.4095899948585065   0.26630461173689585  -0.19610195832707239   0.42160323725395343,  0.53262370824813843 0.0027510437648743391   0.21950399875640869,  -0.70889592170715332 4.6159148041624576e-05 -0.0055043180473148823    0.70529156923294067, 0.00027883113943971694  0.00049076578579843044 -0.00038692887756042182,0.00025069981347769499    0.58026093244552612 7.0070054789539427e-05,  0.25263291597366333  0.018853828310966492  0.063794597983360291  0.018853828310966492   0.23708029091358185 -0.015680115669965744  0.063794597983360291 -0.015680115669965744   0.18012715876102448, -0.67103992338779506  -0.24100892773404325  -0.76847044766914507   0.38840234238524118   0.40415098512092129 -0.007129382887605118 8.625939074136113e-06,0.0006250575534068048
IIWA_7,1714663075.5336752,-0.44255405649835633   1.0338196408773048 0.052893754797559339  -1.4829129495367117  -1.9342559131200134  -1.7662122365949109 -0.98089538612381755, 6.0178207514862206e-05  0.00084699591652213674  0.00040719966834545349 -1.3565677951318229e-06   0.0014277868894506964 -0.00012206541023812565    -0.01226104032350606,  0.21911270523071288    60.901233806610108   -3.1103645515441896   -14.075434036254883    -1.604043083190918    1.9023845672607422 -0.056737785339355466, -0.23090842284603325 -0.069256949830588346  0.048514157169317479   0.40911721719988225   0.26681404281547083  -0.18978872766417992     0.423324639484286, 0.53262418508529663 0.002751052612438798  0.21950462460517883,  -0.70889574289321899 2.7313317332300358e-05 -0.0055240746587514877    0.70529168844223022, 0.00024077475245576352  0.00039296745671890676 -0.00028412078972905874,0.00025050897966139019    0.58026093244552612 6.9986388552933931e-05, 0.25263285636901855 0.018853792920708656  0.06379467248916626 0.018853792920708656  0.23708024621009827 -0.01568012498319149  0.06379467248916626 -0.01568012498319149  0.18012727797031403, -0.67103891149145056  -0.24100916500469083  -0.76847066043406187   0.38840251600280595   0.40414904345720259 -0.007131428636952819 8.629416292649239e-06,0.00049451057566329837
IIWA_7,1714663075.5386438, -0.4425541763806593   1.0338158658392158 0.052893395259733425  -1.4829131293056246  -1.9342560089385892  -1.7662123564772139 -0.98094038692966945, 4.3347273892947741e-05  0.00052659520965708622   0.0003113782216397974 -8.2760107507799491e-06    0.001138396768530938 -0.00010244762030944255   -0.011608864492880948,  0.22852245330810547    60.851496566772461   -3.0945178031921388   -14.063108787536621   -1.6031627082824706    1.9030520706176757 -0.057739040374755857,  15.769147372952823    1.976890238573789   10.840603471320229  -4.5936326391147704 -0.24697098392769828 -0.44582319084758371  0.42507385202296127,  0.53262442350387573 0.0027508975472301245   0.21950522065162659,  -0.70889592170715332 8.6369209384429269e-06 -0.0055431872606277466    0.70529133081436157,  0.0002026263828156516  0.00030816873186267912 -0.00020379279158078134,0.00025036992155946791    0.58026093244552612 6.9909852754790336e-05,    0.252632737159729  0.018853815272450447  0.063794746994972229  0.018853815272450447   0.23708020150661469 -0.015680152922868729  0.063794746994972229 -0.015680152922868729   0.18012742698192596,  -0.67103992668204882   -0.24100968606788342   -0.76847241686639478    0.38840276827922793    0.40414821772660758 -0.0071333157478647991 8.6327380799389175e-06,0.00038487638812512159
IIWA_7,1714663075.5436118,-0.44252577376507696    1.033814727339128 0.052926531644579479  -1.4829329033406342   -1.934257542908469  -1.7662153525530411 -0.98098131304621639,  0.0011707824424081904  0.00037573616421524426   0.0015745579711539943 -0.00079758220898599444  0.00084935861963332635 -0.00020180112933598332   -0.010924136256182177, 0.036294742584228518    60.764120334625247    -3.573441753387451   -13.821005687713622   -1.5987608337402344    1.9160683860778809 -0.060075302124023434,  15.770575533942226   1.9819855567047209   10.840948074315754  -4.5966924199745671 -0.24691765187661666 -0.44528547244943151  0.42710762566526295, 0.53262478113174438 0.002750335494056344  0.21950627863407135,   -0.70889639854431152 -1.0068557457998395e-05  -0.0055627040565013885     0.70529067516326904, 0.00017623986059334129  0.00022405378695111722 -0.00012078477448085323, 0.0002502723946236074    0.58026093244552612 6.9839050411246717e-05,  0.25263252854347229  0.018853897228837013  0.063794851303100586  0.018853897228837013   0.23708011209964752 -0.015680242329835892  0.063794851303100586 -0.015680242329835892   0.18012772500514984,  -0.67104330836986747   -0.24101146622701464   -0.76847761060783171    0.38840391347783054    0.40414709289748885 -0.0071370644700863295 8.6356344297655596e-06,0.0002827792486641556
IIWA_7,1714663075.5486577,-0.44199679010332088   1.0338485228039329  0.05358248822758431  -1.4831058955764365  -1.9342737456725798  -1.7662362050924454 -0.98101738562027962,   0.022095972424169642   0.0016524075235667712    0.027497909697116442  -0.0075577551992787768  3.1376331272626578e-05 -0.00099554247964137228   -0.010182211967475322, -10.16656067276001  58.769253742218019 -11.670249786376953 -11.161393089294434  -1.534493465423584  2.2458150444030762 -0.1061330337524414,  15.771410745284996    1.986625337533489   10.840831298995154  -4.5990115934678277 -0.24685642558465337 -0.44444971809584566  0.42838066790753326,  0.53262507915496826 0.0027499708812683821   0.21950799226760864,   -0.70889705419540405 -2.7062311346526258e-05  -0.0055797235108911991     0.70528990030288696, 0.00015330273890867829  0.00016466101806145161 -2.7573716579354368e-05,0.00025021686451509595    0.58026093244552612 6.9776724558323622e-05,  0.25263214111328125  0.018854068592190742  0.063795037567615509  0.018854068592190742   0.23708005249500275 -0.015680309385061264  0.063795037567615509 -0.015680309385061264   0.18012817203998566,   -0.6710497658177772   -0.24101271533272239   -0.76848412034191682     0.3884046811792885    0.40414768711372062 -0.0071389540208244284 8.6383185049498934e-06,0.00020702826441265643
IIWA_7,1714663075.5536721,-0.44145929752512902   1.0338334226515768 0.054109674309293927  -1.4831985336170586  -1.9342867845038225  -1.7662296736340521 -0.98105106120278152,   0.039176481067009952  0.00071791992461092409    0.043085771026077843  -0.0097517257843068236 -0.00049645218469016072 -0.00053517564798333413  -0.0094927928740558918,  -19.954042922973631    58.828400730133055   -15.773677234649657   -11.781177024841309  -0.94640302658081055    1.9861562385559082 -0.046057731628417968,  15.739955376943238   1.9863394595102204   10.813146866647678  -4.5864267747610681 -0.24100690279813961 -0.43201196425001542  0.42772711979105749,   0.5326198935508728 0.0027799673844128847   0.21951267123222351,  -0.70888477563858032 -5.708642493118532e-05 -0.0055749877355992794    0.70530229806900024,-8.6178755736909807e-05   0.0013315717224031687  0.00016480365593452007,0.00025012969854287803    0.58026081323623657 6.9667687057517469e-05, 0.25263068079948425 0.018852954730391502 0.063796013593673706 0.018852954730391502  0.23708300292491913 -0.01567571796476841 0.063796013593673706 -0.01567571796476841  0.18012674152851105,  -0.67099336972198387   -0.24092317793300566   -0.76832447612407151     0.3883249224827523    0.40419358495658031 -0.0070127461215818698 8.6642781838008887e-06,0.0012280375231057405
IIWA_7,1714663075.5586758, -0.4411574749014216   1.0338389353831026 0.054422881933878259  -1.4833418649639707   -1.934283141303542  -1.7662495075556719 -0.98108090196966746,   0.043414089801905011  0.00079484520071730679    0.046996921804235536   -0.013534634503930838 -0.00025143373652942752  -0.0012214973831766521  -0.0087878649746825875,  -20.823772495269775    59.604032821655274   -13.594749336242675   -11.868334140777588   -1.5591439628601074    2.1333407287597654 -0.052065261840820311,  15.171225579744439   2.0170805067350135   10.281650798589613  -4.4299862077592458 -0.18109826557857431 -0.23409449112257891  0.42874874979074984, 0.53258424997329712 0.003327967831864953   0.2196037620306015,  -0.70867222547531128 -0.0004036304890178144 -0.0052887843921780586    0.70551788806915283,-0.0015050244983285666    0.02298278734087944  0.0037785924505442381,0.0002500377013348043   0.58026152849197388 6.949793896637857e-05,  0.25258833169937134  0.018832499161362648  0.063824214041233063  0.018832499161362648   0.23713585734367371 -0.015586614608764648  0.063824214041233063 -0.015586614608764648   0.18011702597141266,  -0.66996534083330062   -0.23920626008244739   -0.76525567334861933    0.38695397862387182     0.4050264678614468 -0.0047693571518792055 9.0803977670361746e-06,0.021317819133400917
IIWA_7,1714663075.5636442, -0.4409939500950637   1.0338502604973694 0.054817582471896706  -1.4835473345046604  -1.9343060550331597   -1.766282164520389 -0.98110810619855215,  0.041272264095839825  0.0010888807312468335   0.053385558964126313  -0.019046489230731607  -0.001117696173932057  -0.002283476495225473 -0.0081184611351337449,  -16.871678302764892    59.714261299133298   -8.8768202018737785   -11.926438884735107  -0.82579166412353511    1.7635438690185548 -0.062745315551757816,   14.759526120218005     2.079638018249101     9.911189640186592   -4.3604938780528473  -0.15119728503842089 -0.094719645339181369   0.44369059108422199,  0.53257656097412109 0.0038194030057638884   0.21969950199127197,   -0.70852077007293701 -0.00074670568574219942  -0.0050545819103717804     0.70567142963409424,-0.001537775038741529  0.038040142506361008 0.0068581327795982361,0.00025083261425606906    0.58027273416519165 6.9177200202830136e-05,   0.2525407075881958  0.018819715827703476  0.063853740692138672  0.018819715827703476   0.23718090355396271 -0.015507704578340054  0.063853740692138672 -0.015507704578340054   0.18012024462223053,  -0.66925488178615211   -0.23765838084255364   -0.76267511578986813    0.38574517066791714    0.40581673587691824 -0.0028474610225259767 9.4316243703929104e-06,0.035331964492797852
IIWA_7,1714663075.5686433,-0.44082047843913258   1.0338631435361598 0.055499604674615455  -1.4838163205038206  -1.9342942625415358    -1.76633747171364 -0.98113345285169729,   0.039956677513916794   0.0013864261366148428     0.06998933528005101    -0.02599663135099544 -0.00042245727419111762  -0.0040390689262193875  -0.0075086350339122259,  -12.696438655853271    59.524722087860106   -8.1645969009399408   -11.788220024108886   -1.1814631271362304    1.7605401039123536 -0.083437919616699219,   14.633498701306014    2.0552577107489367    9.8049131542690517   -4.2953279542267158  -0.12266052480517135 -0.032924404930544895   0.43670595764477171,  0.53254246711730957 0.0041152187623083591   0.21974289417266846,   -0.70840716361999512 -0.00091823784168809652  -0.0048897424712777138     0.70578646659851074,-0.0026141332928091288   0.042260602116584778  0.0072264163754880428,  0.000255044229561463    0.58028227090835571 6.1369282775558531e-05,  0.25252369046211243  0.018809212371706963  0.063865169882774353  0.018809212371706963   0.23720881342887878 -0.015462115406990051  0.063865169882774353 -0.015462115406990051   0.18010993301868439,  -0.66872342335866364   -0.23676696408791997    -0.7611097082254048    0.38498753970372945    0.40626190642001347 -0.0016481593334560785 9.6544594541114748e-06,0.039231222122907639
IIWA_7,1714663075.573643,-0.44054340316613844   1.0338727908436003  0.05635270175987004  -1.4841418119738468  -1.9343073013727785   -1.766367612131742 -0.98114999104627387,   0.043048352930899147   0.0014950332069104139    0.090115351634224211   -0.033816963881841966 -0.00085951906906115609  -0.0044368718650558813  -0.0066684358101932791,  -11.065863739013672    58.656336765289304   -10.434203414916992   -11.804066772460937   -1.4957569694519042    2.0525728225708009 -0.077430389404296876,    14.5806845019292   2.0239728704858218   9.7122213405427615  -4.2224768634969054 -0.08960824532798152 0.026697534943200138  0.42074361814838734,  0.53248602151870728 0.0043762284331023693   0.21978993713855743,  -0.70826297998428345 -0.0010523642413318157 -0.0047336188144981861    0.70593208074569702,-0.0043667778372764587   0.044242709875106812  0.0076697072945535183, 0.0002545270835980773     0.5802881121635437 5.2612143917940557e-05,  0.25251278281211853  0.018793066963553429  0.063874080777168274  0.018793066963553429   0.23723700642585754 -0.015418325550854206  0.063874080777168274 -0.015418325550854206   0.18009331822395325,   -0.66799027731789806    -0.23597261268992753    -0.75946037973562142     0.38428477999108424     0.40660367860390068 -0.00048030734678405906  9.8781276491877179e-06,0.041204337030649185
IIWA_7,1714663075.5786712, -0.4401570317756428   1.0338658400698542 0.057210053194259446  -1.4845293219735132  -1.9343158341129587  -1.7663546690972585 -0.98116473166080387,  0.049893537964544613 0.00091799561568319953    0.10638633868295559  -0.042553971092130105 -0.0010289248624569427 -0.0030317761127041198 -0.0059243732293544453, -11.280943695068359   58.481584300994875   -11.51354305267334  -11.729234905242921  -1.1612145042419433   2.0075163459777832 -0.05106400680541992,   14.432829383572631    2.0482041571107557    9.4543682319255318   -4.1418892838348089 -0.070932934018311952   0.14519265825203798   0.40873041005700717,  0.53242546319961548 0.0047565712593495846   0.21989317238330841,  -0.70801711082458496 -0.0012549860402941704 -0.0045446162112057209    0.70617955923080444,-0.0059455917216837406   0.050597283989191055   0.010278470814228058,0.00025982057559303939    0.58029413223266602 4.9205053073819727e-05,  0.25248986482620239  0.018764536827802658   0.06389375776052475  0.018764536827802658   0.23727840185165405 -0.015350417234003544   0.06389375776052475 -0.015350417234003544   0.18007577955722809,  -0.66674299263524972   -0.23478654973185797   -0.75684073069393065    0.38328993237790598    0.40701765201500706  0.0012284624775205089 1.0213345724707779e-05,0.047466792166233063
IIWA_7,1714663075.5836456,-0.43968395450048658   1.0338632035318529 0.058094069550794658  -1.4849607540564704  -1.9343121909126781  -1.7663268656750248 -0.98117953216194387,   0.058837921377884475  0.00062893497249636116     0.12046972520777298   -0.051300460191994544 -0.00067741187874285316  -0.0013132840008181017  -0.0053315186290835512,  -11.044355743408204    58.891580467224124    -10.83741512298584   -11.715148906707764   -1.5996412086486815    2.1013005676269532 -0.057071537017822263,   14.183318650110106    2.0685981785346823    9.1138280523527548   -4.0339987491682088 -0.034472872366757154   0.28923714212778673   0.39631642398174416,  0.53235292434692383 0.0052622514776885509   0.22001618146896362,  -0.70772874355316162 -0.0015280790394172072  -0.004285074770450592    0.70646965503692627,-0.0077032046392560005   0.060689117759466171   0.013165241107344627, 0.0002692453854251653      0.580302894115448 4.5752469304716215e-05,   0.2524566650390625  0.018729295581579208  0.063920043408870697  0.018729295581579208   0.23733258247375488 -0.015260427258908749  0.063920043408870697 -0.015260427258908749   0.18005618453025818,  -0.66518616097432925   -0.23319485247075278   -0.75343417889062181     0.3819564964393507    0.40760124842620371  0.0034209208932267643 1.0636631131433205e-05,0.057151079177856445
