DesiredFlux,0.79,HitTime,1714663830.8396018,DesiredPos,0.55430436134338379 0.36056059598922729  0.2204183042049408
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714663830.2298541,-0.41430777769294319   1.1168968045087579 0.054297467046236156  -1.3080883349861252  -1.9494510473410465  -1.8397472608725365 -0.90534575381605509, -0.0019035071873294038 -1.1287120489395227e-05   0.0028669428097818084 -2.0638480326084057e-05   1.035213830974391e-06  4.3093966192752886e-06  5.9099250326998155e-05, 0.18550646209716798   64.536085063934323   -3.274114284515381  -15.885484848022461  -1.1215976333618163   1.6864472312927246 -0.24998000717163085, -0.16928805810352054  0.066897768978084457 -0.016938360149412302   -2.2267118341646293    1.0364010459324731   0.90844747352256838   0.67130390619963676,     0.5619279146194458 -0.00074295775266364217     0.21653687953948975, -0.70305615663528442 -0.028962969779968262  0.019602164626121521    0.7102738618850708,0.00012870447244495153 0.00020834837050642818 0.00061642611399292946,-0.0031431522220373154    0.86444038152694702  0.0016021006740629673,  0.24170407652854919  0.025766821578145027  0.068699263036251068  0.025766821578145027   0.23559322953224182 -0.015457787550985813  0.068699263036251068 -0.015457787550985813   0.18885809183120728,   -0.9283707307732314   -0.22491477914687863    -0.8586763082840676    0.55295981423775231    0.53846641923627203    0.13484077542535999 3.4030469997503587e-05,0.00060616747941821814
IIWA_7,1714663830.2348418,-0.41432425600090977   1.1168967446221478 0.054309331467241977  -1.3080885147550383  -1.9494512391527312  -1.8397473807548397 -0.90534557404714211, -0.0021819380685268478 -1.1425160796130427e-05    0.002768131088058279  -2.370154078442352e-05 -6.8442963255277345e-06 -1.3477748324035826e-06  5.4470156780713912e-05, 0.23927645111083984   64.528019565582269  -3.2353777885437012   -15.87932222366333  -1.1233583831787108   1.6874484863281249 -0.25164876556396482,   -0.14692142321194229    0.059447090802980142 -0.00082212819450266927      -2.219807017198995      1.0433355159876967     0.91069470199122515     0.67122633864357684,    0.56192845106124878 -0.00074887368828058243     0.21653912961483002, -0.70305317640304565 -0.028959963470697403  0.019596202298998833   0.71027708053588867, 0.00012381142005324364 -6.9965826696716249e-05  0.00058296229690313339,-0.0031430264934897423    0.86444032192230225  0.0016011814586818218,  0.24170418083667755  0.025766182690858841  0.068699516355991364  0.025766182690858841   0.23559285700321198 -0.015458124689757824  0.068699516355991364 -0.015458124689757824   0.18885837495326996,  -0.92835062309148952   -0.22492921354011486   -0.85867537984452014    0.55297680328347809    0.53845062322643855    0.13482314711943388 3.4027213935416967e-05,0.00054838013602420688
IIWA_7,1714663830.2398343,-0.41433839742209094   1.1168968045087579 0.054322214506032494  -1.3080886346373413  -1.9494510473410465  -1.8397475005280595 -0.90534515462270626, -0.0023112073020682211 -6.7446642322900968e-06   0.0027298264220673297 -2.3756524746480847e-05  2.1970303298850593e-06  -5.869148657387787e-06  6.0353102858534356e-05,  0.2554074478149414   64.540117813110356  -3.2028039169311522  -15.872279224395752  -1.1233583831787108   1.6901184997558594 -0.25164876556396482, 21.409823022055555  2.5468934071209248  13.117359068841244 -5.7202410565195843  2.1349370863500656  2.6568104790362179 0.67120220935520836,    0.56192886829376221 -0.00075398891931399703     0.21654152870178223, -0.70304989814758301 -0.028957579284906387  0.019590746611356735   0.71028059720993042, 0.00011612156231421977 -0.00026058798539452255  0.00056243914877995849,-0.0031429606024175882    0.86444014310836792  0.0016001941403374076,  0.24170418083667755  0.025765521451830864  0.068699806928634644  0.025765521451830864   0.23559258878231049 -0.015458337031304836  0.068699806928634644 -0.015458337031304836   0.18885864317417145,  -0.92832893941618977   -0.22494123982763625   -0.85866986886973251    0.55299187916624248    0.53843610343395909    0.13480933067366863 3.4024839834501108e-05,0.00057634391123428941
IIWA_7,1714663830.2448347,-0.41435002207849081   1.1168969243910609 0.054336715355956536  -1.3080885746416482  -1.9494510473410465  -1.8397475005280595 -0.90534491485810031, -0.0023139520976492474 -6.0043926689004796e-07   0.0027638951346155237 -1.6605392073975111e-05  1.7576242639080476e-06 -4.6953189259102298e-06  5.7873066524711548e-05, 0.23255520248413086    64.56969130706787  -3.2107272911071778   -15.87580072402954  -1.1233583831787108   1.6927885131835938 -0.25198251724243165, 21.412885037225436  2.5467419339552713  13.117800152971137 -5.7207009747037745  2.1344555725130765  2.6564112992090916  0.6712475494678285,    0.56192940473556519 -0.00075743405614048243     0.21654413640499115, -0.70304620265960693 -0.028956141322851181  0.019586106762290001   0.71028441190719604,0.00011466354771982878 -0.0003462829627096653 0.00055434525711461902,-0.0031429596710950136    0.86444002389907837  0.0015991535037755966,  0.24170401692390442  0.025764808058738708  0.068700186908245087  0.025764808058738708   0.23559246957302094 -0.015458312816917896  0.068700186908245087 -0.015458312816917896   0.18885894119739532,-0.92830420689260507 -0.22494837065423212 -0.85865584196476163  0.55300312423778308   0.5384234043708247  0.13480121410314183 3.40237393814391e-05,0.00060644536279141903
IIWA_7,1714663830.2498345,-0.4143306076903901  1.1169023772359763  0.0543843526998097 -1.3081026561762195 -1.9494481712129721 -1.8397278463753528 -0.9053447950848803, -0.0010745861540908536  0.00021763344520155944    0.004116609861818994 -0.00057654569651019037  0.00011645122238590375  0.00078240985312570026  5.1089382020115945e-05,-0.03763899230957031   64.537429313659672  -3.7134213638305664  -15.699725742340087  -1.1647360038757324   1.6093505935668946 -0.25098126220703126, 21.413262398130648  2.5469357954770806  13.116283598320756 -5.7209207390296175  2.1340428569417269  2.6565772225250561 0.67143587733309695,    0.56193006038665771 -0.00075892219319939613     0.21654702723026276, -0.70304208993911743 -0.028956165537238121  0.019582321867346764   0.71028858423233032, 0.00011761682981159538 -0.00033655896550044417  0.00055897468701004982,-0.0031428402289748192    0.86444002389907837  0.0015980161260813475,   0.2417035847902298  0.025764036923646927  0.068700678646564484  0.025764036923646927   0.23559257388114929 -0.015457986854016781  0.068700678646564484 -0.015457986854016781   0.18885928392410278,  -0.92827568972264629    -0.2249494516206596   -0.85863087494342238    0.55300982917216857    0.53841318463021537    0.13480028409240674 3.4024295381129832e-05,0.00060589425265789032
IIWA_7,1714663830.2548342, -0.4137831682626249   1.1169426442725645 0.054978650400083158  -1.3082147686006351  -1.9494217099271167  -1.8395538954083759  -0.9053433569335767,  0.021037908187335121  0.0017847882196898547    0.02706519590039351 -0.0049457335338348252  0.0011516124121236251  0.0075839665615774106 9.8397557760134032e-05, -10.930094516754151   62.580201713562012  -10.538968029022216  -14.189882774353027    -1.44557559967041    1.646397029876709 -0.23229116821289061, 21.382471493307381  2.5405880964739418  13.091618795106266 -5.7121327626325096   2.136741086848351   2.659838444372741 0.67065625650473859,    0.56193095445632935 -0.00072914536576718092     0.21654848754405975, -0.70302993059158325 -0.028966037556529045  0.019591011106967926    0.7103000283241272, 0.0001299159339396283 0.00092181959189474583 0.00050570390885695815,-0.0031427745707333088    0.86444008350372314  0.0015967956278473139,  0.24170175194740295  0.025759998708963394   0.06870250403881073  0.025759998708963394   0.23559610545635223 -0.015452592633664608   0.06870250403881073 -0.015452592633664608   0.18885824084281921,  -0.92810220849859348   -0.22485504667546508   -0.85838223413592374    0.55292494941561188    0.53840715701625186    0.13487784951937698 3.4043164731656361e-05,0.00096817809389904141
IIWA_7,1714663830.2598667,-0.41321907075798026   1.1169442021970881 0.055409782940907738  -1.3083169940620876  -1.9493990838277597   -1.839216599403954 -0.90534281762683788,  0.039394226735653903  0.0014901475566962718   0.038897458353298026 -0.0080456052851655864  0.0018263339039786069   0.019559013426137698 0.00010029031576101249, -20.416464828491211   63.203933586120606  -13.943377799987793  -13.644050331115723 -0.75007942199707034   1.3743894119262696 -0.23796494674682617, 20.832156755206039  2.5617654027652947  12.632754822679189 -5.6227608969502629  2.1544257743774393  2.7669985363323626 0.67920432697501354,    0.56195133924484253 -0.00019639855599962175     0.21660275757312775, -0.70286840200424194 -0.029241694137454033  0.019797267392277718   0.71044278144836426,0.00090727221686393023   0.022047404199838638  0.0025785889010876417,-0.0031427524518221617    0.86444121599197388  0.0015954558039084077,  0.24165152013301849  0.025718884542584419  0.068733341991901398  0.025718884542584419   0.23565442860126495 -0.015365560539066792  0.068733341991901398 -0.015365560539066792   0.18885588645935059,  -0.92616092977593212   -0.22321210272036041   -0.85481962534306177    0.55154521441380666    0.53871009855743779      0.136541440662441 3.4431634432507963e-05,0.020302468910813332
IIWA_7,1714663830.2648344,-0.41288800656073571   1.1169595420049669 0.055781713368089278  -1.3084783616414899  -1.9493737730629472  -1.8387124829752142 -0.90534155935353022,  0.044757949278304968  0.0018057103605099174   0.045995183769900007  -0.012891187404225561  0.0024734977156825547   0.035811867890502974 0.00013056318491514056,  -22.49467490386963   62.359744758605956  -13.314790115356445  -13.408990230560303   -1.590837459564209   1.3386779823303223 -0.23963370513916016, 20.832158372536146  2.5617970533163463  12.632743400341228 -5.6227702444617993  2.1544177142464092  2.7670101886145093 0.67920432697501354,    0.56195133924484253 -0.00019639855599962175     0.21660275757312775, -0.70286840200424194 -0.029241694137454033  0.019797267392277718   0.71044278144836426,0.00090727221686393023   0.022047404199838638  0.0025785889010876417,-0.003143243258818984   0.86445963382720947 0.0015949159860610962,  0.24165152013301849  0.025718884542584419  0.068733341991901398  0.025718884542584419   0.23565442860126495 -0.015365560539066792  0.068733341991901398 -0.015365560539066792   0.18885588645935059,  -0.92616092977593212   -0.22321210272036041   -0.85481962534306177    0.55154521441380666    0.53871009855743779      0.136541440662441 3.4431634432507963e-05,0.020302468910813332
IIWA_7,1714663830.2698636,-0.41273628628877368   1.1169587030470121 0.056276781682737538  -1.3087118142642429  -1.9493613094922257  -1.8379811456218156 -0.90534054062666247,  0.041875170301125191  0.0014110099702125305   0.056598879601850415  -0.019651054833499777  0.0024773410014055711   0.057902988448345849 0.00014519962264219051, -19.658307983398437   62.675643444061279  -10.120789947509765  -13.053318767547607 -0.68669242858886714   1.2015060424804687 -0.26232881927490237, 20.318007517979371  2.4598834244211449  12.296241284656265 -5.5417982697633938  2.2100398129028291  2.7240376664241563  0.6770855911112913,   0.56204020977020264 0.00063042697729542851    0.21657036244869232, -0.70280790328979492 -0.029515881091356277  0.020014353096485138   0.71048527956008911, 0.0037557035684585571   0.043317049741744995 0.00026089008315466344,-0.0031491145491600037    0.86445969343185425  0.0015712867025285959,  0.24159011244773865  0.025627927854657173  0.068776942789554596  0.025627927854657173   0.23573882877826691 -0.015223617665469646  0.068776942789554596 -0.015223617665469646   0.18885111808776855,  -0.92222328087565586   -0.22055989647817853   -0.84874457110828416    0.54902415411905992     0.5386486860832207    0.13795657037007913 3.4756000744096127e-05,0.039733640849590302
IIWA_7,1714663830.2748344,-0.41260871417417611   1.1169654142743184 0.057024297692886611  -1.3090130976902945   -1.949332068071405   -1.837006708338224 -0.90534006131561662,  0.03860302082480311 0.0013972570684233445   0.07517974408744324 -0.027772180908864779 0.0031515296339534485  0.085299882102340255  0.000135332139947889, -15.060973922729492   61.699718143463137  -10.223793811798096  -13.175690879821778  -1.3548969841003418  0.82303163909912114 -0.23863245010375977, 20.318063885555439  2.3746234795333079  12.263225748530846 -5.5374543797868299  2.2389385722119486  2.6055907050241807 0.66160406351032641,   0.56210380792617798 0.00092601199867203832    0.21650432050228119, -0.70283222198486328 -0.029484294354915619  0.019983870908617973   0.71046340465545654, 0.0055282739922404289   0.046483021229505539 -0.0024239588528871536,-0.003149211872369051   0.86448633670806885 0.0015713350148871541,  0.24158129096031189  0.025556366890668869  0.068795531988143921  0.025556366890668869   0.23577104508876801 -0.015158717520534992  0.068795531988143921 -0.015158717520534992   0.18884347379207611,  -0.91939709290578264   -0.21949177579916324   -0.84549586024351697    0.54783583630690913    0.53804122082556916    0.13769392418083726 3.4700295969969375e-05,0.042833741754293442
