RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1714663037.0293241,0.50673645734786987  1.0580505132675171 0.27716353535652161,-0.003233493072912097 0.0020764772780239582   0.39411160349845886   0.91905456781387329,0.50673645734786987  1.0580505132675171 0.27716353535652161,-0.003233493072912097 0.0020764772780239582   0.39411160349845886   0.91905456781387329
1714663037.0342963,0.50670784711837769  1.0580273866653442 0.27701419591903687,-0.0036251542624086142  0.0015282131498679519    0.39431789517402649    0.91896569728851318,0.50670784711837769  1.0580273866653442 0.27701419591903687,-0.0036251542624086142  0.0015282131498679519    0.39431789517402649    0.91896569728851318
1714663037.0392945,0.50675410032272339   1.058010458946228 0.27707105875015259,-0.0035483394749462605  0.0015652127331122756    0.39431774616241455    0.91896599531173706,0.50675410032272339   1.058010458946228 0.27707105875015259,-0.0035483394749462605  0.0015652127331122756    0.39431774616241455    0.91896599531173706
1714663037.0442946,0.50672417879104614  1.0580782890319824 0.27702754735946655,-0.0033804068807512522  0.0020937547087669373    0.39414149522781372    0.91904115676879883,0.50672417879104614  1.0580782890319824 0.27702754735946655,-0.0033804068807512522  0.0020937547087669373    0.39414149522781372    0.91904115676879883
1714663037.0493271,0.50672513246536255  1.0580037832260132 0.27709323167800903,-0.0035425266250967979  0.0015475886175408959     0.3943651020526886    0.91894572973251343,0.50672513246536255  1.0580037832260132 0.27709323167800903,-0.0035425266250967979  0.0015475886175408959     0.3943651020526886    0.91894572973251343
1714663037.0543272,0.50672638416290283  1.0580235719680786 0.27696532011032104,-0.0036536275874823332  0.0015270160511136055    0.39430853724479675    0.91896957159042358,0.50672638416290283  1.0580235719680786 0.27696532011032104,-0.0036536275874823332  0.0015270160511136055    0.39430853724479675    0.91896957159042358
1714663037.0593231,0.50675910711288452  1.0579979419708252 0.27710121870040894,-0.0035481548402458429  0.0015102466568350792    0.39430892467498779    0.91896986961364746,0.50675910711288452  1.0579979419708252 0.27710121870040894,-0.0035481548402458429  0.0015102466568350792    0.39430892467498779    0.91896986961364746
1714663037.0642948,0.50678586959838867  1.0580419301986694 0.27717405557632446,-0.0033601492177695036    0.00211189198307693    0.39404264092445374    0.91908359527587891,0.50678586959838867  1.0580419301986694 0.27717405557632446,-0.0033601492177695036    0.00211189198307693    0.39404264092445374    0.91908359527587891
1714663037.069294,0.50678855180740356  1.0579969882965088 0.27709197998046875,-0.0035702106542885303  0.0015363059937953949    0.39429378509521484    0.91897624731063843,0.50678855180740356  1.0579969882965088 0.27709197998046875,-0.0035702106542885303  0.0015363059937953949    0.39429378509521484    0.91897624731063843
1714663037.0742934,0.50674766302108765  1.0580439567565918 0.27692869305610657,-0.0036709723062813282  0.0015440380666404963    0.39429140090942383    0.91897684335708618,0.50674766302108765  1.0580439567565918 0.27692869305610657,-0.0036709723062813282  0.0015440380666404963    0.39429140090942383    0.91897684335708618
1714663037.0793171,0.50684213638305664  1.0579797029495239 0.27710720896720886,-0.0035323868505656719  0.0015297494828701019    0.39422941207885742    0.91900402307510376,0.50684213638305664  1.0579797029495239 0.27710720896720886,-0.0035323868505656719  0.0015297494828701019    0.39422941207885742    0.91900402307510376
1714663037.0843182,0.50679469108581543  1.0580747127532959 0.27705821394920349,-0.0033974356483668089  0.0020740833133459091     0.3940562903881073    0.91907769441604614,0.50679469108581543  1.0580747127532959 0.27705821394920349,-0.0033974356483668089  0.0020740833133459091     0.3940562903881073    0.91907769441604614
1714663037.0892966,0.50678545236587524  1.0580669641494751 0.27708354592323303,-0.0033880481496453285  0.0020554186776280403    0.39404690265655518    0.91908180713653564,0.50678545236587524  1.0580669641494751 0.27708354592323303,-0.0033880481496453285  0.0020554186776280403    0.39404690265655518    0.91908180713653564
