DesiredFlux,0.6,HitTime,1714648842.486279,DesiredPos,0.55513125658035278 -0.2903016209602356 0.19880346953868866
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714648841.7364414, 0.60355600611217941      1.2039130032562  -0.1554861502358281  -1.2954974086800213   -1.064647189869752   1.7985936721826119 -0.62767647590061204,-0.00044166263508374926  -1.882927341168045e-06   0.0010098729495143393  5.7788387697416112e-06   0.0033464311268284908  1.6773686533540379e-06    5.18318067388635e-06,0.34721981048583989  70.043237770080566  5.5477186164855956 -15.163136901855468  1.2976726150512694 -2.1697196617126466 0.36178681945800784,  -4.8035197867986952   0.23496381998989008 -0.049375905733766601  -0.94977522440658702 -0.040197593001997878  0.085740680887041898     0.139272379086193,  0.5544702410697937 0.077525109052658081  0.19932959973812103, 0.49579453468322754 -0.49408000707626343  0.50844389200210571  0.50155514478683472,-0.00069226283812895417  9.0551977336872369e-05 -0.00068506243405863643, 1.8310876839677803e-05    -0.65602189302444458 -1.4897804248903412e-05,  0.24386285245418549 -0.019093994051218033  0.067258134484291077 -0.019093994051218033   0.23342418670654297  0.031713813543319702  0.067258134484291077  0.031713813543319702   0.18413425981998444,   0.70078871658285635    -0.6637611637962948     1.1452625879355693    0.72949740828320842   -0.02864407481428799   -0.00643980302328373 2.6645352591003757e-12,0.00089460116578266025
IIWA_14,1714648841.7414169, 0.60355312991865528      1.2039130032562 -0.15548117681104148  -1.2954975285623243    -1.06463108309875   1.7985936721826119 -0.62767647590061204,-0.00046837784903204575 -1.5063418729344361e-06   0.0010068353510760315 -1.7222110314874049e-07    0.003321415741545021  1.3418949226832303e-06    4.14654453910908e-06,0.34464781188964844  70.043237770080566  5.5436858673095699 -15.161792652130128  1.3117586135864259 -2.1677171516418459 0.36111931610107423,  -4.8035197867986952   0.23496381998989008 -0.049375905733766601  -0.94977522440658702 -0.040197593001997878  0.085740680887041898     0.139272379086193,  0.5544702410697937 0.077525109052658081  0.19932959973812103, 0.49579453468322754 -0.49408000707626343  0.50844389200210571  0.50155514478683472,-0.00069226283812895417  9.0551977336872369e-05 -0.00068506243405863643, 1.8409979020361789e-05    -0.65602189302444458 -1.4818905583524611e-05,  0.24386285245418549 -0.019093994051218033  0.067258134484291077 -0.019093994051218033   0.23342418670654297  0.031713813543319702  0.067258134484291077  0.031713813543319702   0.18413425981998444,   0.70078871658285635    -0.6637611637962948     1.1452625879355693    0.72949740828320842   -0.02864407481428799   -0.00643980302328373 2.6645352591003757e-12,0.00089460116578266025
IIWA_14,1714648841.7464447, 0.60355049338065392      1.2039130032562 -0.15547608350395184  -1.2954974686757144  -1.0646151679648999   1.7985935524093921 -0.62767665566952502,  -0.000480163799280276  -1.205073498347549e-06   0.0010092005644465477  2.2576875132134683e-06   0.0032937379472412435 -3.7174128533183371e-06 -3.8735208878281182e-06,0.35236380767822267  70.025233779907225  5.5423416175842286 -15.168513900756835  1.3038352394104005 -2.1673833999633789 0.36345557785034177, -26.687594779392235   3.7568473938969871  -12.812620986708236  -8.7054748443983314  0.16729351718640117 0.098320751309738719  0.14012607187678089, 0.55446046590805054 0.077525034546852112  0.19931966066360474, 0.49579888582229614 -0.49409568309783936   0.5084192156791687  0.50156038999557495,-0.00067305238917469978  4.5749900891678408e-05 -0.00067436922108754516, 1.8512680981075391e-05    -0.65602189302444458 -1.4735026525158901e-05,  0.24386367201805115 -0.019096314907073975  0.067257486283779144 -0.019096314907073975   0.23342365026473999  0.031713142991065979  0.067257486283779144  0.031713142991065979   0.18413399159908295,   0.70087710192900943    -0.6637421851687364     1.1452845078201435    0.72949063564742289  -0.028734247603523499 -0.0064340648346927765                      0,0.00087241246365010738
IIWA_14,1714648841.7514181, 0.60354791683834574      1.2039130032562  -0.1554708703145592  -1.2954974086800213    -1.06459992408468   1.7985935524093921 -0.62767677544274492,-0.00048719273175120976 -9.6405879867803913e-07    0.001015888027263013  4.2059777337803431e-06   0.0032447455665887987   -2.97393028265467e-06 -7.8897455061683086e-06,0.37551179504394533  70.004657791137703  5.5436858673095699  -15.16448115158081  1.3082371139526368 -2.1663821449279785 0.36278807449340822, -26.687594779392235   3.7568473938969871  -12.812620986708236  -8.7054748443983314  0.16729351718640117 0.098320751309738719  0.14012607187678089, 0.55446046590805054 0.077525034546852112  0.19931966066360474, 0.49579888582229614 -0.49409568309783936   0.5084192156791687  0.50156038999557495,-0.00067305238917469978  4.5749900891678408e-05 -0.00067436922108754516, 1.8512675524107181e-05    -0.65602171421051025 -1.4735021977685392e-05,  0.24386367201805115 -0.019096314907073975  0.067257486283779144 -0.019096314907073975   0.23342365026473999  0.031713142991065979  0.067257486283779144  0.031713142991065979   0.18413399159908295,   0.70087710192900943    -0.6637421851687364     1.1452845078201435    0.72949063564742289  -0.028734247603523499 -0.0064340648346927765                      0,0.00087241246365010738
IIWA_14,1714648841.7564168, 0.60354078618660356   1.2039147409496367 -0.15547734177725944  -1.2955066365630259  -1.0645844883927753   1.7985936721826119   -0.627676895325048,-0.00067498025508825102  6.8736490429001826e-05  0.00055385191380052554 -0.00036575053799755219   0.0032132241294571501   2.411784565341185e-06 -1.1107088528317568e-05,0.50411172485351563  69.955789817810057  5.7412905769348148 -15.017957931518554  1.3117586135864259 -2.1677171516418459 0.36545808792114259,-26.686770003641882  3.7571043399994091 -12.813064127468351 -8.7055030961819213 0.16647105550197105 0.09839254893344862 0.14040215198464157, 0.55445730686187744 0.077525235712528229  0.19931641221046448, 0.49580049514770508 -0.49410057067871094  0.50841134786605835  0.50156193971633911,-0.00066395790781825781  4.4589003664441407e-05 -0.00066915672505274415, 1.8821740013663657e-05    -0.65602171421051025 -1.4483826817013323e-05,  0.24386395514011383 -0.019097061827778816   0.06725725531578064 -0.019097061827778816   0.23342344164848328  0.031712975353002548   0.06725725531578064  0.031712975353002548   0.18413390219211578,   0.70090577435344414   -0.66373745890047076     1.1452932181477138    0.72948966299879459   -0.02876260265782804 -0.0064314065841841739 3.5527136788005009e-12,0.00086312601342797279
IIWA_14,1714648841.7614455, 0.60342663641753536   1.2039449412543486  -0.1557521400500782  -1.2957056945276251   -1.064555630420791   1.7985912754092166 -0.62767647590061204, -0.0051059749667988347   0.0012630013808193057   -0.010548849381709994   -0.008254919014365274   0.0037248981829362841 -9.3941508160041485e-05  7.8913066157500622e-06, 5.9953287277221685  67.358071235656737  10.327870639801025 -11.401926170349121  1.2615772438049315 -2.4050145950317381 0.37179936981201173, -26.674116305417122   3.7540744065106657  -12.804052712998107  -8.6995407807306666  0.16454453468118102 0.095807578485294087  0.14150265693536812, 0.55445289611816406 0.077517181634902954  0.19931390881538391, 0.49579665064811707 -0.49410346150398254  0.50840377807617188  0.50157058238983154,-0.00070653919829055667 -0.00028638204094022512 -0.00063543661963194609,1.8821740013663657e-05   -0.65602165460586548 -1.448382499802392e-05,  0.24386429786682129 -0.019096918404102325   0.06725737452507019 -0.019096918404102325   0.23342457413673401  0.031711440533399582   0.06725737452507019  0.031711440533399582   0.18413271009922028,    0.70089374083526224    -0.66369205964988964      1.1452411579533361     0.72944493328463977   -0.028791326094790293  -0.0064617651354126338 -8.8817841970012523e-13,0.00090771447867155075
IIWA_14,1714648841.7664165, 0.60336018387893031   1.2039433233341319 -0.15602921532307237  -1.2958768292967708  -1.0645359762680844   1.7985728796389007 -0.62767677544274492, -0.0067428815176408313   0.0009456842959878471   -0.019522090425134819   -0.013449325977322792   0.0037660846546154559  -0.0008109840191650948 -5.6686400224211456e-06, 10.053942512512208  67.036571411132812  11.217763957977295  -11.25137020111084 0.87069078445434567 -2.3025528297424316 0.36412308120727538, -26.396744385653633   3.6888840993810796  -12.580597017567557  -8.5689609917774003  0.13963315982869295 0.035282702872871718  0.15704831100227243, 0.55442732572555542 0.077323846518993378  0.19933478534221649, 0.49566692113876343 -0.49407586455345154  0.50840175151824951  0.50172799825668335,-0.0015900060534477234 -0.0079621439799666405  0.0003273088950663805, 1.8922482922789641e-05    -0.65602189302444458 -1.4401888620341197e-05,  0.24386158585548401 -0.019078439101576805  0.067267149686813354 -0.019078439101576805   0.23345507681369781  0.031678475439548492  0.067267149686813354  0.031678475439548492   0.18411058187484741,    0.7000327682806784   -0.66271953330776512     1.1438408394690569    0.72842459331212694  -0.028857644150726003 -0.0072146143290652276                      0,0.0074319355189800262
IIWA_14,1714648841.7714174, 0.60329415087384419   1.2039475777923498  -0.1564357202864036  -1.2961684054196891  -1.0645230332554174   1.7985843245263875 -0.62767605636709312,  -0.008035625417557429   0.0009267257655080738   -0.031877870873356751   -0.022422505698590327   0.0035305882303710077 -0.00019099171585874126  2.4228114054083719e-05, 12.394461235046387  66.838527519226076  11.983986301422119 -11.055109741210938  1.2783043670654297 -2.3125653800964354 0.36212057113647461,   -26.228557544394512     3.6659760914208768    -12.417793309844189    -8.4973357059045345    0.13056897666283473 -0.0075356333083335114    0.16301264985925337, 0.55441427230834961 0.077164545655250549   0.1993737667798996, 0.49555027484893799 -0.49405425786972046  0.50842010974884033  0.50184589624404907,-0.0017973280046135187  -0.012741224840283394  0.0018231164431199431, 1.9092145521426573e-05    -0.65602928400039673 -1.4366079085448291e-05,  0.24385398626327515 -0.019062012434005737  0.067277997732162476 -0.019062012434005737   0.23348161578178406  0.031649172306060791  0.067277997732162476  0.031649172306060791    0.1840965747833252,    0.69927150804094396    -0.66189271212202527      1.1425893170660117     0.72755243963040783   -0.028867565309731447  -0.0078336283015900676 -2.6645352591003757e-12,0.011885832995176315
IIWA_14,1714648841.7764175, 0.60322931614637265   1.2039458399898302  -0.1569940054083068  -1.2965913288043769  -1.0644969555929318   1.7985809090261244 -0.62767587670726321, -0.0090218894329075865  0.00067186851161991955    -0.04783370157481346   -0.034854939946382085    0.003867577083722212 -0.00028941338320938553  2.6568884439346142e-05, 14.629528015136719  66.650771621704109  12.293163738250733 -10.604786083221436 0.98249839782714843 -2.2655063934326174 0.36645934295654298,  -26.004268593240862    3.6187379844534697   -12.193071798737082   -8.3814733925615457   0.11650774694718891 -0.078167535026288593   0.17791449726015404, 0.55437785387039185 0.076940014958381653  0.19943208992481232, 0.49537542462348938 -0.49399363994598389  0.50845831632614136  0.50203943252563477,-0.0029001054354012012  -0.019172502681612968  0.0037960815243422985, 2.0590303392964415e-05    -0.65603560209274292 -1.5541232642135583e-05,  0.24384917318820953 -0.019035732373595238  0.067290849983692169 -0.019035732373595238   0.23352111876010895  0.031609136611223221  0.067290849983692169  0.031609136611223221   0.18407005071640015,   0.69807153467493777   -0.66076861148367527     1.1407816313644403    0.72631747983553652  -0.028806243981271962 -0.0088116543732752461 1.7763568394002505e-12,0.018070727586746216
IIWA_14,1714648841.7814193, 0.60318137926038662   1.2039459598721332 -0.15769238614577219  -1.2971363113539707  -1.0644900526412071   1.7985802498370826 -0.62767605636709312,  -0.009134986985767389  0.00054229010141487765   -0.066202190758466478   -0.049683253940857132   0.0033701797359647445 -0.00025789826823935575   1.406871435539775e-05,  15.50915153503418  66.272687828063965  12.774405139923095 -9.9098089752197271 0.83195428848266595 -2.2257899436950686 0.37246687316894533, -25.726088656550914   3.5518622266511701  -11.910777962712034  -8.2298077653462478 0.094502185240818548 -0.16624750295460311   0.2005580449701547, 0.55432140827178955 0.076642267405986786  0.19950872659683228, 0.49514922499656677 -0.49390298128128052  0.50851041078567505  0.50229895114898682,-0.0045866901054978371  -0.027244381606578827  0.0061125536449253559, 2.1794945496367291e-05    -0.65604507923126221 -1.7335942175122909e-05,  0.24384519457817078 -0.018998369574546814  0.067306995391845703 -0.018998369574546814   0.23357492685317993   0.03155449777841568  0.067306995391845703   0.03155449777841568   0.18403220176696777,   0.69638083736389689   -0.65926066836219377     1.1382844246705659    0.72463108780063124  -0.028695884799923022  -0.010104788784381924 5.3290705182007514e-12,0.025878097862005234
