DesiredFlux,0.82,HitTime,1714649936.2438412,DesiredPos,  0.5360710620880127 -0.33178269863128662  0.19886042177677155
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714649935.6742127, 0.57737053463853572    1.077798870065986 -0.21738443214488612  -1.5331910274899445  -1.0515873567309229   1.6149577162157747 -0.55166940566770517,  0.0010705905743041834  7.3927798104557757e-06 -0.00095188634273272717  2.1236141141319648e-05  1.3679463667543649e-07  -0.0026548820012585158 -0.00010514009468818771,-1.9778669204711916  65.601396194458005  7.2428175201416014 -12.852371623992919  1.4860728454589844 -1.9264146881103517 0.27768139648437501,   1.5442475117561676    3.2195910935008225   0.99996416370811625    1.1355522079069238   -1.4885064914005179 -0.056964889295859883   -0.5124183250471317,   0.5248793363571167 0.0070449006743729115   0.21085235476493835,-0.51127105951309204  0.51269721984863281 -0.49246412515640259  -0.4829312264919281, 0.00059518031775951385  0.00024091928207781166 -0.00044850751874037087, 0.010197912342846394   -0.8987433910369873 -0.010926954448223114,   0.24974799156188965 -0.0091509055346250534   0.066281147301197052 -0.0091509055346250534    0.24045008420944214   0.013990229927003384   0.066281147301197052   0.013990229927003384    0.17582122981548309,    0.31641440845042723    -0.26709816068670733     0.50992986635023385     0.24572756464014134   -0.070814878220915034    0.075187291385780952 -1.7763568394002505e-12,0.00071450351970270276
IIWA_14,1714649935.6792357, 0.57737263186979815   1.0777988100702931 -0.21738443214488612  -1.5331907278387287  -1.0515872609123469   1.6149572967913388 -0.55166970520983805, 0.00094036170994063993  3.5143961340368361e-06 -0.00076150907418618178  2.8974961546672238e-05  3.9421787478413564e-06  -0.0021406825784407758 -9.6093761065571366e-05,-1.9984429092407228  65.598824195861823   7.268358264923096 -12.803978633880615  1.4843120956420899 -1.9307534599304199 0.27634638977050779,   1.5469653306176301    3.2209413759257779    1.0024446258809752    1.1393712383945731   -1.4889642547535649 -0.061763198013612047  -0.51243884677342844,  0.52487945556640625 0.0070461551658809185   0.21085247397422791,-0.51127171516418457  0.51269638538360596 -0.49246495962142944 -0.48293060064315796, 0.00048072458594106138  0.00024292456510011107 -0.00035388607648201287, 0.010197911411523819   -0.8987433910369873 -0.010926953516900539,   0.24974799156188965 -0.0091508124023675919   0.066281154751777649 -0.0091508124023675919    0.24045006930828094   0.013990321196615696   0.066281154751777649   0.013990321196615696    0.17582125961780548,     0.3164112233227101    -0.26710120557016381     0.50992997332865997     0.24572923485610687   -0.070810550270472561    0.075189594049618336 -2.6645352591003757e-12,0.00058792502386495471
IIWA_14,1714649935.6842425,  0.5773744894455376    1.077798750183683 -0.21738431237166619  -1.5331904881832057  -1.0515872609123469      1.6149567574846   -0.551670004861054, 0.00082659239753051644  4.1605250261522416e-07 -0.00060441633055192945  3.2766190156626527e-05  3.1537429982730854e-06   -0.001734118332305526 -8.8861057490514507e-05,-1.9984429092407228  65.580820205688482   7.273735263824463 -12.818765380859375  1.4922354698181153 -1.9374284934997559 0.27367637634277342, -33.517691328147436   7.0114141150543485  -23.865906297764482  -13.740076990677656  -1.1543575225078739   2.5695739508839979 -0.51251954932116417,   0.5248798131942749 0.0070476005785167217   0.21085245907306671, -0.5112726092338562   0.5126957893371582 -0.49246558547019958 -0.48292958736419678,0.00039719999767839909 0.00025215966161340475 -0.0002839461958501488, 0.010197980329394341  -0.89874333143234253 -0.010927134193480015,   0.24974796175956726 -0.0091507826000452042   0.066281162202358246 -0.0091507826000452042    0.24045002460479736   0.013990476727485657   0.066281162202358246   0.013990476727485657    0.17582134902477264,  0.31641032480944631  -0.26710532286511324   0.50993304465585254   0.24573215128231851 -0.070806925128508169  0.075193682833152309                     0,0.00050130911404266953
IIWA_14,1714649935.6892133,  0.5773744894455376    1.077798750183683 -0.21738431237166619  -1.5331904881832057  -1.0515872609123469      1.6149567574846   -0.551670004861054, 0.00082659239753051644  4.1605250261522416e-07 -0.00060441633055192945  3.2766190156626527e-05  3.1537429982730854e-06   -0.001734118332305526 -8.8861057490514507e-05,-1.9984429092407228  65.580820205688482   7.273735263824463 -12.818765380859375  1.4922354698181153 -1.9374284934997559 0.27367637634277342,  -33.51646602062339   7.0114962984086189  -23.865524911563767  -13.738781563495179  -1.1543795320525125    2.567553368442379 -0.51256994979827497,  0.52487993240356445 0.0070487703196704388   0.21085242927074432,-0.51127332448959351  0.51269537210464478 -0.49246600270271301 -0.48292887210845947, 0.00032287469366565347  0.00024850410409271717 -0.00022863202320877463, 0.010197874158620834  -0.89874333143234253 -0.010927245952188969,   0.24974796175956726 -0.0091507667675614357   0.066281154751777649 -0.0091507667675614357    0.24044997990131378   0.013990607112646103   0.066281154751777649   0.013990607112646103    0.17582137882709503,    0.31640990519576917    -0.26710874237778626     0.50993578879943158     0.24573455904164376   -0.070804254704626146    0.075196796083254469 -1.7763568394002505e-12,0.00042620650492608547
IIWA_14,1714649935.6942141, 0.57721324174843824   1.0778228983410476 -0.21786871465200627  -1.5335942367262327  -1.0515808374025679   1.6152084861044489 -0.55167330047901408, -0.0058767868973506809  0.00095229102069300272   -0.019626777620177772   -0.015991392290435551  0.00025359015389864864   0.0088648736587781923 -0.00018438134128679869, 6.5997483978271489  62.965097633361822  13.994983890533447 -5.5436858673095699   1.040603141784668 -3.1279207305908203 0.35377677917480471, -33.515366137667598   7.0115253457101243  -23.865207802920832  -13.737701423856118  -1.1543832238253047   2.5659641396049464 -0.51260301637998851,    0.524880051612854 0.0070498455315828323   0.21085233986377716,-0.51127409934997559  0.51269489526748657 -0.49246636033058167 -0.48292815685272217,0.00026364217046648264 0.00024182730703614652 -0.0001862725184764713, 0.010197355411946774   -0.8987433910369873 -0.010927026160061359,  0.24974797666072845 -0.009150749072432518  0.066281139850616455 -0.009150749072432518    0.2404499351978302  0.013990727253258228  0.066281139850616455  0.013990727253258228   0.17582140862941742,  0.31640939375510158  -0.26711186411176868    0.5099382750461956   0.24573670355554356 -0.070801732387160143  0.075200007812803449                     0,0.00036795271444134414
IIWA_14,1714649935.6992373, 0.57715415951709814    1.077806539915384 -0.21837438911435275  -1.5338922244252411  -1.0515884114333898   1.6154336097978452 -0.55167755493723192, -0.0070647187714846177  0.00010749579001001963   -0.035928400590001346   -0.024712621792682472 -0.00010008910975529148    0.016096846662875919 -0.00031768340174279412, 12.530777160644531  61.655950347900394  17.550524414062501 -5.3890971488952637 0.94640302658081055 -2.8776069717407227 0.19791474533081055, -33.493760885234337   7.0062269017585503  -23.846552725746136  -13.723585104779991  -1.1569723694621505   2.5562386327697983 -0.51107582970067411,  0.52487367391586304 0.0070372098125517368   0.21085625886917114,-0.51126283407211304   0.5126911997795105 -0.49246621131896973 -0.48294422030448914,-4.3161922803847119e-05 -0.00031198753276839852  8.0657518992666155e-06, 0.010197167284786701  -0.89874333143234253 -0.010926913470029831,    0.2497485876083374 -0.0091498866677284241   0.066281013190746307 -0.0091498866677284241    0.24045075476169586    0.01398884691298008   0.066281013190746307    0.01398884691298008    0.17581997811794281,  0.31637738632994683  -0.26707191496022631   0.50987445273431575   0.24570046013927538 -0.070810124140230357   0.07513332406450246                     0,0.00028741828282363713
IIWA_14,1714649935.7042115, 0.57714007798252698   1.0778085173734264 -0.21897282128145804  -1.5343356408115074  -1.0515843847842725   1.6158481441484003 -0.55167971205510435, -0.0062150364000342637  0.00016509495370496224   -0.052680007156212433   -0.037506752884799044  8.0994676885777142e-05    0.029458851352502792 -0.00034043143629170191, 14.619240020751954  63.132277542114259  17.731998126983644 -6.1741389884948727  1.1673771286010741 -3.0084376296997069 0.22628363800048829,  -33.00832884199189   6.9044523281643579  -23.392126268020377  -13.434281029506462  -1.2089529290620686   2.3634001895516783 -0.48346925832153287,  0.52474445104598999 0.0067077339626848698   0.21096916496753693,-0.51097142696380615  0.51262664794921875 -0.49247682094573975 -0.48331013321876526,-0.0052076363936066628   -0.01342483889311552  0.0045251837000250816,  0.01019695308059454  -0.89874362945556641 -0.010926718823611736,   0.24975401163101196 -0.0091273095458745956    0.06628388911485672 -0.0091273095458745956    0.24047212302684784   0.013937058858573437    0.06628388911485672   0.013937058858573437    0.17579329013824463,   0.31554048686999181   -0.26597442449549646    0.50814377364449825    0.24472457021751381  -0.071036283882719431   0.073529018308704508 2.6645352591003757e-12,0.01376935001462698
IIWA_14,1714649935.7092128, 0.57714097682709176   1.0778111538023447  -0.2197301044813505  -1.5349836277848152  -1.0515849598702611   1.6164320754655814 -0.55168210893758274, -0.0049360753374362749  0.00023753311969557296   -0.072435333720668404   -0.055924881240151741  4.1792301964310445e-05    0.046924333769248323 -0.00036822044816871221, 14.274592208862305  63.042257591247562  15.659165050506592 -6.1862372360229489  1.0494068908691405 -2.9633811531066896 0.29737274551391601,  -33.00832884199189   6.9044523281643579  -23.392126268020377  -13.434281029506462  -1.2089529290620686   2.3634001895516783 -0.48346925832153287,  0.52474445104598999 0.0067077339626848698   0.21096916496753693,-0.51097142696380615  0.51262664794921875 -0.49247682094573975 -0.48331013321876526,-0.0052076363936066628   -0.01342483889311552  0.0045251837000250816, 0.010208314284682274  -0.89875036478042603 -0.010936236009001732,   0.24975401163101196 -0.0091273095458745956    0.06628388911485672 -0.0091273095458745956    0.24047212302684784   0.013937058858573437    0.06628388911485672   0.013937058858573437    0.17579329013824463,   0.31554048686999181   -0.26597442449549646    0.50814377364449825    0.24472457021751381  -0.071036283882719431   0.073529018308704508 2.6645352591003757e-12,0.01376935001462698
IIWA_14,1714649935.7142372,   0.577132767670955   1.0778088169155593 -0.22073246506947874  -1.5358169509441433  -1.0515952183920054   1.6172279478952356 -0.55168276801754146, -0.0042772265154190775  9.6551024339876419e-05   -0.098042690501664656   -0.078072831365243303 -0.00037690702820053734    0.069374364201565716 -0.00032093955688378085, 13.196924797058106    62.2835180053711  14.571667022705078 -5.2667704238891604 0.62330543518066406 -2.8328842468261719 0.28802769851684568, -32.711319846890831   6.8750690664811476  -23.047137852247566  -13.272295081859166  -1.2272949840641116   2.2175940886690344 -0.47567598085809848,  0.52465677261352539 0.0064360606484115124    0.2111164778470993,-0.51068687438964844  0.51257312297821045  -0.4925379753112793 -0.48360523581504822,-0.0076814312487840652  -0.021598594263195992  0.0095186028629541397, 0.010457301512360573  -0.89874446392059326 -0.011179405264556408,   0.2497449517250061 -0.009106198325753212  0.066294267773628235 -0.009106198325753212   0.24049095809459686  0.013891907408833504  0.066294267773628235  0.013891907408833504   0.17578324675559998,    0.31476138135033693    -0.26504858999931713      0.5065967723680842     0.24390281282649084   -0.071137431932655204    0.072094070043604574 -2.6645352591003757e-12,0.022643307223916054
IIWA_14,1714649935.7192109, 0.57711197501816058   1.0778088169155593 -0.22198643450423608  -1.5367838381515571  -1.0515962730944726   1.6182495431025514  -0.5516822887064956, -0.0042534873241121159  7.7240819471901143e-05    -0.12859292979162512    -0.10113375338874586 -0.00034371372124604368    0.096363299653885265 -0.00023757920367288809, 12.924292945861817  62.211502044677736  15.796278522491455 -5.2869341697692871  1.0969471359252929 -3.2327187576293945 0.27634638977050779, -32.009251554996879   6.7082823057518937  -22.211524789346036  -12.752866205939068  -1.3002544934864497   1.7661754024483884 -0.41092019016039188,  0.52426105737686157 0.0057196523994207382   0.21153543889522552,-0.50984501838684082  0.51227527856826782 -0.49271321296691895 -0.48462957143783569,-0.019502706825733185 -0.039924450218677521   0.02141977846622467, 0.010457374155521393   -0.8987506628036499 -0.011179483495652676,   0.24975840747356415 -0.0090488046407699585   0.066300608217716217 -0.0090488046407699585     0.2405419796705246   0.013785630464553833   0.066300608217716217   0.013785630464553833    0.17571783065795898,  0.31264434661171236  -0.26290201878342856   0.50277705434087494   0.24190115321687244 -0.071249116762928111  0.067460382411788089                     0,0.044997218996286392
