DesiredFlux,0.94,HitTime,1714656573.144829,DesiredPos, 0.53081846237182617 -0.31433522701263428  0.19895733892917633
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714656572.5461428, 0.58063024386733419   1.2123542119343991 -0.14842444565324858  -1.3829391672410696  -1.0559891146290314   1.7841863568530156 -0.54983983395420633, 3.1919304383528273e-06 -4.0700555884972376e-06  2.1103085363354898e-06  6.0521694426110567e-05  -5.586158048536527e-06  1.1150921740481588e-06 -1.3851168578290159e-06,-0.94906748199462898    69.06845030212402   5.6404718475341795  -13.211286300659181   1.5080822181701661  -1.9557848358154297 0.016687583923339844,  -2.297967122391575   -5.790222100815825   -1.214633976607427   1.7757790857426052  -1.8896013665245781 -0.13662937019260657  0.52613104782607301, 0.52850604057312012 0.049633592367172241  0.18058811128139496, 0.48390769958496094 -0.49200102686882019   0.5055088996887207  0.51790839433670044,1.3945692444394808e-05 8.5639230746892281e-06 7.7376835179165937e-06,0.0028011989779770374   -1.0289297103881836  0.022250395268201828,  0.25373470783233643 -0.014796720817685127  0.062620088458061218 -0.014796720817685127   0.23716495931148529  0.027648733928799629  0.062620088458061218  0.027648733928799629    0.1727568507194519,  0.52590230497173707  -0.54174418506658384   0.95487029568008808   0.56297082949363642 -0.047121646368886161 -0.080583256409028081                     0,1.6533844245714135e-05
IIWA_14,1714656572.5511422, 0.58063018387164123   1.2123542119343991 -0.14842450564894161  -1.3829387478166337  -1.0559890188104555   1.7841862370797958 -0.54983989384081633, 1.5371663191358537e-07 -3.2560444707977903e-06 -7.1158089192073087e-07  6.5194332974851684e-05 -6.3618340032821412e-07 -3.8988550522263942e-06 -3.5035578864365656e-06,-0.93877948760986329   69.073594299316412   5.6539143447875979  -13.218007549285888   1.5027999687194824   -1.953448574066162 0.016687583923339844, -2.2979702137522686  -5.7900718544067038  -1.2145545645437963   1.7756467187447145  -1.8895418102958761 -0.13660828618965848  0.52610679525684279, 0.52850621938705444 0.049633655697107315  0.18058818578720093, 0.48390766978263855 -0.49200117588043213   0.5055088996887207  0.51790827512741089,1.8207207176601514e-05 9.4046745289233513e-06 9.2001309894840233e-06,0.0028010488022118807   -1.0289297103881836  0.022250333800911903,  0.25373464822769165 -0.014796741306781769  0.062620125710964203 -0.014796741306781769    0.2371649444103241  0.027648739516735077  0.062620125710964203  0.027648739516735077   0.17275691032409668,  0.52590307886468679  -0.54174434037967956   0.95487078250311441    0.5629712794670283 -0.047121739686240005 -0.080582972053377944                     0,2.051679439318832e-05
IIWA_14,1714656572.5561416, 0.58063018387164123   1.2123542119343991 -0.14842450564894161  -1.3829383283921979  -1.0559890188104555   1.7841864767353186 -0.54983971407190335, 1.2297330553086831e-07 -2.6048355766382325e-06 -5.6926471353658468e-07  6.8932443813844572e-05 -5.0894672026257129e-07  6.4671368686258352e-06    4.38791020996613e-06,-0.94135148620605469   69.091598289489752   5.6552585945129392  -13.215319049835205   1.5080822181701661  -1.9551173324584961 0.016687583923339844,-37.662226688876324  4.8904027861471091 -20.990007215483335 -12.149577710271693 -0.5495570096274851 -2.3974261582523897 0.52607285446941587, 0.52850633859634399 0.049633827060461044  0.18058818578720093, 0.48390772938728333 -0.49200126528739929  0.50550901889801025  0.51790803670883179,1.9473582142381929e-05 1.4341820133267902e-05 7.6103283390693832e-06,0.0028009500820189714   -1.0289297103881836  0.022249959409236908,  0.25373461842536926 -0.014796759933233261    0.0626201331615448 -0.014796759933233261   0.23716491460800171  0.027648771181702614    0.0626201331615448  0.027648771181702614   0.17275695502758026,  0.52590386561046643    -0.541745124491122   0.95487206161237737   0.56297217837641966 -0.047121617348544476 -0.080582281295704661                     0,2.3157172108767554e-05
IIWA_14,1714656572.5611413, 0.58062431160228978   1.2123592452457956 -0.14843906649455868  -1.3829545669355583   -1.055986430138109   1.7841756310411807 -0.54983983395420633,-0.00023479239541349177  0.00019924858740120232 -0.00058288923645375562 -0.00059439577936548312  0.00010313973648306423 -0.00042865405602091446 -1.2849639509691254e-06,-0.82818354797363281   68.944994369506844   5.8622730522155759  -12.959911602020263   1.4816709709167479  -1.9300859565734862 0.014685073852539062, -37.662166433146595   4.8904206460452446   -20.98997565024565  -12.149602991759743 -0.54958162999256721  -2.3973864715162954  0.52605616698576441, 0.52850645780563354 0.049633853137493134  0.18058821558952332, 0.48390772938728333 -0.49200144410133362  0.50550895929336548  0.51790785789489746,2.0869947547907941e-05 1.2560263712657616e-05  6.727132586092921e-06,0.0028007151558995247   -1.0289297103881836  0.022249724715948105,  0.25373455882072449 -0.014796777628362179  0.062620170414447784 -0.014796777628362179   0.23716491460800171  0.027648767456412315  0.062620170414447784  0.027648767456412315   0.17275699973106384,    0.52590454662393427    -0.54174504152548764     0.95487227780122197     0.56297235628921527   -0.047121906246339051   -0.080581880186336718 -1.7763568394002505e-12,2.3080385290086269e-05
IIWA_14,1714656572.5661137, 0.58050416979065023   1.2124452320548043 -0.14882340054040183  -1.3833065436679004  -1.0559469301955438   1.7839137756937624 -0.54983971407190335,-0.0049935063819128494  0.0035988712302657704  -0.015839673222888956  -0.014554585917176685  0.0016625094917963102  -0.010817137141548486  3.767320958166729e-06,  6.4840084609985356   62.386397949218754   11.305140190124511  -6.2937772140502926   1.0916648864746095  -1.4388034858703613 0.041051456451416016, -37.662180605078021    4.890501745811398  -20.989923877607254  -12.149652109398099 -0.54956286943437727  -2.3974328599101433  0.52600174345144657, 0.5285065770149231  0.0496339350938797 0.18058829009532928,   0.483907550573349 -0.49200159311294556  0.50550907850265503  0.51790779829025269,2.0623203454306349e-05 1.3361755009100307e-05 8.7461585280834697e-06,0.0028005675412714481    -1.028929591178894  0.022249694913625717,   0.2537345290184021 -0.014796803705394268  0.062620192766189575 -0.014796803705394268   0.23716489970684052  0.027648789808154106  0.062620192766189575  0.027648789808154106   0.17275704443454742,  0.52590550587972018  -0.54174551566887885   0.95487328305932095   0.56297305586561208 -0.047122021158862992 -0.080581932456524896                     0,2.3823453375371173e-05
IIWA_14,1714656572.5711432, 0.58046378298084222   1.2124375023187965 -0.14927382758702412  -1.3835722339400176  -1.0559524908145406   1.7834197259968987 -0.54983971407190335,-0.0056102774978503515  0.0025699075439041727  -0.030688820443202869  -0.022271279618429458  0.0011075828335644956  -0.028415697587787982 3.0138567665333836e-06,  10.768958122253419   62.311809989929202   13.505676990509032  -6.7266256256103514   0.5431913185119629  -1.8876994934082032 0.041051456451416016, -37.646946582689544   4.8828955806841936  -20.979724995048397  -12.140147493167364 -0.55255985394834761  -2.3985001816332061   0.5282310486374947, 0.52850359678268433 0.049622360616922379  0.18058544397354126,0.48390495777130127 -0.4919981062412262 0.50550669431686401 0.51791584491729736,-0.00010276282409904525 -0.00045227108057588339 -0.00010670031770132482,0.0028004150371998549    -1.028929591178894  0.022249598056077957,  0.25373542308807373 -0.014795263297855854  0.062620013952255249 -0.014795263297855854   0.23716647922992706  0.027646202594041824  0.062620013952255249  0.027646202594041824    0.1727549284696579,  0.52584373674680052  -0.54168274200350197    0.9547719009699307   0.56290781662760025 -0.047125429816219366 -0.080608529835934917                     0,0.00043467775685712695
IIWA_14,1714656572.5761442, 0.58044137240783122   1.2124460710127591 -0.14989095528474447  -1.3839998909848861  -1.0559499023167269   1.7826794604117118 -0.54983899499625155,-0.0053846449187202909  0.0023986737936271857   -0.04923616426337625   -0.03492330548948229 0.00098960617939756546  -0.052343181477707057 3.1174111485247341e-05,  13.791056472778321   62.057182128906256   14.605273265838623  -7.5224214630126953   1.4209251022338867  -1.3713856468200682 0.027033885955810546, -37.306005173946154   4.7404152385056486  -20.723423046980002  -11.946530626463968 -0.60733561498334487  -2.4233875319813221  0.56867174088868377, 0.52845597267150879 0.049354851245880127  0.18054738640785217, 0.48382943868637085 -0.49192854762077332  0.50547891855239868  0.51807957887649536,-0.0019902917556464672  -0.011062287725508213 -0.0016053959261626005,0.0028002550825476646   -1.0289301872253418  0.022249383851885796,  0.25374814867973328 -0.014759717509150505  0.062621630728244781 -0.014759717509150505   0.23720327019691467  0.027584880590438843  0.062621630728244781  0.027584880590438843     0.172713503241539,  0.52441720496076982  -0.54021440856999448   0.95238371291017643   0.56139557256784656 -0.047162339951611898 -0.081211960272220551                     0,0.010370051488280296
IIWA_14,1714656572.581141, 0.58043364267182329   1.2124422360880602 -0.15068790621879316  -1.3846601618036356  -1.0559378221948421   1.7816735645501005 -0.54983869545411868,-0.0046169053752935585   0.001765542046945393  -0.071266968772648612  -0.054349477141567071  0.0012748898189102703  -0.082110379646616105 3.6920974503219065e-05, 15.486003547668458   62.23722203063965  13.965410396575928 -7.1393102912902835 0.77561029434204098 -1.3710518951416015 0.03537767791748047, -37.127374682953025   4.7074824126170514  -20.542252190022715  -11.893069620930111 -0.61577296321864605  -2.3862071677248875   0.5772724215340721, 0.52848821878433228 0.049130924046039581  0.18053582310676575, 0.48381784558296204 -0.49190884828567505  0.50550252199172974   0.5180860161781311,-0.00030796055216342211   -0.017808301374316216  -0.0017425358528271317,0.002804506802931428  -1.0289437770843506  0.02225792407989502,  0.25374108552932739 -0.014721738174557686  0.062635846436023712 -0.014721738174557686   0.23723442852497101   0.02751932293176651  0.062635846436023712   0.02751932293176651   0.17269708216190338,  0.52293017776872119    -0.538757014180824   0.94987114264366568   0.55989525344557478 -0.047040777612750162 -0.081283850215108089                     0,0.016344966366887093
IIWA_14,1714656572.586158, 0.58043382244073627   1.2124434344747579 -0.15171687184245727  -1.3854914476183111  -1.0559515321051824    1.780379447961058 -0.54983791649185687,-0.0036863335437157317  0.0014603691054624716  -0.098172199964683418  -0.076731014300274014 0.00047151544151495506   -0.11745296727899483 6.0695270074769244e-05,  14.534364067077638   62.018602149963385   13.603807220458984  -5.9294855384826661  0.69021392822265626  -1.3289991836547852 0.040383953094482422, -36.907850464348144   4.6304372412213484  -20.330870796647353  -11.801420001901743 -0.63830928436453338  -2.3293683374578142  0.60181818614787796, 0.52851408720016479 0.048826683312654495   0.1804918497800827, 0.48383644223213196 -0.49185597896575928  0.50552570819854736  0.51809626817703247,0.00077888765372335911  -0.026419674977660179 -0.0031413265969604254,0.0028706849552690983   -1.0289530754089355  0.022370118647813797,  0.25374096632003784 -0.014663812704384327  0.062649443745613098 -0.014663812704384327   0.23727832734584808  0.027426512911915779  0.062649443745613098  0.027426512911915779   0.17266540229320526,   0.52067926717658253   -0.53672429474715955    0.94624439002721772    0.55775288527293299  -0.046816775726377102  -0.081311668948202964 2.6645352591003757e-12,0.024309886619448662
IIWA_14,1714656572.5911422, 0.58042351594425401   1.2124424757435832 -0.15297479597513347  -1.3864483879761516  -1.0559455880373489    1.778769367327127 -0.54983773672294389,-0.0033613266942629726  0.0011299460373831089    -0.1288547252787946  -0.099662425753836853 0.00061497506655182593   -0.15836559918043497  5.574697257893078e-05, 13.801344467163087  61.802554267883302  14.301472827911377 -6.0061077728271481  1.0027470207214355 -1.7284999427795411    0.04272021484375,  -36.63444122725565   4.5098093527021366  -20.082500746522111   -11.66119703824921 -0.67625868175098225  -2.2617702527541255  0.64495749334436625, 0.52852004766464233 0.048425160348415375  0.18042202293872833, 0.48388764262199402 -0.49176090955734253  0.50554150342941284  0.51812326908111572,0.00084117258666083217   -0.03720354288816452  -0.005284598097205162,0.0028329566121101379   -1.0289690494537354  0.022395666688680649,  0.25375083088874817 -0.014583667740225792  0.062660828232765198 -0.014583667740225792   0.23733685910701752  0.027303015813231468  0.062660828232765198  0.027303015813231468   0.17261491715908051,  0.51757698377308259  -0.53403926574535632   0.94137535891380963   0.55486308686170105 -0.046491649936974966  -0.08132303343710845                     0,0.034327533096075058
