DesiredFlux,1,HitTime,1714657020.6848478,DesiredPos,  0.5410805344581604 -0.32268965244293213  0.19869981706142426
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714657020.1210573, 0.56919861150163009   1.0779095443390982 -0.14940739185327612  -1.4951161262967094  -1.0613632246004245   1.6908861100603281 -0.57102974113965244, 5.0997704839385934e-06 -2.7355403257935872e-06 -6.5532787848194516e-06 -2.2019245900021084e-06  3.9564117704826945e-06 -3.8960394948982792e-05 -0.00025315218847441579,-1.2062673416137697  66.509311698913578  5.7399463272094726 -13.614561218261718  1.3962746047973633 -2.0889517555236816 0.20625853729248048,-1.4251632096268221  3.6485585454066971 -2.3593482985899619  1.4558349485354014 -1.5864421899354664 -1.4038773924898744 0.19535790999521419, 0.52474796772003174 0.033609196543693542  0.21474531292915344, 0.51515626907348633 -0.50799530744552612  0.48776191473007202  0.48851108551025391, 5.6814255913195666e-06 -3.5340679005457787e-07 -7.7489066825364716e-06, 0.027607949450612068   -1.0940731763839722 -0.027122799307107925,  0.25057891011238098 -0.014773166738450527  0.064563378691673279 -0.014773166738450527   0.23689372837543488  0.023281477391719818  0.064563378691673279  0.023281477391719818   0.17813077569007874,  0.52631912038147988  -0.45124556771014568   0.86569946909875739   0.42751133574103761 -0.077877718005936458  0.077344866576289917                     0,8.7828057075967081e-06
IIWA_14,1714657020.1260185, 0.56919861150163009   1.0779095443390982 -0.14940715208867011  -1.4951160664100993  -1.0613632246004245   1.6908859901780249 -0.57103034044208434, 4.0798163871508749e-06   -2.18843226063487e-06   4.347961212248943e-06  6.3392473261255804e-07  3.1651294163861559e-06 -3.5963608087010048e-05 -0.00022649384805564746,-1.2139833374023439  66.496451705932614  5.7332250785827634 -13.621282466888427  1.4006764793395996 -2.0892855072021486 0.20792729568481444, -40.13321008183938  7.4943748663559298  -29.56585197412285 -14.895771870556148 -1.0028599159795026  1.7394224798128946 0.19532531497589753, 0.52474796772003174 0.033609218895435333  0.21474532783031464,0.51515644788742065 -0.5079951286315918  0.4877617359161377 0.48851126432418823, 4.0477793845639098e-06  5.4114951808514888e-07 -5.5927762332430575e-06, 0.027607802301645279   -1.0940731763839722 -0.027122775092720985,  0.25057891011238098 -0.014773165807127953  0.064563386142253876 -0.014773165807127953   0.23689372837543488   0.02328147366642952  0.064563386142253876   0.02328147366642952   0.17813077569007874,    0.52631905500621912    -0.45124556286779693     0.86569927169932726     0.42751133368845728   -0.077877709218299174     0.07734479179610787 -2.6645352591003757e-12,6.3256597968575079e-06
IIWA_14,1714657020.1310921, 0.56919861150163009   1.0779095443390982 -0.14940727197097312  -1.4951161262967094  -1.0613632246004245    1.690885810409112 -0.57103123917756604, 3.2638531097206999e-06 -1.7507458085078962e-06 -1.3169231502530981e-06 -1.8883246185241983e-06  2.5321035331089249e-06 -3.5961642984282534e-05 -0.00021714449771261779,-1.2139833374023439  66.504167701721201  5.7372578277587891 -13.625315216064454  1.3980353546142579 -2.0876167488098143 0.20659228897094725,-40.133325367152572  7.4944085601237136 -29.565999849893608 -14.895849612186121 -1.0028475890903017  1.7394591894027731 0.19529012836807924, 0.52474796772003174 0.033609315752983093  0.21474525332450867, 0.51515674591064453 -0.50799500942230225  0.48776155710220337  0.48851129412651062, 3.7851598335691961e-06  4.3527907109819353e-06 -7.3037003858189564e-06,  0.02760767750442028   -1.0940729379653931 -0.027122480794787407, 0.25057891011238098  -0.0147731713950634 0.064563371241092682  -0.0147731713950634  0.23689371347427368 0.023281490430235863 0.064563371241092682 0.023281490430235863  0.17813077569007874,  0.52631932925528702  -0.45124591638678879   0.86569987680906735   0.42751162907173068 -0.077877696790018547  0.077345428018738005                     0,8.5013280113344081e-06
IIWA_14,1714657020.1360376,  0.5691922000346229   1.0779113419191446 -0.14942081419880548  -1.4951339228736766  -1.0613621700724907   1.6909002513724261 -0.57103183847999794,-0.00025384759780000895  7.0502605207988607e-05 -0.00054274265181497681 -0.00071337373838324322  4.4206800181032135e-05  0.00054886921817433787 -0.00019768769544620908,-1.1033873977661133  66.465587722778324  5.9375510368347166 -13.353776771545411  1.3936334800720214 -2.1300032119750978 0.20959605407714843,  -40.1332261932207  7.4943723983989985  -29.56591427822304 -14.895789816995919 -1.0028545508007121  1.7394483223964534 0.19531429949507409, 0.52474802732467651 0.033609263598918915  0.21474523842334747, 0.51515698432922363 -0.50799477100372314  0.48776131868362427  0.48851150274276733, 3.5518812637747033e-06  1.3888792409488815e-06 -6.4271212067978922e-06, 0.027607651427388191   -1.0940730571746826 -0.027122402563691139,  0.25057891011238098 -0.014773160219192505  0.064563378691673279 -0.014773160219192505   0.23689372837543488   0.02328147180378437  0.064563378691673279   0.02328147180378437   0.17813077569007874,  0.52631889062126902  -0.45124553492659203   0.86569915053669177   0.42751125315554361 -0.077877668412718037  0.077345494825742378                     0,6.8265972004155628e-06
IIWA_14,1714657020.1410615, 0.56905605922606262   1.0779365088033768 -0.14978932901664088  -1.4955373118788775   -1.061357472169743    1.691189790259775 -0.57103495432904505, -0.0056487104206512512   0.0010630774534525051    -0.01517478683486786   -0.016706259198741455  0.00022328155005314057    0.012020650868497478 -0.00028278411824130234, 6.1985166168212897  63.656965255737305  11.170715217590333 -6.5572501602172855 0.88565715789794919 -3.4112759056091306 0.30805279922485351,-40.115100366877812  7.4888177511083764 -29.550261015016236 -14.883570060905331 -1.0053389877417884  1.7312584953691454 0.19705712188611099, 0.52474147081375122 0.033597402274608612  0.21474823355674744, 0.51514619588851929 -0.50799047946929932  0.48776045441627502  0.48852825164794922,-0.00025950264534913003  -0.0004733794485218823  0.00011457658547442406, 0.027607670053839684   -1.0940732955932617 -0.027122447267174721,  0.25057968497276306 -0.014772475697100163  0.064563259482383728 -0.014772475697100163   0.23689498007297516  0.023280106484889984  0.064563259482383728  0.023280106484889984   0.17812882363796234,   0.52628889967554215   -0.45120978749757512    0.86564535803113074    0.42747657511732484   -0.07788590378687843   0.077276021986705246 6.2172489379008766e-12,0.00050409982213750482
IIWA_14,1714657020.1460617, 0.56899398091889541   1.0779206896844522 -0.15022903025142811  -1.4958539949994181  -1.0613674430612268   1.6914426573797117 -0.57104190521187426, -0.0070021006232090623  0.00021769720577940847    -0.02972787885938357   -0.026032332180615639 -0.00022021041930954675     0.01973120549226445 -0.00050426260776120974, 10.997865997314454    61.7742622833252  14.525962532043456 -5.8313553085327152 0.77825141906738282 -2.5311727294921873 0.13583693313598633,-39.695619136035631  7.3764342312808688 -29.169195588415882  -14.61590480346522 -1.0534248050710198  1.5484028594888519 0.23226183908694725,0.52460795640945435 0.03331301361322403 0.21483208239078522,  0.5148882269859314 -0.50789844989776611  0.48776260018348694  0.48889359831809998,-0.0055505800992250443  -0.011750675737857819   0.003448359202593565, 0.027607588097453117   -1.0940731763839722 -0.027122238650918007,  0.25059095025062561 -0.014753987081348896  0.064564861357212067 -0.014753987081348896   0.23692591488361359  0.023243995383381844  0.064564861357212067  0.023243995383381844   0.17808808386325836,   0.52549289684922229   -0.45029741497071285    0.86422158358612222    0.42659802953615156  -0.078035307227608541   0.075692777796732003 2.6645352591003757e-12,0.012281470000743866
IIWA_14,1714657020.1510608,  0.5689528151468255   1.0779140983394488 -0.15080631033699618   -1.496302324814778   -1.061363991672631   1.6918600679237907 -0.57104508094753126, -0.0072483113813639572 -8.9496035510851202e-05   -0.046873506510229493    -0.03875905835888914 -3.8112791615243602e-05    0.032481386156974226 -0.00053043951248903532, 14.524076072692871  62.882793678283697  15.434675346374512 -6.9726233253479002 0.99834514617919923 -3.0988843345642088 0.14117695999145508,-39.416965332248061  7.3384933947655657 -28.855435110959547  -14.45959891825356 -1.0701055078820609  1.4071426997927148 0.24500468546653484, 0.52451813220977783 0.033062323927879333  0.21495476365089417,0.51462465524673462 -0.5078279972076416 0.48781338334083557 0.48919349908828735,-0.0080388374626636505  -0.019420688971877098  0.0076711829751729965, 0.027607414871454239   -1.0940737724304199 -0.027122143656015396,   0.2505858838558197 -0.014736496843397617  0.064575456082820892 -0.014736496843397617   0.23695507645606995  0.023208405822515488  0.064575456082820892  0.023208405822515488   0.17806485295295715,    0.5247410256341567   -0.44945483328540092     0.8628174786613485    0.42580762132971017  -0.078095624515661655   0.074244953023772098 2.6645352591003757e-12,0.020437706261873245
IIWA_14,1714657020.1560407, 0.56894005188125496   1.0779193714154516 -0.15155130969144695  -1.4969585210533056  -1.0613657172796622   1.6923273928118987 -0.57104777748122559, -0.0063091797279126362  0.00013932621170059781   -0.067298779386214425   -0.057255096228216909 -9.9514514542857387e-05    0.044678104449898073 -0.00053221295776463627, 15.213371696472169  62.358105964660645   14.39422605895996 -7.2589485168457033 0.96665164947509763 -2.9944200592041015 0.23629618835449218,-39.091321546523346  7.2754525699164185 -28.475976480870642 -14.248775035051066 -1.0974970295300783  1.2133760713965134 0.26815695316848553, 0.52437275648117065 0.032746519893407822  0.21512062847614288, 0.51426082849502563 -0.50771087408065796  0.48788610100746155  0.48962497711181641,-0.012254524976015091 -0.028151931241154671  0.012783786281943321, 0.027629517018795013   -1.0940850973129272 -0.027138030156493187,  0.25058507919311523 -0.014714006334543228   0.06458573043346405 -0.014714006334543228   0.23699299991130829  0.023166341707110405   0.06458573043346405  0.023166341707110405   0.17802877724170685,  0.52377273720072282  -0.44846797973452368   0.86109102845721708   0.42486463284063802 -0.078143073206859981  0.072201158350715389                     0,0.030378710478544235
IIWA_14,1714657020.1610615, 0.56893831418781837   1.0779096642214012 -0.15250878935602633  -1.4978168912145629  -1.0613668678007053   1.6929324164330901 -0.57105041401922696, -0.0051168515197936131 -0.00027682679265379393   -0.092138210092146539   -0.080138883432862601 -0.00012563245335840071    0.059943428407575015 -0.00053123188626634835, 14.369756156921387  61.228998580932618  13.367219268798829 -6.9739675750732424  0.7236681747436523 -2.6196169242858889  0.2359624366760254,-38.712202270114886  7.1672383480741209 -28.038114665470403 -13.974008545534454 -1.1365741556783349 0.98955123409851331  0.3098097601555716,0.52416706085205078 0.03234526515007019 0.21530723571777344, 0.51383119821548462 -0.50752544403076172  0.48797479271888733  0.49017953872680664,-0.018049240112304688 -0.038541655987501144  0.017715213820338249, 0.02810157835483551   -1.094075083732605 -0.02752101793885231,  0.25059476494789124 -0.014678169973194599   0.06459365040063858 -0.014678169973194599   0.23704315721988678  0.023109901696443558   0.06459365040063858  0.023109901696443558   0.17797109484672546,   0.5222759103427066  -0.44717684583872597   0.85866674481316352   0.42357490623690097 -0.078110021157762333  0.069654637110616591                     0,0.042106028646230698
IIWA_14,1714657020.1660635, 0.56892704896016144   1.0779052899899633 -0.15370888963975315  -1.4988544254231064  -1.0613674430612268   1.6936938940955075 -0.57105149252362153, -0.0045440903221121457 -0.00039643069164117789     -0.1217145794227904     -0.1056124750880332 -0.00012351638354433708    0.078413849222756377 -0.00046812568479585301, 13.778196479797364  61.396178489685063  14.157638107299805 -5.7896835670471187 0.90238428115844727 -2.9490298309326173 0.19991725540161132,-38.248872538251291  7.0460785930401295  -27.49460210017206 -13.630054055127177  -1.186025889885352 0.69939424323913002  0.3605782998876475, 0.52389830350875854 0.031836237758398056  0.21555426716804504, 0.51328027248382568 -0.50728458166122437  0.48809120059013367  0.49088969826698303,-0.025217654183506966 -0.051142007112503052  0.024097390472888947, 0.028497012332081795   -1.0940687656402588 -0.027968006208539009,  0.25060734152793884 -0.014632364735007286   0.06460358202457428 -0.014632364735007286    0.2371070384979248  0.023038329556584358   0.06460358202457428  0.023038329556584358   0.17789742350578308, 0.52036554574197424 -0.44555011609315187  0.85558412644015647   0.4219389337434265 -0.07805551580997161 0.066392300563045126                    0,0.056541554629802704
