DesiredFlux,1,HitTime,1714657031.1698394,DesiredPos, 0.53533828258514404 -0.30432325601577759  0.19892947375774384
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714657030.5910597, 0.56369761262477502   1.2131662630208035 -0.14804310768323262  -1.3390642607451031  -1.0646005951637774   1.7961596761503535 -0.61032439676932115, 6.3517161974485143e-05  5.3355444368788541e-06 -3.4997078008303312e-06  5.4904685095993616e-07  -6.379039857083306e-06 -9.1709830923375969e-06  8.3994585220009926e-06,-2.1321868362426759  69.490258071899419  5.8098473129272463  -13.77990393447876  1.2571753692626952 -1.9344247283935547  0.2443062286376953, 0.75843739603747728  -4.2623818803320308  0.74005821511315917   1.2026093106796456 -0.95575967874255396  -0.2120513610732237    1.574242432631088,0.54252153635025024 0.04897400364279747 0.18767648935317993, 0.48852205276489258 -0.49139693379402161  0.49479064345359802  0.52445924282073975, 2.1012124307162594e-06  3.8580579712288454e-05 -1.9066853838012321e-06,-0.0062296199612319469    -1.0944621562957764  0.0097592882812023163,  0.24877637624740601 -0.017014814540743828  0.065501481294631958 -0.017014814540743828   0.23630817234516144  0.028377018868923187  0.065501481294631958  0.028377018868923187   0.17753548920154572,    0.6092602491172272   -0.54565220555247151     1.0183450589584808    0.59735089283829979  -0.067296815080553074  -0.080771102291876673 8.8817841970012523e-13,3.5343950003152713e-05
IIWA_14,1714657030.5960398,  0.5636978522802979   1.2131661431385006 -0.14804316756984259  -1.3390642607451031  -1.0646004993452014   1.7961596162637434 -0.61032451665162424, 6.0399950494435962e-05 -5.2685656943894633e-07 -5.1952306397273943e-06  4.3923748076794895e-07  -1.270488847165638e-06 -9.7322508784843223e-06  1.9242746942178732e-06,-2.1553348236083987  69.482542076110846  5.8004375648498536 -13.798723430633546  1.2589361190795898 -1.9344247283935547  0.2443062286376953,-40.377521603436634  4.6437729275908399 -23.081401699063065 -11.903941253768293 -1.1989835690609267  -2.691328446014785  1.5742671084385245,0.54252147674560547 0.04897405207157135 0.18767645955085754, 0.48852205276489258 -0.49139675498008728  0.49479079246520996  0.52445924282073975,-9.9836404388042865e-07  3.2812396966619417e-05 -2.6895111204794375e-06,-0.0062296693213284016    -1.0944621562957764  0.0097592463716864586,  0.24877642095088959 -0.017014782875776291  0.065501466393470764 -0.017014782875776291   0.23630817234516144  0.028377018868923187  0.065501466393470764  0.028377018868923187   0.17753544449806213,    0.60925906648368056    -0.54565240793014169      1.0183443868587716     0.59735082235690129   -0.067296130175975577   -0.080771322072514806 -2.6645352591003757e-12,3.0093076929915696e-05
IIWA_14,1714657030.6010888,  0.5636978522802979   1.2131660832518907 -0.14804316756984259   -1.339064440514016  -1.0646004993452014   1.7961595562680506 -0.61032451665162424, 4.8319960395548769e-05 -2.8169496512836179e-06  -4.156184511781916e-06 -6.8393665300601313e-06 -1.0163910777325103e-06 -1.0185628417115243e-05  1.5394197553742986e-06,-2.1501908264160159  69.485114074707042  5.7977490653991701 -13.808133178710937  1.2545342445373535 -1.9340909767150878 0.24263747024536134,-40.377456287157315  4.6438151301897079 -23.081353644515648 -11.903944120630772 -1.1989915717755339  -2.691327925654635  1.5742739674891284, 0.54252147674560547 0.048974171280860901  0.18767650425434113, 0.48852214217185974 -0.49139672517776489  0.49479079246520996  0.52445918321609497,-7.3768796937656589e-07  3.1086427043192089e-05 -2.0629194352750346e-07,-0.0062297177501022816    -1.0944621562957764   0.009759201668202877,  0.24877640604972839 -0.017014786601066589  0.065501466393470764 -0.017014786601066589   0.23630817234516144  0.028377028182148933  0.065501466393470764  0.028377028182148933   0.17753545939922333,    0.60925924921129138    -0.54565281899865425      1.0183446591272016     0.59735116997661208   -0.067295993706473212   -0.080770975901423014 -2.6645352591003757e-12,2.8410418963176198e-05
IIWA_14,1714657030.6060853, 0.56369054196872592   1.2131702777144155   -0.148060065302245  -1.3390800199774178  -1.0646008827940381   1.7961473923049118 -0.61032451665162424,-0.00025375649456248249  0.00016552494127355957 -0.00067923424370560325 -0.00062865002929623679  -1.615106632949527e-05 -0.00049470702828348834  1.2315358042994389e-06,-2.0395948867797853  69.384806129455569  6.0424025154113767 -13.550037231445312  1.2615772438049315 -1.9023845672607422 0.24597498703002929,-40.377172472133054  4.6437551330844018 -23.081230830911075 -11.903829110535076 -1.1990122453462155 -2.6913598646438612  1.5742872946843463, 0.54252147674560547 0.048974145203828812  0.18767650425434113,0.48852214217185974 -0.4913966953754425 0.49479076266288757 0.52445924282073975,-2.0796244371013017e-06  2.3739601601846516e-05 -2.0767743080796208e-07,-0.0062297247350215912    -1.0944620370864868  0.0097592249512672424,  0.24877642095088959 -0.017014781013131142  0.065501458942890167 -0.017014781013131142   0.23630817234516144  0.028377022594213486  0.065501458942890167  0.028377022594213486   0.17753545939922333,    0.60925899396924166    -0.54565269279649442      1.0183444004967512     0.59735094022705937   -0.067295971723169146   -0.080770976811805895 -2.6645352591003757e-12,2.1773334083263762e-05
IIWA_14,1714657030.6110828, 0.56354019985237458   1.2132406850600226 -0.14849790896129272  -1.3394448797485503  -1.0646034714663846   1.7958317877978491 -0.61032439676932115,  -0.006216689849703705   0.0029487137773003495   -0.018057133756873539   -0.015097310868738664 -0.00011646774692287051   -0.013019945905134571  5.7805207668224725e-06,  6.563740417480469  64.017045059204108  12.229984001159668 -7.6971739273071291  1.3047156143188476 -1.2295411834716796 0.24530748367309571,-40.359939669143763  4.6370375902548906 -23.069012352795188 -11.894896477054504 -1.2009891201788641 -2.6925009902114425  1.5760211083335285, 0.54251992702484131 0.048961270600557327  0.18767450749874115, 0.48851871490478516 -0.49139326810836792  0.49478977918624878  0.52446657419204712,-6.2946899561211467e-05 -0.00049597717588767409 -8.0230820458382368e-05,-0.0062296693213284016    -1.0944621562957764  0.0097592463716864586,  0.24877704679965973 -0.017012966796755791    0.0655016228556633 -0.017012966796755791   0.23630997538566589  0.028374314308166504    0.0655016228556633  0.028374314308166504   0.17753346264362335,   0.60918476224003371   -0.54558600002518887     1.0182326154861698    0.59728034888983927  -0.067294879248613881  -0.080798460204256628 8.8817841970012523e-13,0.00046262328396551311
IIWA_14,1714657030.6160514, 0.56348405370116872   1.2132352921017169   -0.148989322120155  -1.3397496385614749  -1.0646195782373866   1.7952371904463595 -0.61032427699610126,  -0.007219197927997377   0.0021432526896120589   -0.034102233359990054   -0.024268201211974014 -0.00073744503762052474   -0.034199850783691248  9.4153454093637907e-06, 12.057529418945313  63.183717514038086  14.171080604553223 -7.2898662605285649 0.59601381301879885 -2.0375539970397951 0.25999255752563477,-39.970013362083201  4.5001649327232354  -22.77351175201575 -11.702274195053869 -1.2424495236843953 -2.7152286789425308   1.611613722660435, 0.54249405860900879 0.048659540712833405  0.18764427304267883, 0.48843446373939514 -0.49132248759269714  0.49477910995483398  0.52462142705917358,-0.0010884084040299058  -0.012466303072869778 -0.0012711477465927601,-0.0062296497635543346    -1.0944621562957764  0.0097591755911707878,  0.24878624081611633 -0.016969799995422363  0.065508700907230377 -0.016969799995422363   0.23635277152061462  0.028308071196079254  0.065508700907230377  0.028308071196079254   0.17749194800853729,    0.60741884720982853    -0.54398628183349729       1.015518883649591     0.59559177046342171   -0.067252125306005439   -0.081408836429375242 -1.7763568394002505e-12,0.011491685174405575
IIWA_14,1714657030.6210825, 0.56346272185071855    1.213239246908719 -0.14964318147189742  -1.3401810706444324   -1.064624659588971   1.7942972077075314 -0.61032409722718828, -0.0066286323604046243   0.0018727944317738267   -0.053436160757688825   -0.036671844287878556 -0.00079321009347204394   -0.064959190180077619  1.4723032846606414e-05, 14.416052131652833   62.80563372039795  14.867401962280274 -7.9794663696289065  1.3769063568115234 -1.1928284988403319 0.25331752395629881,-39.765502992233266  4.4522653207701861 -22.582794096170538 -11.640975418867749 -1.2512530560175297  -2.663007050034996  1.6237069947863498, 0.54253596067428589 0.048406116664409637  0.18761749565601349, 0.48844131827354431 -0.49129197001457214  0.49480724334716797  0.52461707592010498,0.00079922162694856524  -0.020111972466111183 -0.0020819674246013165,-0.0062296534888446331    -1.0944627523422241  0.0097591821104288101,  0.24878112971782684 -0.016921978443861008  0.065523236989974976 -0.016921978443861008   0.23638969659805298  0.028235798701643944  0.065523236989974976  0.028235798701643944   0.17747071385383606,    0.60551780408690803    -0.54238149060559238      1.0125988469393832     0.59388584367692232   -0.067067107449858554   -0.081410786751945352 -2.6645352591003757e-12,0.018487164750695229
IIWA_14,1714657030.626081, 0.56346182300615377   1.2132360111773688 -0.15047590532879349  -1.3408123396542508  -1.0646215914746788   1.7930642706901745  -0.6103239773448853, -0.0053388596709148355   0.0013688062914113434   -0.076057882881993527    -0.05458823582304162 -0.00051184350309036364    -0.10128483283833964  1.6573718396227162e-05, 15.645467460632325  62.875077682495117   13.61590546798706 -8.1138913421630861 0.90942728042602539 -1.4047608146667481 0.25865755081176756,-39.559992605648766  4.3746655625611846 -22.393353642324897 -11.573891026704954 -1.2684704915821792 -2.5629987576461493  1.6465948803875405, 0.54259544610977173 0.048090294003486633  0.18754330277442932,0.48851794004440308 -0.4912419319152832 0.49483919143676758 0.52456247806549072, 0.0030081896111369133  -0.028726886957883835 -0.0046212393790483475,-0.0062288697808980942    -1.0944797992706299  0.0097617926076054573,  0.24878078699111938 -0.016851935535669327  0.065538987517356873 -0.016851935535669327   0.23643743991851807  0.028135990723967552  0.065538987517356873  0.028135990723967552   0.17743887007236481,   0.60276746021337146   -0.54023004551773113     1.0085138791167125    0.59154959121787698  -0.066746724169064464  -0.081132937371997116 3.5527136788005009e-12,0.026723897084593773
IIWA_14,1714657030.6310823, 0.56346949296463467   1.2132360111773688 -0.15155526449844889  -1.3416349368926606  -1.0646378900573656   1.7915032654423173 -0.61032235942466873,-0.0039642893974961213  0.0010950450331290748   -0.10402067309181093  -0.076574478194821965 -0.0010614181099448264   -0.14346807618495905 7.7975783380138385e-05,  14.39290414428711  62.332385978698731  13.166926059722901 -7.0613438072204593 0.75976354598999019 -1.1441007537841796 0.25532003402709963,-39.315401737585383  4.2613829021924632 -22.175431657579498  -11.47152797308099 -1.2968498067888643 -2.4467754027853266  1.6847411617415975, 0.54264926910400391 0.047687537968158722  0.18743659555912018, 0.48863822221755981 -0.49115464091300964  0.49487069249153137   0.5245024561882019, 0.0045381356030702591  -0.039099451154470444 -0.0079421531409025192,-0.0062128752470016479    -1.0944943428039551  0.0097981756553053856, 0.24878919124603271 -0.01675841398537159 0.065554253756999969 -0.01675841398537159  0.23649942874908447 0.028007026761770248 0.065554253756999969 0.028007026761770248   0.1773904412984848,   0.5991073748887743  -0.53747399331083301    1.0031889662034388   0.58849850027709039 -0.066300451617706813 -0.080753032174030182                     0,0.03668481856584549
IIWA_14,1714657030.63606, 0.56345912658154251   1.2132315170636279 -0.15287328958933288  -1.3425834883254515  -1.0646312747359019   1.7895700302251454 -0.61032158046240692, -0.0035860868416830167  0.00069627147686617506    -0.13593754210880854   -0.099201639867494931 -0.00058452162940657651    -0.19210386963484422  9.3539117176304697e-05, 13.541572608947755   61.48619844055176  14.396914558410645 -6.7938381118774416  1.1717790031433106 -1.5909942512512207 0.27768139648437501,-39.008192960163171  4.1218894124009777 -21.893727267052199 -11.338418124912826 -1.3269087930802934 -2.3158893441479487  1.7320847563653954, 0.54271537065505981 0.047169368714094162  0.18730594217777252, 0.48878365755081177 -0.49102845788002014  0.49492299556732178  0.52443569898605347,0.0062381117604672909  -0.05202009528875351 -0.011537956073880196,-0.0062741674482822418    -1.0945124626159668  0.0098605742678046227,  0.24880126118659973 -0.016637012362480164  0.065573208034038544 -0.016637012362480164   0.23657941818237305  0.027842001989483833  0.065573208034038544  0.027842001989483833   0.17732663452625275,  0.59436419589609102  -0.53395559347269028   0.99635074201032126    0.5845898779295311 -0.065683176964981271 -0.080320464563854443                     0,0.049010265618562698
