DesiredFlux,1.09,HitTime,1714657527.7348645,DesiredPos, 0.47064560651779175 -0.30418932437896729   0.1989138275384903
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714657527.1828957, 0.62589657876653582    1.085924773670172 -0.11514826789717719   -1.620768986746163  -1.0193964823650568   1.7115350493897923 -0.42926103441239105,-6.1477126322690749e-07 -0.00090864511212224088 -2.5562186685826232e-05   0.0009878192655887897  5.0212289867225085e-05  0.00025820425459586896  -0.0025561198941569888,-1.0030794525146485  64.518584785461428  4.8110697669982914 -10.903209522247314 0.93936002731323243 -2.2868665008544924 0.30705154418945313, -1.0664477406604111  -1.3759422365022675  -1.7809199341111774  0.73542612584869682 -0.23478747299481006  0.86166011462386227  0.18750860139545647, 0.46692189574241638 0.047519385814666748  0.19381693005561829, 0.50625365972518921 -0.49697968363761902  0.50086736679077148  0.49583292007446289,0.00046859614667482674 0.00033113351673819125 0.00049017660785466433,0.0015222209040075541   -1.1934044361114502 0.0020842845551669598,  0.26644641160964966 -0.010880964808166027  0.052727244794368744 -0.010880964808166027   0.23717224597930908  0.026043927296996117  0.052727244794368744  0.026043927296996117   0.16208022832870483,  0.38638883606623153  -0.54603976105394025   0.84519048878473058   0.45417239715472846 -0.032871535391443274  0.025967846012164841                     0,0.00068926560925319791
IIWA_14,1714657527.1879051, 0.62589657876653582   1.0859205792076472  -0.1151481480148742  -1.6207679680192952  -1.0193963865464808   1.7115357684654442 -0.42926127406791398,  -4.91817010581526e-07 -0.00089469459069237926 -1.5654457229163845e-05  0.00083100448718110989  4.4002574932281081e-05   0.0002353264297531567  -0.0020544821362426594,-1.0082234497070313  64.482576805114746  4.8124140167236327 -10.891111274719238 0.93671890258789059 -2.2882015075683593 0.30504903411865236,-39.675946405825243  8.0750742620804381 -28.912321126407377  -17.71206306616806 0.70214216326271095 0.76854087343882982 0.18610810417866189, 0.46692267060279846 0.047519959509372711  0.19381888210773468,  0.5062529444694519 -0.49698129296302795  0.50086790323257446  0.49583154916763306,0.00040626403642818332 0.00028792917146347463 0.00047049805289134383,0.0015210988931357861   -1.1934044361114502 0.0020825855899602175,  0.26644599437713623 -0.010881244204938412  0.052727639675140381 -0.010881244204938412   0.23717209696769714  0.026044145226478577  0.052727639675140381  0.026044145226478577   0.16208080947399139,   0.38639925920591622   -0.54604506106858963    0.84520163816304006    0.45417745159959111  -0.032873298589031208   0.025970314922574289 8.8817841970012523e-13,0.00062571046873927116
IIWA_14,1714657527.1929061, 0.62589645899331592   1.0859165645140352 -0.11514826789717719  -1.6207662902124687   -1.019396194734796   1.7115363676587929 -0.42926151383251993,-5.1843824043710343e-06 -0.00087634341703381538 -1.7318857902828217e-05  0.00073191586280821797  4.2874527336132114e-05  0.00021222887775116308  -0.0016531762932320117,-1.0030794525146485  64.456856819152833  4.8124140167236327 -10.895144023895263 0.93495815277099603 -2.2872002525329589 0.30571653747558591,-39.675116541111912  8.0752174149695595 -28.911567449440259 -17.711980558780002 0.70196037036268821 0.76841080211148949 0.18497842956163391, 0.46692347526550293 0.047520622611045837   0.1938207596540451, 0.50625252723693848 -0.49698293209075928  0.50086826086044312   0.4958299994468689,0.00035659014247357845 0.00025683236890472472 0.00045117107219994068,0.0015201064525172114   -1.1934043169021606 0.0020811192225664854, 0.26644554734230042 -0.01088152639567852 0.052728027105331421 -0.01088152639567852  0.23717193305492401 0.026044365018606186 0.052728027105331421 0.026044365018606186  0.16208140552043915,  0.38640980521709167  -0.54605047279565611   0.84521296635298171   0.45418250819384554 -0.032875142181865158  0.025974067885847774                     0,0.00057524809380993247
IIWA_14,1714657527.1978803, 0.62589004741722565   1.0859165645140352 -0.11516246909588529  -1.6207815102471277  -1.0193942773160798   1.7115369069655317 -0.42926163360573988,-0.00026061054953431854 -0.00070107473362705233 -0.00058190303464614244 -2.3268696114860641e-05  0.00011099637051875723  0.00019135537175383574  -0.0013273319633837358,-0.87962351989746101   64.289676910400388   5.0032974777221684  -10.620917079925537  0.91911140441894534  -2.2872002525329589  0.30738529586791991,-39.674426199118024  8.0754634555672862 -28.910888229988874 -17.712117644792869 0.70182291397566199 0.76839559726682227 0.18396218467450492,0.46692448854446411 0.04752127081155777 0.19382260739803314,0.50625193119049072 -0.4969848096370697 0.50086855888366699  0.4958283007144928,0.00032524246489629149 0.00023137484095059335 0.00043465109774842858,0.0015192696591839194   -1.1934044361114502 0.0020795282907783985,  0.26644507050514221 -0.010881827212870121  0.052728466689586639 -0.010881827212870121   0.23717178404331207  0.026044566184282303  0.052728466689586639  0.026044566184282303   0.16208204627037048,  0.38642103687180906   -0.5460553775593624   0.84522416454024807   0.45418738257829716 -0.032877408583154022  0.025977999497328597                     0,0.00053898454643785954
IIWA_14,1714657527.2029097, 0.62575192915062294   1.0859860131284675 -0.11553895352341759  -1.6211248582898139  -1.0193585163923711   1.7115318136584421  -0.4292618133746528, -0.0057332191037356454   0.0022170847903929913   -0.015524899529008818   -0.013752536664340249   0.0015192340447636626 -5.0647986182653895e-05  -0.0010690563272238837,  7.088428131103516  59.022223785400392  10.840029785156251  -3.672490249633789 0.41201545715332033 -2.6596671257019042 0.31639659118652341,-39.659033935917456  8.0691662711989629 -28.897805879526683 -17.700928112959698 0.69854458122222296 0.76396277939939083 0.18500461554295849, 0.46692100167274475 0.047510266304016113  0.19382476806640625, 0.50624477863311768 -0.49698305130004883  0.50086754560470581    0.495838463306427, 0.00012100665480829775 -0.00025512493448331952   0.0004345117777120322,0.0015184240182861686   -1.1934043169021606 0.0020780072081834078, 0.26644518971443176 -0.01088134478777647 0.052728638052940369 -0.01088134478777647  0.23717299103736877 0.026042567566037178 0.052728638052940369 0.026042567566037178  0.16208061575889587,  0.38639995626876811  -0.54600318930564384   0.84516039990045755   0.45413967354601681 -0.032891056959805098  0.025935675429522576                     0,0.0004732990637421608
IIWA_14,1714657527.2078822, 0.62569877918432726   1.0859797214346802 -0.11595534544971213  -1.6213686174090489  -1.0193464362704863   1.7114890898527657 -0.42926301176135045, -0.0067125739348159038   0.0015220000808225135   -0.029075596674988782   -0.020752394100873033   0.0016985921112031481  -0.0017494706160013725 -0.00090318052968526425, 10.997865997314454  58.759879928588873   13.66698695755005 -3.6523265037536623 0.18311798095703125 -2.6589996223449708 0.29036396026611327,-39.318756657749468  7.9431181778338411 -28.587652874950663 -17.461143498614518 0.63338104624011038 0.66173569807278732 0.21802700030138678, 0.46684205532073975 0.047239474952220917  0.19385431706905365, 0.50607115030288696 -0.49692139029502869  0.50085300207138062  0.49609211087226868,-0.0030635674484074116  -0.011034260503947735  0.0015313344774767756,0.0015175780281424522   -1.1934040784835815 0.0020765329245477915,  0.26645070314407349 -0.010865346528589725  0.052731115370988846 -0.010865346528589725   0.23720480501651764  0.025990024209022522  0.052731115370988846  0.025990024209022522   0.16204121708869934,   0.38572802021441532   -0.54465294343675197    0.84341418251909772    0.45291509601597113  -0.033165970097392972   0.024868011867518192 8.8817841970012523e-13,0.010552357882261276
IIWA_14,1714657527.2129035, 0.62566066926561159   1.0859862527839905  -0.1165086571468287  -1.6217765604146008  -1.0193310005785816   1.7115083844676464 -0.42926289198813056, -0.0068944558964794227   0.0014788540370691793   -0.045392945224653966   -0.032919635502774991   0.0019763013651486294 -0.00062779189757290049 -0.00071775349495230561, 13.762764488220215  59.361727600097659  14.460094295501708 -4.4642533378601073 0.72278779983520502 -2.6346357498168946 0.28936270523071289,-39.127183815765605  7.9087691381600962 -28.357182070335853 -17.349231462152144 0.60874282826075055  0.5950755807339877 0.22398060588713053,0.46681389212608337 0.04702356830239296 0.19392198324203491, 0.50590699911117554 -0.49689611792564392  0.50088554620742798  0.49625194072723389, -0.00358201889321208  -0.01746128685772419 0.0039357608184218407,0.0015166221419349313   -1.1934046745300293 0.0020750369876623154,  0.26644131541252136 -0.010852535255253315  0.052747208625078201 -0.010852535255253315   0.23723176121711731  0.025943083688616753  0.052747208625078201  0.025943083688616753   0.16202220320701599,   0.38518564434220082   -0.54350781742051879    0.84185506714895553    0.45188122050277002  -0.033327690566409274   0.024041720700473945 2.6645352591003757e-12,0.016672180965542793
IIWA_14,1714657527.2179048, 0.62563502307033347   1.0859896083976435 -0.11723208488622329  -1.6224128029582889  -1.0193076074070184    1.711510062274473 -0.42926277210582753, -0.0065414125283082304   0.0013173077757731217    -0.06525146575550661   -0.051785410149744138   0.0025167679546465342 -0.00043512124499499045 -0.00056940750384068203, 14.385188148498536   59.45689154815674  13.580954975128174  -4.056945671081543 0.24738534927368164 -2.5071426086425781 0.29937525558471678,-38.882071803075767  7.8359253448387198 -28.061655155943939 -17.167481893522094 0.56997574732085055 0.48524889209053013   0.245397431547136, 0.46673882007598877 0.046732503920793533  0.19401811063289642, 0.50567644834518433 -0.49681359529495239  0.50093746185302734  0.49651709198951721,-0.0058792713098227978  -0.025605767965316772  0.0070033390074968338,0.0015181431081146002   -1.1934186220169067 0.0020742926280945539,  0.26643726229667664 -0.010832137428224087   0.05276060476899147 -0.010832137428224087   0.23726928234100342  0.025882616639137268   0.05276060476899147  0.025882616639137268   0.16198600828647614,  0.38433977672625019  -0.54204249764655543   0.83975044912865116   0.45053383856163975 -0.033484202784705985  0.022749271111344171                     0,0.024832669645547867
IIWA_14,1714657527.2229042, 0.62560715976149006   1.0859899679354694 -0.11817015005361887  -1.6232401338568794  -1.0193053063649324   1.7115062273497741 -0.42926259233691461,  -0.006347662376383071   0.0010682277336567282   -0.089723779300228707   -0.074521564063412885   0.0021054560471565754 -0.00050149398395234808 -0.00044833524655565069, 13.307520736694336  59.557199493408206  12.911518611907958  -3.142855857849121 0.19016098022460937 -2.4924575347900388 0.30104401397705077, -38.56912125878295  7.7183087208016401 -27.697508238980046 -16.910527477055442 0.51264536064348187 0.34462098702917632 0.28523737574123353, 0.46660861372947693 0.046342171728610992  0.19413608312606812, 0.50539332628250122 -0.49667260050773621  0.50099658966064453  0.49688661098480225,-0.0099303489550948143   -0.03608601912856102   0.010342100635170937,0.0015565298963338137   -1.1934301853179932 0.0020705070346593857,  0.26644021272659302 -0.010800451971590519  0.052770823240280151 -0.010800451971590519   0.23732016980648041  0.025800678879022598  0.052770823240280151  0.025800678879022598   0.16192813217639923,   0.38305044043518421   -0.54007739050110359    0.83682087628034196    0.44868926734054071  -0.033640718987371088   0.021029850258535987 8.8817841970012523e-13,0.035463549196720123
IIWA_14,1714657527.22788,  0.6255579046065034   1.0859917056289059 -0.11933939095267504  -1.6242146311361643  -1.0193016631646519    1.711495621311159 -0.42926247256369471, -0.0070483361005728752  0.00092408992438444508    -0.11854865940242956   -0.098597142422125972   0.0018300928489479616 -0.00082543673176728666 -0.00035387726844861474, 13.443836662292481  59.603495468139648  13.419645008087159 -2.9344971504211426 0.35743221282958981 -2.6770222129821777 0.29670524215698241,-38.185001839914072  7.5757701804517588 -27.245744174543965 -16.597637924158761 0.44896239617312517 0.16962568683654672 0.33303645115641467, 0.46644535660743713 0.045838769525289536  0.19429241120815277, 0.50503164529800415 -0.49648165702819824  0.50108355283737183  0.49735730886459351, -0.01450720988214016 -0.048983532935380936  0.014563469216227531,0.0015582123305648565   -1.1934466361999512 0.0020299931056797504,  0.26644408702850342 -0.010758006013929844   0.05278405174612999 -0.010758006013929844   0.23738567531108856    0.0256948322057724   0.05278405174612999    0.0256948322057724   0.16185343265533447,    0.38133340652013459    -0.53754631427604949       0.833013940827243     0.44630684055135816   -0.033793498772638486    0.018822279779229234 -8.8817841970012523e-13,0.048515208065509796
