DesiredFlux,0.89,HitTime,1714650275.9288535,DesiredPos,0.57211852073669434 0.31468594074249268 0.22055453062057495
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714650275.3481719,-0.45605842039436251    1.140467677751553 0.034543389767445129  -1.2472437660514446  -1.9295744913420139  -1.8658988169990725 -0.88068419628933758,-3.8849031104816936e-06  5.4460265770615981e-06   0.0019209422412409046  0.00089210122131925737  3.4979927978355534e-06  1.5517804710406393e-07 -6.5792914847695107e-08,-0.11426122665405274   65.907219783782963  -2.7106743431091309  -16.782586879730225  -1.7132095718383789   1.7131473655700684 -0.20091851043701173, -0.16667023074741416 -0.064174463239757853  -0.56777513551024217  -0.81696067442899623  0.052921961334863973   0.38101969907853606   0.98047187390735013,   0.5736081600189209 -0.037938687950372696   0.21778927743434906,  -0.70339822769165039  -0.013446955010294914 -0.0004930978175252676    0.71066862344741821, 0.0003903884207829833 0.00060029083397239447 0.00059488107217475772,-0.00023620830324944109     0.97191882133483887  0.00044024878297932446,  0.24150343239307404  0.028235062956809998  0.069171540439128876  0.028235062956809998   0.23010960221290588 -0.020522776991128922  0.069171540439128876 -0.020522776991128922   0.19224189221858978,   -1.0664241903004523    -0.3414035561215556    -1.0708789576536759    0.72876023271373214    0.51425185382569794   0.023366795033119558 1.2959300299542065e-05,0.00085246824892237782
IIWA_7,1714650275.3532355,-0.45605848039005553    1.140467917407076 0.034550460532577272  -1.2472399311267457  -1.9295743955234379  -1.8658986971167695 -0.88068419628933758,-5.5077502093744776e-06  1.3943042180938015e-05   0.0018195843982784458  0.00086707796501176164  6.6311372767694498e-06  4.9194345566252808e-06 -5.2634331878156091e-08,-0.12098247528076173   65.936793277740477  -2.7133154678344726  -16.789629878997804  -1.7140899467468262   1.7168186340332032 -0.19958350372314454,  27.123871534794933   3.2856139695490025   15.266302746525868  -7.0374309551446883 0.077304470449225449   1.0776298722213073  0.98094006371747511,   0.5736127495765686 -0.037932708859443665   0.21779538691043854,   -0.70339351892471313   -0.013456808403134346 -0.00049690064042806625     0.71067309379577637,0.00034772235085256398 0.00050066335825249553 0.00050258124247193336,-0.00023639024584554136     0.97191894054412842  0.00043967022793367505, 0.24150034785270691 0.028234519064426422 0.069173179566860199 0.028234519064426422  0.23011042177677155 -0.02052115835249424 0.069173179566860199 -0.02052115835249424  0.19224373996257782,   -1.0663960816765794   -0.34137435739456379    -1.0708126430927223    0.72875695317531353    0.51425452679776384   0.023393090585521747 1.2965586826396702e-05,0.00072345021180808544
IIWA_7,1714650275.3582177,-0.45605848039005553   1.1404679772936859 0.034557531188626332  -1.2472364556307896  -1.9295744913420139  -1.8658988169990725 -0.88068401652042461,-4.4062001674995823e-06  1.3549898140482872e-05    0.001738493760585165  0.00083268221025501138  1.4721667829145525e-06 -8.5974447364180477e-07  7.1486490536128576e-06,-0.11560547637939453   65.951580024719235    -2.71419584274292  -16.787869129180908  -1.7176114463806151   1.7168186340332032 -0.19858224868774413,  27.123871534794933   3.2856139695490025   15.266302746525868  -7.0374309551446883 0.077304470449225449   1.0776298722213073  0.98094006371747511,   0.5736127495765686 -0.037932708859443665   0.21779538691043854,   -0.70339351892471313   -0.013456808403134346 -0.00049690064042806625     0.71067309379577637,0.00034772235085256398 0.00050066335825249553 0.00050258124247193336,-0.00023654129472561181     0.97191894054412842  0.00043909728992730379, 0.24150034785270691 0.028234519064426422 0.069173179566860199 0.028234519064426422  0.23011042177677155 -0.02052115835249424 0.069173179566860199 -0.02052115835249424  0.19224373996257782,   -1.0663960816765794   -0.34137435739456379    -1.0708126430927223    0.72875695317531353    0.51425452679776384   0.023393090585521747 1.2965586826396702e-05,0.00072345021180808544
IIWA_7,1714650275.3631992,-0.45603127616117084   1.1404752877143409 0.034594562384781286  -1.2472577277037129  -1.9295744913420139  -1.8658915665741105 -0.88068401652042461,  0.0010846441952536753  0.00030325674471434402   0.0028720428546662622 -0.00018473714873001683  1.1777334263316421e-06  0.00028932920289983475  5.7189192428902864e-06,-0.30917743682861326   65.869580791473382  -3.1693496704101562  -16.486780910491944  -1.7431423187255859   1.6884497413635253  -0.2035885238647461,  27.124425530594831   3.2847691166939028   15.266780486214486  -7.0370537126953137 0.077659189804021284   1.0777147290215012  0.98104715863467118,  0.57361406087875366 -0.037930764257907867   0.21779735386371613,   -0.70339196920394897   -0.013459888286888599 -0.00049787550233304501     0.71067458391189575,0.00033170345705002546 0.00047826202353462577 0.00048106699250638485,-0.00023654135293327272     0.97191917896270752  0.00043909740634262562,  0.24149937927722931   0.02823435515165329   0.06917368620634079   0.02823435515165329   0.23011068999767303 -0.020520644262433052   0.06917368620634079 -0.020520644262433052   0.19224430620670319,   -1.0663873658760537   -0.34136504339077334    -1.0707916501768722    0.72875562127538984    0.51425568919150066   0.023402205110656382 1.2967700691035589e-05,0.00069146224996075034
IIWA_7,1714650275.3682044,-0.45558234704337908    1.140537785445944 0.035123366386707502   -1.247431139363951  -1.9295751624211113  -1.8658504006929575 -0.88068347732276886,   0.018824880067873466   0.0027425146598934998    0.023449794360781685  -0.0070842561285079583 -2.5900977155052202e-05   0.0018780986084396109  2.6143041624181268e-05, -9.1812256240844725   63.007673126220702   -8.955173568725586   -13.56745771408081  -1.7114488220214843   1.9844874801635741 -0.23829869842529297,  27.094195375535644   3.2709854334069122   15.246469961498949  -7.0218684121397992 0.083528261811685614   1.0838691913595015  0.97833633058584324,  0.57361215353012085 -0.037899386137723923   0.21779590845108032,   -0.70337855815887451    -0.01346957590430975 -0.00048057344974949956     0.71068769693374634,0.00018849474145099521    0.00163768429774791 0.00032717344583943486,-0.00023701917962171137     0.97191917896270752  0.00043766386806964874,  0.24149845540523529   0.02823144942522049  0.069175004959106445   0.02823144942522049   0.23011526465415955 -0.020516142249107361  0.069175004959106445 -0.020516142249107361   0.19224159419536591,   -1.0662351569328266   -0.34125804694973283    -1.0705675899860267    0.72864077611711764    0.51426717681479772   0.023518610944961438 1.2990285291891723e-05,0.001538991229608655
IIWA_7,1714650275.3731947,-0.45510357726778444   1.1405296361764172 0.035709035397325256   -1.247545528788542  -1.9295673007600285    -1.86579006018831  -0.8806808407847676,  0.034210695078084136  0.0018680409468449159   0.042186595913335498  -0.010242981886445008 0.00029374566158785865  0.0039160990726532108 0.00012637595334954351, -18.463269977569581   63.513111022949218  -13.173049755096436  -13.896717929840088  -1.3258446121215821   1.6640858688354492 -0.16720959091186524, 26.605305940461548  3.2457497220530374  14.848092671111427 -6.9057326092249118 0.11237084675575348  1.2031669845693214 0.97163941924107955,  0.57361644506454468 -0.037436313927173615   0.21783079206943512,   -0.70319592952728271   -0.013696980662643909 -0.00025285236188210547     0.71086412668228149,0.00031557638430967927   0.019832517951726913   0.001659430330619216,-0.00023701920872554183     0.97191929817199707  0.00043766392627730966,   0.2414606511592865  0.028201378881931305  0.069201692938804626  0.028201378881931305    0.2301783561706543 -0.020447997376322746  0.069201692938804626 -0.020447997376322746   0.19222383201122284,   -1.0645142565524068   -0.33963313069662604    -1.0675003120805826    0.72710578011569993    0.51461448862610837   0.025343727159565788 1.3339522375588331e-05,0.018226210027933121
IIWA_7,1714650275.3782215,  -0.454812780107128   1.1405444965641671 0.036342341751796181  -1.2477824569072511  -1.9295599185408914  -1.8657780159983912 -0.88068257847820408,  0.039000442488724987  0.0020888482674716602   0.059081530909505402  -0.017671510257520937 0.00053028529475419005  0.0036146468548720182 3.1593025220572342e-05,  -21.83599253845215   63.049344867706296  -13.779628067016601  -13.550730590820312  -1.6797553253173827   1.9868237419128418 -0.17688838958740236, 26.183135795742192  3.3339550983639823  14.457644825498839 -6.8748152858576521 0.10287343439565685  1.3195208936862071 0.98591073130905438,  0.57365292310714722 -0.036948293447494507   0.21792261302471161,   -0.70301973819732666   -0.013985635712742805 -6.2355909903999418e-05     0.71103280782699585,0.0016887299716472626  0.035386215895414352 0.0050062043592333794,-0.00023714086273685098     0.97192096710205078  0.00043719270615838468,  0.24140110611915588  0.028173407539725304  0.069236993789672852  0.028173407539725304   0.23024244606494904 -0.020372528582811356  0.069236993789672852 -0.020372528582811356   0.19222487509250641,   -1.0628648341928226   -0.33786761345488969    -1.0642906421196585    0.72554455334028489    0.51499728104786868   0.027211141838456854 1.3695368394905927e-05,0.032761245965957642
IIWA_7,1714650275.3831964, -0.4547063002965408   1.1405428187573405 0.037107894103518439  -1.2481190339451043  -1.9295540702916338  -1.8657678293842119  -0.8806816796336393,  0.035459546414468038  0.0016039663409139983   0.077887318796494659  -0.027600289720143535 0.00065815820610471299  0.0032991820510690599 6.1228202767593898e-05,  -19.79407720565796   62.729413433074953  -11.289927825927734  -13.048036518096923  -1.2650987434387206   1.6196968955993651 -0.19791474533081055, 25.941624984164733  3.3496106292779371  14.172323107345015 -6.8016374992140411 0.11389230486793507   1.428531561713914  0.9791193812543274,  0.57364273071289062 -0.036534927785396576   0.21799921989440918,  -0.70279544591903687  -0.014189117588102818 0.00011840470688184723    0.71125048398971558,0.00091887760208919644   0.044840484857559204  0.0070798462256789207,-0.0002368722198298201    0.97194337844848633 0.00043748438474722207,  0.24136608839035034  0.028138069435954094  0.069264255464076996  0.028138069435954094   0.23030370473861694 -0.020308339968323708  0.069264255464076996 -0.020308339968323708   0.19220833480358124,   -1.0609657634370606   -0.33643067057287368    -1.0612657639237355    0.72415260246661006    0.51518968136754495   0.028922169061473824 1.4039857276770817e-05,0.04157528281211853
IIWA_7,1714650275.3881721,-0.45464020729576166   1.1405460544886907 0.038156573657416135  -1.2485343472579211  -1.9295407438301302  -1.8657562646144221 -0.88068197928485525,  0.031011357162740186  0.0014126023267389167    0.10425703719310354   -0.03869276428878908  0.0010595850250297225  0.0031019364324475249 3.6996513576017708e-05, -16.059751468658447   62.586922962188723  -10.516958656311035   -12.94943452835083  -1.3760259819030762    1.718821144104004 -0.20592478561401367, 25.826608200428304  3.3705749588222909  13.915926399553037 -6.7323265993181778 0.12046844069657596  1.5341732653885405 0.96454072673066804,  0.5736088752746582 -0.03617037832736969  0.21809421479701996,  -0.70252084732055664  -0.014340128749608994 0.00026331967092119157    0.71151858568191528,-0.00064489326905459166    0.050448775291442871   0.0094801504164934158,-0.00023531015904154629      0.9719662070274353  0.00042787432903423905,  0.24134117364883423  0.028091931715607643  0.069290466606616974  0.028091931715607643   0.23036549985408783 -0.020247740671038628  0.069290466606616974 -0.020247740671038628   0.19218505918979645,   -1.0586571159834079   -0.33518126741327592    -1.0581321352693962    0.72285320266995967    0.51516249427407956    0.03049530530851996 1.4376182022601824e-05,0.047004546970129013
IIWA_7,1714650275.3931768,-0.45450520498728908   1.1405419200218589 0.039458180326943544  -1.2490623721885024  -1.9295428530605312  -1.8657285810744915 -0.88068155975133633,  0.030209178069095191 0.00096470318811975645    0.13546989653557923  -0.052075208654280822 0.00076329880398361919  0.0035888907431842723  4.637855161781361e-05,-15.277398128509521   61.95781409072876 -10.964189109802247  -13.30686674118042 -1.6920805740356446  1.7435187683105469 -0.2032547721862793,  25.66833726500294  3.4238426269569162   13.55209651018852  -6.662353016572383 0.11540735204432437  1.6700017196156198 0.95165429863818563,  0.57357138395309448 -0.035722557455301285    0.2182307243347168,  -0.70214939117431641  -0.014531666412949562 0.00041852021240629256    0.71188122034072876,-0.0020515879150480032   0.058261960744857788   0.013075302354991436,-0.00023605878232046962      0.9719880223274231  0.00040490506216883659,  0.24130681157112122  0.028029242530465126  0.069326616823673248  0.028029242530465126   0.23044368624687195 -0.020170107483863831  0.069326616823673248 -0.020170107483863831   0.19215807318687439,   -1.0555770885876115   -0.33363416576914773    -1.0540497759539136    0.72128318472319819    0.51505172486088213   0.032449400881873203 1.4803389625228647e-05,0.054703902453184128
