DesiredFlux,1,HitTime,1714657045.1398427,DesiredPos,0.55981957912445068 0.30366021394729614 0.22004887461662292
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714657044.5743446,-0.47276514898126371   1.1476836791484029  0.01831800760752994  -1.2414183540998751   -1.958039134704229  -1.9033046389149895 -0.88826266068392457, 3.2331577828567613e-06 -1.3306081582087187e-05   5.821317024496648e-06   0.0025148296833098138  5.8468181097463525e-07 -3.5390599363794958e-06   0.0028669308713112109,-0.23927645111083984   65.759352313995365  -1.9764416694641114  -16.713037261962889  -1.3240838623046876   1.7955840301513672 -0.26232881927490237,-0.069236746808943594   -1.2918365789822093   0.42855672501648023  -0.54709215258330146    0.9315810178386329    0.5356967620186498   0.55503769134675329,   0.5621001124382019 -0.053568337112665176   0.21435798704624176, -0.70372545719146729 -0.017757102847099304  0.010216099210083485   0.71017658710479736, 0.00067816383671015501 -0.00037444577901624143  0.00043236187775619328,-0.00082171231042593718      1.0915755033493042   0.0020607116166502237,  0.24307708442211151  0.031692449003458023  0.067086182534694672  0.031692449003458023   0.22894337773323059 -0.023392478004097939  0.067086182534694672 -0.023392478004097939   0.19093266129493713,   -1.2092216006633905   -0.40627074580434908    -1.2146341712204745    0.79618530500358276    0.56838311431661737   0.068092252525353558 2.0960268187764086e-05,0.00081273197429254651
IIWA_7,1714657044.5793269, -0.4727636509433501   1.1476839188039256  0.01831800760752994  -1.2414085271326047  -1.9580392305228049  -1.9033046389149895 -0.88825283360757123, 6.2508042770500038e-05    -1.0586443552628e-06  4.6570536195973186e-06   0.0024049424374624701 -3.3649975897212994e-06 -2.8312479491035967e-06   0.0026866277511821829,-0.15458871841430663   65.790270057678228  -1.9605949211120606  -16.720960636138916  -1.3267249870300293   1.7979202919006347 -0.26132756423950193, 28.962403713345644  3.3623721255879717  17.002110613974555 -7.5703432924628693  1.0006339029440037  1.8251497341101712 0.55548448659842387,  0.56210297346115112 -0.053569197654724121   0.21435971558094025, -0.70372718572616577 -0.017757516354322433  0.010216342285275459   0.71017485857009888, 0.00065782084129750729 -0.00033401328255422413  0.00041533017065376043,-0.00082274392480030656      1.0915752649307251   0.0020596785470843315,  0.24307574331760406  0.031692899763584137  0.067086704075336456  0.031692899763584137   0.22894300520420074 -0.023392327129840851  0.067086704075336456 -0.023392327129840851   0.19093392789363861,   -1.2092428023056101   -0.40626872066429343    -1.2146409503968059    0.79619810788944534    0.56838767123945644   0.068088036274005503 2.0958537128024091e-05,0.00077560782665386796
IIWA_7,1714657044.5843511,-0.47276209301882655   1.1476840386862286  0.01831800760752994  -1.2413992992496004   -1.958039134704229  -1.9033046389149895 -0.88824342595565375, 0.00011232341515856757  3.9483766347317898e-06  3.7256428956778549e-06   0.0022930692701456706  1.1407449667239677e-06 -2.2649983592828772e-06   0.0025256082776449972,-0.069900985717773437    65.868236541748047   -1.9368247985839844   -16.725362510681151    -1.332007236480713    1.7979202919006347  -0.26066006088256838, 28.961271181385683  3.3612461951039192  17.001967850082117 -7.5693921857940847  1.0013159600881607  1.8252038406319915 0.55561511445906653, 0.56210559606552124 -0.05356965959072113  0.21436116099357605, -0.70372885465621948 -0.017757561057806015  0.010217363946139812   0.71017318964004517, 0.00063030741875991225 -0.00028567019035108387   0.0003902472963090986,-0.00082370475865900517      1.0915751457214355    0.002058760728687048,  0.24307450652122498  0.031693324446678162  0.067087166011333466  0.031693324446678162   0.22894269227981567 -0.023392161354422569  0.067087166011333466 -0.023392161354422569   0.19093507528305054,   -1.2092621971788731   -0.40626570357549241    -1.2146461845139456    0.79620847120676075    0.56839253183227356   0.068085514667970415 2.0957047652814254e-05,0.00072782154893502593
IIWA_7,1714657044.5893691,-0.47273225225194054   1.1476941054181049 0.018348866992200608  -1.2414159573264798  -1.9580389428925442  -1.9032907971450241 -0.88823347899699734, 0.0012834894075669479  0.0004058279763602884  0.0012373559011432617  0.0011681323409385375 8.5850633636864206e-06 0.00055185879992569991  0.0024183649683725949,-0.20298170852661132   65.825220550537111  -2.3726103782653807   -16.41370979309082  -1.3601792335510254   1.7511950569152832 -0.26232881927490237, 28.960297654474456  3.3602775758961676   17.00183363596226 -7.5685103505072675  1.0019065467376935  1.8252965383092215 0.55571757596181848,  0.56210809946060181 -0.053570013493299484   0.21436260640621185, -0.70373040437698364 -0.017757600173354149  0.010218339972198009   0.71017163991928101,0.00060399505309760571 -0.0002426702412776649 0.00036989187356084585,-0.00082468148320913315       1.091575026512146   0.0020579262636601925,  0.24307334423065186  0.031693723052740097  0.067087613046169281  0.031693723052740097   0.22894240915775299 -0.023391993716359138  0.067087613046169281 -0.023391993716359138   0.19093616306781769,   -1.2092804394185919   -0.40626257251830111    -1.2146509304651332     0.7962179604605879    0.56839708140721257   0.068083234605609277 2.0955654989052164e-05,0.00068586831912398338
IIWA_7,1714657044.5943322,-0.47225671820769599   1.1477802719960266 0.018856099269987565  -1.2415948218316335  -1.9580395181530657  -1.9031800029896091 -0.88821945745811914,   0.020048153295835643   0.0037713254979565955    0.021279175832392867  -0.0062200743333970677 -1.6142370166667374e-05    0.004873253256542134   0.0024955535298258769, -9.5576155471801751   62.599021209716796  -8.4612832450866691  -13.354406986236572  -1.3416913604736327   1.8406405067443847 -0.29937525558471678, 28.929176736807307  3.3425764389455188  16.982631833761459 -7.5522206682158775  1.0084738393156214  1.8287967233325022 0.55253338539177899,  0.56210857629776001 -0.053540058434009552   0.21435806155204773, -0.70372068881988525 -0.017762353643774986  0.010237381793558598   0.71018087863922119,0.00050267513142898679  0.0010040922788903117 0.00011397813796065748,-0.00082563771866261959      1.0915749073028564   0.0020571060013025999,  0.24307218194007874  0.031690925359725952  0.067089103162288666  0.031690925359725952   0.22894711792469025 -0.023387717083096504  0.067089103162288666 -0.023387717083096504    0.1909334808588028,   -1.2091237846991731   -0.40614817235606893    -1.2144273950616125    0.79609796800195198    0.56840196170337975   0.068180181453492139 2.0974584735711232e-05,0.00103397062048316
IIWA_7,1714657044.5993323,-0.47175026489217081   1.1477791334959391 0.019401081928664375  -1.2417163419079666  -1.9580314648548311  -1.9030093476405923  -0.8882042974191533,   0.03629665525767569  0.0029715203948637338   0.038822647012986711 -0.0098368625200435794 0.00030921803324668676   0.010724816565907107  0.0026028443824944862, -18.624579944610595   63.265769073486325  -12.845550289154053  -13.534003467559815  -1.0229956436157226   1.7768939361572265 -0.23395992660522461,  28.44508134472261  3.2715585392636912  16.612296592660954 -7.4284299220996424  1.0424571517046244    1.91584441733634 0.54234025779470263, 0.56213140487670898 -0.05307423323392868  0.21436053514480591, -0.70355695486068726 -0.017968248575925827  0.010465559549629688   0.71033459901809692,  0.001306891324929893    0.01943657360970974 0.00019252527272328734,-0.00082653283607214689      1.0915746688842773   0.0020564510487020016,  0.24303288757801056  0.031659554690122604   0.06711897999048233  0.031659554690122604    0.2290184497833252 -0.023319343104958534   0.06711897999048233 -0.023319343104958534   0.19091057777404785,   -1.2071732388339029      -0.40433732609646    -1.2111651435393611    0.79435964567231565    0.56864915668430882   0.069897398703666624 2.1325946342187763e-05,0.017846535891294479
IIWA_7,1714657044.6043327,-0.47143513969615397   1.1477866235764238 0.020025759702562675  -1.2419644153720297  -1.9580377925460342  -1.9027913545989381 -0.88818698026231502,   0.041642332046814196   0.0026768195352801422    0.056045228566321381   -0.017792428578558107 -5.7332215231269438e-06    0.017299574918891766     0.00277496177952684, -22.594149383544924   62.724036434173584   -13.54192684173584  -13.504951095581054  -1.3628203582763672   1.6453957748413086 -0.21059730911254881, 28.036180774693211  3.3236724587239985  16.260327212034877 -7.3987151366460013  1.0368055396106035  1.9915451250694638 0.55445345169448046,  0.56219327449798584 -0.052590601146221161   0.21441593766212463,-0.70342063903808594 -0.01822640560567379 0.010642915032804012    0.710460364818573,0.0034996694885194302  0.034896526485681534 0.0023755664005875587,-0.00082738039782270789      1.0915765762329102   0.0020557856187224388, 0.24297197163105011 0.031630154699087143 0.067157648503780365 0.031630154699087143  0.22908927500247955 -0.02324356883764267 0.067157648503780365 -0.02324356883764267  0.19090834259986877,  -1.2053046677005241  -0.40238039506501622   -1.2077915570278819   0.79257616059802416   0.56889142601246334  0.071538749733868201 2.165806467502307e-05,0.032201159745454788
IIWA_7,1714657044.609333, -0.4713325548059587   1.1477726020375456 0.020854408870153794  -1.2423468918421332  -1.9580300267035275  -1.9024376401731597 -0.88816439002947412,  0.037417261245262061  0.0015805940730963131   0.077982149556701852  -0.029533001666985553 0.00030604712304601608   0.027988236966247894  0.0031235787372575611, -20.747150260925292   62.611119457244875   -11.41670181274414  -12.980247650146485  -1.0089096450805664   1.3446855125427246 -0.26733509445190429, 27.805563812465586  3.3131407251845548  16.003647696236484 -7.3386779310224988  1.0531101882252447  2.0444023959834547 0.54621903854583709,  0.56222116947174072 -0.052170258015394211   0.21445123851299286, -0.70325696468353271 -0.018389955163002014  0.010789806023240089   0.71061599254608154,0.0038894435856491327  0.044733162969350815 0.0033221479970961809,-0.00082821422256529331      1.0916050672531128   0.0020590731874108315, 0.24293258786201477 0.031586889177560806 0.067190393805503845 0.031586889177560806  0.22915862500667572 -0.02317470870912075 0.067190393805503845 -0.02317470870912075   0.1908918172121048,   -1.2029265581992021   -0.40070360373078984    -1.2043549472160464     0.7909069788585299    0.56886492201702055   0.072884744939827328 2.1941966465988116e-05,0.041244085878133774
IIWA_7,1714657044.6143587,-0.47130271403907276   1.1477701452684574 0.021990333615450948  -1.2428318934249052  -1.9580300267035275  -1.9019033834354009 -0.88814503541890033,  0.031127439671647522  0.0011662044949504085    0.10782270945724765   -0.04302646464446773 0.00024483769843681286   0.043760859083352907  0.0032730474127574561, -16.678106342315672   62.150041801452637  -10.696555137634277  -12.568232192993165  -1.0089096450805664   1.4207808952331542 -0.29270022201538087, 27.708274515785767  3.3036467634702462   15.76198207993273 -7.2882364739949068  1.0623068503821669  2.0706057065884376 0.52870897665561845,  0.56224232912063599 -0.051783580332994461   0.21449302136898041, -0.70305252075195312 -0.018470540642738342  0.010861408896744251   0.71081501245498657,0.0039312788285315037  0.051257308572530746  0.004347238689661026,-0.00083741708658635616      1.0916334390640259   0.0020604983437806368,  0.24290455877780914  0.031519796699285507  0.067225649952888489  0.031519796699285507   0.22923146188259125 -0.023103298619389534  0.067225649952888489 -0.023103298619389534   0.19086794555187225,   -1.1996082198493241   -0.39914143576069705    -1.2003701155993696    0.78922813828086191    0.56842775434784443   0.073862087861087389 2.2168452851190068e-05,0.047258108854293823
IIWA_7,1714657044.6193366,-0.47121510930984739   1.1477550452251846  0.02343437278732588  -1.2434360781972251  -1.9580338617154929  -1.9011006201186109 -0.88811980864805806,  0.028406140906332644   0.000328961865045311    0.14401973444079541  -0.058588562608371697 4.2469680136441988e-05   0.067119219938281016  0.0036275087638966935, -15.316381370544434   61.145887256622316  -10.833013248443603  -12.837626914978028  -1.3416913604736327   1.1924947471618652 -0.27567888641357424, 27.596932675060998  3.2894637036303611  15.446153953253358 -7.2382454887376415  1.0709085436505337  2.0806214265930358 0.50897286672222819,  0.56227922439575195 -0.051319677382707596   0.21453799307346344, -0.70279288291931152 -0.018543791025876999  0.010901659727096558   0.71106922626495361, 0.004582919180393219  0.059569709002971649 0.0053118737414479256,-0.00085569301154464483      1.0916612148284912   0.0020306163933128119,   0.2428705096244812  0.031424511224031448  0.067272648215293884  0.031424511224031448   0.22932286560535431 -0.023011492565274239  0.067272648215293884 -0.023011492565274239    0.1908382922410965,   -1.1950279221544235    -0.3972237897373887    -1.1950871561943188    0.78717110886827868    0.56768954707653307   0.074854630457643623 2.2412453226650086e-05,0.054941654205322266
