DesiredFlux,1.1,HitTime,1714657559.2198501,DesiredPos, 0.5347333550453186 0.30685710906982422 0.21998894214630127
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714657558.6789763,-0.48054824395858536   1.1161294546860723 0.018357675341686187  -1.3100274424726484  -1.9494622645721489  -1.8742257560259001 -0.91783691142979495,-4.4004390864369402e-05  4.2116989632378718e-07   -6.33550110513748e-06  2.0670567299851847e-05 -0.00010802778534233075 -9.6658927389899068e-06   6.202788499670801e-06, 0.38579967117309572   64.615395797729491  -1.7669124412536621   -16.13639169692993 -0.95872827529907223   1.9130646209716797 -0.30371402740478515,-0.44436513229888758 -0.90192545895536258  -0.2943959838658573 -0.41946008570448329 -0.18741244752766112 -0.23095988840818985  0.51463887631128546,  0.55270665884017944 -0.050121311098337173   0.21581342816352844,   -0.70399022102355957  -0.0064216735772788525 -0.00072315457509830594     0.71018028259277344,-1.4769567314942833e-05 -1.7631418813834898e-05 -1.2376249287626706e-05,-0.025305358693003654    1.2010118961334229 0.0058785281144082546,  0.24795138835906982  0.028372412547469139  0.065234176814556122  0.028372412547469139   0.23021076619625092 -0.023420942947268486  0.065234176814556122 -0.023420942947268486   0.18760767579078674,   -1.0707877845348435   -0.40872520502688303    -1.1671132891253322    0.70965042748660778    0.50484939720973898   0.013477068982581386 1.1954999656893506e-05,2.3916238205856644e-05
IIWA_7,1714657558.6839755,-0.48054866338302121   1.1161293348037693 0.018357675341686187  -1.3100274424726484  -1.9494627440140944  -1.8742257560259001 -0.91783673166088198,-5.1980490125458747e-05 -4.4583562018829999e-06 -5.0684008841099845e-06  1.6536453839881477e-05 -0.00010559990609298011 -7.7327141911919258e-06  1.2152987318852022e-05, 0.35891467666625976   64.595232051849365  -1.7721946907043458  -16.126707572937011 -0.94904415130615238   1.9120633659362793 -0.30404777908325198,  32.763245468001344   3.6812573077448456   19.814344921156522  -8.9644474628141992 -0.34098085424622854  0.50516601352330592  0.51458937417353023,0.55270648002624512 -0.0501214899122715 0.21581330895423889,   -0.70399028062820435  -0.0064216530881822109 -0.00072290207026526332     0.71018022298812866,-1.9146622435073368e-05 -2.1303207176970318e-05  -1.471163886890281e-05,-0.025305364280939102    1.2010117769241333 0.0058785504661500454,  0.24795140326023102  0.028372440487146378  0.065234147012233734  0.028372440487146378   0.23021076619625092 -0.023420967161655426  0.065234147012233734 -0.023420967161655426   0.18760764598846436,   -1.0707888437311297   -0.40872587339801925    -1.1671143211779977    0.70965099709141555    0.50485003724531907   0.013477603860501119 1.1955056500312367e-05,2.948507790279109e-05
IIWA_7,1714657558.6889758,-0.48052115961200365   1.1161390419978197 0.018388654608659852  -1.3100550661259689  -1.9494636069048767  -1.8742179662941993 -0.91783673166088198,   0.001058566448602329  0.00038472107705276578   0.0012351159582393448  -0.0010917169697497329 -0.00011899555616969065  0.00030540309667869987  9.7223898550816188e-06, 0.12098247528076173    64.42720083618164  -2.2519990158081056  -15.748146362304688 -0.97105352401733402   1.8850294799804688 -0.30338027572631837, 32.763484970135828   3.681456092983673  19.814411065692671 -8.9646083753251897 -0.3410641550385789 0.50512303991706275 0.51461292225385846,  0.55270642042160034 -0.050121799111366272   0.21581332385540009,   -0.7039903998374939 -0.0064216041937470436 -0.0007230057381093502    0.71018010377883911,-1.7302902051596902e-05 -2.9412933145067655e-05 -1.1100436495325994e-05,-0.025304879993200302    1.2010117769241333 0.0058787479065358639,  0.24795140326023102   0.02837245911359787   0.06523413211107254   0.02837245911359787   0.23021073639392853 -0.023420998826622963   0.06523413211107254 -0.023420998826622963   0.18760767579078674,   -1.0707897906225838   -0.40872689782567306    -1.1671157561377044    0.70965200505579418    0.50484999079092319   0.013476789604283113 1.1954891299126302e-05,3.285915227024816e-05
IIWA_7,1714657558.6939731, -0.4800704329141654   1.1162208942309135 0.018893310344138554  -1.3102912152824162  -1.9494705098566012  -1.8741923799855313 -0.91783565304740433,   0.018875921072411626   0.0035818661853970488    0.021174322185739555   -0.010319339833692522 -0.00037131451391384537   0.0012677748240630371  5.0922450989875807e-05, -8.5884114952087405   60.773530082702635  -8.4868141174316403  -11.764449901580811 -0.82138978958129882   2.1703871650695801 -0.33241667175292966,  32.763604960863226   3.6815212914319906   19.814448404599485  -8.9646363968546439 -0.34106452292343126  0.50510797916703132   0.5145873616416099,  0.55270630121231079 -0.050122037529945374   0.21581332385540009,   -0.70399051904678345  -0.0064215091988444328 -0.00072295020800083876     0.71017998456954956,-1.7487014702055603e-05 -3.3082698791986331e-05 -9.0213279690942727e-06,-0.025304699316620827    1.2010118961334229 0.0058787255547940731,  0.24795140326023102  0.028372474014759064  0.065234124660491943  0.028372474014759064   0.23021072149276733 -0.023421023041009903  0.065234124660491943 -0.023421023041009903   0.18760769069194794,   -1.0707905106386306   -0.40872767483879358    -1.1671167650666447    0.70965266771327862    0.50485008514744578   0.013476379864485466 1.1954770506861223e-05,3.524649582686834e-05
IIWA_7,1714657558.6989734,-0.47961077798453861   1.1162045358052499 0.019455010966304826  -1.3104563578999076  -1.9494686882564609  -1.8741630785253842 -0.91783313639170594,    0.03348693404300114   0.0022111559217732565    0.039407482635242512   -0.014861176566607731 -0.00022418760551972576   0.0021862782651353978  0.00014140418872759801, -17.441640186309815   60.973823291778565  -13.159844131469727  -12.100753116607665 -0.59513343811035158   1.8269566879272461 -0.27134011459350588,  32.732964467472705   3.6653006708836982   19.793973921666133  -8.9475581386291196 -0.33431405964623706  0.51099028104982158   0.5110946150651603,  0.55270242691040039 -0.050091799348592758   0.21580839157104492,   -0.70397794246673584  -0.0064273620955646038 -0.00070253224112093449     0.71019238233566284,-0.00016927464457694441   0.0011831303127110004 -0.00020485196728259325,-0.025304192677140236    1.2010117769241333 0.0058788340538740158,  0.24795155227184296  0.028369858860969543  0.065234847366809845  0.028369858860969543   0.23021546006202698 -0.023416897282004356  0.065234847366809845 -0.023416897282004356   0.18760372698307037, -1.0706476070199145 -0.40861778106915381  -1.1669049478006954  0.70953134594908818  0.50486488102574612 0.013591119486733305 1.19758691852212e-05,0.0011103581637144089
IIWA_7,1714657558.7039757,-0.47932627240858638   1.1161986635358985 0.020084602169296722  -1.3107824486723656  -1.9494755910336525   -1.874170628601562 -0.91783283674048999,   0.038169770272489745   0.0015340339633606887    0.056709634227869864   -0.024932572151607907 -0.00045546117208056827   0.0014470195649959536  0.00012510939962013582, -21.330554641723634   60.687498100280763  -14.103606033325194  -11.928199634552001 -0.92791515350341791   2.1320057220458986 -0.28368892669677737,  32.256365288001348    3.589393389117947   19.413554970009759   -8.794361530638513 -0.28667434047729118  0.63303236062085155  0.49391090169988217,  0.55269187688827515 -0.049632381647825241   0.21581979095935822,  -0.70379006862640381 -0.0066343802027404308 -0.0004409061511978507    0.71037691831588745,-0.0005653371918015182   0.019322330132126808 0.00029483975959010422,-0.025304008275270462    1.2010118961334229 0.0058787898160517216, 0.24792160093784332 0.028345372527837753 0.065259538590908051 0.028345372527837753  0.23028305172920227 -0.02335067093372345 0.065259538590908051 -0.02335067093372345  0.18757359683513641,   -1.0690944614104581   -0.40687885810442026    -1.1639331772146377    0.70788014064504523    0.50529362050077964   0.015495436811896468 1.2325830134329863e-05,0.017702236771583557
IIWA_7,1714657558.7090039,-0.47922200971156459   1.1161836832658456 0.020888503986174582  -1.3112485750646925  -1.9494743446940337  -1.8741707484838652 -0.91783247720266414,   0.034706324098863608  0.00062801636857388182    0.077523780057410285   -0.038591113414362499 -0.00031451535291072063    0.001152820359868939  0.00011446903272989854, -20.166434379577638   60.004619239807127  -12.036485748291016  -11.611264667510985 -0.54143056869506834   1.8456467819213866 -0.29270022201538087,  31.859408959667562   3.6632416287331226   19.036129949187064   -8.748976782768155 -0.28922999187958931  0.75788512100740879  0.50408482740392757,  0.55271756649017334 -0.049164142459630966   0.21590407192707062,    -0.7036125659942627  -0.0069119464606046677 -0.00023218292335513979     0.71055018901824951,0.00055395509116351604   0.034186180680990219  0.0036126733757555485,-0.025303684175014496    1.2010140419006348 0.0058787539601325989,  0.24786782264709473  0.028326356783509254  0.065295308828353882  0.028326356783509254   0.23034955561161041 -0.023278761655092239  0.065295308828353882 -0.023278761655092239   0.18756642937660217,   -1.0677587202154726   -0.40504258835749596    -1.1609576474436167    0.70625290277614994    0.50576637594357265   0.017407673670533086 1.2676331095917703e-05,0.031480401754379272
IIWA_7,1714657558.7139769,-0.47922200971156459   1.1161836832658456 0.020888503986174582  -1.3112485750646925  -1.9494743446940337  -1.8741707484838652 -0.91783247720266414,   0.034706324098863608  0.00062801636857388182    0.077523780057410285   -0.038591113414362499 -0.00031451535291072063    0.001152820359868939  0.00011446903272989854, -20.166434379577638   60.004619239807127  -12.036485748291016  -11.611264667510985 -0.54143056869506834   1.8456467819213866 -0.29270022201538087, 31.615823118963515  3.6644880117349672  18.746055849130492 -8.6506682598318392  -0.266708163556996 0.88212061288599697 0.49015505670864407,  0.55268800258636475 -0.048746522516012192   0.21597650647163391,   -0.70337992906570435  -0.0071052396669983864 -2.0175579265924171e-05     0.71077859401702881,-0.00076461496064439416    0.044049587100744247   0.0057977521792054176,-0.025294309481978416     1.201043963432312 0.0058847861364483833,  0.24783723056316376  0.028297083452343941  0.065322026610374451  0.028297083452343941   0.23041673004627228 -0.023214569315314293  0.065322026610374451 -0.023214569315314293   0.18753962218761444,  -1.0660322184365967  -0.40347848818989007   -1.1579675937065659    0.7047216844284776   0.50605273476289625  0.019245298458869797 1.302764474075957e-05,0.040686164051294327
IIWA_7,1714657558.7190111,-0.47909246024800761   1.1161570782303096 0.023413220705788648  -1.3125467662339569  -1.9494777002640535  -1.8741510344445484 -0.91783247720266414,   0.027076204126757545 -0.00055441308843677377     0.14175090086744024   -0.071890751940743847 -0.00031633774136296064   0.0014889755417568117   7.326018094713507e-05, -15.499199333190917   58.974923950195311  -11.406137313842773  -11.395572814941406 -0.76944766998291014   1.9220759162902832 -0.30404777908325198,  31.476362894860664   3.6581577951593722    18.46449383514058  -8.5413640019224246 -0.24612123874907216   1.0086862283016274  0.46502122308475735,  0.55262786149978638 -0.048349935561418533    0.2160649448633194,  -0.70307755470275879 -0.0072441967204213142 0.00016637251246720552    0.71107625961303711,-0.0030462015420198441   0.051096431910991669  0.0081951376050710678,-0.025258105248212814    1.2010738849639893 0.0058637824840843678,  0.24781771004199982  0.028252573683857918  0.065348200500011444  0.028252573683857918   0.23048911988735199 -0.023149410262703896  0.065348200500011444 -0.023149410262703896   0.18750080466270447,   -1.0636861895960692   -0.40202311619186304    -1.1545851191447909    0.70319586644895793    0.50610109748028265   0.021040502414138018 1.3389263919805217e-05,0.047463130205869675
IIWA_7,1714657558.7239549,-0.47895631943944733    1.116137304304383  0.02507830888175485  -1.3133981855123849   -1.949475974657022  -1.8741466602131107 -0.91783187800931532,  0.027106595643817281 -0.0012344875078161941    0.18000424773260026  -0.091569372689711548 -0.0001840459118308242  0.0013661496909147105 8.2575878710786657e-05, -16.039587722778322   59.141610916137694  -12.519811573028564  -11.077757472991943 -0.69461580276489254   1.9010495605468749 -0.28969645690917967,  31.304125633539012   3.6685804658077408   18.080433488772627  -8.4178176922865084 -0.22936811614148772   1.1675232570611973  0.43663440297804623,  0.55255228281021118 -0.047868017107248306   0.21618972718715668,  -0.70267057418823242 -0.0074121016077697277 0.00037320077535696328    0.71147662401199341,-0.0055003548040986061   0.060142900794744492   0.011583160609006882,-0.025305425748229027    1.2011030912399292  0.005747784860432148,  0.24779203534126282  0.028190979734063148  0.065383844077587128  0.028190979734063148   0.23058108985424042 -0.023066058754920959  0.065383844077587128 -0.023066058754920959   0.18745242059230804,   -1.0605199603652693   -0.40023918066989239    -1.1501559262470096    0.70134747059036329    0.50606755551019234   0.023256282744910095 1.3843973967198053e-05,0.056301794946193695
