DesiredFlux,1.14,HitTime,1714657658.8848407,DesiredPos,0.55022698640823364 0.30753016471862793  0.2197456955909729
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714657658.3492713,-0.47195159985694546   1.1207110837079806 0.016630089434116868  -1.2943083339684285  -1.9548973502389544  -1.8821876556217656 -0.91333150202715196, 0.00068966667667140545 -7.4255791574630748e-06 -5.1423654905378489e-05  3.3449729472843334e-05 -5.5815168748405928e-05   -2.04571639671178e-07  0.00018917359330987242,-0.69228860855102536   64.861393497467034  -1.9306621742248535   -16.21386468887329  -1.0177133941650391   1.8586630973815919 -0.27901640319824217,-0.051621647446323499  -0.17893170201279393   0.21039972608854055   -1.3623290782631048 0.0043538083595064947  0.038807786375128508   0.69837151258112473,  0.55463886260986328 -0.047906845808029175   0.21629191935062408, -0.70512640476226807 -0.013379946351051331 0.0041028656996786594   0.70894348621368408,3.9399492379743606e-05 0.00054999027634039521 -1.146183603850659e-05,-0.0016519434284418821     1.2450004816055298  0.0012930689845234156, 0.24621738493442535 0.029632829129695892 0.065742410719394684 0.029632829129695892  0.23026786744594574 -0.02308744378387928 0.065742410719394684 -0.02308744378387928  0.18867479264736176,   -1.1177410593914416   -0.39600646843673815    -1.1775826885607188    0.71690059572215858    0.53211830895438794   0.042926025514589128 1.6473844510755953e-05,0.00050500431098043919
IIWA_7,1714657658.3542812,-0.47195513523951149   1.1207110837079806 0.016629310471855088  -1.2943079144349097  -1.9548975420506391  -1.8821875957351557 -0.91333048330028421,0.00041031803869578986  -5.94046332597046e-06 -7.229741439552533e-05 4.3541124330833222e-05 -5.232460238903199e-05 2.2318070839955182e-06 0.00019208794935797599,-0.78907458877563474   64.827787254333501  -1.9773220443725585  -16.218266563415526  -1.0185937690734863   1.8576618423461915  -0.2770138931274414, 33.356301257687697    3.93890025167026  20.452290224264971 -8.9831140099968447 0.51478556475896198  1.2015658890838432 0.69830893252427884,  0.55463886260986328 -0.047908850014209747   0.21629193425178528, -0.70512670278549194  -0.01337858010083437 0.0041018449701368809   0.70894324779510498, 2.9500663004000671e-05  0.00035980952088721097 -8.2045498857041821e-06,-0.0016518929041922092     1.2450006008148193   0.001293109031394124,  0.24621754884719849  0.029632825404405594  0.065742328763008118  0.029632825404405594   0.23026762902736664 -0.023087689653038979  0.065742328763008118 -0.023087689653038979   0.18867486715316772,    -1.117743338334698   -0.39601391258603513    -1.1775915476439636    0.71690769661891807    0.53211523020024742   0.042918150575665948 1.6472370134579251e-05,0.00033065446768887341
IIWA_7,1714657658.3592823,-0.47195825108855866   1.1207110837079806 0.016628112085157437  -1.2943076747793867  -1.9548977338623239  -1.8821876556217656 -0.91332946468249954, 0.00020362046907007641 -4.7523706607763687e-06 -0.00010577339942243871  4.4419120383955316e-05  -4.953214930153284e-05 -6.1001872853604591e-07  0.00019441507087342264,-0.82402508163452148   64.811656257629394  -1.9914080429077148  -16.208582439422607  -1.0133115196228026   1.8576618423461915   -0.279350154876709, 33.361085993147242  3.9390864204116172  20.454709053157913 -8.9838237579054585 0.51461294539528279   1.200798687196627 0.69816901924854735,  0.55463868379592896 -0.047911133617162704   0.21629181504249573, -0.70512712001800537 -0.013376888819038868 0.0041008740663528442   0.70894289016723633, 1.8116299543180503e-05  0.00019648947636596859 -1.1286069820926059e-05,-0.0016518186312168837     1.2450004816055298  0.0012930859811604023,  0.24621777236461639  0.029632817953824997  0.065742224454879761  0.029632817953824997   0.23026736080646515 -0.023087974637746811  0.065742224454879761 -0.023087974637746811   0.18867489695549011,   -1.1177456677300412   -0.39602244225278582    -1.1776015464439737    0.71691559299669194     0.5321117979457668   0.042909271686042416 1.6470671937440784e-05,0.00018097618885803968
IIWA_7,1714657658.3642836,-0.47193284454880352   1.1207199520531592 0.016657473431914503  -1.2943343397015326  -1.9548968709715417  -1.8821757913098429 -0.91332874560684774,  0.0011791579654614639  0.00035093191061772464   0.0010898351507446925  -0.0010310615895276053 -5.1100881548015096e-06  0.00047408446192446905  0.00018429508277075876, -1.0175970420837401   64.692018032073975  -2.4668104934692381  -15.861714725494384  -1.0564498901367188   1.8119378623962403 -0.27968390655517578, 33.364750010238218  3.9390459023295268  20.456763561008469 -8.9842367014290758 0.51453738298121177  1.2001854243761931  0.6980127987861674,  0.55463850498199463 -0.047913301736116409   0.21629162132740021,  -0.7051275372505188 -0.013375189155340195 0.0041001331992447376    0.7089424729347229, 5.9978983699693345e-06  7.0392030465882272e-05 -1.7179188944282942e-05,-0.0016517803305760026     1.2450002431869507  0.0012930735247209668,  0.2462180107831955 0.029632832854986191 0.065742090344429016 0.029632832854986191  0.23026709258556366 -0.02308826707303524 0.065742090344429016 -0.02308826707303524  0.18867491185665131,   -1.1177487457274538   -0.39603074738003841    -1.1776122012863155    0.71692292326286378    0.53210884910637191   0.042900964814407416 1.6469044794575893e-05,6.6573913500178605e-05
IIWA_7,1714657658.3692811, -0.4715113594245024   1.1207949133991169 0.017148347284037906  -1.2945402286666579  -1.9548926525107397  -1.8821146717338504 -0.91332628883775935,  0.017802731344414138  0.0032791993667996167   0.020506822205531849 -0.0090604078766341016 0.00016465036155647637  0.0028240506092407679 0.00024570682975213099, -9.5132553062438969   61.379786708831787  -8.5774927330017086  -12.450261955261229 -0.93847965240478515   2.0585803527832032 -0.29703899383544924, 33.337238048592617  3.9234027348827021  20.438331538815945 -8.9686586263236858 0.52051270858387155  1.2044239386574396 0.69473921909123049,  0.55463552474975586 -0.047885008156299591   0.21628636121749878,  -0.7051163911819458  -0.01337894145399332 0.0041178110986948013    0.7089533805847168,-0.00011334930604789406   0.0011881203390657902   -0.000223910654312931,-0.0016517777694389224     1.2450001239776611  0.0012930656084790826, 0.24621827900409698 0.029629930853843689 0.065742857754230499 0.029629930853843689  0.23027157783508301  -0.0230843685567379 0.065742857754230499  -0.0230843685567379  0.18867117166519165,   -1.1175957324436325   -0.39592920185427261    -1.1774035172695818    0.71680781096894464    0.53211291417110118   0.042996024928854126 1.6487864407110919e-05,0.0011119194095954299
IIWA_7,1714657658.3742795,-0.47109676507825432   1.1207923367477257 0.017688955602193829  -1.2947041129017585  -1.9548866124497974  -1.8820407890013702 -0.91332239391736736,  0.030825958925454356  0.0025202934377941094   0.038029790490662407  -0.013803695705331628 0.00037332272693684919  0.0052145497866011234  0.0003523622794812701, -17.581442157745361   61.741389884948731  -12.785684795379639  -12.472271327972411 -0.80378229141235347   1.8059303321838378  -0.2466424903869629, 32.891907875151446  3.8615563457809521  20.077256517395544 -8.8372446263311879 0.55762848732358039  1.3097101398422866 0.68238868930161478,  0.55463671684265137 -0.047451406717300415   0.21629750728607178, -0.70494401454925537 -0.013572595082223415 0.0043439799919724464   0.70911979675292969,-5.0147733418270946e-05    0.018294066190719604  0.00026910216547548771,-0.0016516898758709431     1.2450000047683716  0.0012930938974022865,  0.24618673324584961  0.029602982103824615  0.065768450498580933  0.029602982103824615   0.23033632338047028 -0.023020628839731216  0.065768450498580933 -0.023020628839731216   0.18864564597606659,   -1.1159504164144352    -0.3942952067337302     -1.174466675206709    0.71526568141511149    0.53242603441905345   0.044691455760137444 1.6824463600073614e-05,0.016752617433667183
IIWA_7,1714657658.3792796,-0.47084539599623126   1.1208036019753826 0.018336223608933003  -1.2950258294427788  -1.9548906390989147  -1.8820270670046249 -0.91332023679949503,  0.034715530421285737   0.002466843856512543   0.056314552662096909  -0.023911618205077763 0.00013759221685946904  0.0047205196990936782 0.00036817453847804181, -20.624823535919191   60.969790542602539  -13.701274700164795  -12.165020484924316 -0.99658439636230467   2.0992980575561524 -0.24897875213623047, 32.530320766394055  3.9112767328411921    19.7343092618882 -8.7881553349760768 0.55885543652676151  1.4134252175927966 0.68918352186846532,  0.55466276407241821 -0.047014743089675903   0.21636267006397247,  -0.7047799825668335 -0.013812609016895294 0.0045276051387190819   0.70927703380584717,0.00098326592706143856   0.032101355493068695  0.0028268524911254644,-0.0016516185132786632     1.2450020313262939  0.0012931631645187736,  0.24613803625106812  0.029578857123851776  0.065801709890365601  0.029578857123851776   0.23040036857128143 -0.022952534258365631  0.065801709890365601 -0.022952534258365631   0.18863683938980103,   -1.1144195997188078     -0.392598549232126    -1.1715026672556306    0.71374123592704564      0.532748742272382   0.046366492044924712 1.7156856380040608e-05,0.029520012438297272
IIWA_7,1714657658.3842795,-0.47074305076155892   1.1207919173232896 0.019172422961785174  -1.2954866228724933  -1.9548851742984936  -1.8820104089277454 -0.91331879864819132,  0.031866233723922222   0.001506089001489934   0.078499616243764336  -0.037561031752642256 0.00032866579033050862  0.0044427388344529424 0.00035206568293091563, -19.498342266082762   60.578613872528074  -11.799664897918701  -11.544356174468994 -0.70518030166625978   1.7742239227294923 -0.26933760452270505, 32.293851104865269   3.904099725266565  19.443076668600373 -8.6860260826002289 0.58167555779707025  1.5334510891971855 0.67402838923970332,  0.55463415384292603 -0.046610299497842789   0.21642570197582245, -0.70454388856887817 -0.013988856226205826 0.0047248126938939095    0.7095068097114563,-0.00037985894596204162     0.04185573011636734   0.0047935866750776768,-0.0016508251428604126     1.2450315952301025  0.0012953854165971279, 0.24610942602157593 0.029544800519943237 0.065828494727611542 0.029544800519943237  0.23046799004077911 -0.02288941852748394 0.065828494727611542 -0.02288941852748394  0.18860860168933868,   -1.1124823793737804    -0.3911046541817953     -1.168423236909355    0.71227528891082414    0.53293353797290166   0.048097906915955946 1.7515523254019172e-05,0.038574926555156708
IIWA_7,1714657658.389281,-0.47068462761017765   1.1207859851673283 0.020296782937292458  -1.2960673784540173  -1.9548836403286141  -1.8819987842713457 -0.91331831933714547,  0.027829913034388601 0.00096758496273829844    0.10777409201530284  -0.053279048663075382 0.00032429142744694919  0.0040191773235503632 0.00030082498817886907, -16.331289913177489   60.179371704101563  -11.116493968963622   -11.53291130065918 -0.79321779251098634    1.889702003479004 -0.27000510787963866, 32.135333737552891   3.907913948802697  19.137936859643737 -8.5786313981359612 0.59800326991708652   1.665380782893815 0.65116523003198401,  0.55457901954650879 -0.046206478029489517   0.21651546657085419,   -0.704234778881073 -0.014131459407508373 0.0049028843641281128   0.70980960130691528,-0.002537252614274621  0.049631558358669281 0.0074451575055718422,-0.0016494361916556954     1.2450608015060425  0.0012897764099761844,  0.24608789384365082  0.029496423900127411  0.065856993198394775  0.029496423900127411   0.23054289817810059 -0.022822549566626549  0.065856993198394775 -0.022822549566626549    0.1885705441236496,   -1.1099383241859329    -0.3896404581205104    -1.1648852888379579    0.71075628276240366     0.5329261077831049   0.049872009964424535 1.7898687865169904e-05,0.046008218079805374
IIWA_7,1714657658.3942816,-0.47057359379923969   1.1207770569355398 0.021725122763462619  -1.2967919446934997  -1.9548888174987744  -1.8819778718453313  -0.9133173606059708,  0.026705282865029524 0.00041693869864856061    0.14335286665904873  -0.071605888509754717 5.2346335543434228e-05  0.0040518388994174905 0.00027900923752996378, -15.652443801879883   59.512623840332033  -11.262636203765869  -11.547877674102782 -0.94200115203857415   1.8266229362487794 -0.27734764480590818, 31.937879534674977  3.9218783027574373  18.736198656799885 -8.4534453075668061 0.61253894858092073  1.8303915343690047 0.62507659602711696,  0.55450767278671265 -0.045712362974882126   0.21663878858089447, -0.70382237434387207 -0.014308164827525616 0.0051091797649860382   0.71021354198455811,-0.0049246493726968765   0.059459753334522247   0.010925454087555408,-0.0016531189903616905     1.2450916767120361  0.0012607808457687497,  0.24606026709079742  0.029431968927383423  0.065894678235054016  0.029431968927383423   0.23063765466213226 -0.022737758234143257  0.065894678235054016 -0.022737758234143257    0.1885225921869278,   -1.1066021491590305   -0.38784249281054173    -1.1603255749372821    0.70891670647910132    0.53286292869358931   0.052095890398895506 1.8384880284827432e-05,0.055532284080982208
