DesiredFlux,1.18,HitTime,1714657815.4848406,DesiredPos,0.54844838380813599 0.29462236166000366   0.220009446144104
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714657814.9618418,-0.48061865130419235   1.1198219740443558 0.018397163416012559  -1.3019561868726717  -1.9531057566718129  -1.8784000413446886 -0.91419538481085161,-0.00010202013497028739 -3.9665490012214384e-06 -1.1970422782175685e-05   8.670036589650194e-06   -1.83760878557502e-05 -6.3765115956331737e-06  3.3272008683336991e-05,  0.3064889373779297   64.767296016693109  -1.7510656929016113  -16.076526203155517  -1.0097900199890137   1.9050545806884767 -0.25698879241943362, -0.44538357639427628  -0.97150313004699451  -0.20534228909663987   -0.5322613509074825 -0.019691067595935523  -0.24352335070991665   0.47092440795033985,  0.55323892831802368 -0.051079630851745605   0.21544469892978668,  -0.70427036285400391 -0.0079639796167612076  0.0013870567781850696    0.70988583564758301,-3.3004389479174279e-06 -1.3436389963317197e-05  -4.102377886283648e-07,-0.0022211137693375349     1.2885973453521729  0.0021163297351449728,  0.24738955497741699   0.02887948602437973  0.065375536680221558   0.02887948602437973    0.2300865650177002 -0.023481359705328941  0.065375536680221558 -0.023481359705328941    0.1879812628030777,   -1.0910827868890749   -0.41023210152779654    -1.1763122393855241    0.72081741564833379    0.51492781432571633   0.022180281792572032 1.3183595548582616e-05,1.2675315701926593e-05
IIWA_7,1714657814.9668529,-0.48061961003536707   1.1198220939266588 0.018397043533709564  -1.3019561269860618  -1.9531057566718129  -1.8784002211136017 -0.91419538481085161,-0.00011996535496531884  1.6220529179648784e-06 -1.4371630345515246e-05  9.3314936674526158e-06 -1.4700870284600161e-05 -1.2291965800062813e-05  2.6617606946669593e-05, 0.28094819259643555   64.792836761474604  -1.7660320663452149  -16.080047702789308  -1.0089096450805664   1.9047208290100097 -0.25832379913330078, -0.44406860054138431  -0.97131208656903689  -0.20470093925378471  -0.53252809747739216 -0.019738324301926395  -0.24361063813997577   0.47091359998611265,  0.55323886871337891 -0.051080301403999329   0.21544474363327026,  -0.70427042245864868 -0.0079635679721832275  0.0013866722583770752    0.70988577604293823,-5.2230366236472037e-06 -3.7552115827566013e-05  1.6161479834408965e-06,-0.0022210848983377218     1.2885971069335938  0.0021163562778383493,  0.24738959968090057  0.028879474848508835  0.065375514328479767  0.028879474848508835   0.23008649051189423 -0.023481437936425209  0.065375514328479767 -0.023481437936425209   0.18798127770423889,  -1.0910830208201716  -0.41023462862810334     -1.17631471349533   0.72081969783877042   0.51492665412311567  0.022177795655053956 1.318316833476274e-05,3.4749849874060601e-05
IIWA_7,1714657814.9718387,-0.48061996957319297   1.1198222138089617 0.018396863764796607  -1.3019560670994517  -1.9531059483089648  -1.8784002211136017 -0.91419502527302565,-0.00011035379700826539  6.0929344533139325e-06 -1.8688060794694912e-05  9.8606593385763381e-06 -1.9426182304682147e-05  -9.833572640050252e-06  3.5675598595566438e-05,0.27691544342041013  64.825098754882816 -1.7748358154296875 -16.080928077697752 -1.0115507698059081  1.9063895874023438 -0.2573225440979004,  35.07136078834305   3.897133696175592  21.223828680582788 -9.2520800575721882 0.10628976791260918 0.84365744901105499 0.47086006956242205,  0.55323880910873413 -0.051081098616123199   0.21544469892978668,  -0.70427048206329346 -0.0079629784449934959  0.0013863263884559274    0.70988571643829346,-7.4275108090660069e-06 -6.2002894992474467e-05 -2.1825722740231868e-07,-0.0022210488095879555     1.2885971069335938   0.002116361865773797,  0.24738968908786774  0.028879463672637939  0.065375469624996185  0.028879463672637939   0.23008640110492706 -0.023481536656618118  0.065375469624996185 -0.023481536656618118   0.18798127770423889,   -1.0910834455755136    -0.4102376881354175    -1.1763179132708856      0.720822448446512    0.51492534238040122   0.022174777210892671 1.3182646085851957e-05,5.7183697208529338e-05
IIWA_7,1714657814.9768682,-0.48062014934210595   1.1198222138089617 0.018396624109273695  -1.3019560670994517  -1.9531061401206495  -1.8784002211136017 -0.91419490549980575,  -9.54737941257277e-05   4.874347562651146e-06 -2.4536669552269107e-05  7.8885274708610715e-06 -2.3213413234052967e-05 -7.8668581120402016e-06  3.3331407672358961e-05, 0.27691544342041013   64.858704998016364  -1.7748358154296875  -16.087090702056884    -1.01419189453125   1.9057220840454101 -0.25598753738403318, 35.071686445979367  3.8970816977235625  21.223986949137746 -9.2520934656680538  0.1062569559506966  0.8436015097301901 0.47085619298933734,  0.55323868989944458 -0.051081672310829163   0.21544466912746429,  -0.70427048206329346 -0.0079626245424151421  0.0013860429171472788    0.70988571643829346,-9.1699112090282142e-06 -7.2534436185378581e-05 -1.8692727508096141e-06,-0.0022209945600479841     1.2885969877243042  0.0021163159981369972,  0.24738974869251251  0.028879458084702492  0.065375439822673798  0.028879458084702492   0.23008634150028229 -0.023481611162424088  0.065375439822673798 -0.023481611162424088    0.1879812628030777,   -1.0910838164450709   -0.41023998809119888    -1.1763203208641215    0.72082458521638415    0.51492448823431403   0.022172922264473982 1.3182355651508715e-05,6.6971937485504895e-05
IIWA_7,1714657814.9818385,-0.48059240580648238   1.1198324603097509 0.018427843031770273  -1.3019838105259922  -1.9531059483089648  -1.8783891956505507 -0.91419472573089278,  0.0010333623896422184  0.00041375950961729832   0.0012291275642213307   -0.001103426239645296 -1.0898263196935129e-05  0.00043472503554973927  3.3855882657002549e-05,0.067212486267089838   64.731001274108891  -2.2599223899841308  -15.751667861938476  -1.0362012672424317   1.8606656074523926 -0.25598753738403318, 35.071573328815717  3.8968783863238103  21.224049905366417 -9.2519735407734665 0.10633710635228606 0.84354414991851023 0.47079283207350892,   0.5532386302947998 -0.051081936806440353   0.21544454991817474,  -0.70427054166793823 -0.0079623283818364143  0.0013861312763765454    0.70988565683364868,-9.8179989436175674e-06 -6.8500994530040771e-05 -5.9925723689957522e-06,-0.0022209617309272289     1.2885971069335938   0.002116331597790122,  0.24738979339599609  0.028879459947347641  0.065375417470932007  0.028879459947347641    0.2300863116979599 -0.023481648415327072  0.065375417470932007 -0.023481648415327072    0.1879812479019165,   -1.0910841880837907   -0.41024098725372937    -1.1763215181614939    0.72082545619700511    0.51492428549781977   0.022172090718086679 1.3182170022218997e-05,6.3606035837437958e-05
IIWA_7,1714657814.9868371,-0.48013430880137914   1.1199203046944992  0.01893177969159715  -1.3022295471032699  -1.9531057566718129   -1.878339401188825 -0.91419292804176322,   0.019150570115843448   0.0038447829976255335    0.021140768444452149   -0.010712204082822897 -1.0531244805460881e-06   0.0023395584974679963  9.8992271307874079e-05, -8.9809324150085441   60.921397552490234  -8.6813769721984855  -11.765330276489257 -0.92087215423583979   2.1413507690429689 -0.28268767166137693, 35.040643234747272  3.8797412312465704  21.203920705883373 -9.2348020981139101  0.1131248212370978  0.8485050377024369 0.46725701017927956,  0.55323535203933716 -0.051051627844572067   0.21543882787227631,  -0.70425856113433838 -0.0079670753329992294  0.0014057622756808996    0.70989745855331421,-0.00013748853234574199   0.0011698860907927155 -0.00023226343910209835,-0.0022208830341696739     1.2885971069335938  0.0021163232158869505,   0.2473900318145752  0.028876569122076035   0.06537618488073349  0.028876569122076035   0.23009110987186432 -0.023477477952837944   0.06537618488073349 -0.023477477952837944   0.18797723948955536,   -1.0909294789342994   -0.41012986176003352    -1.1761024194623104    0.72070134939661301     0.5149334160989838   0.022279478418596455 1.3202356541341942e-05,0.0010994300246238708
IIWA_7,1714657814.9918389,-0.47966332875748535   1.1199064629245339 0.019477721081448698  -1.3024039774903757  -1.9530999082480223  -1.8782869701890983 -0.91419005184823909,  0.034159657848426249  0.0025221555994873008   0.038750270349623639  -0.015546978750492341 0.00023309445203911102  0.0039688867870439183  0.0001942415580113456, -18.097634052276611   61.166051002502442  -13.349124736785889  -11.973098754882812 -0.62858768463134762    1.787573989868164 -0.21693859100341797, 35.040646616028219  3.8797409918135917  21.203923005031317 -9.2348023702341386 0.11312521900075589 0.84850515015233652 0.46725701017927956,  0.55323535203933716 -0.051051627844572067   0.21543882787227631,  -0.70425856113433838 -0.0079670753329992294  0.0014057622756808996    0.70989745855331421,-0.00013748853234574199   0.0011698860907927155 -0.00023226343910209835,-0.0022208737209439278     1.2885993719100952  0.0021163958590477705,   0.2473900318145752  0.028876569122076035   0.06537618488073349  0.028876569122076035   0.23009110987186432 -0.023477477952837944   0.06537618488073349 -0.023477477952837944   0.18797723948955536,   -1.0909294789342994   -0.41012986176003352    -1.1761024194623104    0.72070134939661301     0.5149334160989838   0.022279478418596455 1.3202356541341942e-05,0.0010994300246238708
IIWA_7,1714657814.996839,-0.47938014155961689   1.1199045453531014 0.020088077665252835  -1.3027449885371936  -1.9531065235694862  -1.8782845733066198 -0.91418879346584836,   0.038655214193479476   0.0019410216222886267    0.055414479631864369   -0.026078024873107057 -7.8137296926877577e-05   0.0032709847287749265  0.00020572854203844328, -21.170588924407959   60.597433368682864  -14.049903163909912  -11.899147262573242 -0.93583852767944331   2.0889517555236816 -0.23863245010375977, 34.560836898739119  3.7907927116230269  20.828059388252655 -9.0749027047460906 0.16305508373962074 0.96526773058714999  0.4485760435506308,  0.55322742462158203 -0.050586998462677002   0.21544188261032104,  -0.70407283306121826 -0.0081652142107486725  0.0016659549437463284    0.71007883548736572,-0.00043391605140641332    0.019520359113812447 -6.1067010392434895e-05,-0.0022199281957000494     1.2885993719100952  0.0021195970475673676,  0.24736122786998749  0.028849465772509575  0.065400928258895874  0.028849465772509575   0.23016013205051422 -0.023410625755786896  0.065400928258895874 -0.023410625755786896   0.18794545531272888,    -1.089250665256003   -0.40836522766962702     -1.173043041314159    0.71900301411531586     0.5153146308041201   0.024146353305276591 1.3553139943667247e-05,0.017879240214824677
IIWA_7,1714657815.0018704,-0.47926089848345904   1.1198875278474791 0.020883171023562033  -1.3032400568518419  -1.9531004835085437  -1.8782854122645747 -0.91418801450358655,  0.035693894401097534 0.00087211707294214858   0.076135318037859445   -0.04066515248441744 0.00017909260015904784  0.0025832294648245376 0.00019574132410294862, -19.384081039428711   59.971012996673586  -11.893865013122559  -11.313697948455811 -0.67436717987060546    1.831962963104248 -0.25532003402709963,  34.16341698282951  3.8531932644946139  20.461284189827722 -9.0237969643037701 0.16356310910208274  1.0847805399660044 0.45732054957447926,  0.55325466394424438 -0.050116762518882751   0.21551667153835297,  -0.70390290021896362 -0.0084327049553394318  0.0018745516426861286    0.71024364233016968,0.0007198220700956881  0.034424956887960434 0.0029482452664524317,-0.0022199840750545263      1.288631796836853  0.0021196501329541206,  0.24730893969535828  0.028828782960772514  0.065435908734798431  0.028828782960772514   0.23022733628749847 -0.023338837549090385  0.065435908734798431 -0.023338837549090385   0.18793690204620361,   -1.0878325893237673   -0.40651565293181591    -1.1700305569304348    0.71733688282638042    0.51574803597809193   0.026009292601436584 1.3900961270962853e-05,0.031644314527511597
IIWA_7,1714657815.0068669,-0.47917808751919044   1.1198734463129079  0.02198595938401314  -1.3038523908936885  -1.9531015382110108  -1.8782792403440074 -0.91418801450358655,  0.031867554091621952 0.00013443227550270862    0.10501978884833182  -0.057025483661401352 0.00010108598144162447  0.0023134603945511633  0.0001565930592823589, -16.100078960418703   59.659147060394289  -11.135862216949462   -10.78283187866211 -0.62594655990600589   1.8526555671691896 -0.25532003402709963, 33.926261554924146  3.8418103981344434  20.184231661022437 -8.9171303752232998 0.19031706949406274   1.207159707479702 0.44072372949793248,  0.55322152376174927 -0.049704764038324356   0.21557913720607758,   -0.7036747932434082 -0.0086115393787622452  0.0020885381381958723    0.71046692132949829,-0.00077436637366190553    0.044016290456056595   0.0048675914295017719,-0.0022135130129754543     1.2886635065078735   0.002115562791004777,   0.2472817450761795  0.028798352926969528  0.065460927784442902  0.028798352926969528    0.2302946150302887 -0.023276269435882568  0.065460927784442902 -0.023276269435882568   0.18790759146213531,   -1.0860485157202504   -0.40497707279651962    -1.1670590307444328     0.7157953412386675    0.51599929753542995   0.027798745753315757 1.4250068680610184e-05,0.040555503219366074
