RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1714648499.9563615,0.58669978380203247 0.42127415537834167 0.28066533803939819,-0.0025280143599957228 0.00024846981978043914  -0.015761444345116615    0.99987256526947021,0.58669978380203247 0.42127415537834167 0.28066533803939819,-0.0025280143599957228 0.00024846981978043914  -0.015761444345116615    0.99987256526947021
1714648499.9613822,0.58669823408126831  0.4212874174118042 0.28065389394760132,-0.0024848240427672863 0.00022321689175441861  -0.015693066641688347    0.99987375736236572,0.58669823408126831  0.4212874174118042 0.28065389394760132,-0.0024848240427672863 0.00022321689175441861  -0.015693066641688347    0.99987375736236572
1714648499.9663632,0.58671176433563232 0.42128264904022217 0.28062465786933899,-0.0025205996353179216 0.00024190272961277515  -0.015705281868577003    0.99987345933914185,0.58671176433563232 0.42128264904022217 0.28062465786933899,-0.0025205996353179216 0.00024190272961277515  -0.015705281868577003    0.99987345933914185
1714648499.9713609,0.58671188354492188 0.42129835486412048 0.28060540556907654,-0.0025508594699203968 0.00027080654399469495  -0.015693381428718567     0.9998735785484314,0.58671188354492188 0.42129835486412048 0.28060540556907654,-0.0025508594699203968 0.00027080654399469495  -0.015693381428718567     0.9998735785484314
1714648499.976361,0.58666568994522095 0.42137393355369568 0.28056073188781738,-0.0027335062623023987 0.00015932139649521559  -0.015713367611169815    0.99987280368804932,0.58666568994522095 0.42137393355369568 0.28056073188781738,-0.0027335062623023987 0.00015932139649521559  -0.015713367611169815    0.99987280368804932
1714648499.9813828,0.58671772480010986 0.42131209373474121 0.28061097860336304,-0.0025074172299355268 0.00022469241230282933  -0.015773002058267593    0.99987244606018066,0.58671772480010986 0.42131209373474121 0.28061097860336304,-0.0025074172299355268 0.00022469241230282933  -0.015773002058267593    0.99987244606018066
1714648499.986361,0.58666306734085083 0.42137694358825684  0.2805381715297699,-0.0027050580829381943 0.00019641975814010948  -0.015673765912652016    0.99987345933914185,0.58666306734085083 0.42137694358825684  0.2805381715297699,-0.0027050580829381943 0.00019641975814010948  -0.015673765912652016    0.99987345933914185
1714648499.9913599,0.58671873807907104 0.42137017846107483 0.28055837750434875,-0.0025634306948632002 0.00025625826674513519  -0.015775082632899284    0.99987226724624634,0.58671873807907104 0.42137017846107483 0.28055837750434875,-0.0025634306948632002 0.00025625826674513519  -0.015775082632899284    0.99987226724624634
1714648499.9963593,0.58668529987335205 0.42144140601158142 0.28054055571556091,-0.002671603811904788 0.0003103752969764173 -0.015586348250508308   0.99987488985061646,0.58668529987335205 0.42144140601158142 0.28054055571556091,-0.002671603811904788 0.0003103752969764173 -0.015586348250508308   0.99987488985061646
1714648500.0013602,0.58664423227310181 0.42142176628112793 0.28060388565063477,-0.0024553495459258556 0.00032550084870308638  -0.015446333214640617    0.99987763166427612,0.58664423227310181 0.42142176628112793 0.28060388565063477,-0.0024553495459258556 0.00032550084870308638  -0.015446333214640617    0.99987763166427612
1714648500.0063612,0.58663070201873779 0.42153024673461914 0.28053852915763855,-0.0025453057605773211  0.0002956411917693913  -0.015619712881743908    0.99987471103668213,0.58663070201873779 0.42153024673461914 0.28053852915763855,-0.0025453057605773211  0.0002956411917693913  -0.015619712881743908    0.99987471103668213
1714648500.0113637,0.58664661645889282 0.42149534821510315 0.28054550290107727,-0.0026376608293503523 0.00012460416473913938  -0.015569431707262993    0.99987530708312988,0.58664661645889282 0.42149534821510315 0.28054550290107727,-0.0026376608293503523 0.00012460416473913938  -0.015569431707262993    0.99987530708312988
1714648500.0163598,0.58667361736297607  0.4214436411857605 0.28054264187812805,-0.0025367948692291975 0.00024370801111217588  -0.015518316999077797    0.99987632036209106,0.58667361736297607  0.4214436411857605 0.28054264187812805,-0.0025367948692291975 0.00024370801111217588  -0.015518316999077797    0.99987632036209106
1714648500.0213594,0.58667975664138794 0.42144599556922913 0.28055864572525024,-0.0024960625451058149 0.00021104907500557601  -0.015528100542724133    0.99987632036209106,0.58667975664138794 0.42144599556922913 0.28055864572525024,-0.0024960625451058149 0.00021104907500557601  -0.015528100542724133    0.99987632036209106
1714648500.0263619,0.58670514822006226 0.42148786783218384 0.28055942058563232,-0.0023763864301145077  0.0002019709354499355  -0.015678083524107933    0.99987423419952393,0.58670514822006226 0.42148786783218384 0.28055942058563232,-0.0023763864301145077  0.0002019709354499355  -0.015678083524107933    0.99987423419952393
1714648500.0313601,0.58669614791870117 0.42152106761932373 0.28055009245872498,-0.0026378287002444267 0.00011074434587499127  -0.015556526370346546    0.99987548589706421,0.58669614791870117 0.42152106761932373 0.28055009245872498,-0.0026378287002444267 0.00011074434587499127  -0.015556526370346546    0.99987548589706421
1714648500.0363662,0.58664566278457642  0.4215427041053772 0.28054910898208618,-0.0025859656743705273 0.00020125627634115517  -0.015520798042416573    0.99987620115280151,0.58664566278457642  0.4215427041053772 0.28054910898208618,-0.0025859656743705273 0.00020125627634115517  -0.015520798042416573    0.99987620115280151
1714648500.0413606,0.58663558959960938 0.42153364419937134 0.28053665161132812,-0.0027361300308257341  5.241696271696128e-05  -0.015593060292303562    0.99987465143203735,0.58663558959960938 0.42153364419937134 0.28053665161132812,-0.0027361300308257341  5.241696271696128e-05  -0.015593060292303562    0.99987465143203735
1714648500.0463645, 0.5866057276725769 0.42151358723640442 0.28056564927101135,-0.0025398649740964174  0.0002000592794502154  -0.015435021370649338    0.99987763166427612, 0.5866057276725769 0.42151358723640442 0.28056564927101135,-0.0025398649740964174  0.0002000592794502154  -0.015435021370649338    0.99987763166427612
1714648500.0513678,0.58661794662475586 0.42151170969009399 0.28055804967880249,-0.0025530979037284851 0.00023654301185160875  -0.015434693545103073    0.99987757205963135,0.58661794662475586 0.42151170969009399 0.28055804967880249,-0.0025530979037284851 0.00023654301185160875  -0.015434693545103073    0.99987757205963135
1714648500.0563598, 0.5866057276725769  0.4214947521686554 0.28054741024971008, -0.002526189899072051 0.00017379553173668683   -0.01537822000682354    0.99987852573394775, 0.5866057276725769  0.4214947521686554 0.28054741024971008, -0.002526189899072051 0.00017379553173668683   -0.01537822000682354    0.99987852573394775
1714648500.0613647,0.58662128448486328 0.42144724726676941 0.28059497475624084,-0.0024234631564468145 0.00025553471641615033  -0.015473860315978527    0.99987727403640747,0.58662128448486328 0.42144724726676941 0.28059497475624084,-0.0024234631564468145 0.00025553471641615033  -0.015473860315978527    0.99987727403640747
1714648500.066364,0.58666539192199707  0.4214572012424469 0.28055816888809204,-0.0024966639466583729 0.00016986959963105619  -0.015674319118261337    0.99987399578094482,0.58666539192199707  0.4214572012424469 0.28055816888809204,-0.0024966639466583729 0.00016986959963105619  -0.015674319118261337    0.99987399578094482
1714648500.0713642,0.58667927980422974 0.42148652672767639 0.28054577112197876,-0.0024217038881033659 0.00028620421653613448  -0.015679918229579926    0.99987411499023438,0.58667927980422974 0.42148652672767639 0.28054577112197876,-0.0024217038881033659 0.00028620421653613448  -0.015679918229579926    0.99987411499023438
1714648500.0763602,0.58669787645339966 0.42147788405418396 0.28055542707443237,-0.0026605154853314161 5.8387584431329742e-05  -0.015666253864765167    0.99987375736236572,0.58669787645339966 0.42147788405418396 0.28055542707443237,-0.0026605154853314161 5.8387584431329742e-05  -0.015666253864765167    0.99987375736236572
1714648500.0813589,0.58669012784957886 0.42152729630470276 0.28055906295776367,-0.0026131500490009785 0.00030677745235152543   -0.01564871147274971    0.99987411499023438,0.58669012784957886 0.42152729630470276 0.28055906295776367,-0.0026131500490009785 0.00030677745235152543   -0.01564871147274971    0.99987411499023438
