RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1714649184.3080699,0.55021089315414429  0.6998438835144043 0.27777093648910522,0.00091306079411879182   0.002711891196668148   0.097939394414424896    0.99518829584121704,0.55021089315414429  0.6998438835144043 0.27777093648910522,0.00091306079411879182   0.002711891196668148   0.097939394414424896    0.99518829584121704
1714649184.318104,0.55201172828674316 0.68997037410736084 0.27790045738220215,0.0020768693648278713 0.0030884076841175556  0.098704598844051361   0.99510979652404785,0.55201172828674316 0.68997037410736084 0.27790045738220215,0.0020768693648278713 0.0030884076841175556  0.098704598844051361   0.99510979652404785
1714649184.3281038, 0.5533759593963623 0.68240535259246826 0.27800941467285156, 0.001962306210771203 0.0031384816393256187   0.09959084540605545   0.99502158164978027, 0.5533759593963623 0.68240535259246826 0.27800941467285156, 0.001962306210771203 0.0031384816393256187   0.09959084540605545   0.99502158164978027
1714649184.333133,0.55433988571166992 0.67733603715896606  0.2779272198677063,0.0014498081291094422 0.0028993641026318073   0.10015576332807541   0.99496650695800781,0.55433988571166992 0.67733603715896606  0.2779272198677063,0.0014498081291094422 0.0028993641026318073   0.10015576332807541   0.99496650695800781
1714649184.3431587,0.55587440729141235 0.66961216926574707 0.27787226438522339,0.00083656958304345608  0.0031214877963066101    0.10140389949083328    0.99484008550643921,0.55587440729141235 0.66961216926574707 0.27787226438522339,0.00083656958304345608  0.0031214877963066101    0.10140389949083328    0.99484008550643921
1714649184.3480685,0.55682319402694702 0.66439741849899292 0.27789172530174255,0.00057952053612098098  0.0031239434611052275    0.10197385400533676    0.99478203058242798,0.55682319402694702 0.66439741849899292 0.27789172530174255,0.00057952053612098098  0.0031239434611052275    0.10197385400533676    0.99478203058242798
1714649184.3531792,0.55793702602386475 0.65924042463302612 0.27787622809410095,0.00045768023119308054  0.0031495306175202131    0.10251075029373169    0.99472677707672119,0.55793702602386475 0.65924042463302612 0.27787622809410095,0.00045768023119308054  0.0031495306175202131    0.10251075029373169    0.99472677707672119
1714649184.3581097,0.55899977684020996 0.65399283170700073  0.2778354287147522,0.00015576975420117378  0.0032690251246094704    0.10293251276016235    0.99468296766281128,0.55899977684020996 0.65399283170700073  0.2778354287147522,0.00015576975420117378  0.0032690251246094704    0.10293251276016235    0.99468296766281128
1714649184.3631067,0.56007790565490723 0.64876693487167358  0.2779134213924408,8.0827441706787795e-05  0.0032663259189575911    0.10316295921802521    0.99465912580490112,0.56007790565490723 0.64876693487167358  0.2779134213924408,8.0827441706787795e-05  0.0032663259189575911    0.10316295921802521    0.99465912580490112
1714649184.368104,0.56120151281356812 0.64361119270324707 0.27793541550636292,0.00033467274624854326  0.0030993854161351919    0.10290882736444473    0.99468588829040527,0.56120151281356812 0.64361119270324707 0.27793541550636292,0.00033467274624854326  0.0030993854161351919    0.10290882736444473    0.99468588829040527
1714649184.3781049,0.56294625997543335 0.63588154315948486 0.27797746658325195,0.00052894739201292396  0.0032419038470834494    0.10259567946195602    0.99471771717071533,0.56294625997543335 0.63588154315948486 0.27797746658325195,0.00052894739201292396  0.0032419038470834494    0.10259567946195602    0.99471771717071533
1714649184.3831074,0.56423097848892212  0.6306794285774231 0.27802038192749023,0.00017059910169336945  0.0032728940714150667    0.10234208405017853    0.99474388360977173,0.56423097848892212  0.6306794285774231 0.27802038192749023,0.00017059910169336945  0.0032728940714150667    0.10234208405017853    0.99474388360977173
1714649184.3931041,0.56684011220932007 0.62056088447570801 0.27801871299743652,0.00033200127654708922  0.0030694194138050079     0.1010182723402977    0.99487978219985962,0.56684011220932007 0.62056088447570801 0.27801871299743652,0.00033200127654708922  0.0030694194138050079     0.1010182723402977    0.99487978219985962
1714649184.4031065,0.56894928216934204 0.61308979988098145  0.2780546247959137,-0.00030064690508879721   0.0032718968577682972    0.099373579025268555      0.9950447678565979,0.56894928216934204 0.61308979988098145  0.2780546247959137,-0.00030064690508879721   0.0032718968577682972    0.099373579025268555      0.9950447678565979
1714649184.4081049,0.57038551568984985 0.60814583301544189 0.27806985378265381,-0.00050155154895037413   0.0031567364931106567    0.098075695335865021     0.99517381191253662,0.57038551568984985 0.60814583301544189 0.27806985378265381,-0.00050155154895037413   0.0031567364931106567    0.098075695335865021     0.99517381191253662
1714649184.4131064,0.57185071706771851 0.60328406095504761 0.27806544303894043,-0.00059718196280300617   0.0031598617788404226    0.096673890948295593     0.99531090259552002,0.57185071706771851 0.60328406095504761 0.27806544303894043,-0.00059718196280300617   0.0031598617788404226    0.096673890948295593     0.99531090259552002
1714649184.4181056,0.57329928874969482 0.59842610359191895 0.27807652950286865,-0.00076340889791026711   0.0032319005113095045    0.095097027719020844     0.99546247720718384,0.57329928874969482 0.59842610359191895 0.27807652950286865,-0.00076340889791026711   0.0032319005113095045    0.095097027719020844     0.99546247720718384
