DesiredFlux,0.52,HitTime,1714565082.7138972,DesiredPos,0.57144516706466675   0.297904372215271  0.2192765474319458
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714565082.0312123,-0.48395062534525429   1.1217917012600267 0.020258133820920902  -1.3000019792337925   -1.954099967946781  -1.8784707483415117 -0.91767452512352476, 6.4752268396502187e-05   7.521715985610445e-06 -3.0503414872882351e-05  0.00010017004618063521 -0.00019736655622708057 -1.4250651490690654e-05  1.7555969497766245e-05,-0.16534271621704102   64.916507736206057  -1.8047685623168945  -16.049234580993652  -1.0441246414184571   1.8539905738830567 -0.24564123535156249,-0.040962560163245357  -0.93647465349278014 -0.064892900932745107  -0.73940651165516769  -0.11796660027131126  -0.32618838519677817   0.66514548241430926,  0.55332887172698975 -0.052452217787504196    0.2149672657251358,   -0.70391726493835449  -0.0087377149611711502 -0.00064995256252586842     0.71022790670394897,-1.2624159353435971e-06  7.0041402068454772e-05 -1.4385183021659032e-05, 0.016086246818304062   0.74885708093643188 0.0038262514863163233,  0.24742171168327332  0.028776228427886963  0.065401442348957062  0.028776228427886963   0.23000563681125641 -0.023560503497719765  0.065401442348957062 -0.023560503497719765   0.18796546757221222,   -1.0879509287216038   -0.41451786368362775    -1.1753515035106687    0.72745488641867695    0.51275771497039102   0.018858043985048312 1.3107268159728847e-05,4.9646972911432385e-05
IIWA_7,1714565082.0361984,-0.48395116465199317   1.1217915214911136  0.02025747463187904  -1.3000010205026178  -1.9541008308375631  -1.8784706883458187 -0.91767416558569892,  3.022954516207605e-05 -1.1733837350679181e-06 -5.0770293572789942e-05  0.00011848528393137666 -0.00019240887626808924 -9.0006934693429543e-06  2.8426288632002869e-05,-0.1774409637451172  64.888278491973878 -1.8065293121337891 -16.028105583190918 -1.0441246414184571  1.8539905738830567 -0.2466424903869629,  23.858729641232181   2.3049650777172639   6.1844042922949196  -5.4071656918384985   3.9597241975645225  -2.1444728652213767 -0.60107668757403598,  0.55332863330841064 -0.052453100681304932   0.21496699750423431,   -0.70391803979873657  -0.0087379021570086479 -0.00064970366656780243     0.71022719144821167,-9.1086230895598419e-06  1.1585365427890792e-05 -1.8346367141930386e-05,  0.01608663983643055   0.74885708093643188 0.0038264661561697721,  0.24742165207862854  0.028776364400982857  0.065401390194892883  0.028776364400982857   0.23000557720661163 -0.023560592904686928  0.065401390194892883 -0.023560592904686928   0.18796555697917938,   -1.0879567806068025   -0.41452043911149872    -1.1753567992194291    0.72745805852925116    0.51275965132635548   0.018857275631667392 1.3106927099215682e-05,1.6336762200808153e-05
IIWA_7,1714565082.041213,-0.48395128442521307   1.1217915214911136 0.020256875438530216  -1.2999997621202271  -1.9541017895469213  -1.8784707483415117 -0.91767416558569892, 1.9392707333755027e-05 -9.3870698805433457e-07 -6.4583968811171777e-05  0.00014512352277446812 -0.00019227547533939718 -9.6003824986839336e-06  2.2741030905602297e-05,-0.18281796264648437   64.862737747192384  -1.8065293121337891  -16.035148582458497  -1.0476461410522462   1.8553255805969238 -0.24630873870849609,  23.859503553526142   2.3052714479183543   6.1849009270422943  -5.4075374481443852   3.9596444670314583    -2.14469289684427 -0.60106013896212451,  0.55332869291305542 -0.052453771233558655   0.21496698260307312,   -0.70391863584518433  -0.0087378676980733871 -0.00064982206095010042     0.71022659540176392,-4.9714753913576715e-06 -1.7470774764660746e-05 -1.5155736036831513e-05, 0.016086645424365997   0.74885708093643188 0.0038264936301857233,  0.24742157757282257  0.028776455670595169  0.065401375293731689  0.028776455670595169   0.23000548779964447 -0.023560663685202599  0.065401375293731689 -0.023560663685202599   0.18796567618846893,   -1.0879610105414272   -0.41452243173267789    -1.1753612621587806    0.72746063554962603    0.51276022681268074   0.018855220899283154 1.3106425278408551e-05,1.6423018678324297e-05
IIWA_7,1714565082.0462024,-0.48392426007432443   1.1217982926050298 0.020280424402545828  -1.3000167797349325  -1.9540917228368617  -1.8784920801919618 -0.91768746815800839,  0.0010964882014125273  0.00027009359105860902  0.00089029138557554662 -0.00056460576999665545  0.00024884802211016068 -0.00086095432400122845 -0.00051391006765433441,-0.40193066787719728   64.724280025482173  -2.1789278984069824  -15.819456729888916  -1.2078743743896485   1.9287509498596191 -0.20959605407714843,  23.859824078997189   2.3055471098500662   6.1851490357647991  -5.4078801471063587   3.9595970297258889   -2.144848151416884 -0.60097165259803842, 0.55332881212234497 -0.05245421826839447  0.21496695280075073,    -0.7039191722869873  -0.0087382020428776741 -0.00064989679958671331     0.71022605895996094, 4.6238557160904747e-07 -3.1903364288154989e-05 -1.3628784472530242e-05,  0.01608702726662159   0.74885702133178711 0.0038266791962087154,  0.24742147326469421  0.028776563704013824  0.065401375293731689  0.028776563704013824    0.2300054132938385 -0.023560706526041031  0.065401375293731689 -0.023560706526041031   0.18796581029891968,   -1.0879657244577956   -0.41452348576687115     -1.175364939371093    0.72746274972690372    0.51276154766632942   0.018854382919819557 1.3106150831276864e-05,2.4086441044346429e-05
IIWA_7,1714565082.0512145,-0.48347449210766091   1.1218465890288418 0.020480920518448693  -1.3001386593490916  -1.9539633477617251  -1.8786908386144281 -0.91778286250985153,  0.018867909227670693  0.0021479318253264366  0.0087320777445750418 -0.0053268691823614789  0.0053340814231534507 -0.0086391003578531935 -0.0042269021278489314,  -8.103137344360352   62.811412666320798  -6.1432561111450195  -13.694231700897216  -1.1092723846435546   2.2371375007629393 -0.31239157104492188,  23.859824078997189   2.3055471098500662   6.1851490357647991  -5.4078801471063587   3.9595970297258889   -2.144848151416884 -0.60097165259803842, 0.55332881212234497 -0.05245421826839447  0.21496695280075073,    -0.7039191722869873  -0.0087382020428776741 -0.00064989679958671331     0.71022605895996094, 4.6238557160904747e-07 -3.1903364288154989e-05 -1.3628784472530242e-05,  0.01608717255294323   0.74885690212249756 0.0038268070202320814,  0.24742147326469421  0.028776563704013824  0.065401375293731689  0.028776563704013824    0.2300054132938385 -0.023560706526041031  0.065401375293731689 -0.023560706526041031   0.18796581029891968,   -1.0879657244577956   -0.41452348576687115     -1.175364939371093    0.72746274972690372    0.51276154766632942   0.018854382919819557 1.3106150831276864e-05,2.4086441044346429e-05
IIWA_7,1714565082.0562119,-0.48294766556377722   1.1218440124865336 0.020517472403557818  -1.3001988201939094  -1.9537321960065253  -1.8790060835836651 -0.91784583966158351,    0.0361673891374844  0.0016152837679341604  0.0084477376000249987 -0.0066679291386035075   0.013513335346516046  -0.019521079055760986 -0.0059006077715583419, -15.262611381530762    63.04127936935425  -8.3169017601013184  -14.164351902008056  -1.5758710861206053   1.9050545806884767 -0.15586203384399414,  23.444228934828772   2.3107651681344348   5.8868070460183395  -5.3074985718084999   3.9451587073125438  -1.9836368228609986 -0.58481975754792226,  0.55331981182098389 -0.052092116326093674   0.21501842141151428,   -0.70373028516769409  -0.0089765582233667374 -0.00046090190880931914     0.71041035652160645,-0.00033658131724223495    0.014256793074309826   0.0020219050347805023, 0.016087058931589127   0.74885684251785278 0.0038268051575869322,  0.24740117788314819  0.028776047751307487  0.065417572855949402  0.028776047751307487   0.23004981875419617 -0.023519881069660187  0.065417572855949402 -0.023519881069660187   0.18794398009777069,   -1.0875251294164556   -0.41327529074930425    -1.1738109600205604     0.7263323903829999    0.51333065330894101   0.020627580259002798 1.3449471758519849e-05,0.0099985646083950996
IIWA_7,1714565082.0611639,-0.48248141928914717   1.1218493454491461 0.020480081669576954  -1.3003582103152693  -1.9533012433218799  -1.8795450740906874 -0.91795195993434486,  0.047583762295189298  0.0015055455188434578  0.0052625607207854421  -0.011709948165278952   0.028048775663025834  -0.037176483525501985 -0.0089652971277009302, -17.928258586883544   63.304752315521242  -9.1303681755065913   -13.68982982635498   -1.637497329711914   2.5144851455688477 -0.06541532897949219,  23.134403190177085   2.3841645198728614   5.6793963483136052  -5.2715961169552381   3.8959643428052457  -1.8337707369274536 -0.56156401923874499,  0.55332905054092407 -0.051780790090560913   0.21510602533817291,   -0.70357108116149902  -0.0092078829184174538 -0.00029502296820282936     0.71056520938873291,9.1532012447714806e-05   0.023855553939938545  0.0051218569278717041, 0.016086915507912636   0.74886041879653931 0.0038268226198852062,  0.24737970530986786  0.028791187331080437  0.065431281924247742  0.028791187331080437   0.23007875680923462 -0.023491859436035156  0.065431281924247742 -0.023491859436035156    0.1879354864358902,   -1.0878223533019593   -0.41226857093423774    -1.1731144090703083    0.72547840460135404    0.51398076346487187   0.022223364013029823 1.3753976624286679e-05,0.016936939209699631
IIWA_7,1714565082.0661688, -0.4820918121673014    1.121850064524798 0.020433223287985566  -1.3005872289290574  -1.9526544785808306  -1.8803077502488854 -0.91808971866312172, 0.053651294709982228 0.0012331994411512279 0.0023357133129728626 -0.018528703083747211  0.048309610172392645 -0.060248233148322707 -0.012682586853235145, -17.754850372314454   63.053377616882322  -7.7068019485473629  -13.774345817565917   -1.391872730255127   2.1697196617126466 -0.15786454391479493,  22.931370373705256   2.4611935195032419   5.5067568558662545  -5.2177289184670705   3.8135419745978325  -1.6426153078329055 -0.54175157546316366,  0.55330473184585571 -0.051514435559511185     0.215227872133255,  -0.70331096649169922 -0.0093934414908289909 -0.0001578433730173856    0.71082025766372681,-0.00091205787612125278    0.029729878529906273   0.0089713279157876968,  0.01609359122812748    0.7489008903503418 0.0038244910538196564,   0.2473842054605484  0.028808921575546265  0.065436340868473053  0.028808921575546265   0.23009847104549408 -0.023480283096432686  0.065436340868473053 -0.023480283096432686   0.18791137635707855,   -1.0883053971664225   -0.41163164118795947    -1.1730213860881022     0.7248919573825674    0.51455649520448787   0.023868573287622041 1.4096423583964679e-05,0.021565007045865059
IIWA_7,1714565082.0711923,-0.48172185908907933   1.1218491656802332 0.020421179207149868  -1.3008989385157281  -1.9517877794902168   -1.881327487880462  -0.9183028580532091,  0.057719158896868739 0.00095060577032984634  0.0013868074169503504  -0.027291345933825983   0.073315651762469153  -0.088988091781721734  -0.018671645086083322, -13.536594734191894   62.646069950103758  -8.1795632743835451   -13.63524658203125  -1.7906825637817383   2.0572453460693358 -0.17822339630126954,  22.811218552859451   2.5848065654303531    5.323698393107609  -5.1744924938673771   3.6824757976823594  -1.4083419504221224 -0.51750416724903403, 0.55326288938522339 -0.05128508061170578  0.21540942788124084,   -0.70293527841567993  -0.0095534557476639748 -7.0120840973686427e-05      0.7111896276473999,-0.0024129115045070648   0.032939061522483826   0.014438973739743233,0.016093065962195396  0.74892991781234741 0.003780687227845192,  0.24740622937679291  0.028828045353293419  0.065438367426395416  0.028828045353293419   0.23011019825935364 -0.023481376469135284  0.065438367426395416 -0.023481376469135284   0.18787804245948792,    -1.088916594033762   -0.41130574966530276    -1.1733871590955403    0.72458253343476997    0.51504048595063523   0.025590353067705962 1.4484262678138293e-05,0.025020208209753036
IIWA_7,1714565082.0762146,-0.48122625146769221   1.1218484466045813 0.020396731289486398  -1.3013005898274927   -1.950709390985425  -1.8825803787017414 -0.91864734459598307,   0.0659996319729797 0.0007317215901874156 0.0001315292270214854 -0.037899129217645468   0.10178806160164752  -0.12130610627655498 -0.028716777779825443, -11.388483673095703   62.523743225097654  -7.4109959793090816  -13.502309970855713  -1.7246544456481934   2.1950847892761232 -0.15252451705932618,  22.699987704520925   2.7564337243467238   5.0800837604007425  -5.1316504461239978   3.5067820749197565  -1.1129447840274125 -0.48158756831147043,  0.55320197343826294 -0.051044557243585587   0.21566216647624969,   -0.70241773128509521  -0.0097382310777902603 -1.6401563698309474e-05     0.71169829368591309,-0.0043778503313660622   0.035934999585151672   0.021659310907125473, 0.016054408624768257   0.74896252155303955 0.0036958947312086821,  0.24744084477424622  0.028849055990576744  0.065440334379673004  0.028849055990576744   0.23012052476406097 -0.023488979786634445  0.065440334379673004 -0.023488979786634445   0.18783383071422577,   -1.0896124036801069   -0.41111491886614004    -1.1739858288288829    0.72440264155382295    0.51552583269831587   0.027651437418008129 1.4967603156890164e-05,0.029281634837388992
