DesiredFlux,0.73,HitTime,1714565760.7501419,DesiredPos,0.56468099355697632 0.29501438140869141 0.21906813979148865
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714565760.1718357,-0.48710984680603697   1.1074941614680607 0.018495434070463022  -1.3252383600769897  -1.9539080285038857  -1.8686311603772485 -0.94134468763855506, 3.3250623494354123e-05 -5.2647530251445472e-06  -0.0003873137685650609   0.0003327898728955132 -1.0793052792026986e-06 -0.00038799340185163476 -1.8081601048655908e-07, 0.45838915634155275   64.260513870239251  -1.7581086921691895  -15.912776470184326  -1.0643732643127441   1.8720131645202636 -0.23496118164062499,  0.44359461631961078  -0.18303995707453932   0.03647752047026287  -0.65674065465139186 -0.042939610341141521  -0.11446901137574485    1.3278960555453296,  0.54924428462982178 -0.052018791437149048   0.21628151834011078,  -0.70534539222717285 -0.0099686607718467712 -0.0087827602401375771    0.70873928070068359,-1.1770695891755167e-05 -0.00020482219406403601  3.8894151657586917e-05, 0.015593584626913071    1.0518910884857178 0.0028151923324912786,  0.24885761737823486  0.027906399220228195  0.064651630818843842  0.027906399220228195   0.23034460842609406 -0.023679798468947411  0.064651630818843842 -0.023679798468947411   0.18704304099082947,    -1.0520010947629999    -0.41802027609616488     -1.1683090547762731     0.69961916913285904     0.49382510082995879 -0.00033294932855199022  1.0677766226763197e-05,0.00014489828026853502
IIWA_7,1714565760.1768379,-0.48710984680603697   1.1074941614680607 0.018495434070463022  -1.3252383600769897  -1.9539080285038857  -1.8686311603772485 -0.94134468763855506, 3.3250623494354123e-05 -5.2647530251445472e-06  -0.0003873137685650609   0.0003327898728955132 -1.0793052792026986e-06 -0.00038799340185163476 -1.8081601048655908e-07, 0.45838915634155275   64.260513870239251  -1.7581086921691895  -15.912776470184326  -1.0643732643127441   1.8720131645202636 -0.23496118164062499,  32.544640595596242   3.8901084331805889   11.493347924733666  -8.3666560179517457   3.5138423966329557  -2.6787195230355927 0.037620391511646201,  0.54924470186233521 -0.052020613104104996   0.21628247201442719,  -0.70534610748291016  -0.009970388375222683 -0.0087830312550067902    0.70873856544494629, 8.3459362940629944e-06 -0.00016308360500261188  5.1529044867493212e-05,0.015593581832945347   1.0518909692764282 0.002815192099660635,  0.24885733425617218  0.027907084673643112  0.064651608467102051  0.027907084673643112   0.23034417629241943 -0.023680184036493301  0.064651608467102051 -0.023680184036493301   0.18704353272914886,    -1.0520308344599272    -0.41802781533117894     -1.1683369453105996     0.69963135020323364     0.49383297902583223 -0.00033145016331559418  1.0677906558953509e-05,0.00011882114631589502
IIWA_7,1714565760.1818395,-0.48710960704143097   1.1074941614680607  0.01849399591915938  -1.3252369819213792  -1.9539080285038857  -1.8686324786462492 -0.94134450786964208, 3.6191083035587805e-05 -4.2118024201156377e-06 -0.00036737706699775533  0.00032135812273724229 -8.6344422336215886e-07 -0.00036312548150640707  7.0461037107261345e-06, 0.47989715194702148   64.230940376281737   -1.746663818359375  -15.925101718902587  -1.0758181381225587   1.8690093994140624 -0.23496118164062499,  32.544640595596242   3.8901084331805889   11.493347924733666  -8.3666560179517457   3.5138423966329557  -2.6787195230355927 0.037620391511646201,  0.54924470186233521 -0.052020613104104996   0.21628247201442719,  -0.70534610748291016  -0.009970388375222683 -0.0087830312550067902    0.70873856544494629, 8.3459362940629944e-06 -0.00016308360500261188  5.1529044867493212e-05, 0.015593661926686764    1.0518907308578491 0.0028149543795734644,  0.24885733425617218  0.027907084673643112  0.064651608467102051  0.027907084673643112   0.23034417629241943 -0.023680184036493301  0.064651608467102051 -0.023680184036493301   0.18704353272914886,    -1.0520308344599272    -0.41802781533117894     -1.1683369453105996     0.69963135020323364     0.49383297902583223 -0.00033145016331559418  1.0677906558953509e-05,0.00011882114631589502
IIWA_7,1714565760.186836,-0.48710924750360507   1.1074941614680607 0.018492677650158731  -1.3252354238877724  -1.9539082203155704  -1.8686343362219886 -0.94134468763855506, 4.3334379464480565e-05 -3.3694419360925104e-06 -0.00034663241362413617  0.00031940784246165893 -8.3632227689969741e-06 -0.00036480341478313018  -1.553873550534474e-06, 0.50812639617919919   64.229596126556402  -1.7405011940002442  -15.911896095275878  -1.0661340141296387   1.8703444061279297 -0.23462742996215821,  32.544637314575731   3.8901081092228189   11.493345866045548  -8.3666552039374746   3.5138423726345573  -2.6787195472598242 0.037620391511646201,  0.54924470186233521 -0.052020613104104996   0.21628247201442719,  -0.70534610748291016  -0.009970388375222683 -0.0087830312550067902    0.70873856544494629, 8.3459362940629944e-06 -0.00016308360500261188  5.1529044867493212e-05,0.015593463554978371   1.0518903732299805 0.002814628416672349,  0.24885733425617218  0.027907084673643112  0.064651608467102051  0.027907084673643112   0.23034417629241943 -0.023680184036493301  0.064651608467102051 -0.023680184036493301   0.18704353272914886,    -1.0520308344599272    -0.41802781533117894     -1.1683369453105996     0.69963135020323364     0.49383297902583223 -0.00033145016331559418  1.0677906558953509e-05,0.00011882114631589502
IIWA_7,1714565760.1917984,-0.48664941280506524   1.1075805677015054 0.018929263035898855  -1.3254645622747805  -1.9537829131801929   -1.868959108725446 -0.94148382441385936,  0.018193421926912087  0.0033821879477592158   0.017003803608221683 -0.0087597793872899333  0.0049294668627434292   -0.01296839124568987 -0.0054566903899465899,-8.0574328536987299  61.117658012390137 -8.0783201599121099 -11.903549137115478 -1.2422089958190918  2.5518653335571289 -0.3310816650390625,  32.544113881771544   3.8901220377293053   11.492845256068399  -8.3665951145698365   3.5139870602764343  -2.6787404285072118 0.037672925339023777,  0.54924482107162476 -0.052021652460098267   0.21628294885158539,  -0.70534646511077881 -0.0099713839590549469 -0.0087830228731036186    0.70873814821243286, 1.0091189324157313e-05 -0.00014152590301819146   5.096501627122052e-05, 0.015592538751661777    1.0518903732299805 0.0028138644993305206,  0.24885718524456024  0.027907492592930794  0.064651578664779663  0.027907492592930794   0.23034393787384033 -0.023680415004491806  0.064651578664779663 -0.023680415004491806   0.18704380095005035,    -1.0520483960778648    -0.41803225765146834      -1.168353392416499      0.6996383821133989     0.49383789529588995 -0.00032999747645590105  1.0678076201031672e-05,0.00010461453348398209
IIWA_7,1714565760.1968343,-0.48664941280506524   1.1075805677015054 0.018929263035898855  -1.3254645622747805  -1.9537829131801929   -1.868959108725446 -0.94148382441385936,  0.018193421926912087  0.0033821879477592158   0.017003803608221683 -0.0087597793872899333  0.0049294668627434292   -0.01296839124568987 -0.0054566903899465899,-8.0574328536987299  61.117658012390137 -8.0783201599121099 -11.903549137115478 -1.2422089958190918  2.5518653335571289 -0.3310816650390625,  32.509921911480355   3.8853089374370349   11.463671186184285  -8.3502061138864256   3.5153017438373997  -2.6595716998091867 0.037496655827156333,  0.54923790693283081 -0.051991730928421021    0.2162872850894928,  -0.70532131195068359 -0.0099897636100649834 -0.0087636988610029221    0.70876318216323853,-0.00026751533732749522   0.0010835358407348394  0.00021390632900875062, 0.015592532232403755    1.0518898963928223 0.0028138633351773024,  0.24885720014572144  0.027906987816095352  0.064652279019355774  0.027906987816095352   0.23034825921058655 -0.023677287623286247  0.064652279019355774 -0.023677287623286247    0.1870398223400116,    -1.0519898529661731    -0.41793953010138551     -1.1682127411560828     0.69954798260951634     0.49388814602835396 -0.00014818023963414362  1.0713966602793334e-05,0.00078854447929188609
IIWA_7,1714565760.2017877,-0.48579763409789439   1.1076066334303023 0.019419297930067442  -1.3258950956222564   -1.953221763994804  -1.8702533450877084  -0.9416972035685528, 0.041940387177933733 0.0031324473159824451  0.028464248511998903 -0.021771062880194123  0.024122068771827404  -0.05612881248880032 -0.011257580686254567,  -18.355729999542238    61.136477508544921   -11.429907436370849   -11.795263023376465   -1.7774769401550292    2.7748114547729492 -0.027367637634277343, 32.053742824412133  3.8960405891556658  11.075880045068967 -8.2152684953085373  3.5064875633744133  -2.444738696314992 0.05105404927754309,  0.54920613765716553 -0.051581904292106628   0.21636255085468292,  -0.70505094528198242  -0.010264068841934204 -0.0085452161729335785     0.7090308666229248,-0.0014925030991435051   0.017256466671824455  0.0031834878027439117, 0.015592256560921669    1.0518959760665894 0.0028133534360677004,   0.2488345205783844  0.027901416644454002  0.064672589302062988  0.027901416644454002    0.2304038405418396 -0.023627638816833496  0.064672589302062988 -0.023627638816833496   0.18700958788394928,   -1.0512711928090113   -0.41653007771635941    -1.1661857734486247    0.69830320287422865    0.49453299038759724  0.0020465449530604474 1.1137264444016637e-05,0.012219489552080631
IIWA_7,1714565760.2068362,-0.48551965998033547   1.1076214339314423 0.019721000780554936  -1.3263096898594213   -1.952663778393217  -1.8713189223740083 -0.94185120084069018, 0.044671274444703833 0.0030979778983859507  0.034839512829098876 -0.034000619790753084  0.041617079080939125 -0.087526141443038968 -0.015165955434499055, -18.218616527557373   60.461664146423338  -9.1990374183654779  -11.563724422454834  -1.1585733795166016   2.0525728225708009 -0.15085575866699219, 31.700935558228185  3.9995981589311911  10.765119661092845  -8.145186503431086  3.4595192338636562 -2.2108656484901585 0.07602947693593487,   0.5491754412651062 -0.051217541098594666   0.21650029718875885,  -0.70477586984634399  -0.010570061393082142 -0.0083304177969694138    0.70930236577987671,-0.0024349289014935493   0.028370436280965805   0.008058600127696991, 0.015607651323080063    1.0519735813140869 0.0028104879893362522,  0.24880768358707428  0.027916768565773964  0.064690947532653809  0.027916768565773964   0.23044615983963013 -0.023591525852680206  0.064690947532653809 -0.023591525852680206    0.1869925856590271,   -1.0514617000456639   -0.41537649094536278    -1.1651045276259708    0.69737410941339562    0.49538363395029705  0.0043230236510538589 1.1573190406011236e-05,0.020532164722681046
IIWA_7,1714565760.2118337,-0.48551965998033547   1.1076214339314423 0.019721000780554936  -1.3263096898594213   -1.952663778393217  -1.8713189223740083 -0.94185120084069018, 0.044671274444703833 0.0030979778983859507  0.034839512829098876 -0.034000619790753084  0.041617079080939125 -0.087526141443038968 -0.015165955434499055, -18.218616527557373   60.461664146423338  -9.1990374183654779  -11.563724422454834  -1.1585733795166016   2.0525728225708009 -0.15085575866699219,  31.44848955863938  4.0932968524045208  10.473495357734816 -8.0268692177280112  3.3839856059464077 -1.9074264392219948 0.08724720826319321,  0.54908287525177002 -0.050885360687971115   0.21668834984302521,  -0.70435041189193726  -0.010825776495039463 -0.0081068286672234535    0.70972359180450439,-0.0056658461689949036   0.035959720611572266   0.013972613029181957, 0.015662478283047676    1.0520321130752563 0.0027383924461901188,  0.24881026148796082  0.027934106066823006  0.064698919653892517  0.027934106066823006   0.23048387467861176 -0.023571578785777092  0.064698919653892517 -0.023571578785777092   0.18695230782032013,   -1.0517694210410156   -0.41459796004961191    -1.1645438869543057    0.69669084488221955     0.4962072108973814   0.006898173285918574 1.2093945400692974e-05,0.027052460238337517
IIWA_7,1714565760.2168331,-0.48527608063001326   1.1076223327760071 0.020213911977330811  -1.3268273484069104  -1.9518990889104604  -1.8727452848512192  -0.9420452254938928, 0.045480193568651447 0.0025143361012998967  0.047588058134314118 -0.047906837732165905  0.063881242575017427  -0.12707541224286481 -0.019893750475703964, -14.332390571594239   60.276157684326172  -9.8575578498840333  -11.745081653594971  -1.5820337104797364   2.4560786018371581 -0.21927485275268555,  31.269485405801458   4.2210510577063962   10.157899450404964  -7.9047017896694527   3.2666946715628571  -1.5502608895200023 0.099594656683176019,  0.54895323514938354 -0.050571829080581665   0.21694453060626984,  -0.70377624034881592  -0.011067746207118034 -0.0079080136492848396    0.71029150485992432,-0.0097362808883190155   0.041263207793235779   0.021431323140859604,  0.01570296473801136    1.0520845651626587 0.0026005357503890991,  0.24883002042770386  0.027951031923294067  0.064703941345214844  0.027951031923294067   0.23051954805850983 -0.023561209440231323  0.064703941345214844 -0.023561209440231323   0.18689760565757751,  -1.0520803782325672  -0.41407679763150185   -1.1642429644815877   0.69622086014753393   0.49698080399451783 0.0097626162087749435 1.269737026632356e-05,0.032956689596176147
