DesiredFlux,0.86,HitTime,1714566132.3851342,DesiredPos,  0.564655601978302 0.29327934980392456 0.21898499131202698
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714566131.8368623,-0.48435850846419615   1.1454296861213855 0.022481627001093303  -1.2688379610866565  -1.9566237498244146  -1.8980852093157863  -0.9046501893855039,-7.9299737876851282e-05 -1.5332411941622417e-08  -0.0014149190264177625  4.1143378061651344e-05 -3.5562151941193539e-06 -5.5738698004881624e-05  4.4930153199999675e-06, 0.38445542144775391   65.473027122497555  -1.9905276679992676  -16.143434696197509  -1.1603341293334961    1.881358211517334 -0.25598753738403318,-0.081062611823774444   -2.4505111717199228 -0.035732533269072275  -0.48100417090710884  0.064185472599282589  -0.22139868026016174   0.35053991636532389,  0.55585312843322754 -0.055004388093948364   0.21124735474586487, -0.69950270652770996 -0.011553972959518433 0.0064959279261529446   0.71450704336166382,-0.00011489314056234434 -0.00054076954256743193 -0.00025974266463890672,0.0074165696278214455    1.2379525899887085 0.0065180086530745029,  0.24641658365726471  0.029975423589348793   0.06591971218585968  0.029975423589348793   0.22951672971248627 -0.023885993286967278   0.06591971218585968 -0.023885993286967278   0.18814806640148163,   -1.1380865917178795   -0.42218091931456314    -1.1938666448063628    0.77601084114231611    0.54098247586420456   0.053438969796815172 2.0012066670460626e-05,0.00042431915062479675
IIWA_7,1714566131.8418143,-0.48435790916176424   1.1454294464658628 0.022475814618351849  -1.2688377813177436  -1.9566236540058386  -1.8980853291980893 -0.90465006950320093,  -3.94676930253662e-05  -9.598486839960249e-06  -0.0013644305307923695  4.0105458963995569e-05  9.8777088320552411e-07 -4.9386250522847331e-05  8.3897043749420034e-06,0.42881566238403318  65.421945632934566 -1.9799631690979003 -16.138152446746826 -1.1594537544250487  1.8810244598388672 -0.2573225440979004,-0.081415669300058918   -2.4506147342522326 -0.035397480205691709  -0.48086263926490552  0.064311723070737847  -0.22150536423068568   0.35049266145426755,  0.55585265159606934 -0.055006615817546844   0.21124617755413055, -0.69950467348098755 -0.011552201583981514 0.0064959628507494926   0.71450513601303101,-0.00011153388186357915 -0.00052162999054417014 -0.00025488089886493981,0.0074179363436996937    1.2379517555236816 0.0065199043601751328,  0.24641707539558411  0.029975710436701775   0.06591932475566864  0.029975710436701775   0.22951629757881165 -0.023886490613222122   0.06591932475566864 -0.023886490613222122   0.18814797699451447,   -1.1381018384524211   -0.42219106416307994    -1.1938911347284531    0.77601762684054165    0.54098302346172744    0.05342914528405629 2.0009920831398631e-05,0.0004106822598259896
IIWA_7,1714566131.8468628,-0.48435701042628254   1.1454292666969497 0.022470781197872176  -1.2688376015488305  -1.9566234621941538  -1.8980855089670023 -0.90465006950320093, 4.3752648478068441e-06 -1.4869545995524474e-05  -0.0012928812438208325  3.9275123694752729e-05  8.4626840968716657e-06 -4.6699756941834145e-05  6.7117634999536029e-06, 0.46645465469360353   65.396404888153072  -1.9570734214782715  -16.128468322753907  -1.1629752540588378   1.8800232048034669 -0.25665504074096679,  36.853690041213341   3.2428813572234398   13.522096251617084  -8.2735847301465881   4.1782100547914176   -0.994372404566507 -0.90221223047396415,  0.55585229396820068 -0.055008258670568466   0.21124525368213654, -0.69950640201568604 -0.011550776660442352 0.0064961127936840057   0.71450346708297729,-0.00010293131344951689 -0.00048304485972039402 -0.00024094211403280497,0.0074195107445120811    1.2379510402679443 0.0065219714306294918,  0.24641746282577515  0.029975954443216324  0.065919019281864166  0.029975954443216324   0.22951593995094299 -0.023886876180768013  0.065919019281864166 -0.023886876180768013   0.18814793229103088,   -1.1381144892625983   -0.42219864105419447    -1.1939108066103543    0.77602243644658842    0.54098367710420092   0.053421373836570751 2.0008171119911822e-05,0.00038174266228452325
IIWA_7,1714566131.8518591,-0.48435605169510781   1.1454292666969497 0.022466886386563273  -1.2688374218890008  -1.9566236540058386  -1.8980858086182182 -0.90465006950320093, 4.1849458867334401e-05  -1.189563679641958e-05  -0.0011900974474127787  3.8606492142999567e-05  -9.023201128099142e-07 -4.9345854187083841e-05   5.369410799962883e-06,  0.5108148956298828   65.368175643920893  -1.9465089225769043   -16.13639169692993   -1.156812629699707   1.8790219497680665 -0.25532003402709963,  36.853690041213341   3.2428813572234398   13.522096251617084  -8.2735847301465881   4.1782100547914176   -0.994372404566507 -0.90221223047396415,  0.55585229396820068 -0.055008258670568466   0.21124525368213654, -0.69950640201568604 -0.011550776660442352 0.0064961127936840057   0.71450346708297729,-0.00010293131344951689 -0.00048304485972039402 -0.00024094211403280497,0.0074207386933267117     1.237950325012207 0.0065236887894570827,  0.24641746282577515  0.029975954443216324  0.065919019281864166  0.029975954443216324   0.22951593995094299 -0.023886876180768013  0.065919019281864166 -0.023886876180768013   0.18814793229103088,   -1.1381144892625983   -0.42219864105419447    -1.1939108066103543    0.77602243644658842    0.54098367710420092   0.053421373836570751 2.0008171119911822e-05,0.00038174266228452325
IIWA_7,1714566131.8568645,-0.48432836804609425   1.1454411910045654 0.022497985426756854  -1.2688643264666695  -1.9566125325933119  -1.8980946169677038 -0.90466319230659742,  0.0011408255276364947  0.00046745579519337179  0.00029188364981300955   -0.001045297913030777  0.00044413464497704432 -0.00039181066277280325 -0.00052061660721973056,0.32530843353271482  65.166538185119634 -2.4324758720397948 -15.780720233917236 -1.3179212379455567  1.9137321243286132 -0.2249486312866211,  36.851123541355449   3.2438971789254221    13.51980915535715  -8.2735597850831244   4.1782516378402361 -0.99423637805838427  -0.9022616815773854,  0.55585175752639771 -0.055010262876749039   0.21124377846717834,  -0.6995089054107666 -0.011549033224582672 0.0064967633225023746    0.7145010232925415,-8.5432533523999155e-05 -0.00037969564436934888 -0.00020687679352704436,0.0074216807261109352     1.237950325012207 0.0065250317566096783,  0.24641799926757812  0.029976358637213707  0.065918564796447754  0.029976358637213707   0.22951547801494598 -0.023887414485216141  0.065918564796447754 -0.023887414485216141   0.18814782798290253,    -1.138134504207855   -0.42220832704575884    -1.1939394121318614    0.77602819011257651    0.54098612164743543   0.053412226683313691 2.0005995082783556e-05,0.00030618190066888928
IIWA_7,1714566131.8618588,-0.48389334069396073    1.145535446856321 0.023041529934130021  -1.2690807015881069  -1.9564667085889786  -1.8981723346248829   -0.904761283192135,  0.018313754507450049  0.0041441987063786188   0.021975287214777119 -0.0094912431879231041  0.0061882678893125384 -0.0034221548173831067 -0.0043401287072790977, -8.5467397537231449   61.761553630828857  -8.7280368423461905  -12.451142330169677  -1.5661869621276856   2.2434787826538085 -0.31472783279418948,  36.817846481863967   3.2343142126235853   13.493269889073165   -8.258634771079981    4.179437231327098 -0.98235489153740474 -0.90284485461152886,  0.5558478832244873 -0.05498010665178299  0.21124249696731567, -0.69948834180831909 -0.011560715734958649 0.0065117510966956615   0.71452081203460693,-0.00022395582345779985  0.00090255663963034749 -0.00021682927035726607,0.007421678863465786   1.2379499673843384 0.006525029893964529,  0.24641858041286469  0.029974080622196198  0.065919443964958191  0.029974080622196198   0.22952017188072205 -0.023883789777755737  0.065919443964958191 -0.023883789777755737   0.18814349174499512,  -1.1380014786590564  -0.42210517608864961   -1.1937456806343505   0.77591509260610536   0.54100211276963961  0.053546781092705942 2.003376753378916e-05,0.00066332117421552539
IIWA_7,1714566131.8668609,-0.48343500403333456   1.1455202868173551 0.023421369975315444  -1.2692430878943772  -1.9562072739477829  -1.8982422026637509  -0.9048360047734868,  0.032984470031006782  0.0027089574064646698   0.032773831419238592  -0.014088446801150534    0.01532799995927845 -0.0055324454086262001 -0.0064609662198952724, -16.640467350006105   62.405449249267576  -11.011729354858398  -12.834105415344238  -1.2879884910583497    1.825287929534912 -0.16687583923339844,  36.335548651048036   3.2315807381297881   13.076045712872549  -8.1458746449712098    4.152916152653118 -0.81908884377945768 -0.88957185427070695,  0.55585962533950806 -0.054521854966878891   0.21129819750785828, -0.69922375679016113 -0.011807101778686047 0.0066892956383526325   0.71477407217025757,0.00028243203996680677   0.019050516188144684  0.0020571073982864618,0.0074224355630576611    1.2379573583602905 0.0065261847339570522,  0.24638834595680237  0.029947258532047272  0.065949827432632446  0.029947258532047272   0.22958742082118988 -0.023819707334041595  0.065949827432632446 -0.023819707334041595   0.18811425566673279,   -1.1363159497621567   -0.42038430920765535    -1.1907596270805954    0.77432110030972723    0.54130590458267847   0.055487748998217512 2.0426023539243943e-05,0.013311019167304039
IIWA_7,1714566131.8718197,-0.48311244864344272   1.1455127967368701 0.023828174480779552  -1.2695644447884884  -1.9557021149247977  -1.8983630636601254 -0.90499557477284265,  0.039289791620479159  0.0018675627057736992   0.042491245353955209  -0.024125033205367182   0.032468760886830844 -0.0092603961818825131  -0.011551572950150073,  -19.252344566345215    62.104337310791017     -11.9449267578125   -12.855234413146972   -2.0873689079284667    2.1036368293762209 -0.044388973236083984,  35.997759877679805   3.3326779543247618   12.771860076351224  -8.1317181049290248   4.0765787695838807 -0.68798851482550605 -0.86039085728186615,0.55590695142745972 -0.0541190505027771 0.21140167117118835,  -0.6990123987197876 -0.012036211788654327 0.0067899664863944054   0.71497601270675659,0.0021021710708737373  0.031350556761026382 0.0057885032147169113,0.0074298586696386337    1.2380681037902832 0.0065312753431499004, 0.24635423719882965 0.029930172488093376 0.065980292856693268 0.029930172488093376  0.22963780164718628 -0.02376568503677845 0.065980292856693268 -0.02376568503677845  0.18810445070266724,   -1.1351681590729967   -0.41888648380705717    -1.1884978449048234    0.77295362664742129    0.54154466789135824   0.057006484742494479 2.0733919470217188e-05,0.022191045805811882
IIWA_7,1714566131.8768628, -0.4829023652157925   1.1454993743913409  0.02436806383236673  -1.2700384809039023  -1.9549904438323278   -1.898497946086295 -0.90524149100995022,   0.03983517040239215 0.00095715634344867816   0.055588570346651281  -0.038261471180847995   0.054441852408262492  -0.012803613992287889  -0.019077907844422801, -19.041297359466554   62.023682327270507  -9.5714360046386719  -12.130685863494874  -1.1638556289672852   1.8753506813049317 -0.16387207412719726,  35.806395731305194   3.4221578646356243   12.512363038248186  -8.1116941328578953   3.9549547192343688 -0.55049622344070315 -0.83072395157836754,  0.55594056844711304 -0.053760305047035217   0.21152450144290924, -0.69870001077651978 -0.012176709249615669 0.0067842202261090279    0.7152789831161499,0.0030081691220402718  0.039424054324626923  0.009549981914460659,0.0073872236534953117    1.2381515502929688 0.0064556868746876717,  0.24635179340839386  0.029897129163146019  0.066005662083625793  0.029897129163146019   0.22968146204948425 -0.023722253739833832  0.066005662083625793 -0.023722253739833832   0.18807598948478699,   -1.1334837268988096   -0.41771061785045305    -1.1863219673990955    0.77172961106253268    0.54138715751150812   0.058209258130048624 2.1013145001802513e-05,0.028250107541680336
IIWA_7,1714566131.8818607,-0.48272505852607933   1.1454907457016852 0.025150453920798368  -1.2706311606839591   -1.954007545607038  -1.8987116247831211 -0.90564697724641363,  0.038960403910440269 0.00042057748853188562   0.075766459814586545  -0.054316368146951885   0.082869410938199634   -0.01879003906687398  -0.031481775734074832, -15.352676113128663   61.035658779144285  -10.557455902099608  -11.799664897918701  -1.7809984397888183    2.038889003753662 -0.15753079223632813,  35.690318137525757   3.5284502138803511   12.231989985820093  -8.0969452171371419   3.7916166930030597  -0.3986776802299743 -0.79473974222087751,  0.55597186088562012 -0.053398914635181427   0.21168309450149536, -0.69827765226364136 -0.012273047119379044   0.00667955307289958   0.71569067239761353,0.0036347724962979555  0.045980751514434814  0.013993830420076847,0.0072728432714939117    1.2382251024246216 0.0063040922395884991,  0.24636788666248322  0.029844906181097031  0.066032953560352325  0.029844906181097031    0.2297268807888031 -0.023678848519921303  0.066032953560352325 -0.023678848519921303   0.18803365528583527,   -1.1310569614364496   -0.41662094246586179    -1.1837887488805876    0.77047238752925296    0.54086549459420041   0.059268431739312177 2.1293379504072618e-05,0.03347412496805191
