DesiredFlux,0.87,HitTime,1714566187.7901001,DesiredPos, 0.5655137300491333 0.29645425081253052 0.21902918815612793
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714566187.2545757,-0.48071051038255252    1.136894700902477 0.018483509762847239  -1.2799346942213341  -1.9557796768331577  -1.8933401753698231 -0.92109008920020019, -4.314046479862975e-05 -1.1241814643863695e-06  -0.0016764359734020629  1.3314908426563236e-05 -1.7149610645159048e-06 -6.7877130141183401e-06  7.6656807720065097e-06, 0.71782935333251952   65.145030189514159   -1.786280689239502  -16.078286952972412  -1.1576930046081544   1.8703444061279297 -0.26132756423950193, -0.46602119241973444   -1.5332333513011507  -0.23102056229552631  -0.92194194592414225 -0.055010871753588361  -0.11592583465240384    1.0167821537442638,  0.55460625886917114 -0.053246516734361649   0.21243499219417572, -0.70129245519638062 -0.015488997101783752 0.0014695258578285575    0.7127038836479187,-0.00014656089479103684  -0.0006851591169834137 -0.00035597418900579214, 0.010249266400933266    1.2526445388793945 0.0061929891817271709,  0.24681057035923004  0.029856413602828979  0.065612740814685822  0.029856413602828979   0.22970505058765411 -0.023822357878088951  0.065612740814685822 -0.023822357878088951   0.18802058696746826,   -1.1317167094651026   -0.41750369259219156    -1.1953131267015138      0.755967897369203    0.53700749499174805   0.048154390055010765 1.9529875494583848e-05,0.00054580828873440623
IIWA_7,1714566187.2595785, -0.4807099111892037    1.136894700902477 0.018478056917931696  -1.2799345744481141  -1.9557796768331577  -1.8933400554875202 -0.92108996931789722,-1.0544637885825195e-05 -8.9934517150909568e-07  -0.0015592625753433832  1.5442855541597296e-05 -1.3719688516127239e-06 -6.3487829235264277e-07  1.0927836736547238e-05, 0.73664884948730469   65.157128437042232  -1.7686731910705566  -16.077406578063965  -1.1585733795166016   1.8700106544494628 -0.26299632263183592,  37.274103311266252    3.912057947802424   13.919294261586057  -8.9918399183037838    4.114432021636464  -1.2885343665835272 -0.26576513078180775,  0.55460572242736816 -0.053248748183250427   0.21243366599082947, -0.70129436254501343 -0.015486991032958031 0.0014696341240778565   0.71270203590393066,-0.00013891178241465241 -0.00063749082619324327 -0.00033780338708311319,  0.01025106105953455    1.2526437044143677 0.0061952061951160431,  0.24681110680103302   0.02985665574669838  0.065612345933914185   0.02985665574669838   0.22970463335514069 -0.023822855204343796  0.065612345933914185 -0.023822855204343796   0.18802045285701752,    -1.131730065095482   -0.41751383506127837    -1.1953365405235061    0.75597431891072375    0.53700740838991123   0.048144204467526208 1.9527666594854054e-05,0.00051025784341618419
IIWA_7,1714566187.2645805,-0.48068216765358018   1.1369063255588769 0.018507777802514672  -1.2799621981014346  -1.9557681719717943  -1.8933529385263106 -0.92110375120125254,    0.00110130571463192  0.00046426677985968363 -5.8574676955636552e-05  -0.0010925918483883602  0.00045909687945331132 -0.00051582945425125801 -0.00054253306482371507,0.56189638519287111  65.009260967254633 -2.2757691383361816 -15.725256614685058 -1.3214427375793456  1.9277496948242188 -0.2252823829650879,  37.273059960558541   3.9128722265609084    13.91800846986775  -8.9920096375226066   4.1143641693865458  -1.2885813536272352 -0.26580617253734173,  0.55460530519485474 -0.053250718861818314   0.21243256330490112, -0.70129615068435669 -0.015485306270420551 0.0014696414582431316   0.71270036697387695,-0.00012716399214696139 -0.00058881787117570639 -0.00031462946208193898,0.010252845473587513   1.2526427507400513 0.006197403185069561,  0.24681156873703003  0.029856879264116287  0.065612003207206726  0.029856879264116287   0.22970426082611084 -0.023823285475373268  0.065612003207206726 -0.023823285475373268   0.18802037835121155,    -1.131742245680023   -0.41752263263816758    -1.1953572957335012    0.75598004189725287    0.53700736584350039   0.048134964578672168 1.9525656647090273e-05,0.00047198910033330321
IIWA_7,1714566187.2695787,-0.48023551564504685   1.1370035775955427 0.019044491309361693  -1.2801973884176241  -1.9556188965788652  -1.8934750577959927  -0.9212073548183155,  0.018747124913038836  0.0042614948905186929   0.021421680532316308  -0.010281686126289078  0.0063382932207259463 -0.0052974343506844495 -0.0045781711343775297, -8.1313665885925293   61.309885723114014  -8.5484403610229496  -12.135087738037109  -1.5582635879516602   2.3259154472351073 -0.31406032943725587,  37.271748203822654   3.9135759879208245   13.916641679841042  -8.9920888636595127   4.1143322735956431  -1.2885861412068593 -0.26586032768252721,  0.55460494756698608 -0.053252235054969788   0.21243152022361755, -0.70129776000976562 -0.015483863651752472  0.001469853101298213   0.71269875764846802,-0.00011505593283800408 -0.00053163728443905711 -0.00029323532362468541, 0.010254590772092342    1.2526421546936035 0.0061994921416044235, 0.24681194126605988 0.029857082292437553 0.065611705183982849 0.029857082292437553  0.22970393300056458 -0.02382364496588707 0.065611705183982849 -0.02382364496588707  0.18802030384540558,   -1.1317530160912526    -0.4175295288186831    -1.1953749871942421    0.75598415053779178    0.53700769268871795   0.048127386634178038 1.9523964667200744e-05,0.00042916729580610991
IIWA_7,1714566187.2745798,-0.47976675260563539   1.1369984244018432 0.019446622041255118  -1.2803807471456017  -1.9553469025483723  -1.8936025699148971 -0.92128303523992516,  0.033748221506889359  0.0032030681644334997   0.033222573701590041   -0.01555969802013484   0.015950395796298322 -0.0093384322367228642 -0.0066897537718883637, -16.647188598632813   61.535719676971432  -11.184282836914063  -12.355181465148926  -1.2668594932556152   1.8052628288269044 -0.18523218154907226,  37.237726012730754   3.9049559983979361   13.888834054532889  -8.9767008223936084   4.1154401155332243  -1.2750879896998202 -0.26636948334580302,0.55460017919540405 -0.0532224141061306 0.21243077516555786, -0.70127636194229126 -0.015495955012738705  0.001485502696596086   0.71271955966949463,-0.00028311033383943141   0.0007675537490285933 -0.00026439735665917397, 0.010256162844598293    1.2526414394378662 0.0062013845890760422,  0.24681265652179718  0.029855083674192429  0.065612442791461945  0.029855083674192429   0.22970853745937347 -0.023820219561457634  0.065612442791461945 -0.023820219561457634   0.18801584839820862,   -1.1316319249754514   -0.41743101705016272    -1.1951928123288269    0.75587635769025496    0.53702837536828696   0.048268302313303479 1.9553158203677867e-05,0.00059710402274504304
IIWA_7,1714566187.2795813,-0.47944162056435224   1.1369947691369739 0.019877514817473702  -1.2807322444578146  -1.9548216099307349  -1.8938146308005899 -0.92137938832294297,  0.040003858856837465  0.0024162439367776418   0.043813770010015421  -0.026507650904626118   0.033772021342532287  -0.015953181217090724 -0.0092059263382230239,   -19.41231028366089    61.257459983825683   -12.203756980895996   -12.164140110015868   -2.0556754112243651    2.2898702659606935 -0.067084087371826168,  36.743280104628916   3.8961624362977272   13.463303722702017  -8.8487101742059018   4.0937898112123685  -1.0942401694446611 -0.25498414255511181,  0.55459928512573242 -0.052756674587726593   0.21248847246170044, -0.70099657773971558 -0.015747265890240669 0.0016807218780741096   0.71298873424530029,-0.00027011753991246223     0.01924140565097332   0.0020989314652979374, 0.010257423855364323     1.252640962600708 0.0062029468826949596,  0.24678479135036469  0.029830543324351311  0.065641216933727264  0.029830543324351311   0.22977665066719055 -0.023757018148899078  0.065641216933727264 -0.023757018148899078   0.18798308074474335,   -1.1300302938916928    -0.4157270177707062    -1.1922614746291416    0.75429758691214488    0.53739434307864542    0.05032799204229832 1.9970554099302262e-05,0.013442452996969223
IIWA_7,1714566187.2845328,-0.47923974640192185   1.1369818262115736 0.020444128977816653  -1.2812357016975127  -1.9540824230244753  -1.8940576708441732 -0.92150012943701443, 0.040078053582685701  0.001415278133409005  0.057715582421730367 -0.041344410311621865  0.056585093324410862 -0.022484146717005833  -0.01219438563343659, -19.065493854522707   61.221165241241458  -9.8038549804687491  -11.753885402679444   -1.140085506439209    1.854991828918457 -0.16220331573486327,  36.386684193237961   3.9957439302028157   13.136143641373572  -8.8200656412772513    4.017422874459573 -0.94045252160402404 -0.22742857253207704,    0.554634690284729 -0.052336931228637695    0.2125992476940155, -0.70075422525405884  -0.01598651334643364 0.0018019723938778043   0.71322131156921387,0.0011817176127806306  0.032179232686758041  0.006113903596997261,  0.01025861781090498    1.2526484727859497 0.0062044458463788033,  0.24675203859806061  0.029814554378390312  0.065671540796756744  0.029814554378390312   0.22982974350452423 -0.023702263832092285  0.065671540796756744 -0.023702263832092285   0.18796892464160919,   -1.1289015953233061   -0.41421015783704718    -1.1899614381301049    0.75292151862260681    0.53769447721752073   0.052026490942935766 2.0316787363583444e-05,0.022759290412068367
IIWA_7,1714566187.2895782,-0.47908107524713067    1.136976253593438 0.021257857871047864  -1.2818663715139824  -1.9530851438097481  -1.8944153400769537 -0.92165856093628273,  0.038409289057795719 0.00090931778130290408   0.078721621666632741  -0.058302320908087624   0.085159243248618843  -0.032294086684823323  -0.016092768477481582, -15.266644130706787   60.625662612915036  -10.591790523529053  -11.936123008728027  -1.8109311866760254   2.1590396080017089 -0.19123971176147461,  36.181328938432841   4.0843375974141747   12.855141386477907  -8.7775370874061931   3.8952791195275731 -0.77154618514684703 -0.20898652610135349,  0.55465108156204224 -0.051964025944471359   0.21273849904537201, -0.70040041208267212 -0.016116268932819366 0.0018419865518808365   0.71356582641601562,0.0015791129553690553  0.040650248527526855  0.010467337444424629, 0.010268229991197586    1.2527618408203125 0.0062082475051283836,  0.24675144255161285  0.029783984646201134   0.06569632887840271  0.029783984646201134   0.22987577319145203 -0.023659272119402885   0.06569632887840271 -0.023659272119402885   0.18793557584285736,   -1.1272923869274365     -0.413041200209463    -1.1878050523002059    0.75171824381037311    0.53761921904538212   0.053460225888812829 2.0638517561621939e-05,0.029166515916585922
IIWA_7,1714566187.2945817,-0.47884145059472732   1.1369647487102581 0.022215157657631209  -1.2826637419815499  -1.9518845161093379  -1.8947976368872275 -0.92189201355903561, 0.040312417342370468 0.0002672588978457791      0.10126928879664 -0.078536675429168049   0.11615250261530244 -0.041127141758810527 -0.022212319692100153, -14.003049388885499   60.409238407135007  -10.694794387817383  -11.443113059997559   -1.849667682647705   2.0328814735412597 -0.19591223526000975,  36.059026597821735   4.1891444614717672   12.557668859693869  -8.7380108007474497   3.7304088972343599 -0.58756627757838542 -0.19138645860528758,   0.5546640157699585 -0.051593512296676636   0.21291963756084442,  -0.6999315619468689 -0.016179867088794708 0.0018009851919487119   0.71402436494827271,0.0017578145489096642  0.047321412712335587  0.015630872920155525, 0.010242546908557415    1.2528508901596069 0.0061380662955343723, 0.24676933884620667 0.029734920710325241 0.065723083913326263 0.029734920710325241  0.22992275655269623 -0.02361716516315937 0.065723083913326263 -0.02361716516315937  0.18788869678974152,    -1.124975927837113   -0.41198483410997966    -1.1853304066136161    0.75051996772135254    0.53718406789382556   0.054759634227075082 2.0957671154064883e-05,0.034622684121131897
IIWA_7,1714566187.2995799,-0.47850930789308815   1.1369557005961666 0.023338439128743838  -1.2835883249168063  -1.9504310694382618   -1.895250520702938 -0.92220522129270299,    0.04553564193946321 -0.00014811744538439692     0.12594668988181715   -0.099812657753591841     0.15105986893528406   -0.051017066035468989   -0.030298165100375588,  -14.843205467224122    59.859440269470213   -10.690392513275146   -11.493294429779052   -1.6225309562683106    2.2184474067687989 -0.093784221649169927,  35.911259648630029   4.3546435002776285   12.139704898311205  -8.7049345262846138   3.5023364407435467 -0.33965460873795106 -0.16202878884870109,  0.55468630790710449 -0.051146868616342545   0.21318042278289795, -0.69928270578384399 -0.016256364062428474 0.0017016020137816668   0.71465831995010376,0.0022643227130174637  0.055683616548776627  0.022957522422075272, 0.010128473863005638    1.2529292106628418 0.0059863263741135597,  0.24679224193096161  0.029668089002370834  0.065760962665081024  0.029668089002370834   0.22998078167438507 -0.023564646020531654  0.065760962665081024 -0.023564646020531654   0.18782997131347656,   -1.1218818708638167   -0.41074527243800674    -1.1821195265593332    0.74915828110988514    0.53652526011571666   0.056378304637227927 2.1364573221660521e-05,0.041844271123409271
