DesiredFlux,1,HitTime,1714566448.1551251,DesiredPos,0.55907118320465088 0.29202502965927124 0.21900093555450439
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714566447.6377885,-0.48485489504784507   1.1270825568226215 0.012386295614286188  -1.2630297466277884   -1.958363763327106   -1.894076905572444 -0.89060611590682359,-2.1854273505539784e-06 -5.5059831820857319e-07  -0.0013041923454785917   0.0024031085518932882 -1.5729130030840732e-06 -3.1436031535135601e-06   9.066965101740655e-05, 0.51215914535522467    65.54427235794067  -1.6709515762329101  -16.588904399871826   -1.077578887939453   1.7511950569152832 -0.23128991317749023,-0.24224234610621209  0.49675805102851961  0.12100083935173442 -0.59729187375036441  0.47872664745550214  0.48866795870444185  0.51007855879538844,  0.55888038873672485 -0.060514293611049652   0.21884147822856903, -0.70798903703689575 -0.010324730537831783 0.0036000977270305157    0.7061387300491333, 0.00056266254978254437 -0.00077263015555217862  0.00017593757365830243,3.5669463613885455e-06     1.4370614290237427 2.9287880352057982e-06,   0.2444218248128891  0.031359460204839706  0.066231474280357361  0.031359460204839706    0.2282295823097229 -0.024348050355911255  0.066231474280357361 -0.024348050355911255   0.19125846028327942,      -1.2040573417611   -0.43559995907926918    -1.2571182654523838    0.79221715809651982    0.54400297120515972   0.019531816435325311 1.0598211197532237e-05,0.00067627965472638607
IIWA_7,1714566447.6427872,-0.48485495493445502   1.1270826167092314 0.012379584496063035  -1.2630186611690444   -1.958363763327106  -1.8940767258035311 -0.89060587625130061,-4.1438062783960897e-06  1.9549857411656019e-06   -0.001311798605308994   0.0023659051912772117 -1.2583304024672586e-06  4.6758739918636413e-06  8.2121941733213975e-05, 0.50140514755249022   65.548305107116704  -1.6744730758666992  -16.592425899505614   -1.077578887939453   1.7518625602722169 -0.23128991317749023,  42.836300752404647   4.5179734483387088   17.948487060450717  -10.396058024112131   4.7072385698793306  -2.3371900127204706 -0.77678315651516194,  0.55888503789901733 -0.060521975159645081   0.21884246170520782, -0.70799654722213745   -0.0103269899263978 0.0035935239866375923   0.70613127946853638, 0.00052608823170885444 -0.00077156914630904794    0.000147380938869901,3.4948411666846368e-06     1.4370596408843994 2.8946706152055413e-06,  0.24442046880722046  0.031360890716314316   0.06623164564371109  0.031360890716314316   0.22822776436805725 -0.024348877370357513   0.06623164564371109 -0.024348877370357513   0.19126081466674805,  -1.2041313224004924   -0.4356215312331102   -1.2571875653692999   0.79225923405346066   0.54401028214989822  0.019496112193984061 1.058993692737431e-05,0.00065788289066404104
IIWA_7,1714566447.6479416,-0.48485501482106497   1.1270826167092314  0.01237263361323389  -1.2630082948950354  -1.9583638593202148  -1.8940767258035311 -0.89060569648238763,-5.7105094206697791e-06  1.5639885929324815e-06  -0.0013274741974130038   0.0023073751133804118 -4.8463886737800468e-06  3.7406991934909132e-06   7.288830990568656e-05, 0.49065114974975588   65.560403354644777  -1.6815160751342773  -16.588904399871826   -1.077578887939453   1.7525300636291503 -0.23195741653442384,  42.836250565561102   4.5179696772248921   17.948456357029766  -10.396046922332998   4.7072373921221438  -2.3371904535247299 -0.77678315651516194,  0.55888503789901733 -0.060521975159645081   0.21884246170520782, -0.70799654722213745   -0.0103269899263978 0.0035935239866375923   0.70613127946853638, 0.00052608823170885444 -0.00077156914630904794    0.000147380938869901,3.4194672480225563e-06     1.4370596408843994 2.8578349429153604e-06,  0.24442046880722046  0.031360890716314316   0.06623164564371109  0.031360890716314316   0.22822776436805725 -0.024348877370357513   0.06623164564371109 -0.024348877370357513   0.19126081466674805,  -1.2041313224004924   -0.4356215312331102   -1.2571875653692999   0.79225923405346066   0.54401028214989822  0.019496112193984061 1.058993692737431e-05,0.00065788289066404104
IIWA_7,1714566447.6528172,-0.48482775070557033   1.1270910057433643 0.012396781879681405  -1.2630269902074842  -1.9583517791983303  -1.8941081843815506 -0.89061869929439808,  0.0010859962122490919  0.00033681255619099601 -9.6048700029804359e-05   0.0010980875927522468   0.0004793277644443122   -0.001255350561423201 -0.00046180183249317337,0.28766944122314453  65.447486377716061 -2.1498755264282225 -16.221788063049317 -1.2492519950866698  1.8863644866943359 -0.2012522621154785,  42.836555564402175   4.5179997106225001   17.949029108357848  -10.396159897951966    4.707646071925657  -2.3378660207182604 -0.77651817082697006,  0.55888742208480835 -0.060525789856910706   0.21884293854236603,  -0.7080003023147583 -0.010328218340873718 0.0035900769289582968   0.70612746477127075, 0.00051660113967955112 -0.00076993589755147696  0.00013726495672017336,3.4194590625702403e-06     1.4370561838150024 2.8578278943314217e-06,  0.24441975355148315  0.031361591070890427  0.066231749951839447  0.031361591070890427   0.22822687029838562 -0.024349275976419449  0.066231749951839447 -0.024349275976419449   0.19126202166080475,   -1.2041677243050941   -0.43563204161234381    -1.2572213934536336    0.79228026761235526    0.54401372859835817   0.019477960341518497 1.0585774923299596e-05,0.00065223261481150985
IIWA_7,1714566447.6577842,-0.48439931469844011   1.1271389426293503 0.012879566348887973  -1.2633086794765223  -1.9581868763018115  -1.8943807056541939 -0.89070037186766216,  0.018006237255007967  0.0021869254843941153   0.019234539808238863  -0.010389100687319942  0.0069795780723040466  -0.011905131354871456 -0.0036363443965577369,  -8.108514343261719   62.775117923736573  -8.4595224952697752  -11.698421783447266  -1.4658242225646974   2.4684274139404296 -0.37814065170288086,  42.836745551308418    4.517788365163053    17.94964446990657  -10.395992081529247   4.7081772046725199  -2.3384467732927186 -0.77633299181814142,  0.55888956785202026 -0.060529593378305435   0.21884331107139587, -0.70800399780273438 -0.010329245589673519 0.0035868941340595484   0.70612376928329468, 0.00049931439571082592 -0.00076806172728538513  0.00012470466026570648,3.2797677249618573e-06     1.4370561838150024 2.7922133085667156e-06,  0.24441914260387421  0.031362287700176239  0.066231809556484222  0.031362287700176239   0.22822599112987518 -0.024349698796868324  0.066231809556484222 -0.024349698796868324   0.19126313924789429,   -1.2042037527058014   -0.43564293654974051     -1.257255755733766    0.79230066145807854    0.54401723135111268   0.019460329461651327 1.0581694631639493e-05,0.00064336246578022838
IIWA_7,1714566447.6628256, -0.4839445133112969   1.1271122178205946 0.013404355548119209   -1.263516785555213  -1.9578740399960255   -1.894754613539418 -0.89073404745016393,  0.032597045289734818 0.00068054803728479028   0.036379199815840563  -0.016635523697484209   0.018097114689285085   -0.02448042049285986  -0.004256098817317382, -16.976529781341554   62.136599304199216  -12.253057975769043  -12.900133533477783  -1.7290563201904297   1.9007158088684082 -0.14217821502685546,  42.803231359070146   4.5126829921014835   17.921241339311742  -10.379800686856958   4.7086805322848333  -2.3194392435145641 -0.77641980077101347,  0.55888473987579346 -0.060503207147121429   0.21884769201278687, -0.70798122882843018 -0.010347556322813034 0.0036030593328177929     0.706146240234375,0.00020532430789899081 0.00044106473797000945 0.00027495028916746378,3.2797638596093748e-06     1.4370545148849487 2.7922101253352594e-06,  0.24441881477832794  0.031362012028694153  0.066232733428478241  0.031362012028694153   0.22822992503643036 -0.024347174912691116  0.066232733428478241 -0.024347174912691116   0.19125984609127045,   -1.2041515253411461   -0.43556053394322447    -1.2571342440690358    0.79221991487621324    0.54405930225520649    0.01962504407426735 1.0618186330191293e-05,0.00038887202390469611
IIWA_7,1714566447.6679006,-0.48364574665002663   1.1271111392071167 0.014038081327026004   -1.263953610487393   -1.957294003555603  -1.8953627530096568 -0.89082297044838998,  0.038028302682598519 0.00050129389071313995   0.054452391008944251  -0.030781416245187453   0.037679149368327357  -0.043909915203842104 -0.0069617989828958515,  -21.092622440338136    62.390662502288819   -14.255910892486572   -11.881539764404296   -1.9693986701965331    2.7264174613952639 -0.014351322174072265,  42.316518425021492   4.5331993266770914   17.488765059916467  -10.238915433008694   4.6782528658727012  -2.0885503277836932 -0.76927748480640656,   0.5588567852973938 -0.060059800744056702   0.21893870830535889, -0.70767736434936523 -0.010607634671032429 0.0038293516263365746   0.70644569396972656,-0.00096042465884238482    0.018085790798068047   0.0038621565327048302,3.2095829283207422e-06     1.4370527267456055 2.7595851861406118e-06,  0.24439403414726257  0.031347017735242844  0.066257961094379425  0.031347017735242844   0.22829675674438477 -0.024294164031744003  0.066257961094379425 -0.024294164031744003   0.19122563302516937,    -1.202870023172764   -0.43401090995942582    -1.2546476669070827    0.79072403175484141    0.54452877185706683   0.021908149446581149 1.1110673270309235e-05,0.012885222211480141
IIWA_7,1714566447.6728175,-0.48353854776378763   1.1271021510887183 0.014827841831805733  -1.2645573158395838  -1.9564586551162111  -1.8961582657924019 -0.89096534306412756,  0.034710597595638881 4.1510376632701346e-05   0.075152332998344562  -0.048773347083781421   0.063557257070338893  -0.066948443472875041  -0.011264343815819632, -22.052416744232179   61.082707519531247  -11.714268531799316  -11.154350090026856  -1.4895943450927733   2.2805252189636231 -0.15085575866699219,  41.900251494217962   4.7051469759416289   17.043663523402753  -10.200280879937898   4.5706346579524615  -1.8389251526660586 -0.73919776533254722, 0.55887055397033691 -0.05960175022482872  0.21912729740142822, -0.70732682943344116 -0.010918901301920414 0.0040038335137069225    0.7067909836769104,-0.00023619769490323961    0.032781075686216354    0.010638289153575897,3.1475904052058468e-06     1.4370603561401367 2.7318026241118787e-06,  0.24435071647167206  0.031338639557361603  0.066294148564338684  0.031338639557361603   0.22835914790630341 -0.024238362908363342  0.066294148564338684 -0.024238362908363342   0.19121108949184418,   -1.2018896523224853   -0.43241035713759146    -1.2522992962145096    0.78934964464938417    0.54502685551494068   0.024284126159734853 1.1635325591896617e-05,0.023978773504495621
IIWA_7,1714566447.6778355,-0.48356665072815397   1.1270783024734867 0.015922241158124049  -1.2653014762360799  -1.9553411501176905  -1.8972084434932961 -0.89119987430035819,  0.026644359501857551 -0.0009207363079548538    0.10389783945140826  -0.068785093526871649   0.095546005597094752  -0.095565862814068717  -0.018392724501880842, -18.491499221801757   60.183404453277589  -11.256473579406737   -10.83741512298584  -1.6242917060852051   2.0912880172729493 -0.20692604064941406,  41.609576467980474   4.8499644493946139   16.604609867908884  -10.109822934720412    4.420988449397198  -1.5268533873180012 -0.71956425487467102,  0.55883127450942993 -0.059161383658647537   0.21936486661434174, -0.70678263902664185 -0.011160546913743019 0.0041381018236279488   0.70733064413070679,-0.0017883643740788102   0.043813105672597885   0.018023278564214706, 3.243158516852418e-06     1.4371882677078247 2.6656521185941529e-06,  0.24434413015842438  0.031316883862018585  0.066325463354587555  0.031316883862018585   0.22842153906822205 -0.024194071069359779  0.066325463354587555 -0.024194071069359779    0.1911664754152298,   -1.2003984542046098   -0.43114726549564608     -1.250000929555739    0.78813438660407797    0.54526097578921906   0.026828947351731358 1.2261899051679848e-05,0.032981932163238525
IIWA_7,1714566447.6828108,-0.48357683734233325   1.1270581689006511 0.017314148981488083  -1.2661735682849993  -1.9539497336699607  -1.8984576191630969 -0.89159073980459458,  0.020908023034314598 -0.0015419319597874842    0.13879458449568799  -0.089911756778271706    0.13209346238686687   -0.12641971704328545  -0.030348799770960388, -15.320414119720459   60.156519458770752   -11.30401382446289  -11.245028705596924  -1.8523088073730469   2.2488188095092774 -0.17688838958740236,  41.444273065341434   5.0342284912553961   16.149430932840342  -10.028031468160915   4.2115124292415951  -1.1724870760392079 -0.69546369963484678,  0.55876505374908447 -0.058753445744514465   0.21967789530754089, -0.70606249570846558 -0.011354590766131878 0.0041838684119284153   0.70804613828659058,-0.0041092643514275551   0.051315046846866608   0.026958592236042023,3.4493311886762967e-06     1.4373077154159546 1.0011402764575905e-06,  0.24436143040657043  0.031281657516956329  0.066357791423797607  0.031281657516956329   0.22848181426525116 -0.024158334359526634  0.066357791423797607 -0.024158334359526634   0.19110505282878876,   -1.1984156065656393   -0.43020478115618488    -1.2476953026991922    0.78715284231734017    0.54518718605578442   0.029403124282900706 1.2957637629540386e-05,0.040423829108476639
