DesiredFlux,1.14,HitTime,1714566783.1701605,DesiredPos, 0.5681755542755127   0.300925612449646 0.21905714273452759
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714566782.6659815,-0.48200091182011601   1.1337074363639381  0.01620285181368427  -1.2543919966406887  -1.9637984655450749  -1.9090306416029377 -0.88887685219242762,-1.2213322505198135e-05 -8.4061129811744518e-06 -0.00053155133008595543  -0.0012691621232262824 -0.00068027959736777503   2.208965849925132e-06  1.5184802361589312e-06, 0.46914315414428709   65.848072795867921  -1.7457834434509276  -16.390820045471191  -1.0247563934326172   1.7855714797973632 -0.25131501388549804,0.047699255678893965   0.8891956844186466 -0.23779298437927093  -2.2627366093975008 -0.26892284390642762  0.37997334359143847  0.49007640544637654, 0.55777299404144287 -0.05855448916554451  0.21940144896507263, -0.70422208309173584 -0.016571367159485817 0.0099451998248696327   0.70971661806106567,-0.00046786924940533936  5.5693403737677727e-06 -0.00037716233055107296,  0.010124439373612404     1.6391192674636841 -0.0003394469094928354,  0.24350285530090332  0.032337017357349396  0.066443443298339844  0.032337017357349396   0.22864313423633575 -0.024179087951779366  0.066443443298339844 -0.024179087951779366   0.19120335578918457,   -1.2370584934444651   -0.42868172957355455    -1.2594950036088903    0.80143361839279947    0.57028418679738735   0.065627421977687561 1.9843100496075294e-05,0.00041797495214268565
IIWA_7,1714566782.6709871,-0.48200163078668473    1.133707376477328 0.016198477582246459  -1.2543993070613437  -1.9638011500359973  -1.9090306416029377 -0.88887667242351476,-3.8529320753142928e-05 -9.1203547895538056e-06 -0.00060021032158121728  -0.0013077465247829836 -0.00065160331479199537  1.7671726799401057e-06   8.405540703601635e-06, 0.44629090881347655   65.817155052185058   -1.763390941619873  -16.389059295654295  -1.0326797676086426   1.7832352180480957 -0.25064751052856443,0.048763843052878231  0.88709778834402564 -0.23591262488506842  -2.2612091161033971 -0.26795286320924128  0.37996188759837507  0.48951284419347108,   0.5577702522277832 -0.058554977178573608   0.21939915418624878, -0.70422267913818359 -0.016568299382925034 0.0099485283717513084   0.70971614122390747,-0.00048293446889147162 -1.5081358469615225e-05 -0.00039359336369670928, 0.010129811242222786    1.6391195058822632 -0.000337451376253739,  0.24350394308567047  0.032336950302124023  0.066442824900150299  0.032336950302124023   0.22864325344562531 -0.024179419502615929  0.066442824900150299 -0.024179419502615929   0.19120240211486816,   -1.2370546675120053   -0.42868741217194639    -1.2595026921840002     0.8014270302654225    0.57028443570672493   0.065628524371419417 1.9842783416379461e-05,0.0004334191617090255
IIWA_7,1714566782.6760101,-0.48200222998003356    1.133707256595025  0.01619332438854687  -1.2544063777173928  -1.9638041221571805  -1.9090307614852406 -0.88887685219242762, -5.479119055559295e-05 -1.2091575950585074e-05 -0.00068629600524851048  -0.0013290234617904606 -0.00064016749916017985 -3.3815539749899448e-06 -4.6632395179318139e-07, 0.40461916732788084   65.780860309600826  -1.7686731910705566  -16.382896671295164  -1.0291582679748534   1.7849039764404298 -0.24931250381469727,  47.593835204562097   4.6989265323099891   20.425263867506604  -11.223224544649515    5.155572942241907 -0.93315909801545716 -0.79378801673966914,  0.55776751041412354 -0.058555856347084045   0.21939681470394135, -0.70422327518463135 -0.016564821824431419 0.0099516315385699272   0.70971554517745972,-0.00049484358169138432 -4.7258708946174011e-05 -0.00040819635614752769,  0.010135064832866192     1.6391196250915527 -0.0003354526124894619,  0.24350394308567047  0.032336950302124023  0.066442824900150299  0.032336950302124023   0.22864325344562531 -0.024179419502615929  0.066442824900150299 -0.024179419502615929   0.19120240211486816,   -1.2370546675120053   -0.42868741217194639    -1.2595026921840002     0.8014270302654225    0.57028443570672493   0.065628524371419417 1.9842783416379461e-05,0.0004473456647247076
IIWA_7,1714566782.6809831,-0.48200276928677244    1.133707016939502 0.016188051312544281  -1.2544135682557449  -1.9638070942783639  -1.9090306416029377 -0.88887685219242762, -6.540522199960006e-05 -1.9259481679756797e-05 -0.00075995984430239725  -0.0013508403035153843 -0.00063101884666360924  2.0900489389500734e-06 -3.7305916143454511e-07, 0.38714392089843752   65.713647823333744  -1.7748358154296875  -16.377614421844481   -1.030919017791748    1.782901466369629 -0.24998000717163085,  47.594570324221387    4.697930278918613   20.426792400210374  -11.222551778262565   5.1561055139038343 -0.93345779678225282 -0.79433214517561812,  0.55776476860046387 -0.058556970208883286   0.21939438581466675, -0.70422416925430298 -0.016561435535550117 0.0099546937271952629   0.70971471071243286,-0.00050633377395570278 -8.2234444562345743e-05 -0.00042366751586087048,   0.010140680707991123      1.6391196250915527 -0.00033331365557387471,   0.2435062974691391  0.032336875796318054  0.066441498696804047  0.032336875796318054   0.22864331305027008 -0.024180259555578232  0.066441498696804047 -0.024180259555578232   0.19120052456855774, -1.2370512364432429 -0.42870316338383674  -1.2595262391501549  0.80141753538764959  0.57028398576264294 0.065626023709519643 1.98411891361161e-05,0.00046270748134702444
IIWA_7,1714566782.6859834, -0.4819765837847555   1.1337149864401159 0.016213158310166533  -1.2544494610608952  -1.9637950141564791  -1.9090447830241188   -0.888890394311177, 0.00099509590307791679  0.00030337243921140427   0.0003963120294481863  -0.0025163844488227719 -2.1610201938669377e-05 -0.00056398480809558265 -0.00054198319730421637,  0.1666869659423828   65.557714855194092    -2.24407564163208  -16.018421459197999  -1.2483716201782227   1.8453130302429199 -0.21526983261108398,   47.59510441725174   4.6971760650530703   20.428090175757845  -11.222078236083922   5.1565101444017012 -0.93383166073187107 -0.79489731267463004,  0.5577620267868042 -0.05855807289481163  0.21939194202423096, -0.70422518253326416 -0.016557920724153519 0.0099577866494655609   0.70971369743347168,-0.00051506917225196958 -0.00011002471001120284 -0.00043691869359463453,   0.010140680707991123      1.6391197443008423 -0.00033331368467770517,  0.24350748956203461   0.03233686089515686   0.06644081324338913   0.03233686089515686   0.22864331305027008 -0.024180702865123749   0.06644081324338913 -0.024180702865123749   0.19119958579540253,   -1.2370506709666884    -0.4287114229226674    -1.2595395059129544    0.80141285532775441    0.57028385816249028   0.065623973157791227 1.9840163290041346e-05,0.00047593508497811854
IIWA_7,1714566782.6909907,-0.48155887358946031   1.1337607062125366 0.016710803167123048  -1.2547656647613068  -1.9635925287361113  -1.9091541990239234 -0.88899909123532961,  0.017504484534269713  0.0020714888481942065   0.020222843901819134  -0.014661255575523518  0.0080821286531576695 -0.0048278278386572077 -0.0047814635239476532, -7.8262219009399416    62.80200291824341  -8.1971707725524894  -11.857769641876221  -1.5151252174377441   2.1400157623291016 -0.29270022201538087,  47.564359896323381    4.689731990339264   20.403565495494796  -11.207705354698282   5.1562899805915379 -0.92023396906049992 -0.79552609053456513,   0.5577552318572998 -0.058529812842607498   0.21939092874526978, -0.70420384407043457   -0.0165672916918993 0.0099746603518724442   0.70973443984985352,-0.00068363035097718239   0.0010423639323562384 -0.00039009147440083325,   0.010151922702789307      1.6391196250915527 -0.00032885753898881376,  0.24350909888744354  0.032334782183170319   0.06644122302532196  0.032334782183170319   0.22864803671836853 -0.024177916347980499   0.06644122302532196 -0.024177916347980499   0.19119451940059662,   -1.2369201392843365   -0.42862328150050644     -1.259371579578783    0.80129942362550111    0.57029845356293407   0.065760674469395042 1.9871247758374011e-05,0.00090840237680822611
IIWA_7,1714566782.6959808,-0.48112102993041256   1.1337270905166448 0.017286705097080489  -1.2550617351070488  -1.9632235104562366  -1.9092307781810147 -0.88910988539074465,  0.031517333989325935 0.00031256324288434574   0.039214352319752954  -0.023571818290097704   0.021226434117517685 -0.0069254285545802055 -0.0082569370357596962,  -16.499321128845214    61.679554397583011   -11.997749252319336    -12.05409324645996    -1.670071201324463    1.8519880638122559 -0.088110443115234374,  47.099757105797977   4.6961641161195029   19.993080945892679  -11.085456651170421   5.1153698162269245 -0.73729737988815724 -0.78448246377895925,   0.5577552318572998 -0.058529812842607498   0.21939092874526978, -0.70420384407043457   -0.0165672916918993 0.0099746603518724442   0.70973443984985352,-0.00068363035097718239   0.0010423639323562384 -0.00039009147440083325,   0.010157606564462185      1.6391301155090332 -0.00032657134579494596,  0.24350909888744354  0.032334782183170319   0.06644122302532196  0.032334782183170319   0.22864803671836853 -0.024177916347980499   0.06644122302532196 -0.024177916347980499   0.19119451940059662,   -1.2369201392843365   -0.42862328150050644     -1.259371579578783    0.80129942362550111    0.57029845356293407   0.065760674469395042 1.9871247758374011e-05,0.00090840237680822611
IIWA_7,1714566782.7010107,-0.48083718365258532   1.1337081554395898 0.017976157602757288  -1.2555662709602244  -1.9625669666353884  -1.9093203602591995 -0.88929216550524448,   0.036567718304550259 -0.00050735248789137203    0.058949582082874333   -0.039038888759104939    0.043242900127938994   -0.009123625971054922   -0.013896754208601085,  -20.720265266418458    61.327360969543456   -14.108007907867432   -11.289927825927734   -1.8699163055419921     2.124329433441162 0.0040050201416015627,  46.704936775294271   4.8352248468629604   19.570187004642346  -11.064561081891082   4.9985331230103416 -0.56047637710599307 -0.74781968581051705,  0.55779397487640381 -0.057609673589468002   0.21960018575191498, -0.70361113548278809 -0.017034770920872688  0.010223005898296833   0.71030741930007935,0.0011436105705797672  0.033910516649484634 0.0075984098948538303,   0.010171725414693356      1.6391299962997437 -0.00032582291169092059,  0.24345329403877258  0.032272413372993469  0.066507540643215179  0.032272413372993469   0.22878342866897583 -0.024056853726506233  0.066507540643215179 -0.024056853726506233   0.19113951921463013,   -1.2330713278583261   -0.42528889547366333    -1.2534585079233551    0.79800982407451926    0.57055009352957597   0.069419056633712728 2.0713042836462137e-05,0.024177534505724907
IIWA_7,1714566782.7060094,-0.48073226176652167   1.1336867037068366 0.018826977687836491  -1.2562500908520728  -1.9616201169640681  -1.9093739896456239 -0.88954407389400647,  0.033451050086186082 -0.0012639513004432028   0.081192469069467588  -0.058583906681220071   0.072468306955163375 -0.0094440762338196156  -0.021193738917360469, -21.435406120300293   60.367566665649413  -11.885061264038086  -11.280243701934815  -1.5063214683532715   1.8146078758239745 -0.14484822845458983,  46.453734126788184   4.9492292942296876   19.177408791254436  -11.029763176191514   4.8301771815976604 -0.37939999215469911 -0.71467629156256707,  0.55782985687255859 -0.057151749730110168   0.21976581215858459, -0.70316547155380249 -0.017180785536766052  0.010186555795371532   0.71074563264846802,0.0023213785607367754  0.045433897525072098  0.012717048637568951,   0.010173559188842773      1.6394256353378296 -0.00032588164322078228,  0.24345296621322632  0.032213494181632996  0.066546134650707245  0.032213494181632996   0.22884830832481384 -0.023998571559786797  0.066546134650707245 -0.023998571559786797   0.19109693169593811,   -1.2301223124113747   -0.42379530727831849    -1.2501172915113656     0.7963864499940243    0.57010271410984359   0.070869738729939513 2.1114461290494546e-05,0.032843634486198425
IIWA_7,1714566782.7110047,-0.48073669588456941   1.1336400250941583  0.01996643770661664  -1.2571236209432128  -1.9603540076517156  -1.9094428390667075 -0.88991246893862186,  0.026583475347039434 -0.0028783055474851096    0.11053237600678005  -0.081808328990575885     0.1086190180582304  -0.010309237830401687  -0.031690792918503907, -17.491377426147462   59.637639064788821  -11.669369411468505  -11.480088806152343  -1.7193721961975097   1.7214911575317382 -0.14651698684692382,   46.33133711574451   5.0773044668440983   18.789603906505985  -11.013936876160237   4.6003491909426426 -0.20433292724962326 -0.67656115893163937,  0.55787491798400879 -0.056714292615652084   0.21996855735778809, -0.70259368419647217 -0.017231717705726624  0.010001344606280327   0.71131229400634766,0.0036293794400990009  0.053821597248315811  0.018307194113731384,   0.010103607550263405       1.639567494392395 -0.00052850274369120598,  0.24347999691963196  0.032126534730195999  0.066588431596755981  0.032126534730195999   0.22891069948673248 -0.023943088948726654  0.066588431596755981 -0.023943088948726654   0.19103847444057465,   -1.2261339634376256   -0.42250888131523112    -1.2463691309800851    0.79482211367931654    0.56909305110508512    0.07189746880609249 2.1478301803767863e-05,0.039604503661394119
