DesiredFlux,0.57,HitTime,1714565383.5251007,DesiredPos, 0.5583156943321228 0.29430961608886719   0.218446284532547
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714565382.8971634,-0.48404595981048754   1.0554086827188172 0.018274085415155798  -1.3818832971488197  -1.9498549636538476  -1.8273821773354806 -0.93298035776866339, 0.00011548330049922821  1.9606977783230752e-06  -1.436499209366847e-05    0.001235387413764897 -0.00056462989793863944 -6.9795205767495103e-05  6.9010124450942815e-05, 0.66405936431884771   63.039935119628908  -1.6973628234863281  -15.888125972747803 -0.95872827529907223   1.8620006141662597 -0.28068516159057616,-0.021045453149953666    3.0070529469476481   -0.2253678175522652  -0.70090603514753358  -0.21978566192254501  -0.23773454359317464    0.7509188526438596,  0.5458182692527771 -0.04525027796626091  0.22681073844432831, -0.71557015180587769 0.0026374158915132284 -0.013173626735806465   0.69841170310974121,0.00022051532869227231 -0.0001234753435710445 0.00012104178313165903, 0.0093860356137156487    0.82241302728652954 -0.0062783458270132542,  0.24883186817169189  0.025860723108053207  0.064592882990837097  0.025860723108053207   0.23131352663040161 -0.022543497383594513  0.064592882990837097 -0.022543497383594513   0.18787567317485809,  -0.96675898602516241   -0.39290749524489854    -1.1172664567062895    0.61019817634022644    0.44375637299864934  -0.066113679705992467 -4.957835919583431e-06,0.00019419858290348202
IIWA_7,1714565382.9021192,-0.48404530073052876   1.0554085029499041 0.018274205297458795  -1.3818766458081235   -1.949857743963346  -1.8273824768776135 -0.93298005811744744, 0.00011874983875041409 -5.6221983008978137e-06 -6.6967015550213025e-06   0.0012543635588606235 -0.00056291629828718781  -6.781784992901728e-05  6.7194148198811669e-05, 0.67884611129760741   63.019771373748782  -1.6938413238525389  -15.916297969818116 -0.96665164947509763   1.8566605873107911   -0.279350154876709,  27.188790622204003   3.4508082613804634   9.8687054262521734  -7.1527828898506876   3.4475442710596753  -4.7808055891147738 -0.50775079613969365,  0.54581969976425171 -0.045250892639160156   0.22681151330471039, -0.71557170152664185 0.0026345707010477781 -0.013174439780414104   0.69841009378433228, 0.00023353073629550636 -0.00012341912952251732  0.00012787814193870872, 0.0093844225630164146    0.82241290807723999 -0.0062784468755125999,  0.24883104860782623  0.025861132889986038  0.064593173563480377  0.025861132889986038   0.23131340742111206 -0.022543415427207947  0.064593173563480377 -0.022543415427207947   0.18787647783756256,   -0.96677534412847876      -0.392905923962239      -1.117273150579301     0.61020345994755587     0.44376260110023935   -0.066113045924964808 -4.9584736316887756e-06,0.00020337635942269117
IIWA_7,1714565382.907162,-0.48401803661503412   1.0554094017944688 0.018302547917348085  -1.3818961801876104  -1.9498508411861544  -1.8274372447641258 -0.93299342057636692,   0.001185564490785959  3.1456023950417765e-05    0.001128347434327577  0.00022211566761353536  -0.0001742219509649626  -0.0022449697404381989 -0.00048074303821994029,  0.4839299011230469   63.015738624572755  -2.0961726570129393  -15.592320003509521  -1.1312817573547362   2.0759354400634766 -0.24397247695922852,  27.188569213216347   3.4511294133938701   9.8687016735265267  -7.1531457794620295   3.4477081774496465  -4.7809170636509704 -0.50751579557025772,  0.54582095146179199 -0.045251451432704926   0.22681215405464172, -0.71557319164276123 0.0026319301687180996 -0.013174938037991524   0.69840854406356812, 0.00023722923651803285 -0.00012103779590688646   0.0001277452684007585, 0.0093829380348324776    0.82241278886795044 -0.0062786834314465523,  0.24883028864860535  0.025861535221338272  0.064593426883220673  0.025861535221338272    0.2313133031129837 -0.022543340921401978  0.064593426883220673 -0.022543340921401978   0.18787720799446106,   -0.96679129038879097      -0.392904413264894     -1.1172797777581067       0.610208369648646     0.44376897483466848   -0.066111836521720591 -4.9590243023089897e-06,0.00020470042363740504
IIWA_7,1714565382.9121614,-0.48357845526254983    1.055409102143253 0.018638765417375316  -1.3820700712679774  -1.9497377099912376  -1.8279919346168529 -0.93308360184790051,  0.018531705692000217 1.3178770526717695e-05   0.014351377948551309 -0.0067779506805902895  0.0043858702358975481  -0.023983569901434888 -0.0039918452919197878, -7.3624557456970212   61.822044868469241  -7.5606597137451175  -12.381592712402343  -1.0027470207214355   3.1065606231689453 -0.42419838333129883,  27.188412026658757   3.4518582204501396   9.8685309400064263  -7.1537669944770963   3.4477230518841502  -4.7809937726760081 -0.50718767727611547,  0.54582232236862183 -0.045252025127410889   0.22681298851966858, -0.71557468175888062 0.0026291050016880035 -0.013175728730857372   0.69840699434280396, 0.00024451178614981472 -0.00011970379273407161  0.00013586618297267705, 0.0093814721331000328    0.82241272926330566 -0.0062789646908640862,  0.24882948398590088  0.025861937552690506  0.064593717455863953  0.025861937552690506   0.23131318390369415 -0.022543255239725113  0.064593717455863953 -0.022543255239725113   0.18787799775600433,   -0.96680726667752737    -0.39290277263503981     -1.1172861482782181     0.61021334547373129      0.4437751179429128   -0.066111006698399422 -4.9596255990991267e-06,0.0002108580811182037
IIWA_7,1714565382.917119,-0.48306960506454627   1.0553969980667242 0.018813195804481195  -1.3821684018090377  -1.9495649454336363  -1.8289854268598025 -0.93313429515419088,   0.035179372473742698 -0.00047362004473268957     0.01845831784307618  -0.0093555821868815114    0.010419278492769654   -0.058926545639129274  -0.0052212084851507301, -14.578388271331788   61.374409709930418  -10.113746948242188  -13.372894859313964  -1.4728672218322754   2.4390572662353516 -0.17989215469360351,  26.686899187123938   3.5696950405411587   9.4054442347164127  -7.0129010774813585   3.4228212441463439  -4.4497452514016613 -0.48558713477890569,  0.5457502007484436 -0.04483475536108017  0.22697809338569641, -0.71525335311889648 0.0022621091920882463  -0.01289049256592989   0.69874268770217896,-0.0026646195910871029   0.016382211819291115  0.0065902778878808022, 0.0093798302114009857    0.82241249084472656 -0.0062791663222014904,  0.24880057573318481  0.025879546999931335  0.064611710608005524  0.025879546999931335    0.2313605397939682 -0.022501358762383461  0.064611710608005524 -0.022501358762383461   0.18785715103149414,   -0.96706778890087719     -0.3916754873642958     -1.1160992253955726     0.60924897526870581     0.44486200507787288   -0.063326350299597323 -4.4179495617413522e-06,0.01237514428794384
IIWA_7,1714565382.9221125, -0.4826101897904424   1.0554041287184663 0.018940648036775767   -1.382418752273276    -1.94922133373715  -1.8304851927584476 -0.93323022881277284,  0.046520108943148931 -9.366996609886844e-05   0.019864743566243848  -0.017498484319040421   0.022079890653669103   -0.10713187245710698 -0.0080143131313989528,  -16.588041610717774    62.375875755310055   -11.036379852294921   -11.902668762207032     -1.45525972366333    3.1202444419860842 -0.058740295410156247,  26.686889028263508    3.569707875844057    9.405432502601915   -7.012924048015166   3.4228051256316787  -4.4497549421767175 -0.48558713477890569,  0.5457502007484436 -0.04483475536108017  0.22697809338569641, -0.71525335311889648 0.0022621091920882463  -0.01289049256592989   0.69874268770217896,-0.0026646195910871029   0.016382211819291115  0.0065902778878808022,  0.009378376416862011    0.82241243124008179 -0.0062793027609586716,  0.24880057573318481  0.025879546999931335  0.064611710608005524  0.025879546999931335    0.2313605397939682 -0.022501358762383461  0.064611710608005524 -0.022501358762383461   0.18785715103149414,   -0.96706778890087719     -0.3916754873642958     -1.1160992253955726     0.60924897526870581     0.44486200507787288   -0.063326350299597323 -4.4179495617413522e-06,0.01237514428794384
IIWA_7,1714565382.9271648,-0.48218409067009749   1.0554010127603362 0.019079365387644261  -1.3827424461632556  -1.9486902888633639  -1.8325741030545832  -0.9333664895036361,   0.054260051968315702 -0.00019957429808646604    0.021440488887734838   -0.026946543054414268    0.038905707474378465    -0.16926190981111244   -0.011861878139649349, -16.678106342315672   61.295098976135257  -9.1664635467529294  -12.383353462219238  -1.3091174888610839   2.6196169242858889 -0.17555338287353517,  25.942279304793647   3.8965526311878893   8.6485231087897958   -6.720908032076367   3.3055260833645277  -3.5978849885377668 -0.45037975931409879,  0.54545927047729492 -0.044131848961114883   0.22750923037528992, -0.71432214975357056 0.0014349039411172271 -0.012144343927502632    0.6997101902961731,-0.012566598132252693  0.035650346428155899   0.02363688126206398, 0.0093774348497390747    0.82246410846710205 -0.0062799872830510139,  0.24877597391605377  0.025990430265665054  0.064620412886142731  0.025990430265665054    0.2314198911190033 -0.022479536011815071  0.064620412886142731 -0.022479536011815071   0.18780370056629181,   -0.97070939432697401    -0.39039187295486499     -1.1172548753917155     0.60859868282570062     0.44804628111538847   -0.056232124904020964 -2.9982745175516357e-06,0.030891846865415573
IIWA_7,1714565382.9321625,-0.48175349743601176   1.0553971778356372 0.019318750275441596  -1.3831727997418184  -1.9479554160619497  -1.8352448474366378 -0.93355787750975439,    0.06063177093808176 -0.00031305642642552855    0.026727786622081248   -0.038771377586043543     0.06051947803607341    -0.24223930313107447   -0.017145022756450964,-13.693871952056885  61.535719676971432 -9.6128136253356935 -12.209039230346679 -1.5133644676208495   2.806184112548828 -0.2573225440979004,  25.942279304793647   3.8965526311878893   8.6485231087897958   -6.720908032076367   3.3055260833645277  -3.5978849885377668 -0.45037975931409879,  0.54545927047729492 -0.044131848961114883   0.22750923037528992, -0.71432214975357056 0.0014349039411172271 -0.012144343927502632    0.6997101902961731,-0.012566598132252693  0.035650346428155899   0.02363688126206398, 0.0095462100580334663    0.82246071100234985 -0.0064817536622285843,  0.24877597391605377  0.025990430265665054  0.064620412886142731  0.025990430265665054    0.2314198911190033 -0.022479536011815071  0.064620412886142731 -0.022479536011815071   0.18780370056629181,   -0.97070939432697401    -0.39039187295486499     -1.1172548753917155     0.60859868282570062     0.44804628111538847   -0.056232124904020964 -2.9982745175516357e-06,0.030891846865415573
IIWA_7,1714565382.9371977,-0.48122421412303973   1.0554004135669872 0.019627044470932324  -1.3837003452522709  -1.9470422182584699  -1.8384514065900577 -0.93386784951207169,   0.069676749269346555 -0.00012101588714158662    0.033713997117294135   -0.052118922486936101    0.084943494568049116    -0.32205380864165278   -0.026114898297852962, -13.084926826477052   61.128412010192868  -9.7686399841308589  -12.402721710205078  -1.6049234580993652    2.878608226776123 -0.17655463790893555,  25.943686799301819   3.8967098650066605   8.6494322178095775  -6.7213018893108378   3.3055110090176729  -3.5979022673267123 -0.45037975931409879,  0.54545927047729492 -0.044131848961114883   0.22750923037528992, -0.71432214975357056 0.0014349039411172271 -0.012144343927502632    0.6997101902961731,-0.012566598132252693  0.035650346428155899   0.02363688126206398,  0.009546961635351181    0.82252544164657593 -0.0064822640269994736,  0.24877597391605377  0.025990430265665054  0.064620412886142731  0.025990430265665054    0.2314198911190033 -0.022479536011815071  0.064620412886142731 -0.022479536011815071   0.18780370056629181,   -0.97070939432697401    -0.39039187295486499     -1.1172548753917155     0.60859868282570062     0.44804628111538847   -0.056232124904020964 -2.9982745175516357e-06,0.030891846865415573
IIWA_7,1714565382.9421635, -0.4806061876898377   1.0553940019908969 0.019958108668176888  -1.3843510287592731  -1.9459221245876028  -1.8420553627061071 -0.93431300359177449,   0.080462456743558189 -0.00035327575332409105    0.040213765583617847   -0.067722478269634789      0.1127585424891222    -0.40180129155530092    -0.03869808182639449,  -13.365875019073487    60.596089118957522   -9.7061333656311035   -12.827942790985107   -1.9403462982177735    2.4063496017456054 0.0020025100708007814, 24.848074583295396  4.7923484348586971  6.9549937247496523    -6.0877676999113  2.8174634005778705  -1.437603116823015 -0.3595021171088274,  0.54447972774505615 -0.042907364666461945   0.22919449210166931,   -0.71127170324325562 -0.00042126231710426509   -0.010563112795352936     0.70283764600753784,-0.039305668324232101  0.058629460632801056  0.068775959312915802,  0.010189204476773739    0.82251197099685669 -0.0071827289648354053,  0.24883574247360229  0.026298219338059425  0.064598336815834045  0.026298219338059425   0.23150284588336945 -0.022545576095581055  0.064598336815834045 -0.022545576095581055   0.18760545551776886,  -0.98149431510563545   -0.39026046510493018    -1.1244368599934162     0.6097501732309496    0.45553909687612304   -0.03803110382882835 9.1519680722740304e-07,0.068281032145023346
