RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1714565620.0385251, 0.5665358304977417 0.40780186653137207 0.31896120309829712, 0.49725499749183655 -0.50246530771255493 -0.49907359480857849  0.50119024515151978, 0.5665358304977417 0.40780186653137207 0.31896120309829712, 0.49725499749183655 -0.50246530771255493 -0.49907359480857849  0.50119024515151978
1714565620.0435197, 0.5665353536605835 0.40778821706771851 0.31897181272506714, 0.49724149703979492 -0.50247794389724731 -0.49907025694847107  0.50119423866271973, 0.5665353536605835 0.40778821706771851 0.31897181272506714, 0.49724149703979492 -0.50247794389724731 -0.49907025694847107  0.50119423866271973
1714565620.0485461,0.56654059886932373 0.40778744220733643 0.31897133588790894, 0.49722498655319214 -0.50248301029205322 -0.49908235669136047  0.50119352340698242,0.56654059886932373 0.40778744220733643 0.31897133588790894, 0.49722498655319214 -0.50248301029205322 -0.49908235669136047  0.50119352340698242
1714565620.053534,0.56655442714691162 0.40778821706771851 0.31893140077590942, 0.49721032381057739 -0.50247323513031006 -0.49909868836402893   0.5012015700340271,0.56655442714691162 0.40778821706771851 0.31893140077590942, 0.49721032381057739 -0.50247323513031006 -0.49909868836402893   0.5012015700340271
1714565620.0585172,0.56653714179992676 0.40779989957809448 0.31895434856414795, 0.49718928337097168 -0.50249528884887695 -0.49907529354095459  0.50122362375259399,0.56653714179992676 0.40779989957809448 0.31895434856414795, 0.49718928337097168 -0.50249528884887695 -0.49907529354095459  0.50122362375259399
1714565620.0635238,0.56652987003326416 0.40783950686454773 0.31892210245132446, 0.49720898270606995  -0.5024835467338562 -0.49905270338058472  0.50123834609985352,0.56652987003326416 0.40783950686454773 0.31892210245132446, 0.49720898270606995  -0.5024835467338562 -0.49905270338058472  0.50123834609985352
1714565620.0685239,0.56652611494064331 0.40788140892982483 0.31890028715133667, 0.49718788266181946  -0.5024876594543457 -0.49903711676597595  0.50127071142196655,0.56652611494064331 0.40788140892982483 0.31890028715133667, 0.49718788266181946  -0.5024876594543457 -0.49903711676597595  0.50127071142196655
1714565620.0735192,0.56649982929229736 0.40793421864509583 0.31887778639793396, 0.49720576405525208 -0.50245428085327148 -0.49902769923210144  0.50129574537277222,0.56649982929229736 0.40793421864509583 0.31887778639793396, 0.49720576405525208 -0.50245428085327148 -0.49902769923210144  0.50129574537277222
1714565620.0785205,0.56648057699203491  0.4080221951007843 0.31890216469764709, 0.49724423885345459 -0.50243973731994629 -0.49900326132774353   0.5012965202331543,0.56648057699203491  0.4080221951007843 0.31890216469764709, 0.49724423885345459 -0.50243973731994629 -0.49900326132774353   0.5012965202331543
1714565620.0835395,0.56647318601608276 0.40806978940963745 0.31895813345909119, 0.49727737903594971 -0.50243258476257324  -0.4989885687828064  0.50128543376922607,0.56647318601608276 0.40806978940963745 0.31895813345909119, 0.49727737903594971 -0.50243258476257324  -0.4989885687828064  0.50128543376922607
1714565620.0885184,0.56650465726852417  0.4080737829208374 0.31898191571235657, 0.49725914001464844 -0.50244712829589844 -0.49902322888374329  0.50125443935394287,0.56650465726852417  0.4080737829208374 0.31898191571235657, 0.49725914001464844 -0.50244712829589844 -0.49902322888374329  0.50125443935394287
1714565620.0935471,0.56654512882232666 0.40803042054176331 0.31900325417518616, 0.49715036153793335 -0.50244855880737305 -0.49911707639694214  0.50126749277114868,0.56654512882232666 0.40803042054176331 0.31900325417518616, 0.49715036153793335 -0.50244855880737305 -0.49911707639694214  0.50126749277114868
1714565620.0985174, 0.5665554404258728 0.40802684426307678 0.31902524828910828, 0.49725225567817688 -0.50251615047454834 -0.49905180931091309  0.50116366147994995, 0.5665554404258728 0.40802684426307678 0.31902524828910828, 0.49725225567817688 -0.50251615047454834 -0.49905180931091309  0.50116366147994995
1714565620.1035018,0.56654936075210571 0.40803238749504089  0.3190358579158783, 0.49723565578460693 -0.50255167484283447 -0.49904179573059082  0.50115448236465454,0.56654936075210571 0.40803238749504089  0.3190358579158783, 0.49723565578460693 -0.50255167484283447 -0.49904179573059082  0.50115448236465454
1714565620.1085465,0.56650477647781372 0.40806740522384644 0.31909841299057007, 0.49727568030357361 -0.50253981351852417 -0.49904271960258484   0.5011257529258728,0.56650477647781372 0.40806740522384644 0.31909841299057007, 0.49727568030357361 -0.50253981351852417 -0.49904271960258484   0.5011257529258728
1714565620.1135459,0.56644624471664429 0.40810352563858032  0.3191433846950531, 0.49737212061882019 -0.50258064270019531 -0.49895563721656799  0.50107580423355103,0.56644624471664429 0.40810352563858032  0.3191433846950531, 0.49737212061882019 -0.50258064270019531 -0.49895563721656799  0.50107580423355103
1714565620.1185412,0.56640911102294922 0.40815505385398865 0.31911176443099976, 0.49734541773796082 -0.50258469581604004 -0.49891278147697449  0.50114089250564575,0.56640911102294922 0.40815505385398865 0.31911176443099976, 0.49734541773796082 -0.50258469581604004 -0.49891278147697449  0.50114089250564575
1714565620.1235182, 0.5664064884185791 0.40816566348075867  0.3191201388835907, 0.49733299016952515 -0.50256878137588501 -0.49890142679214478  0.50118046998977661, 0.5664064884185791 0.40816566348075867  0.3191201388835907, 0.49733299016952515 -0.50256878137588501 -0.49890142679214478  0.50118046998977661
