RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1714566234.7581639,0.56889331340789795 0.75300353765487671 0.31716600060462952,-0.41160455346107483  0.57205331325531006  0.57391709089279175  -0.4170801043510437,0.56889331340789795 0.75300353765487671 0.31716600060462952,-0.41160455346107483  0.57205331325531006  0.57391709089279175  -0.4170801043510437
1714566234.813164,0.57183670997619629 0.70779258012771606 0.31734815239906311,-0.43486934900283813  0.55449539422988892  0.55594682693481445 -0.44084760546684265,0.57183670997619629 0.70779258012771606 0.31734815239906311,-0.43486934900283813  0.55449539422988892  0.55594682693481445 -0.44084760546684265
1714566234.8181357,0.57228261232376099 0.70278680324554443 0.31735736131668091,-0.43730077147483826  0.55260872840881348  0.55401170253753662 -0.44324102997779846,0.57228261232376099 0.70278680324554443 0.31735736131668091,-0.43730077147483826  0.55260872840881348  0.55401170253753662 -0.44324102997779846
1714566234.8231645,0.57280755043029785 0.69769781827926636 0.31735071539878845,-0.43948400020599365  0.55071628093719482  0.55206644535064697 -0.44585651159286499,0.57280755043029785 0.69769781827926636 0.31735071539878845,-0.43948400020599365  0.55071628093719482  0.55206644535064697 -0.44585651159286499
1714566234.8331354,0.57363742589950562 0.68999224901199341 0.31733179092407227,-0.44301715493202209  0.54794961214065552  0.54898566007614136 -0.44955727458000183,0.57363742589950562 0.68999224901199341 0.31733179092407227,-0.44301715493202209  0.54794961214065552  0.54898566007614136 -0.44955727458000183
1714566234.8381629,0.57421267032623291 0.68482106924057007 0.31735795736312866,-0.44526940584182739  0.54614114761352539  0.54700583219528198 -0.45193979144096375,0.57421267032623291 0.68482106924057007 0.31735795736312866,-0.44526940584182739  0.54614114761352539  0.54700583219528198 -0.45193979144096375
1714566234.8431635,0.57485193014144897 0.67966663837432861 0.31738293170928955,-0.44742417335510254  0.54423254728317261  0.54510486125946045 -0.45440426468849182,0.57485193014144897 0.67966663837432861 0.31738293170928955,-0.44742417335510254  0.54423254728317261  0.54510486125946045 -0.45440426468849182
1714566234.8481345,0.57550179958343506 0.67440807819366455 0.31737416982650757,-0.44976910948753357  0.54232227802276611  0.54315704107284546 -0.45669981837272644,0.57550179958343506 0.67440807819366455 0.31737416982650757,-0.44976910948753357  0.54232227802276611  0.54315704107284546 -0.45669981837272644
1714566234.8581636,0.57650697231292725 0.66651785373687744 0.31740313768386841,-0.45339521765708923  0.53938007354736328  0.54029488563537598 -0.45998191833496094,0.57650697231292725 0.66651785373687744 0.31740313768386841,-0.45339521765708923  0.53938007354736328  0.54029488563537598 -0.45998191833496094
1714566234.8631625,0.57721048593521118  0.6612250804901123 0.31741026043891907,-0.45549830794334412  0.53764408826828003  0.53827637434005737 -0.46229720115661621,0.57721048593521118  0.6612250804901123 0.31741026043891907,-0.45549830794334412  0.53764408826828003  0.53827637434005737 -0.46229720115661621
1714566234.8681355,0.57792782783508301 0.65597069263458252 0.31740811467170715,-0.45755341649055481    0.535847008228302  0.53632712364196777 -0.46461394429206848,0.57792782783508301 0.65597069263458252 0.31740811467170715,-0.45755341649055481    0.535847008228302  0.53632712364196777 -0.46461394429206848
1714566234.8731351,0.57865709066390991 0.65066993236541748 0.31741771101951599,-0.45973736047744751  0.53399258852005005  0.53437203168869019 -0.46684041619300842,0.57865709066390991 0.65066993236541748 0.31741771101951599,-0.45973736047744751  0.53399258852005005  0.53437203168869019 -0.46684041619300842
1714566234.8831637,0.57976263761520386  0.6427648663520813 0.31740996241569519,-0.46285024285316467  0.53122615814208984  0.53154003620147705 -0.47014215588569641,0.57976263761520386  0.6427648663520813 0.31740996241569519,-0.46285024285316467  0.53122615814208984  0.53154003620147705 -0.47014215588569641
1714566234.8881342,0.58047086000442505 0.63749754428863525 0.31748670339584351,-0.46484017372131348   0.5293692946434021  0.52966225147247314 -0.47238722443580627,0.58047086000442505 0.63749754428863525 0.31748670339584351,-0.46484017372131348   0.5293692946434021  0.52966225147247314 -0.47238722443580627
1714566234.8931627,0.58124625682830811 0.63218939304351807 0.31751948595046997,-0.46676838397979736  0.52782350778579712  0.52778100967407227 -0.47431725263595581,0.58124625682830811 0.63218939304351807 0.31751948595046997,-0.46676838397979736  0.52782350778579712  0.52778100967407227 -0.47431725263595581
1714566234.8981619,0.58194965124130249 0.62695056200027466 0.31750521063804626,-0.46911010146141052  0.52590608596801758  0.52585464715957642 -0.47627237439155579,0.58194965124130249 0.62695056200027466 0.31750521063804626,-0.46911010146141052  0.52590608596801758  0.52585464715957642 -0.47627237439155579
1714566234.9081333,0.58298403024673462 0.61908125877380371 0.31766843795776367,-0.47216874361038208  0.52326279878616333  0.52309960126876831  -0.4791862964630127,0.58298403024673462 0.61908125877380371 0.31766843795776367,-0.47216874361038208  0.52326279878616333  0.52309960126876831  -0.4791862964630127
1714566234.9131563,0.58369028568267822 0.61385411024093628 0.31763932108879089, -0.4739859402179718   0.5215994119644165  0.52125585079193115 -0.48121064901351929,0.58369028568267822 0.61385411024093628 0.31763932108879089, -0.4739859402179718   0.5215994119644165  0.52125585079193115 -0.48121064901351929
1714566234.9181633, 0.5843970775604248 0.60868209600448608 0.31758418679237366,-0.47537273168563843  0.51994603872299194  0.51966166496276855 -0.48335140943527222, 0.5843970775604248 0.60868209600448608 0.31758418679237366,-0.47537273168563843  0.51994603872299194  0.51966166496276855 -0.48335140943527222
1714566234.9231329,0.58510315418243408 0.60355782508850098 0.31750738620758057,-0.47714978456497192  0.51813286542892456   0.5181044340133667 -0.48521563410758972,0.58510315418243408 0.60355782508850098 0.31750738620758057,-0.47714978456497192  0.51813286542892456   0.5181044340133667 -0.48521563410758972
1714566234.9331644,0.58611792325973511 0.59592700004577637 0.31748843193054199,-0.47986423969268799  0.51589930057525635  0.51566129922866821 -0.48751580715179443,0.58611792325973511 0.59592700004577637 0.31748843193054199,-0.47986423969268799  0.51589930057525635  0.51566129922866821 -0.48751580715179443
1714566234.9381332,0.58675628900527954 0.59084481000900269 0.31746202707290649, -0.4814470112323761   0.5144951343536377  0.51410514116287231 -0.48908022046089172,0.58675628900527954 0.59084481000900269 0.31746202707290649, -0.4814470112323761   0.5144951343536377  0.51410514116287231 -0.48908022046089172
1714566234.9431636,0.58742427825927734 0.58585143089294434 0.31748375296592712,-0.48274368047714233  0.51307833194732666  0.51270520687103271 -0.49075707793235779,0.58742427825927734 0.58585143089294434 0.31748375296592712,-0.48274368047714233  0.51307833194732666  0.51270520687103271 -0.49075707793235779
