DesiredFlux,0.89,HitTime,1714566237.4501534,DesiredPos,0.56744480133056641 0.29951095581054688 0.21891030669212341
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714566236.9031329,-0.48464127623762876   1.1479210865781575 0.022545862426132938  -1.2648315748056638  -1.9592143558212507  -1.9017341661286047  -0.9043106762675166, 9.2169365728887535e-06 -7.5008608367980315e-06 -2.3458621248245109e-05  5.8108729051652165e-05  1.8226988922590652e-06  -4.621443109157337e-05 -1.3440488829900191e-06, 0.53232289123535159   65.490502368926997  -1.9614752960205077  -16.154879570007324  -1.1814631271362304   1.8780206947326661 -0.24297122192382811, -0.11458741981785286    -2.564241182070047 -0.035265994006030685  -0.42524278046679859   0.22707441480122323  -0.10638997068958272   0.36110198062035598,  0.55564463138580322 -0.055583354085683823   0.21089458465576172, -0.69924229383468628 -0.013003954663872719   0.00778602110221982   0.71472406387329102,  7.285037099791225e-06 -2.5153673050226644e-05  1.0817595466505736e-05, 0.012955437414348125    1.2810184955596924 0.0088005494326353073, 0.24617934226989746 0.030306432396173477 0.065936155617237091 0.030306432396173477  0.22948005795478821 -0.02396511472761631 0.065936155617237091 -0.02396511472761631  0.18821273744106293,   -1.1510110861090439   -0.42392373797550675    -1.2000016035917938    0.78316265286737519    0.54815074189917823   0.061618245903893865 2.1567656105503374e-05,1.9683649952639826e-05
IIWA_7,1714566236.9081359,-0.48464097658641281   1.1479210865781575  0.02254574254382994  -1.2648312152678378  -1.9592144516398267  -1.9017344657798205 -0.90431061638090671, 1.9359597896368414e-05 -6.0006886694384254e-06 -2.3562189118509565e-05  6.0868496279552502e-05 -2.3745839246937554e-06 -4.8957593506875217e-05  1.3202252893404452e-06, 0.53366714096069334   65.460928874969483  -1.9579537963867186  -16.162802944183348  -1.1832238769531249   1.8753506813049317 -0.24363872528076172, -0.11535289615016506   -2.5638621957773378 -0.035871815559081088  -0.42519782269661083   0.22697984727176923  -0.10610822775634497   0.36114786116600756,   0.555644690990448 -0.05558314174413681  0.21089479327201843,  -0.6992422342300415 -0.013004342094063759  0.007786131463944912   0.71472412347793579, 8.4871180661139078e-06 -1.1573050869628787e-05  1.6971649529295973e-05, 0.012955027632415295    1.2810186147689819 0.0088003072887659073,  0.24617926776409149  0.030306482687592506  0.065936185419559479  0.030306482687592506    0.2294800728559494 -0.023965092375874519  0.065936185419559479 -0.023965092375874519   0.18821278214454651,   -1.1510128891503157   -0.42392291046944308    -1.2000018484537023    0.78316243435327948    0.54815178858724778   0.061619906078114184 2.1567969632485529e-05,1.5440706192748621e-05
IIWA_7,1714566236.9131587,-0.48464097658641281   1.1479210266915476 0.022545622661526942   -1.264830795843402  -1.9592144516398267  -1.9017347653219534 -0.90431049649860373, 1.5487678317094733e-05 -7.1960153312832013e-06 -2.3645043414721127e-05  6.5471774457605221e-05 -1.8996671397550044e-06 -5.1147760120521373e-05   5.851472350414386e-06, 0.56055213546752924   65.466305873870851  -1.9553126716613769  -16.162802944183348  -1.1805827522277832   1.8776869430541991 -0.24196996688842773,  37.866482862357969   3.2966425630941369   14.112186564712722  -8.4654263350557279   4.3738523156129379 -0.77364412602571386 -0.89539676662700085,  0.55564475059509277 -0.055583067238330841    0.2108948677778244,  -0.6992422342300415 -0.013004581443965435 0.0077862492762506008   0.71472412347793579, 8.4858893387718126e-06 -6.2961494222690817e-06  1.6524962120456621e-05, 0.012954829260706902    1.2810186147689819 0.0088000688701868057,  0.24617922306060791  0.030306527391076088  0.065936192870140076  0.030306527391076088    0.2294800728559494 -0.023965084925293922  0.065936192870140076 -0.023965084925293922    0.1882128119468689,   -1.1510145976671993   -0.42392255525225409     -1.200002472940831    0.78316258955801743      0.548152641966837   0.061620851907306928 2.1568133945493173e-05,1.36263006424997e-05
IIWA_7,1714566236.918164,-0.48464085670410983   1.1479210266915476 0.022545562774916986   -1.264830675961099  -1.9592144516398267  -1.9017349450908665 -0.90431061638090671, 1.7185434772617816e-05 -5.7568122650265617e-06 -2.1311499130007365e-05  5.7172711685026206e-05 -1.5197337118040037e-06 -4.8108964619973377e-05 -1.1411423861052068e-07, 0.56189638519287111   65.455551876068114  -1.9465089225769043  -16.166324443817139  -1.1841042518615723   1.8730144195556639 -0.24330497360229492,  37.866553737577917   3.2967426726752946   14.112187093317299  -8.4654986588574364   4.3738226174069572 -0.77363756778589376 -0.89538306425331415,  0.55564481019973755 -0.055583171546459198   0.21089500188827515, -0.69924229383468628 -0.013004717417061329  0.007786208763718605   0.71472406387329102, 9.3772323452867568e-06 -9.2036725618527271e-06   1.829974826250691e-05, 0.012954584322869778    1.2810186147689819 0.0087997177615761757,  0.24617917835712433   0.03030657023191452   0.06593620777130127   0.03030657023191452   0.22948004305362701 -0.023965097963809967   0.06593620777130127 -0.023965097963809967   0.18821287155151367,   -1.1510164519297206   -0.42392288083803464    -1.2000038466455365    0.78316346231055434    0.54815312084421919     0.0616209887551733 2.1568149044526308e-05,1.5650532077415846e-05
IIWA_7,1714566236.923135,-0.48461377235752812   1.1479334903059022  0.02257929835311186   -1.264856921458809  -1.9592025633296268  -1.9017427348225673 -0.90432415849965597,  0.0010971222110868271  0.00049393912437139143   0.0013323739284909516  -0.0010040817390527855  0.00047431662102358576 -0.00035007643972763213 -0.00054177604136151632, 0.34816067886352536    65.26063566589356  -2.4483226203918456  -15.808011856079101  -1.3478539848327638   1.9093933525085449 -0.20926230239868163,  37.866484371339588   3.2966520053810924    14.11215951550181   -8.465430498711056   4.3738592046903646  -0.7736308340762017 -0.89537728031419239, 0.55564481019973755 -0.05558314174413681  0.21089503169059753,  -0.6992422342300415  -0.01300485897809267 0.0077862110920250416   0.71472406387329102,  7.807967449480202e-06 -6.2195081227400806e-06  1.6220868928940035e-05, 0.012954419478774071    1.2810186147689819 0.0087995687499642372,  0.24617916345596313  0.030306588858366013  0.065936215221881866  0.030306588858366013   0.22948004305362701 -0.023965097963809967  0.065936215221881866 -0.023965097963809967   0.18821288645267487,   -1.1510172004918218   -0.42392278701353092    -1.2000042062618732    0.78316355376628621    0.54815348052095203   0.061621443170345458 2.1568244079617216e-05,1.3231642697064672e-05
IIWA_7,1714566236.9281356, -0.4841649632311224   1.1480288247711354 0.023122303662829243  -1.2650813859631633   -1.959050699089818  -1.9018009183184257 -0.90442866096128383,  0.018830062825098009  0.0042085299088268444   0.022786111531488077 -0.0097818455654148633  0.0064540228891725084 -0.0026074009861180789 -0.0046135192982033483, -8.5642150001525881   61.701062393188479  -8.7931845855712893  -12.209039230346679  -1.5538617134094237   2.1844047355651854 -0.30571653747558591,  37.834651666275775   3.2860910681233628   14.087373559135459  -8.4506546002301626    4.374934616512137 -0.76241983223225729 -0.89584475184232404, 0.55564147233963013 -0.05555252730846405  0.21089400351047516, -0.69922101497650146 -0.013016972690820694 0.0078001986257731915    0.7147444486618042,-0.00012560434697661549   0.0012195755261927843 -2.8326163374003954e-05,0.012954218313097954   1.2810186147689819 0.008799329400062561,  0.24617955088615417  0.030304111540317535  0.065937288105487823  0.030304111540317535   0.22948487102985382 -0.023961311206221581  0.065937288105487823 -0.023961311206221581   0.18820860981941223,   -1.1508746971173878   -0.42381659626755663    -1.1998001083224352     0.7830490254754352    0.54816651275402251   0.061755353901737919 2.1596403776413808e-05,0.00085195194697007537
IIWA_7,1714566236.9331601,-0.48369164619136024   1.1480094103830347  0.02353989397582144  -1.2652434726182176  -1.9587683508935376  -1.9018434023594961  -0.9045359797298258,  0.033996731850565072  0.0025902484030329315   0.034932501744878344  -0.014308942654501442   0.016457146162552755 -0.0037852824317118282 -0.0079835661802416871,  -17.17010174179077   62.310007518768309  -11.391170940399169  -12.774239921569825  -1.3557773590087892   1.8002565536499024 -0.15352577209472656,  37.346646570646094   3.2749259930982761   13.672977517567112  -8.3351372786261013   4.3491190543759064 -0.60412852457003519 -0.88225343840347004,  0.55565601587295532 -0.055086031556129456   0.21094505488872528, -0.69895839691162109 -0.013262362219393253 0.0079757347702980042   0.71499484777450562,0.00047212408389896154    0.01963391900062561   0.002021897817030549,0.012954218313097954   1.2810186147689819 0.008799329400062561,  0.24614951014518738  0.030275657773017883  0.065968051552772522  0.030275657773017883   0.22955355048179626 -0.023896066471934319  0.065968051552772522 -0.023896066471934319   0.18817849457263947,   -1.1491049978102907   -0.42205561127861557    -1.1967381249258224    0.78140052599895427    0.54844496901207407   0.063679350262191292 2.1989444043413187e-05,0.01371455006301403
IIWA_7,1714566236.9381566,-0.48337298572186033   1.1479991038865525 0.023994875022794505  -1.2655772932357663  -1.9582252257233339  -1.9019208803611523 -0.90473575677007689,   0.03994380426044844  0.0016599388631359582   0.046145243274825255  -0.024799978825549917    0.03489072373819091 -0.0061273460116150376  -0.014377934554237044,  -19.876076438903809    62.136599304199216   -12.462587203979492   -12.662432308197021   -2.0398286628723143    2.0939580307006835 -0.029036396026611327,  36.994713306585986   3.3944707221213606   13.345709716386915  -8.3343684690888136   4.2604728556193709 -0.47289145353168749 -0.84436145724451295,  0.55571585893630981 -0.054662767797708511   0.21105615794658661, -0.69873899221420288 -0.013511495664715767 0.0080532021820545197   0.71520376205444336,0.0027542661409825087   0.03263607993721962 0.0060660387389361858,0.012955465354025364   1.2811437845230103 0.008800143375992775,   0.2461114376783371  0.030255217105150223  0.066002100706100464  0.030255217105150223   0.22960676252841949 -0.023837802931666374  0.066002100706100464 -0.023837802931666374    0.1881704181432724,   -1.1477957361956115   -0.42045809470181439    -1.1942710070567131    0.77995153392329541    0.54864011856903261   0.065202401869690618 2.2305701286029489e-05,0.023136192932724953
IIWA_7,1714566236.943161,-0.48319106514518645   1.1479858613099361 0.024589652143196871  -1.2660653507809756  -1.9574590982638065   -1.901976966516665 -0.90501570823659516,  0.039231866475313848 0.00079824802585315999   0.060707279435954858   -0.03936228486881227   0.058557677371649589 -0.0071453230298032331  -0.022700406304120395, -19.478178520202636   61.752143882751461  -9.9050980949401861  -12.188790607452392  -1.2897492408752442   1.7735564193725586 -0.14718449020385743,  36.802685429619153   3.4976097458550348   13.068221843679263  -8.3269520646387232   4.1245444210024163 -0.33922042181274925 -0.80665481420510321,   0.5557631254196167 -0.054288484156131744   0.21118511259555817, -0.69841450452804565 -0.013661254197359085 0.0080098509788513184   0.71551823616027832,0.0040712780319154263  0.041074544191360474  0.010018258355557919, 0.012902920134365559    1.2811448574066162 0.0087180314585566521,  0.24610769748687744  0.030216140672564507  0.066031031310558319  0.030216140672564507   0.22965271770954132 -0.023790424689650536  0.066031031310558319 -0.023790424689650536   0.18814247846603394,   -1.1458543902920226   -0.41920559838182214    -1.1918560590071792    0.77865179970881826    0.54838660362666047    0.06634489361356799 2.2581035707958108e-05,0.029500391334295273
IIWA_7,1714566236.9481332,-0.48305606283671393   1.1479759144603627 0.025433281580840936  -1.2666764264404315  -1.9564125398521819   -1.902032693243435 -0.90542233297314634,  0.036785585519151898 0.00024072443774896717   0.082311001054526503  -0.055932854273287848   0.088708478362303611 -0.0079453274946430369  -0.034425314505343335, -15.511297580718994   61.069265022277833  -10.578584899902344   -12.06729887008667  -1.8320601844787598   1.8212829093933105 -0.14451447677612306,  36.705571804479533   3.6149469071563445   12.780733817605869  -8.3305831807577526   3.9430365296054357 -0.20293729680358119 -0.76419384470393981,  0.55581432580947876 -0.053922101855278015   0.21134524047374725, -0.69798409938812256 -0.013746731914579868 0.0078481677919626236    0.7159382700920105,0.0052813463844358921    0.0475013367831707  0.014431806281208992, 0.012718788348138332    1.2812389135360718 0.0085169868543744087, 0.24612471461296082 0.030154446139931679 0.066062174737453461 0.030154446139931679  0.22969886660575867 -0.02374354749917984 0.066062174737453461 -0.02374354749917984  0.18810072541236877,   -1.1430562521841381    -0.4180730136065236    -1.1890515329433526    0.77734181950539494    0.54768947386296674   0.067213596492088357 2.2831842194648289e-05,0.034673474729061127
