DesiredFlux,0.94,HitTime,1714566330.0551043,DesiredPos,0.56155610084533691   0.293873131275177 0.21917116641998291
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714566329.5301089,-0.48459315958272975   1.1486630299701712 0.022833843279875095  -1.2329011654579338  -1.9576535302114066  -1.8995800016805615 -0.87938912107820344, 8.3120583431099552e-05  2.2647025571454288e-05  -0.0014636716898137332    0.001851544312553043  2.5863623812848226e-06 -6.9258376314312326e-06   0.0059043153087421875, 0.75950109481811523   66.108857242584222  -1.8232564353942871  -16.803715877532959  -1.2157977485656739   1.8182791442871094 -0.28402267837524414,-0.28219040130537448 -0.58135686494680883 -0.21089769960364813 -0.75674799144074967  0.46653862153260123  0.13899145189709303  0.50234079676247612,  0.56449419260025024 -0.059801112860441208    0.2154889851808548, -0.70476734638214111  -0.01325204037129879 0.0057246210053563118   0.70929157733917236, 0.00038227273034863174 -0.00073012290522456169  4.2049264266097452e-06,-0.00098947901278734207      1.3506478071212769   0.0012426709290593863,  0.24258892238140106  0.031429190188646317  0.067448101937770844  0.031429190188646317   0.22812420129776001 -0.023746559396386147  0.067448101937770844 -0.023746559396386147   0.19194763898849487,   -1.2078149091818702   -0.42491673907374405    -1.2250644806197641     0.8261969369129929    0.55484505146008445    0.03618197068444573 1.4750073162872468e-05,0.00057358061894774437
IIWA_7,1714566329.5351086,-0.48459351901147257   1.1486632097390841 0.022823417010172917   -1.232885466221312  -1.9576536262045157  -1.8995800016805615 -0.87931188273207028, 3.8340058138731787e-05  2.0725794456616828e-05   -0.001314972329698819   0.0017511199368430179 -1.4165075645281327e-06 -4.4325360841159888e-06   0.0065648553171634896,0.72455060195922849  66.176069728851317 -1.8417443084716796 -16.788749504089356  -1.213156623840332  1.8202816543579101 -0.2853576850891113,  40.370085270952877   4.1370608618867646   15.777305525354389   -9.556008446470118   4.6399938914354548  -1.5603785336618885 -0.70363895759643391,  0.56449568271636963 -0.059803787618875504   0.21548923850059509, -0.70477026700973511 -0.013239852152764797  0.005735485814511776   0.70928889513015747, 0.00036751379957422614 -0.00069099449319764972  1.3575262528320309e-05,-0.00099034735467284918      1.3506464958190918   0.0012427971232682467, 0.24258843064308167 0.031429711729288101 0.067448146641254425 0.031429711729288101  0.22812356054782867 -0.02374686487019062 0.067448146641254425 -0.02374686487019062  0.19194842875003815,   -1.2078417623584414   -0.42492448967834662     -1.225089150207026    0.82621258471693437    0.55484813618278395   0.036169929058971206 1.4744019338763792e-05,0.00054477737285196781
IIWA_7,1714566329.5401075,-0.48456625489597793   1.1486733963532634 0.022847864818753307  -1.2329054798027617  -1.9576417378943156  -1.8995993562911353 -0.87928521780992452,  0.0011212366662966132  0.00042404520273673843 -7.4065520543435291e-05  0.00060035269148835048  0.00047439920195028828 -0.00077773045181869999   0.0063184811395611204, 0.50140514755249022   66.034923507690436  -2.3224290084838866  -16.417231292724608  -1.3883512306213379   1.9070570907592774 -0.25365127563476564, 40.369602678081463  4.1350267401770351  15.777726793135407 -9.5535188217265947  4.6411455388066116 -1.5605198529359776 -0.7062347405248447,  0.56449729204177856 -0.059806413948535919   0.21548950672149658,  -0.7047731876373291 -0.013227410614490509 0.0057466230355203152   0.70928609371185303, 0.00035793264396488667 -0.00065793446265161037  2.1425154045573436e-05,-0.00099117239005863667      1.3506455421447754   0.0012429441558197141,  0.24258792400360107  0.031430225819349289    0.0674482062458992  0.031430225819349289   0.22812293469905853 -0.023747151717543602    0.0674482062458992 -0.023747151717543602   0.19194924831390381,   -1.2078681779055245   -0.42493188696024475    -1.2251130279850031    0.82622808505394829     0.5548511604436257   0.036157824955473927 1.4737867815028949e-05,0.00052148697432130575
IIWA_7,1714566329.545202,-0.48414075507806498   1.1487660343938855 0.023319803593821825  -1.2331567291115648  -1.9574883396846274  -1.8997693524511103 -0.87935280884861722,  0.017916982049555507  0.0040447577870731917    0.01881829858630597 -0.0095696901989356653  0.0065154477490875313 -0.0074220307604565125  0.0023511433639411498, -7.6366826896667481   62.422924495697025  -8.1839651489257808  -12.319086093902587  -1.4799102210998536    2.290537769317627 -0.36545808792114259,  40.369847843458402   4.1329865770889853   15.778850996484305  -9.5512266658385023   4.6422586266693893  -1.5608956528085214 -0.70884769615417598,   0.5644989013671875 -0.059809587895870209    0.2154897153377533,  -0.7047763466835022 -0.013214178383350372 0.0057579562999308109   0.70928311347961426, 0.00035027877311222255 -0.00065329513745382428   2.557859625085257e-05,-0.00099194375798106194      1.3506442308425903   0.0012431595241650939, 0.24258746206760406 0.031430769711732864 0.067448228597640991 0.031430769711732864  0.22812220454216003 -0.02374752052128315 0.067448228597640991 -0.02374752052128315  0.19195009768009186,   -1.2078967356670134   -0.42494145668658945    -1.2251407561905125    0.82624565135969164    0.55485372207364492   0.036143273289823696 1.4731116770860808e-05,0.00051620899466797709
IIWA_7,1714566329.550107,-0.48414075507806498   1.1487660343938855 0.023319803593821825  -1.2331567291115648  -1.9574883396846274  -1.8997693524511103 -0.87935280884861722,  0.017916982049555507  0.0040447577870731917    0.01881829858630597 -0.0095696901989356653  0.0065154477490875313 -0.0074220307604565125  0.0023511433639411498, -7.6366826896667481   62.422924495697025  -8.1839651489257808  -12.319086093902587  -1.4799102210998536    2.290537769317627 -0.36545808792114259,  40.337313473471447   4.1225364749357638   15.754337152550361  -9.5335313887159057   4.6439265588691576  -1.5463352729293647 -0.71186126355603141,  0.56449520587921143 -0.059782810509204865   0.21549083292484283, -0.70475643873214722 -0.013214932754635811 0.0057864249683916569   0.70930266380310059,0.00013308243069332093 0.00054846127750352025 6.5020620240829885e-05,-0.000992609653621912    1.3506432771682739 0.0012432779185473919,  0.24258759617805481  0.031429555267095566  0.067449159920215607  0.031429555267095566   0.22812625765800476 -0.023744711652398109  0.067449159920215607 -0.023744711652398109   0.19194655120372772,  -1.2078070837491239  -0.42485438152173316   -1.2249931089653998   0.82615278014586124   0.55487974159174058  0.036284265022779039 1.475883415480439e-05,0.00039538211422041059
IIWA_7,1714566329.5551054,-0.48339449734122347   1.1487611807423186 0.024421094025442406  -1.2337098610397683  -1.9566334330856374  -1.9002731693377173 -0.87938846188916164,  0.037762177045847278  0.0024079213756641933   0.052114647724621974  -0.026826152698083697   0.035994616679093032  -0.023383654532667011 0.00026220829648017873, -20.557611049652099   62.240106533050536  -13.738250446319579  -12.569992942810059  -2.0301445388793944   2.5024700851440431 -0.11080555725097656,  39.863281663298864   4.0985215270864366   15.360192349445162  -9.3952458238741166   4.6220252174084058  -1.3627427549658315 -0.70660892583652102,  0.56448209285736084 -0.059346631169319153   0.21554280817508698, -0.70448070764541626 -0.013438585214316845 0.0059999139048159122   0.70957052707672119,-0.00042554747778922319    0.017883701249957085   0.0021327964495867491,-0.00099332944955676794      1.3506417274475098   0.0012434080708771944,  0.24256649613380432  0.031406614929437637  0.067473888397216797  0.031406614929437637   0.22819183766841888 -0.023690363392233849  0.067473888397216797 -0.023690363392233849   0.19191128015518188,   -1.2062308234179753   -0.42330075053342853     -1.222327074451357    0.82461448698900597    0.55520961147603742   0.038323512832505457 1.5196352620705511e-05,0.012536961585283279
IIWA_7,1714566329.560143,-0.48327351657162915    1.148752731930659 0.025149734845146546  -1.2342483721266619  -1.9558270386113386  -1.9006919580374073 -0.87939457392311904,   0.035048972420450838   0.0015883846341464493      0.0708373509678632   -0.043001365634211863    0.061051472315229068   -0.035458471613734867 -3.4714721111657535e-05, -21.368193634033204   61.809946620941162  -11.137622966766358  -12.069059619903564  -1.4218054771423341   1.9691349029541017 -0.20392227554321288,   39.47581242682773   4.2391577916273215    14.96614535551616  -9.3752483589248765   4.5205350045326735  -1.1796217009926306 -0.67681289054519067,  0.56452196836471558 -0.058906469494104385   0.21568524837493896, -0.70418941974639893 -0.013696081005036831 0.0061354641802608967   0.70985352993011475, 0.001237199641764164  0.031908188015222549 0.0074087399989366531,-0.00099406670778989792      1.3506491184234619   0.0012435800163075328,  0.24252605438232422  0.031387202441692352   0.06750941276550293  0.031387202441692352   0.22825084626674652 -0.023632984608411789   0.06750941276550293 -0.023632984608411789     0.191899374127388,   -1.2048606351893199   -0.42170573779376497    -1.2197748574003242    0.82318743283593676    0.55548016664985767   0.040243606293621781 1.5618927484695178e-05,0.022810077294707298
IIWA_7,1714566329.5651116,-0.48327351657162915    1.148752731930659 0.025149734845146546  -1.2342483721266619  -1.9558270386113386  -1.9006919580374073 -0.87939457392311904,   0.035048972420450838   0.0015883846341464493      0.0708373509678632   -0.043001365634211863    0.061051472315229068   -0.035458471613734867 -3.4714721111657535e-05, -21.368193634033204   61.809946620941162  -11.137622966766358  -12.069059619903564  -1.4218054771423341   1.9691349029541017 -0.20392227554321288,  39.216013268625083   4.3728023301682848   14.582096435359723  -9.3270182258960279   4.3714784313921662 -0.95735826418159387 -0.66004882294237066, 0.56453567743301392 -0.05848461389541626  0.21587544679641724, -0.70374584197998047 -0.013860505074262619 0.0062177339568734169   0.71028941869735718,0.0015121521428227425  0.042386379092931747  0.013544268906116486,-0.00099219474941492081      1.3507671356201172    0.001242421567440033,  0.24251586198806763  0.031351540237665176  0.067543499171733856  0.031351540237665176   0.22830867767333984 -0.023583691567182541  0.067543499171733856 -0.023583691567182541   0.19186633825302124,   -1.2028814543336708   -0.42037731586841431    -1.2171744637150539    0.82184817372255026    0.55539819170302707    0.04210005231186642 1.6078988807066708e-05,0.03097907267510891
IIWA_7,1714566329.5701103,-0.48319993349036505   1.1487388301650008 0.027386710257458285  -1.2357303414483396  -1.9533939532918838  -1.9019787042101015 -0.87939499334755489,   0.025296048988825686  0.00051178814824843805     0.12681856686218995   -0.081478651110472311     0.12768411125695223   -0.069293838524738582 -2.0778397542142322e-05, -14.747763736724854    61.10287126541138  -10.893759117126464  -11.953730506896973   -1.889284553527832   1.9644623794555665 -0.24864500045776367,   39.08847796762128    4.519064595448012   14.206885094578988  -9.2765667366878972   4.1738317086388959 -0.71112801682475224 -0.64920136417581642, 0.56453210115432739 -0.05810156837105751  0.21611928939819336, -0.70315909385681152 -0.013934556394815445 0.0062204776331782341   0.71086877584457397,0.001040462520904839 0.049200039356946945 0.020605398342013359,-0.00097701558843255043      1.3508733510971069   0.0012115421704947948,  0.24253202974796295  0.031299382448196411  0.067577764391899109  0.031299382448196411   0.22836296260356903 -0.023542949929833412  0.067577764391899109 -0.023542949929833412   0.19181720912456512,    -1.200309895186713   -0.41936180400536927     -1.214551020100707    0.82068759770859145    0.55493121931071698   0.043789325681053981 1.6554285942049773e-05,0.037118382751941681
IIWA_7,1714566329.5751102,-0.48304749414275128   1.1487361337403894 0.028842134430210133  -1.2367045989630183  -1.9517716727192147   -1.902717891290894 -0.87939673104099136,   0.026334413095611561  0.00030157353414393771     0.15967182039982589    -0.10415322147552675     0.16703851191232622    -0.08500255405148921 -8.6130455492776327e-05, -14.616027263641357   60.678088352203368  -10.979155483245849  -12.210799980163573  -1.8637536811828612   2.0749341850280763 -0.19390972518920899,  38.970722759401774   4.7430608427474406   13.713062769147019  -9.2379309373414742   3.9014717901347566 -0.38894644019874569 -0.62856884950449476,  0.56452834606170654 -0.057675044983625412   0.21646706759929657, -0.70236021280288696 -0.014010114595293999 0.0061635165475308895   0.71165710687637329,0.00064692168962210417   0.056358769536018372   0.030426075682044029,-0.00097145908512175083      1.3509775400161743   0.0011417997302487493,  0.24255532026290894  0.031230980530381203  0.067623458802700043  0.031230980530381203   0.22842513024806976 -0.023497654125094414  0.067623458802700043 -0.023497654125094414   0.19175730645656586,  -1.1970355469816951  -0.41832810689523825   -1.2114011022106297   0.81953707689841337   0.55421314495252005  0.045801740313322625 1.714743369518601e-05,0.044558960944414139
