DesiredFlux,1.1,HitTime,1714566693.325114,DesiredPos,0.56153249740600586 0.29767906665802002  0.2190544605255127
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714566692.8195589,-0.48182779959292765   1.1337191809026408 0.020353048861718251  -1.2806696867305185  -1.9532963537819805  -1.8900476294073945  -0.9078951579997725, 0.00012151650149222217 -6.2074483711371502e-06 -0.00072067339174682629   0.0016133223095762018 -0.00016939838407020559 -6.4990516998843384e-06  9.2284426536362355e-05, 0.38983242034912108   65.003883968353279  -1.7695535659790038  -16.226189937591553  -1.0450050163269042   1.8146078758239745 -0.25532003402709963,-0.30222004498980615  -1.2727955470640242 -0.26415909979005481 -0.94236343603520212 -0.28339621304493468  -0.2297007820417753  0.53123298211474645,  0.55574506521224976 -0.053299732506275177   0.21405686438083649, -0.70166945457458496 -0.010688307695090771 0.0033801528625190258    0.7124144434928894, 0.00036094005918130279 -0.00042746638064272702  8.8642795162741095e-05,0.0038653570227324963    1.5837254524230957 0.0033367788419127464,  0.24652129411697388  0.029628310352563858  0.065855130553245544  0.029628310352563858   0.22963817417621613 -0.023683957755565643  0.065855130553245544 -0.023683957755565643   0.18846035003662109,   -1.1237250044295877    -0.4162307208135374    -1.1898642299783546    0.75435271881385546    0.53013794418532711   0.038518521598973621 1.6805747016235273e-05,0.00039343268144875765
IIWA_7,1714566692.824563,-0.48182750005079478   1.1337191809026408 0.020350232554804001  -1.2806624961921664  -1.9532971206796539  -1.8900478091763073 -0.90789467857964357, 0.00010919488650879894 -4.9659586969097207e-06 -0.00068919098996746879   0.0015782793817439773 -0.00016619461419078299 -1.2389997874581962e-05  9.3004346386262683e-05, 0.38445542144775391   65.006572467803949  -1.7607498168945312  -16.220027313232421   -1.040603141784668   1.8152753791809082 -0.25298377227783203,   46.69851986604921   4.5664635088894991   19.752740392760572  -11.031628612288527   4.0544644880039051  -1.4021430973552225 -0.72769012115505394,  0.5557483434677124 -0.05330326035618782  0.21405796706676483, -0.70167386531829834 -0.010691520757973194 0.0033765444532036781    0.7124100923538208,  0.0003501635801512748 -0.00039953654049895704  9.6486815891694278e-05,0.0038634620141237974    1.5837254524230957 0.0033356482163071632,  0.24651995301246643  0.029629198834300041  0.065855517983436584  0.029629198834300041   0.22963732481002808 -0.023684235289692879  0.065855517983436584 -0.023684235289692879   0.18846200406551361,  -1.1237670017285595  -0.41623802926338271   -1.1898963397296569   0.75437519159837763   0.53014489279945565  0.038503710372062017 1.680249894775443e-05,0.00037503390922211111
IIWA_7,1714566692.8295135,-0.48182732028188185   1.1337191809026408 0.020347775785715661  -1.2806548862293785   -1.953298079389012  -1.8900478091763073 -0.90789383973077176, 9.4546665723934094e-05 -3.9727669575277767e-06 -0.00064962355550755618   0.0015670220169121609 -0.00017130406567755218 -9.9119982996655697e-06  0.00010795743198137749,  0.3831111717224121   65.028080463409424  -1.7642713165283204  -16.212984313964842  -1.0362012672424317   1.8169441375732422 -0.25532003402709963,  46.698516829723665   4.5666932617279414   19.752624947643255  -11.031673248588524   4.0546957875445839  -1.4023094547460204 -0.72752897146360185,  0.55574989318847656 -0.053305041044950485   0.21405848860740662, -0.70167595148086548 -0.010693001560866833  0.003374873660504818   0.71240800619125366, 0.00034216063795611262 -0.00039088405901566148   9.786224109120667e-05,0.0038634599186480045    1.5837246179580688 0.0033356461208313704,  0.24651934206485748  0.029629640281200409  0.065855689346790314  0.029629640281200409   0.22963690757751465 -0.023684389889240265  0.065855689346790314 -0.023684389889240265   0.18846280872821808,   -1.1237879126726469   -0.41624198271517088    -1.1899127270780241    0.75438643800218586    0.53014839151455107   0.038496626825867963 1.6800943747341535e-05,0.00036716120666824281
IIWA_7,1714566692.8345587,-0.48180005616638721   1.1337320639414314 0.020376298283600987  -1.2806765777267377  -1.9532871497881701   -1.890060572332795  -0.9079067227695623,  0.0011662019523647751  0.00051214333806023546  0.00062120107100700674  0.00038595771916173963  0.00030014078113494325 -0.00051845585814704813 -0.00042895560603671481, 0.14652322006225585   64.881557243347174  -2.2502382659912108  -15.855552101135254  -1.2157977485656739   1.8803569564819336 -0.22027610778808593,  46.698534577125216   4.5670784483265097   19.752457729836564  -11.031888718600523   4.0548980865799154  -1.4025554377480387 -0.72735026516987245,  0.55575156211853027 -0.053306825459003448   0.21405908465385437, -0.70167809724807739 -0.010694542899727821 0.0033731870353221893   0.71240586042404175, 0.00034075128496624529 -0.00038408717955462635  0.00010198232484981418,0.0038616671226918697    1.5837228298187256 0.0033346482086926699,  0.24651864171028137  0.029630081728100777  0.065855897963047028  0.029630081728100777   0.22963647544384003 -0.023684518411755562  0.065855897963047028 -0.023684518411755562   0.18846365809440613,   -1.1238087499494398   -0.41624556648223177     -1.189928233662485    0.75439794172016406    0.53015191767613601   0.038489436417599165 1.6799339697115556e-05,0.00036359223304316401
IIWA_7,1714566692.8395617,  -0.481345254779244   1.1338390830587575 0.020878017829862441  -1.2809671951184811  -1.9531370115044588  -1.8901644756010738 -0.90800157792374969,  0.019125017047620263   0.004690479363489139   0.020565742707263763  -0.011315929494406948  0.0062456439733576761  -0.004570895417669813 -0.0041373706523249671,-8.6462142333984371   60.70228484725952 -8.5616459846496582 -10.997643356323241 -1.3540166091918946  2.1780634536743162 -0.3334179267883301,  46.666529003922797   4.5554110871229723   19.728077541400253  -11.015172626217582    4.057027816439537  -1.3897888237557381 -0.72820059374175083,  0.55574804544448853 -0.053278371691703796   0.21405825018882751, -0.70165812969207764 -0.010707451961934566 0.0033878744579851627   0.71242529153823853,0.00013087887782603502  0.0008308493415825069 4.8577745474176481e-05, 0.003857702249661088    1.5837219953536987 0.0033323776442557573,  0.24651895463466644  0.029628301039338112  0.065856784582138062  0.029628301039338112   0.22964075207710266 -0.023681189864873886  0.065856784582138062 -0.023681189864873886   0.18845970928668976,   -1.1236993506287263   -0.41615026516961251    -1.1897550504542664    0.75429950866823248    0.53017436625335534   0.038625011582027469 1.6827508275696346e-05,0.00058516341960057616
IIWA_7,1714566692.8445597,-0.48085737700294784   1.1338303345958818 0.021433726300374309  -1.2811702078900824  -1.9528684690370945  -1.8902507020656056 -0.90807576019836267,  0.034815124689942765  0.0034024449757639077   0.038680932986285714  -0.017173254459576973   0.015738213873258008 -0.0071057749154088291  -0.006277187506379062, -18.061339309692382   60.477795143127445  -12.732862300872803  -11.811109771728516  -1.4939962196350098   1.7602063522338867 -0.11214056396484375,  45.754478400093838   4.6261899529768291   18.915098105186544   -10.82882467917249   3.9644717458555743   -1.037114256764168 -0.69650680178387059,  0.55577993392944336 -0.052325185388326645   0.21422344446182251, -0.70110958814620972 -0.011205378919839859 0.0037358191329985857   0.71295571327209473,0.0014616918051615357  0.034912440925836563 0.0063737882301211357,0.0038558270316570997    1.5837210416793823 0.0033313021995127201,   0.2464568018913269  0.029576791450381279  0.065919578075408936  0.029576791450381279   0.22977331280708313 -0.023551823571324348  0.065919578075408936 -0.023551823571324348    0.1884063184261322,   -1.1204494586261049   -0.41266842750609101    -1.1838932793724055    0.75104225569333494     0.5307946758899007   0.042571375357347563 1.7626832438111251e-05,0.024666100740432739
IIWA_7,1714566692.8495605,-0.48055399634563378   1.1338211667085702 0.022074103419977373  -1.2816017598553429  -1.9523808547618822  -1.8903703645661993 -0.90822286658336393, 0.039987326044516464 0.0023552404881497595  0.056559831173151151 -0.031000682178079865  0.032095142107101529 -0.010471119956074984 -0.010906005405153692,  -21.946221015930174    60.561138626098632   -14.569324359893798   -11.607743167877198   -1.8179741859436034    2.2531575813293458 -0.013016315460205078,  45.754478400093838   4.6261899529768291   18.915098105186544   -10.82882467917249   3.9644717458555743   -1.037114256764168 -0.69650680178387059,  0.55577993392944336 -0.052325185388326645   0.21422344446182251, -0.70110958814620972 -0.011205378919839859 0.0037358191329985857   0.71295571327209473,0.0014616918051615357  0.034912440925836563 0.0063737882301211357, 0.003853820962831378    1.5837301015853882 0.0033301333896815777,   0.2464568018913269  0.029576791450381279  0.065919578075408936  0.029576791450381279   0.22977331280708313 -0.023551823571324348  0.065919578075408936 -0.023551823571324348    0.1884063184261322,   -1.1204494586261049   -0.41266842750609101    -1.1838932793724055    0.75104225569333494     0.5307946758899007   0.042571375357347563 1.7626832438111251e-05,0.024666100740432739
IIWA_7,1714566692.8545582,-0.48044356172804459   1.1338061863294344 0.022870035627158312  -1.2822462115551678  -1.9516844275496319  -1.8905128569551568 -0.90845745781528753, 0.036407245539180955 0.0012849772250865432  0.077085153225758457 -0.050578613735462533  0.053533202175692116 -0.014076591523158844  -0.01810845360106686, -21.274096153259276   59.910521759033202  -11.831358394622802  -10.510796031951903  -1.3249642372131347   1.9691349029541017 -0.15319202041625976,  45.754478400093838     4.62618995297683   18.915098105186544   -10.82882467917249   3.9644717458555743   -1.037114256764168 -0.69650680178387059,  0.55577993392944336 -0.052325185388326645   0.21422344446182251, -0.70110958814620972 -0.011205378919839859 0.0037358191329985857   0.71295571327209473,0.0014616918051615357  0.034912440925836563 0.0063737882301211357,0.0038586233276873827    1.5840091705322266 0.0033328123390674591,   0.2464568018913269  0.029576791450381279  0.065919578075408936  0.029576791450381279   0.22977331280708313 -0.023551823571324348  0.065919578075408936 -0.023551823571324348    0.1884063184261322,   -1.1204494586261049   -0.41266842750609101    -1.1838932793724055    0.75104225569333494     0.5307946758899007   0.042571375357347563 1.7626832438111251e-05,0.024666100740432739
IIWA_7,1714566692.8595612,-0.48042139091963959    1.133789168823812  0.02398061382839338   -1.283037410102168  -1.9507407418111797  -1.8907570356079109 -0.90877270278452438,   0.03001262876754467 0.00034728155517159995    0.10609125063000949   -0.07211083286837644   0.080573991278640095  -0.021028419328689346  -0.027096561650327478, -16.667352344512938   59.292166885375977  -11.449275684356689  -10.188578815460206  -1.5212878417968749   2.1106456146240236 -0.16987960433959962,  45.389295069776274   4.8100669386149066   18.215953911516408  -10.722531561492328   3.6815532638292638 -0.66125178416264951 -0.65150124408433596,  0.55579125881195068 -0.051464933902025223   0.21455149352550507, -0.70019793510437012 -0.011458002030849457 0.0036984675098210573   0.71384727954864502,0.001204787171445787 0.053181249648332596 0.016048334538936615, 0.003765003988519311    1.5840097665786743 0.0031618590001016855,  0.24646800756454468  0.029461981728672981  0.065982989966869354  0.029461981728672981    0.2298969030380249 -0.023438211530447006  0.065982989966869354 -0.023438211530447006     0.188311368227005,   -1.1149006879875856   -0.40992829338559744    -1.1774744127892589    0.74801162405524479    0.52998042869223383    0.04559071943166515 1.8364218590249948e-05,0.038578644394874573
IIWA_7,1714566692.8645604,-0.48033959857315567   1.1337681964021047 0.025382528387940643  -1.2839715804582548  -1.9495593848146395  -1.8910715016148858 -0.90920341590091303,   0.027281796873392619 -0.00056107162415424761     0.14094958288589812   -0.095055480538172477     0.11171347288452031   -0.029401375741948833   -0.038905773975807897, -15.418544349670411   59.284101387023924    -11.6227095413208  -10.368175296783447  -1.9095331764221191   2.1146506347656251 -0.12649188613891602,   45.001887679032961    5.2097523003073025    17.103148790468939   -10.655076601661396    3.1574682677723644 -0.067845357580180288   -0.5482060824598427,  0.55581319332122803 -0.050329059362411499   0.21517515182495117, -0.69858932495117188 -0.011768573895096779 0.0033390293829143047   0.71541827917098999,0.0010161430109292269  0.062231548130512238  0.023721681907773018, 0.003765003988519311    1.5840097665786743 0.0031618590001016855,  0.24649058282375336  0.029371147975325584  0.066026985645294189  0.029371147975325584   0.22997234761714935 -0.023370757699012756  0.066026985645294189 -0.023370757699012756   0.18824222683906555,   -1.1107352026247241   -0.40847510840080758    -1.1732005394318179    0.74633542520263774    0.52906487260084845   0.047311073223532674 1.8828969494677494e-05,0.046242233365774155
