DesiredFlux,0.56,HitTime,1714565344.8800747,DesiredPos, 0.5586046576499939 0.29564356803894043 0.21919158101081848
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714565344.217587,-0.48476099862483241   1.1163351638822847 0.018461938147791061  -1.2844832468540894  -1.9543056173000168  -1.8745030110678074 -0.90057956757038848, 1.1442070295387876e-05   4.409397831608133e-05 -4.0586149138926958e-05   0.0026911732937566469  3.5125519163535004e-06 -9.3319235821891829e-06  5.0393406912845301e-05,0.50274939727783208  64.970277725219731 -1.7387404441833496  -16.47797716140747 -1.1638556289672852  1.8282916946411132 -0.2686701011657715, 0.11295201537625008  0.77792090702787453 0.059656769815582336 -0.82410714885557934  0.20832375721141863 -0.01552150045745853  0.70248319910906609,  0.55840909481048584 -0.055997304618358612   0.21916943788528442,  -0.70904743671417236  -0.007532079704105854 -0.0023181212600320578    0.70511674880981445, 0.00074837444117292762 -0.00040410866495221853  0.00043449952499940991,1.6645013829474919e-06     0.8057175874710083 2.1382854242801841e-07,  0.24524986743927002  0.029533673077821732  0.066237360239028931  0.029533673077821732    0.2291281521320343 -0.023546099662780762  0.066237360239028931 -0.023546099662780762   0.19056759774684906,   -1.1251147181239318   -0.41802631991139094    -1.1999331110423839    0.74787009258070469    0.51383136561256038 -0.0055890827344029503 6.5128746840059648e-06,0.00066380499629303813
IIWA_7,1714565344.2225814,-0.48476105851144236   1.1163352836555045 0.018461938147791061  -1.2844720416221256  -1.9543060007488533  -1.8745031908367202  -0.9005793279148655, 6.7581918383573947e-06  4.0066111444329987e-05  -3.246891931114157e-05   0.0026011479135593634 -1.2527911925344678e-05 -1.4656295380425838e-05  4.9900946449564981e-05,0.50006089782714847  64.972966224670415 -1.7422619438171387 -16.463891162872315 -1.1559322547912598  1.8292929496765136 -0.2686701011657715,   0.11281740171794437    0.79523930930930498    0.05338324884936832   -0.82766071408942887     0.2049716480937761 -0.0082284144277862785    0.70278083883734355,  0.55841225385665894 -0.055998951196670532   0.21917127072811127,  -0.70904934406280518 -0.0075356177985668182   -0.00232169427908957    0.70511478185653687, 0.00072463863762095571 -0.00038913829484954476  0.00042083201697096229,1.6074646964625572e-06    0.80571705102920532 1.9424535935286258e-07,  0.24524854123592377  0.029534177854657173  0.066237896680831909  0.029534177854657173   0.22912769019603729 -0.023546040058135986  0.066237896680831909 -0.023546040058135986   0.19056899845600128,   -1.1251385272323944   -0.41802683622105263    -1.1999446879578102    0.74788527118663239    0.51383550536154843 -0.0055963556579996521 6.5112875091699607e-06,0.0006421558209694922
IIWA_7,1714565344.2275562,-0.48476093873822246   1.1163354035378075  0.01846163849657511  -1.2844606566212486  -1.9543060007488533  -1.8745031908367202 -0.90057926802825561,  1.019748226659173e-05  3.6848181274406019e-05 -3.7961184086970668e-05   0.0025363183659250928 -1.0022329540275744e-05 -1.1725036304340672e-05  4.2316221555384451e-05, 0.49468389892578124   64.970277725219731  -1.7449030685424805  -16.457728538513184  -1.1656163787841796   1.8269566879272461 -0.26833634948730467,  25.731839266432917   2.9840320953979935   7.7288440270693188  -6.4074525429556441   4.1374182734224378   -2.978165796040559 -0.54432088883283314,  0.55841541290283203 -0.056000709533691406   0.21917307376861572,  -0.70905125141143799 -0.0075390995480120182 -0.0023254582192748785    0.70511281490325928,0.00070578721351921558 -0.0003816495300270617 0.00040873614489100873,1.5543839708698215e-06    0.80571705102920532 1.7599930401956954e-07,   0.2452472448348999   0.02953466959297657  0.066238418221473694   0.02953466959297657    0.2291271984577179 -0.023545995354652405  0.066238418221473694 -0.023545995354652405   0.19057038426399231,   -1.1251619694272463   -0.41802780748145807    -1.1999565710647531     0.7479007432822371    0.51383919311476234 -0.0056044249445719174 6.5095742129983591e-06,0.0006258614594116807
IIWA_7,1714565344.2325583,-0.48473367462272782   1.1163404369582872 0.018486925263110316  -1.2844711428866438  -1.9542946875246421    -1.87453782525948 -0.90059304991161093,  0.0010987226055989012  0.00023081536420951483  0.00098110171413867144   0.0016096040769350128  0.00044451110481649709  -0.0013947569394334519 -0.00051742235696864531, 0.28632519149780272   64.904409488677985  -2.1445932769775391  -16.173367443084718  -1.3240838623046876   1.9681336479187013 -0.24130246353149415, 25.731715189589675  2.9836485982314347  7.7289401024708209 -6.4070402854838022  4.1379574261459142 -2.9781640060138441 -0.5440345812014129,  0.55841827392578125 -0.056002303957939148    0.2191748172044754,  -0.70905309915542603  -0.007542505394667387 -0.0023287513758987188    0.70511090755462646, 0.00067917047999799252 -0.00036915266537107527  0.00039646952063776553,1.5543819245067425e-06    0.80571597814559937 1.7599906243503938e-07,  0.24524597823619843  0.029535155743360519  0.066238909959793091  0.029535155743360519   0.22912676632404327 -0.023545941337943077  0.066238909959793091 -0.023545941337943077   0.19057169556617737,    -1.125184679133362   -0.41802842108751292    -1.1999675830978163    0.74791502005666644    0.51384338440652044 -0.0056108636936613721 6.5081273703526676e-06,0.00060381420189514756
IIWA_7,1714565344.2375865,-0.48430056473294381   1.1163807038857922 0.018721516495033969  -1.2846166912380383  -1.9541575880721735  -1.8748618786872855 -0.90069407687728253,  0.018203373675839574  0.0017953293915687419   0.010168530648257065 -0.0045342507942350077  0.0058395869825946575  -0.014077942663766923 -0.0044550165124390079, -7.0452128105163574    62.89878889846802  -6.2656282234191893  -13.403707981109619  -1.1629752540588378   2.4867837562561035 -0.37246687316894533,  25.731660930859451   2.9835359496764142   7.7290851920060684  -6.4069681827412941   4.1382804596967269  -2.9782983869688566 -0.54364846425890734,  0.55842125415802002 -0.056003924459218979   0.21917654573917389,  -0.70905494689941406 -0.0075459033250808716 -0.0023322845809161663    0.70510900020599365, 0.00066295400029048324 -0.00036020571133121848  0.00038640442653559148,1.4531042324961163e-06    0.80571556091308594 1.4210672816261649e-07,  0.24524472653865814   0.02953563816845417  0.066239401698112488   0.02953563816845417   0.22912631928920746 -0.023545896634459496  0.066239401698112488 -0.023545896634459496   0.19057302176952362,   -1.1252075431427144   -0.41802912266408754    -1.1999791327781395    0.74792946736934596    0.51384719622671327 -0.0056182972345553139 6.5065171028777513e-06,0.00058916839770972729
IIWA_7,1714565344.2425864,-0.48378128826523809    1.116382082150486 0.018823262536357466   -1.284692431546258  -1.9539026596965736  -1.8754263956163659 -0.90078000379968137,  0.035333757648900475  0.0014913941010033023   0.012204666171545512 -0.0066570129641745192   0.014868804610072832   -0.03384303129423108  -0.007001090105904724, -13.937181152343751   62.808724166870114   -8.628554477691651  -14.196045398712158  -1.7695535659790038   2.0068488426208497 -0.17221586608886719,  25.700013458911144   2.9843403731368001   7.7013342629618222   -6.394881267629124   4.1373614019384641  -2.9591103313108493 -0.54235805352255495,  0.55841827392578125 -0.055978301912546158   0.21918478608131409,  -0.70903325080871582 -0.0075691393576562405 -0.0023189685307443142    0.70513063669204712, 0.0004097002383787185 0.00073678680928424001 0.00063874176703393459, 1.408419279869122e-06    0.80571508407592773 1.2667666737797845e-07,  0.24524308741092682  0.029536047950387001  0.066240750253200531  0.029536047950387001   0.22912973165512085 -0.023543223738670349  0.066240750253200531 -0.023543223738670349   0.19057121872901917,   -1.1251894751405089    -0.4179479885504378     -1.199875630943481     0.7478634352571234    0.51389902758369743 -0.0054517598968573111 6.5420611150557306e-06,0.00073512544622644782
IIWA_7,1714565344.2475827, -0.4833107875323901     1.11639328738245 0.018876772149562047  -1.2849010169359947  -1.9534379593255118  -1.8763354589748305 -0.90091710333941633,  0.04708703543303995 0.0016413245593655697  0.011904117465419653 -0.013669025960806446  0.030483058530531564 -0.063436959373965804 -0.011084853674121892, -17.377116199493408   63.187802589416506  -10.147201194763184  -13.276053619384765  -1.5925982093811035   2.9246659584045411 -0.05840654373168945,  25.294902441989898   3.0157605590228185   7.3868063661105454  -6.2922964836600714   4.1148208074026575   -2.765045718837214 -0.52660327892612702,  0.55839323997497559 -0.055633574724197388   0.21926172077655792,  -0.70881664752960205  -0.007821718230843544 -0.0021202510688453913    0.70534616708755493,-0.00067766796564683318    0.014376196078956127   0.0035891016013920307,1.3627735597765422e-06    0.80571871995925903 1.1171908909091144e-07,  0.24522271752357483  0.029540058225393295  0.066256113350391388  0.029540058225393295   0.22917293012142181 -0.023507006466388702  0.066256113350391388 -0.023507006466388702   0.19054988026618958,   -1.1249167764049162    -0.4168095577226083    -1.1985238726257563    0.74684591773976905    0.51452726987566422 -0.0035183192048648948 6.9334165075929377e-06,0.01030876487493515
IIWA_7,1714565344.2525818,-0.48292645348654695   1.1164032942277162 0.018890793688440256  -1.2851832455117713  -1.9527370260221988  -1.8775398137167751 -0.90110028218939786, 0.053042990180157915 0.0017133334581403445  0.010084155527464079 -0.022224363799710919  0.052423778956945277 -0.098923757176960281 -0.016195036938558942, -17.968586078643799   62.538529972076418  -8.6259133529663092  -13.247001247406006  -1.5380149650573731   2.0362189903259278 -0.15686328887939452, 24.942472349556937  3.1352756672688993  7.1031787540693712 -6.2389838338914414  4.0483957680630818 -2.5321645639688599 -0.4977060855240385,  0.55837053060531616 -0.055297952145338058   0.21940453350543976,  -0.70856362581253052 -0.0081272516399621964 -0.0019103424856439233    0.70559757947921753,-0.0014614926185458899   0.024917986243963242  0.0085842004045844078,1.4037721030035755e-06    0.80576503276824951 5.1176847648548573e-08,  0.24519810080528259  0.029564632102847099  0.066270835697650909  0.029564632102847099   0.22920608520507812 -0.023480186238884926  0.066270835697650909 -0.023480186238884926   0.19053789973258972,   -1.1255253127036013   -0.41580701321652924     -1.197964173631938    0.74606725274062313    0.51540797169824515 -0.0013146114490325544 7.3811685652458436e-06,0.018343949690461159
IIWA_7,1714565344.257585, -0.4825566801772378   1.1164034739966291 0.018944722616997627  -1.2855473262115591  -1.9518105015826828  -1.8791663126629796 -0.90136597246151506, 0.057225324516492398 0.0013778575230269502  0.010224481564266126 -0.032342719031279624   0.07900000074619698  -0.14419896358974743 -0.023583640435535264, -14.148228359222411   62.452497989654539  -8.9683791923522946  -13.335038738250732  -1.6463010787963868    2.231129970550537 -0.22995490646362304, 24.675448358119873  3.2586699719792218  6.8299908029529703 -6.1467251525300926  3.9500103807794686 -2.2242074643042433 -0.4742063907109052, 0.55829060077667236 -0.05498693510890007  0.21960245072841644,  -0.70816165208816528 -0.0084177600219845772 -0.0016907673561945558    0.70599818229675293,-0.0043809297494590282    0.03235340490937233   0.014784067869186401, 1.9025892470381223e-06     0.80576503276824951 -6.3120148752204841e-07,  0.24520115554332733  0.029596313834190369  0.066276676952838898  0.029596313834190369   0.22923314571380615 -0.023470137268304825  0.066276676952838898 -0.023470137268304825   0.19050531089305878,   -1.1264644214517006   -0.41516328714763517    -1.1980674803719893    0.74554967810325223    0.51633796095451601  0.0012620795670770235 7.9478557069023736e-06,0.024906489998102188
IIWA_7,1714565344.2625852, -0.4820681433209828   1.1164072489256351 0.019006441386338963  -1.2860165685620162  -1.9506487029202733  -1.8810782160297013 -0.90177637223615525, 0.065321733863393738  0.001253283178663588  0.010648336025066339 -0.044643869243307245    0.1096719470933379  -0.19183530554066378 -0.035282903334035859, -12.242082248687744   62.474005985260007  -8.4524794960021978  -13.416913604736328  -1.8734378051757812    2.482444984436035 -0.21526983261108398,  24.509751905163249   3.4229074809423596   6.5648736292009788   -6.065160424315402   3.8006044960870859  -1.8739083233462719 -0.44571802382339809,  0.55818068981170654 -0.054727539420127869   0.21986730396747589,  -0.70762753486633301 -0.0086875678971409798 -0.0015161883784458041    0.70653057098388672,-0.0079136015847325325   0.036216117441654205   0.022422399371862411, 1.9026732616111985e-06     0.80580061674118042 -6.3122939764070907e-07,   0.2452261745929718  0.029633546248078346  0.066277317702770233  0.029633546248078346   0.22924923896789551 -0.023477425798773766  0.066277317702770233 -0.023477425798773766   0.19046150147914886,   -1.1277226702031129   -0.41493405591186416    -1.1988699398806091    0.74540947478141106    0.51721844046337395  0.0039736278729662899 8.5888078871221296e-06,0.030106982216238976
IIWA_7,1714565344.2675567,-0.48144082900908325   1.1164128216528537 0.019068579580116169  -1.2865959458788467  -1.9492317840705793   -1.883274684749902  -0.9023331593201448,  0.07734995956669706 0.0012255356316737658  0.011004196571141307  -0.05889018806786795   0.14441431166242918  -0.24132699324056062  -0.05049780602681031,   -11.404614669799805      61.93496184539795    -8.0651145362853995    -13.334158363342285    -1.9570734214782715     2.1056393394470216 -0.0010012550354003907,  24.340272264483712   3.6630230523941441   6.2141578743283707  -5.9819156858778229   3.5997119654761316  -1.4242476846013279 -0.40233807121363296,  0.55802905559539795 -0.054452747106552124   0.22023855149745941,  -0.70690536499023438 -0.0090287039056420326 -0.0013420883333310485     0.7072492241859436,-0.012408177368342876   0.03988473117351532  0.032787740230560303, 2.9974426070111804e-06     0.80584686994552612 -2.7263524771115044e-06, 0.24526195228099823 0.029682345688343048 0.066277608275413513 0.029682345688343048  0.22926416993141174 -0.02349422313272953 0.066277608275413513 -0.02349422313272953   0.1904064267873764,   -1.1294321013721742   -0.41488934543920664     -1.200163384837083      0.745493926816998    0.51828253287578008   0.007372609887035253 9.4102388104033707e-06,0.036900758743286133
IIWA_7,1714565344.2725558,-0.48068372557810374   1.1164135407285054 0.019155345351386723  -1.2872633473493384  -1.9475913833150831  -1.8856468422395991 -0.90300427594211552, 0.092164104892538096 0.0010091915314065926  0.012273988107735183 -0.073808209273962894   0.18114747954979166  -0.28794789418033262 -0.067242909700277215,  -11.404614669799805    62.581545963287354   -7.8714320564270022   -12.797129669189452   -1.7290563201904297    2.0218676681518555 -0.034042671203613283,   24.09696252752159    3.914312713880304   5.7912010280042354  -5.8861316542258661   3.3675455628805406 -0.92418438931033964 -0.34100911948649715, 0.55785465240478516 -0.05409560352563858  0.22067618370056152,  -0.70603257417678833 -0.0094575481489300728 -0.0011663546320050955    0.70811527967453003,-0.016921024769544601   0.04606473445892334  0.043736152350902557, 1.3764167306362651e-05     0.80586284399032593 -2.1937428755336441e-05,  0.24530790746212006  0.029736241325736046  0.066278807818889618  0.029736241325736046      0.22928486764431 -0.023511288687586784  0.066278807818889618 -0.023511288687586784   0.19033630192279816,  -1.1312778572616367  -0.41473513046597077   -1.2015286282363036   0.74545462791331119   0.51950141841317077  0.011425429551792377 1.039131802826887e-05,0.045678693801164627
IIWA_7,1714565344.2775815,-0.47980851768013716   1.1164332547678222 0.019270753502845593  -1.2879961228540406  -1.9457277884585786  -1.8881788093841754  -0.9037815727234576,  0.10873959983269364 0.0015959147977963168  0.014435516544542972 -0.088357587607257829    0.2194617779000112  -0.33163700112731664 -0.084886199013905178, -13.024435588836671   62.127189556121827  -7.0130665206909182  -13.598270835876464  -1.7387404441833496   2.0856142387390135 -0.19791474533081055,  23.783605993783159    4.175407595971631   5.3015339754992912  -5.7795946523899495   3.1038083602778048 -0.37757476918216559 -0.26304235474968185,  0.55766028165817261 -0.053647618740797043   0.22118157148361206,   -0.70500606298446655   -0.009975002147257328 -0.00098952662665396929     0.70913046598434448,-0.021337684243917465   0.05457775667309761  0.055204521864652634,2.8128744816058315e-05    0.80588507652282715 -5.116375905345194e-05,  0.24536429345607758   0.02979498915374279  0.066281311213970184   0.02979498915374279   0.22931186854839325 -0.023527940735220909  0.066281311213970184 -0.023527940735220909   0.19025054574012756,   -1.1332453460202174   -0.41444157101455659    -1.2029441334293622    0.74525600935526626     0.5208743163382934   0.016139414056759449 1.1528288546003296e-05,0.055942170321941376
IIWA_7,1714565344.2825804, -0.4788714112439163   1.1164438608064373 0.019425409964024847  -1.2888583279399968  -1.9436599822256091  -1.8908206718396017 -0.90470759381001742,  0.12447593731498924 0.0017009733828424617  0.017734671682804543   -0.1051742735240517   0.25828167163879046  -0.37098409911890545  -0.10494980267351671, -13.213974800109863   61.789782875061036  -7.5342484664916993  -13.731207447052002  -1.7607498168945312   1.8486505470275878 -0.06574908065795898,  23.420985693945809   4.4374808977456777   4.7654282145352234  -5.6777587245866146   2.8177605127978462  0.17784297080215383 -0.17268776975248756,  0.55746406316757202 -0.053109612315893173    0.2217424213886261,   -0.70385998487472534   -0.010563469491899014 -0.00082544644828885794     0.71025973558425903,-0.024955099448561668  0.064919769763946533  0.066596224904060364, 5.1327868277439848e-05     0.80591404438018799 -0.00010160127567360178,  0.24542585015296936  0.029853777959942818  0.066287852823734283  0.029853777959942818   0.22934609651565552 -0.023540167137980461  0.066287852823734283 -0.023540167137980461   0.19015403091907501,   -1.1351419286036446   -0.41394165835040297     -1.204199389934324    0.74483995236196421    0.52231759840370984   0.021327988640962303 1.2771518953513805e-05,0.066907592117786407
IIWA_7,1714565344.2875826,-0.47786036207952243   1.1164538076560104 0.019569100739679976  -1.2898185639157973  -1.9414071396760015   -1.893476975258342 -0.90573985505164167,  0.14002271642774633 0.0017586526891986485  0.019935368372448789  -0.12254885785126246   0.29673903929533474  -0.40303941604473825  -0.12525029180378355, -13.136008316040039   61.834143115997314  -6.8783691596984866  -13.239958248138427  -1.7316974449157714    1.919072151184082 0.085774181365966803,   23.030231753750186    4.6874317252864843    4.1994929037585109   -5.5801392669282714    2.5136082828400506   0.73287039528235187 -0.072548826444633452,  0.55727124214172363 -0.052489258348941803   0.22234785556793213,  -0.70259696245193481  -0.011212865822017193 -0.0006789945182390511    0.71149933338165283,-0.027728723362088203  0.076410345733165741   0.07749098539352417, 8.6173284216783941e-05     0.80591404438018799 -0.00018158447346650064,  0.24549326300621033   0.02991112507879734  0.066298775374889374   0.02991112507879734   0.22938685119152069 -0.023548126220703125  0.066298775374889374 -0.023548126220703125   0.19004617631435394,   -1.136917747253996   -0.4132500549856033   -1.2052614998578903   0.74424112060711423   0.52380473817770223  0.026931470781477174 1.410453709382864e-05,0.078028403222560883
IIWA_7,1714565344.2925806,-0.47677447145147372   1.1164648332281446 0.019716207124681254  -1.2908492072372049  -1.9389717534889939  -1.8960735972523937  -0.9068641550314559,  0.15545379826414518 0.0018479450367257675  0.021832550098010169  -0.13926481913731259   0.33480667891657467  -0.42629641259785622  -0.14517223263559587, -12.246114997863769    60.79907082748413   -7.294786491394043  -12.915099906921386  -1.6251720809936523   1.6937897682189942 0.030371402740478514,  22.648599188485797   4.9175732814692719   3.6235149259216177  -5.4818227429496584   2.1999446979378301   1.2784573404310344 0.036667552652878799, 0.55706954002380371 -0.05180760845541954  0.22299256920814514,    -0.7012256383895874   -0.011902048252522945 -0.00057820096844807267     0.71283984184265137,-0.030315190553665161  0.087974287569522858  0.087776608765125275, 8.6181884398683906e-05     0.80599445104598999 -0.00018160259060095996,  0.24557262659072876  0.029962334781885147  0.066311471164226532  0.029962334781885147   0.22943389415740967 -0.023553600534796715  0.066311471164226532 -0.023553600534796715   0.18992374837398529,  -1.1383968667670885  -0.41244408611262884   -1.2061057157595201   0.74344261910130882   0.52522924553599637  0.032789679066169697 1.549342876216997e-05,0.088871628046035767
