DesiredFlux,0.58,HitTime,1714565432.5351007,DesiredPos,0.55446934700012207  0.2938961386680603 0.21916481852531433
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714565431.8813679,-0.48201577220786596    1.138016783877809 0.020309246551647106  -1.2742758631476427  -1.9564438905034038  -1.8926129725923395 -0.90580942343929383,-3.1566854381930144e-06 -1.2492639560673545e-05 -1.9636337907244354e-05  1.5979481334807472e-05 -9.7899864901758027e-06 -1.1002216139020041e-06   6.775899965575921e-06,0.10619572830200195  65.255258666992191 -1.8628733062744141 -16.192735691070556 -1.0987078857421875  1.8353004798889161 -0.2446399803161621,  -0.2908015455109228   -1.6646806659087865 -0.058651107566208199  -0.87454823236562063 -0.043213556785630644  -0.33974162429641958   0.46601711031109172,  0.55603665113449097 -0.054078180342912674     0.212858647108078,    -0.70196533203125 -0.011559787206351757 0.0050898720510303974   0.71209907531738281,-9.2573088750214083e-07 -9.1425727077876218e-06  2.3810309812688502e-06,-0.00046166969696059823     0.83496630191802979   0.0018575863214209676,  0.24622218310832977  0.029929438605904579  0.065910190343856812  0.029929438605904579   0.22955664992332458 -0.023737411946058273  0.065910190343856812 -0.023737411946058273   0.18856930732727051,   -1.1359420263419295   -0.41757733140901365    -1.1942082952840494    0.76340893904180973    0.53714556351014409   0.044345160298497888 1.7729149703882285e-05,6.5940375861828215e-06
IIWA_7,1714565431.8863475,-0.48201577220786596    1.138016783877809 0.020308946900431155  -1.2742755036098168  -1.9564437946848279  -1.8926129725923395  -0.9058095433215968,-2.5253483505544115e-06 -9.9941116485388363e-06 -2.7695118963852897e-05  2.7165098106076744e-05  -3.999246153639635e-06 -8.8017729112160339e-07  6.2542785351870784e-07, 0.10888422775268555   65.248537418365473  -1.8593518066406249  -16.183051567077637  -1.0960667610168457   1.8359679832458495 -0.24497373199462891, -0.29069079464856762   -1.6645442723508208 -0.058576886100300901  -0.87471451613511175 -0.043284796705285483  -0.33980565824101772   0.46603656021768641,  0.55603671073913574 -0.054078280925750732   0.21285869181156158, -0.70196545124053955 -0.011559790000319481 0.0050897891633212566   0.71209895610809326, 2.1330922663764795e-06 -1.1323478247504681e-05  4.0855652514437679e-06,-0.00046166867832653224     0.83496636152267456   0.0018575778231024742,  0.24622215330600739  0.029929457232356071  0.065910197794437408  0.029929457232356071    0.2295566201210022 -0.023737421259284019  0.065910197794437408 -0.023737421259284019   0.18856935203075409,   -1.1359429904702623   -0.41757758852156712    -1.1942092348400379    0.76340939373320538    0.53714559703976761   0.044344561313636177 1.7729006707156714e-05,8.4922903624828905e-06
IIWA_7,1714565431.8913684,-0.48201577220786596    1.138016903760112 0.020308827018128157  -1.2742753837275138  -1.9564438905034038  -1.8926129725923395 -0.90580942343929383,-2.0202786804435294e-06 -3.1999971998890402e-06 -2.6951387290995793e-05  2.6527370603803426e-05 -7.0321399614127155e-06 -7.0414183289728273e-07  5.2956344017569954e-06, 0.12232672500610352   65.253914417266841  -1.8584714317321778  -16.189214191436768  -1.0987078857421875   1.8373029899597169 -0.24196996688842773,  25.712525690641034   2.4242968033574916     7.09430043252428  -5.8475474199383122   4.1534438821496309  -1.5332998574666319 -0.79582053730360292,  0.55603682994842529 -0.054078429937362671   0.21285870671272278, -0.70196563005447388 -0.011559838429093361 0.0050895982421934605   0.71209883689880371, 5.2535410759446677e-06 -1.5067421372805256e-05  3.7585778045468032e-06,-0.00046166437095962465     0.83496642112731934   0.0018575428985059261,  0.24622213840484619  0.029929479584097862  0.065910197794437408  0.029929479584097862   0.22955659031867981 -0.023737441748380661  0.065910197794437408 -0.023737441748380661   0.18856939673423767,   -1.1359441997873532   -0.41757808560483056    -1.1942106156164201    0.76341018045322784    0.53714560184658922   0.044343761970822015 1.7728861045895883e-05,1.1387679478502832e-05
IIWA_7,1714565431.8963723,-0.48201577220786596    1.138016903760112 0.020308827018128157  -1.2742752638452108  -1.9564438905034038  -1.8926129725923395  -0.9058095433215968,-1.6162229443548237e-06 -2.5599977599112322e-06 -2.1561109832796635e-05   2.601718860198477e-05 -5.6257119691301728e-06 -5.6331346631782625e-07 -5.5878459753643314e-07, 0.14921171951293946   65.287520660400389  -1.8461461830139161  -16.190974941253661  -1.0969471359252929   1.8383042449951172 -0.24363872528076172,  25.712503240654549   2.4241100907890059   7.0943586698917205  -5.8474405497060387   4.1535210530432884  -1.5333355248203078 -0.79586126872829288,  0.55603677034378052 -0.054078482091426849   0.21285863220691681, -0.70196563005447388 -0.011559775099158287 0.0050896755419671535   0.71209877729415894,  3.909639417543076e-06 -1.4053461200091988e-05 -1.6382814749249519e-07,-0.00046167941763997078     0.83496624231338501   0.0018575197318568826,  0.24622215330600739  0.029929487034678459  0.065910190343856812  0.029929487034678459   0.22955657541751862 -0.023737451061606407  0.065910190343856812 -0.023737451061606407   0.18856938183307648,   -1.1359445154734971   -0.41757825737231968    -1.1942109685190161    0.76341041338334747    0.53714570972385189   0.044343650913880595 1.7728819301510157e-05,1.0133415344171226e-05
IIWA_7,1714565431.9013689,-0.48198838821006829   1.1380252926851617 0.020333993902360369  -1.2742952176491336  -1.9564322898234647  -1.8926272337867407 -0.90582302555373617,  0.0010940669335513064  0.00033350900378124394  0.00098942648142223612 -0.00077733840602733895   0.0004595266279889166  -0.0005708984268201437 -0.00053973631325292455,-0.057802738189697264     65.20955417633057   -2.2132625198364257   -15.936546592712402   -1.2615772438049315    1.8913707618713378  -0.20826104736328124,  25.712459433880202   2.4241590042243653   7.0942831321026114  -5.8474679035905615   4.1535019536270861  -1.5333254166550918 -0.79583318899727584,  0.55603682994842529 -0.054078496992588043     0.212858647108078, -0.70196568965911865 -0.011559854261577129 0.0050895949825644493   0.71209877729415894, 4.3961431401839945e-06 -1.1908216947631445e-05  6.1885526747573749e-07,-0.00046171562280505896     0.83496618270874023   0.0018575196154415607,  0.24622213840484619  0.029929492622613907  0.065910197794437408  0.029929492622613907   0.22955657541751862 -0.023737449198961258  0.065910197794437408 -0.023737449198961258   0.18856939673423767,   -1.1359447528773714   -0.41757826511545915     -1.194211083351604    0.76341056982087707    0.53714574810204141   0.044343575742900043 1.7728816636974898e-05,8.8280330601264723e-06
IIWA_7,1714565431.9063671,-0.48153136981844274   1.1380897078791143 0.020553544977621116  -1.2744330361554372  -1.9562908759170852   -1.892762775401952 -0.90593268120906356,  0.019155989211862685  0.0028434149611296384  0.0095735841955676849 -0.0061346109769689679  0.0060241775575735988 -0.0058783833499098399 -0.0048180152636979291, -7.6716331825256345   62.881313652038571  -6.0684242439270015  -13.637887706756592  -1.1946687507629394   2.1293357086181639 -0.32173661804199216,  25.683143732090585   2.4193007203773096    7.071284897654464  -5.8363462634729277   4.1532341482084059  -1.5214205927919078 -0.79531548478610481,   0.5560339093208313 -0.054051626473665237   0.21286013722419739, -0.70194709300994873 -0.011574209667742252 0.0051022120751440525    0.7121167778968811,-0.00011231090320507064   0.0010653226636350155  6.0130922065582126e-05,-0.00046170258428901434     0.83496624231338501    0.001857559778727591,  0.24622198939323425  0.029928186908364296  0.065911158919334412  0.029928186908364296    0.2295604944229126 -0.023734364658594131  0.065911158919334412 -0.023734364658594131   0.18856620788574219,   -1.1358564390508974   -0.41748825182441607    -1.1940594637636082    0.76331825959030652    0.53717011975784601   0.044473521834120788 1.7756173420480081e-05,0.00074528105324134231
IIWA_7,1714565431.9113669,-0.48099231942481041   1.1380819780340234 0.020638153521936202  -1.2745165063087476   -1.956027702431566  -1.8929556614459839 -0.90604005986421554,  0.036886807114783524  0.0019655381652677897   0.011043209129057586 -0.0082464949139887268   0.015346281466826314  -0.012418148441203571 -0.0081495584170375238, -15.009892433166504   63.362555053710935  -8.6127077293395988  -14.055185413360595  -1.6524637031555176   1.7388462448120117 -0.16654208755493163,   25.28927829432509    2.405147100638874   6.7995764589497938  -5.7460062716458777   4.1378503298318448  -1.3941140560753427 -0.78066007845292162,  0.55603623390197754 -0.053701475262641907    0.2128908783197403, -0.70177942514419556 -0.011783256195485592 0.0052661732770502567   0.71227735280990601,-3.3782291666284436e-06     0.01485730055719614   0.0012782680569216609,-0.00046172257862053812     0.83497059345245361   0.0018575651338323951,  0.24620367586612701  0.029921626672148705  0.065927505493164062  0.029921626672148705   0.22960494458675385 -0.023693384602665901  0.065927505493164062 -0.023693384602665901   0.18854394555091858,   -1.1351667489503114   -0.41624605271639581    -1.1923663079445035    0.76214902276383611    0.53759319538748684   0.046026093068363139 1.8066611318090509e-05,0.010357891209423542
IIWA_7,1714565431.9163671,-0.48053290415070649   1.1380859328410253 0.020658766405817645  -1.2747141861177362  -1.9555592630416476  -1.8932750411002186 -0.90623726025307527, 0.047886056655983812 0.0017306228122895295 0.0096590826585038064 -0.014504388290737382  0.031014600770195553 -0.022709704922349853 -0.014407662288019246,  -18.232059024810791    63.168983093261716   -9.7316642379760747   -13.779628067016601   -1.7211329460144043    2.2448137893676758 -0.046057731628417968, 24.966729835196446  2.4848874055766816  6.5775768119657974 -5.7293971227543743   4.075405753369898 -1.2693726824725344 -0.7494859453541578,  0.55606752634048462 -0.053362879902124405   0.21296875178813934, -0.70162957906723022 -0.012012777850031853  0.005388663150370121   0.71242022514343262,0.0012383887078613043  0.025427985936403275 0.0041381563059985638,-0.00046072446275502443     0.83501994609832764   0.0018565708305686712,  0.24617984890937805  0.029926279559731483  0.065945297479629517  0.029926279559731483    0.2296387255191803 -0.023658249527215958  0.065945297479629517 -0.023658249527215958   0.18853572010993958,   -1.1350081476448892   -0.41508128970413338    -1.1912233199327105    0.76109796539380881    0.53806592691074684   0.047463140226078337 1.8354247899310394e-05,0.017914297059178352
IIWA_7,1714565431.9213676,-0.48016636657274747   1.1380825772273722 0.020645463942591258  -1.2749931189664701  -1.9548626440177126  -1.8937065930654791  -0.9065182903330713, 0.052970348443147616 0.0012502737037049638  0.007195167597747543 -0.022760824581942507   0.05267644157355765 -0.035429842548298174 -0.022767333030256409, -18.693136680603029   63.091016609191897  -8.3732457542419425  -13.197700252532959  -1.4543793487548828   1.8953757820129395 -0.16353832244873046,   24.77175760321693   2.5519058016162641    6.409039592092272  -5.7005802324323485   3.9825525841721654  -1.1288985886880356 -0.71785907782153069,0.55607491731643677 -0.0530739426612854 0.21306143701076508, -0.70139878988265991 -0.012183044105768204  0.005442500114440918   0.71264415979385376,0.0012740406673401594  0.031894464045763016 0.0070179449394345284,-0.00045917785610072315     0.83505755662918091   0.0018385847797617316,  0.24618548154830933  0.029926642775535583  0.065954782068729401  0.029926642775535583   0.22966304421424866 -0.023637996986508369  0.065954782068729401 -0.023637996986508369   0.18851082026958466,   -1.1347812110180655   -0.41427606058519473     -1.190525269354481    0.76026128090589395    0.53833726622887212   0.048735851285286458 1.8639756405036678e-05,0.022699110209941864
IIWA_7,1714565431.9263673,-0.47984854495211932   1.1380833562987169 0.020665417637430839  -1.2753244228192375  -1.9539181912070542  -1.8942936402317074  -0.9068887827180323, 0.055089143579644333 0.0010313818167547604 0.0065542818717812881 -0.031460813776252913  0.079919265685180457 -0.051825760687773406 -0.033033561822645427, -14.577044021606445   62.871903903961183  -8.6690517234802247  -13.455650100708008  -1.7316974449157714   2.0098526077270509 -0.17622088623046875,  24.688187946312475   2.6522458039298971   6.2623812723292618  -5.6930262810517416   3.8420318419008233 -0.97583011915764417  -0.6773468404853642,  0.55607694387435913 -0.052837599068880081   0.21319018304347992, -0.70108640193939209 -0.012305712327361107 0.0053969407454133034   0.71294969320297241,0.0010887825628742576  0.034957457333803177  0.010763794183731079,-0.00046305113937705755     0.83508473634719849    0.001795227755792439,  0.24621368944644928  0.029922166839241982   0.06596025824546814  0.029922166839241982   0.22967658936977386 -0.023630866780877113   0.06596025824546814 -0.023630866780877113   0.18847659230232239,   -1.1344780694262369   -0.41381373128501764    -1.1902317203853485    0.75967787999609016    0.53836988135547159   0.049780492828332967 1.8912148291860831e-05,0.025414992123842239
IIWA_7,1714565431.9313667,-0.47942586133203752   1.1380856332988925 0.020686090407922242  -1.2757607085537617  -1.9527448876832816  -1.8949606222777633  -0.9074002094583441,  0.060978659666987407 0.00091618546042465795  0.0060703363170811382  -0.042620080401968109    0.11086755349905041  -0.068139890392453287  -0.046883919070588073, -11.428811164855958   63.267113323211667  -7.8159684371948241   -13.56745771408081   -1.832940559387207   2.0489015541076658 -0.13450192642211914,  24.643453999925079    2.810286515820513   6.0718644439027907  -5.7102497167564081   3.6453719034560486  -0.7869929705333405 -0.62073711691219391,  0.55608451366424561 -0.052610509097576141   0.21337687969207764, -0.70065921545028687 -0.012429941445589066 0.0052620307542383671   0.71336841583251953,0.0011629249202087522  0.037026267498731613  0.016077755019068718,-0.00045829921145923436     0.83509981632232666   0.0017421690281480551,  0.24625499546527863   0.02991354838013649  0.065967679023742676   0.02991354838013649   0.22968488931655884 -0.023630103096365929  0.065967679023742676 -0.023630103096365929   0.18843555450439453,   -1.1340702222231158   -0.41352088423618483     -1.190098435317033    0.75926588776464854    0.53824497601429044   0.050847925893826584 1.9222260227991228e-05,0.028046773746609688
