RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1714565261.2592614,0.55648225545883179 0.40210145711898804 0.31914785504341125, 0.49855002760887146 -0.50140857696533203 -0.49745991826057434  0.50256431102752686,0.55648225545883179 0.40210145711898804 0.31914785504341125, 0.49855002760887146 -0.50140857696533203 -0.49745991826057434  0.50256431102752686
1714565261.264261,0.55649280548095703 0.40209034085273743  0.3191380500793457, 0.49853706359863281 -0.50139671564102173 -0.49749138951301575  0.50255787372589111,0.55649280548095703 0.40209034085273743  0.3191380500793457, 0.49853706359863281 -0.50139671564102173 -0.49749138951301575  0.50255787372589111
1714565261.2692857,0.55649960041046143 0.40208980441093445 0.31913372874259949,  0.4985029399394989  -0.5014108419418335 -0.49749627709388733  0.50257283449172974,0.55649960041046143 0.40208980441093445 0.31913372874259949,  0.4985029399394989  -0.5014108419418335 -0.49749627709388733  0.50257283449172974
1714565261.2742863, 0.5565040111541748 0.40211060643196106  0.3190988302230835, 0.49851033091545105 -0.50139003992080688  -0.4974956214427948  0.50258690118789673, 0.5565040111541748 0.40211060643196106  0.3190988302230835, 0.49851033091545105 -0.50139003992080688  -0.4974956214427948  0.50258690118789673
1714565261.2792437,0.55648398399353027 0.40211081504821777 0.31912487745285034, 0.49853140115737915 -0.50140410661697388 -0.49747282266616821  0.50257456302642822,0.55648398399353027 0.40211081504821777 0.31912487745285034, 0.49853140115737915 -0.50140410661697388 -0.49747282266616821  0.50257456302642822
1714565261.2842832,0.55649584531784058 0.40213143825531006 0.31908497214317322, 0.49853229522705078 -0.50139725208282471 -0.49747335910797119  0.50257992744445801,0.55649584531784058 0.40213143825531006 0.31908497214317322, 0.49853229522705078 -0.50139725208282471 -0.49747335910797119  0.50257992744445801
1714565261.2892873,0.55649870634078979 0.40215906500816345 0.31904470920562744, 0.49847787618637085 -0.50141173601150513 -0.49745720624923706  0.50263547897338867,0.55649870634078979 0.40215906500816345 0.31904470920562744, 0.49847787618637085 -0.50141173601150513 -0.49745720624923706  0.50263547897338867
1714565261.2942841,0.55647528171539307 0.40220102667808533 0.31907185912132263, 0.49851688742637634 -0.50139790773391724 -0.49743488430976868  0.50263267755508423,0.55647528171539307 0.40220102667808533 0.31907185912132263, 0.49851688742637634 -0.50139790773391724 -0.49743488430976868  0.50263267755508423
1714565261.2992804,0.55643492937088013 0.40227481722831726 0.31909841299057007, 0.49852368235588074 -0.50138622522354126 -0.49741771817207336   0.5026545524597168,0.55643492937088013 0.40227481722831726 0.31909841299057007, 0.49852368235588074 -0.50138622522354126 -0.49741771817207336   0.5026545524597168
1714565261.3042793,0.55642855167388916  0.4022831916809082 0.31912517547607422, 0.49852535128593445 -0.50138968229293823 -0.49741655588150024  0.50265061855316162,0.55642855167388916  0.4022831916809082 0.31912517547607422, 0.49852535128593445 -0.50138968229293823 -0.49741655588150024  0.50265061855316162
1714565261.3092804,0.55641782283782959 0.40226510167121887 0.31918200850486755, 0.49856838583946228  -0.5013691782951355 -0.49742850661277771  0.50261658430099487,0.55641782283782959 0.40226510167121887 0.31918200850486755, 0.49856838583946228  -0.5013691782951355 -0.49742850661277771  0.50261658430099487
1714565261.3142571,0.55642163753509521 0.40226909518241882 0.31917256116867065, 0.49853971600532532 -0.50143122673034668 -0.49742373824119568  0.50258779525756836,0.55642163753509521 0.40226909518241882 0.31917256116867065, 0.49853971600532532 -0.50143122673034668 -0.49742373824119568  0.50258779525756836
1714565261.3192854,0.55640304088592529 0.40222775936126709 0.31922289729118347, 0.49864384531974792 -0.50141388177871704 -0.49740943312644958  0.50251597166061401,0.55640304088592529 0.40222775936126709 0.31922289729118347, 0.49864384531974792 -0.50141388177871704 -0.49740943312644958  0.50251597166061401
1714565261.3242636,0.55639123916625977 0.40222752094268799 0.31925052404403687, 0.49869737029075623 -0.50142014026641846 -0.49741801619529724  0.50244808197021484,0.55639123916625977 0.40222752094268799 0.31925052404403687, 0.49869737029075623 -0.50142014026641846 -0.49741801619529724  0.50244808197021484
1714565261.3292849,0.55638587474822998 0.40224123001098633 0.31923210620880127, 0.49870729446411133 -0.50141394138336182  -0.4974273145198822  0.50243526697158813,0.55638587474822998 0.40224123001098633 0.31923210620880127, 0.49870729446411133 -0.50141394138336182  -0.4974273145198822  0.50243526697158813
1714565261.3342552,0.55637145042419434 0.40224984288215637 0.31923264265060425, 0.49865064024925232 -0.50142550468444824 -0.49743327498435974  0.50247400999069214,0.55637145042419434 0.40224984288215637 0.31923264265060425, 0.49865064024925232 -0.50142550468444824 -0.49743327498435974  0.50247400999069214
1714565261.3392575,0.55634742975234985 0.40228542685508728 0.31923079490661621, 0.49869328737258911 -0.50138360261917114 -0.49740198254585266  0.50250446796417236,0.55634742975234985 0.40228542685508728 0.31923079490661621, 0.49869328737258911 -0.50138360261917114 -0.49740198254585266  0.50250446796417236
1714565261.3442583,0.55635815858840942 0.40228688716888428 0.31923142075538635, 0.49866989254951477 -0.50139272212982178 -0.49741643667221069  0.50250428915023804,0.55635815858840942 0.40228688716888428 0.31923142075538635, 0.49866989254951477 -0.50139272212982178 -0.49741643667221069  0.50250428915023804
1714565261.3492572,0.55637800693511963 0.40228486061096191 0.31922301650047302, 0.49859908223152161 -0.50140559673309326 -0.49743887782096863  0.50253951549530029,0.55637800693511963 0.40228486061096191 0.31922301650047302, 0.49859908223152161 -0.50140559673309326 -0.49743887782096863  0.50253951549530029
1714565261.3542857,0.55636036396026611 0.40232029557228088 0.31921783089637756, 0.49859985709190369 -0.50140917301177979 -0.49742403626441956  0.50254988670349121,0.55636036396026611 0.40232029557228088 0.31921783089637756, 0.49859985709190369 -0.50140917301177979 -0.49742403626441956  0.50254988670349121
1714565261.3592565,0.55637627840042114 0.40231209993362427 0.31921547651290894, 0.49859112501144409 -0.50139665603637695 -0.49743351340293884  0.50256162881851196,0.55637627840042114 0.40231209993362427 0.31921547651290894, 0.49859112501144409 -0.50139665603637695 -0.49743351340293884  0.50256162881851196
1714565261.3642569,0.55639618635177612 0.40228503942489624 0.31922611594200134, 0.49856707453727722 -0.50141733884811401  -0.4974416196346283  0.50255680084228516,0.55639618635177612 0.40228503942489624 0.31922611594200134, 0.49856707453727722 -0.50141733884811401  -0.4974416196346283  0.50255680084228516
1714565261.3692544,0.55642235279083252 0.40226662158966064 0.31920483708381653,  0.4985935389995575 -0.50139164924621582 -0.49745258688926697  0.50254535675048828,0.55642235279083252 0.40226662158966064 0.31920483708381653,  0.4985935389995575 -0.50139164924621582 -0.49745258688926697  0.50254535675048828
1714565261.3742478,0.55640077590942383 0.40226453542709351 0.31923374533653259, 0.49856856465339661 -0.50145292282104492 -0.49742981791496277  0.50253152847290039,0.55640077590942383 0.40226453542709351 0.31923374533653259, 0.49856856465339661 -0.50145292282104492 -0.49742981791496277  0.50253152847290039
1714565261.3792615,0.55641710758209229 0.40229454636573792 0.31917867064476013,  0.4985816478729248 -0.50143682956695557 -0.49742975831031799  0.50253468751907349,0.55641710758209229 0.40229454636573792 0.31917867064476013,  0.4985816478729248 -0.50143682956695557 -0.49742975831031799  0.50253468751907349
1714565261.3842585,0.55640935897827148 0.40227708220481873 0.31919759511947632, 0.49855121970176697 -0.50147169828414917 -0.49743378162384033  0.50252604484558105,0.55640935897827148 0.40227708220481873 0.31919759511947632, 0.49855121970176697 -0.50147169828414917 -0.49743378162384033  0.50252604484558105
1714565261.3892565,0.55638813972473145 0.40233150124549866  0.3191772997379303, 0.49857655167579651 -0.50148218870162964 -0.49736121296882629  0.50256228446960449,0.55638813972473145 0.40233150124549866  0.3191772997379303, 0.49857655167579651 -0.50148218870162964 -0.49736121296882629  0.50256228446960449
1714565261.3942673,0.55636930465698242 0.40232715010643005 0.31921875476837158, 0.49853074550628662 -0.50154495239257812 -0.49736425280570984  0.50254207849502563,0.55636930465698242 0.40232715010643005 0.31921875476837158, 0.49853074550628662 -0.50154495239257812 -0.49736425280570984  0.50254207849502563
1714565261.399262,0.55635696649551392 0.40234726667404175 0.31921982765197754,  0.4985620379447937  -0.5015217661857605 -0.49732834100723267  0.50256973505020142,0.55635696649551392 0.40234726667404175 0.31921982765197754,  0.4985620379447937  -0.5015217661857605 -0.49732834100723267  0.50256973505020142
1714565261.4042606,0.55637156963348389 0.40231993794441223 0.31922194361686707, 0.49854457378387451 -0.50151914358139038 -0.49733486771583557  0.50258320569992065,0.55637156963348389 0.40231993794441223 0.31922194361686707, 0.49854457378387451 -0.50151914358139038 -0.49733486771583557  0.50258320569992065
1714565261.4092677,0.55636799335479736 0.40231099724769592 0.31926164031028748, 0.49853506684303284 -0.50151503086090088 -0.49737504124641418  0.50255697965621948,0.55638271570205688 0.40229222178459167 0.31926563382148743, 0.49857801198959351 -0.50146842002868652 -0.49736866354942322  0.50256717205047607
1714565261.4142642,0.55637890100479126 0.40229833126068115 0.31924626231193542, 0.49855843186378479 -0.50146842002868652 -0.49738693237304688  0.50256854295730591,0.55637890100479126 0.40229833126068115 0.31924626231193542, 0.49855843186378479 -0.50146842002868652 -0.49738693237304688  0.50256854295730591
1714565261.4192612, 0.5563892126083374 0.40226414799690247  0.3192780613899231,  0.4985966682434082   -0.501414954662323 -0.49745488166809082  0.50251674652099609, 0.5563892126083374 0.40226414799690247  0.3192780613899231,  0.4985966682434082   -0.501414954662323 -0.49745488166809082  0.50251674652099609
1714565261.4242611,0.55639004707336426 0.40224123001098633 0.31928232312202454, 0.49864882230758667 -0.50143533945083618 -0.49741595983505249  0.50248312950134277,0.55639004707336426 0.40224123001098633 0.31928232312202454, 0.49864882230758667 -0.50143533945083618 -0.49741595983505249  0.50248312950134277
1714565261.4292583,0.55637109279632568 0.40223658084869385 0.31929633021354675, 0.49862831830978394 -0.50144863128662109 -0.49740952253341675  0.50249660015106201,0.55637109279632568 0.40223658084869385 0.31929633021354675, 0.49862831830978394 -0.50144863128662109 -0.49740952253341675  0.50249660015106201
1714565261.4342887,0.55634784698486328 0.40227565169334412 0.31928181648254395, 0.49860987067222595 -0.50147116184234619 -0.49738168716430664  0.50251996517181396,0.55634784698486328 0.40227565169334412 0.31928181648254395, 0.49860987067222595 -0.50147116184234619 -0.49738168716430664  0.50251996517181396
1714565261.439286,0.55633467435836792 0.40229940414428711 0.31928068399429321, 0.49862077832221985 -0.50148624181747437 -0.49734199047088623   0.5025334358215332,0.55633467435836792 0.40229940414428711 0.31928068399429321, 0.49862077832221985 -0.50148624181747437 -0.49734199047088623   0.5025334358215332
1714565261.4442618,0.55634242296218872    0.40233114361763 0.31927105784416199, 0.49855932593345642 -0.50152581930160522 -0.49735000729560852  0.50254690647125244,0.55634242296218872    0.40233114361763 0.31927105784416199, 0.49855932593345642 -0.50152581930160522 -0.49735000729560852  0.50254690647125244
1714565261.4492574,0.55633854866027832 0.40234890580177307 0.31927984952926636, 0.49854707717895508 -0.50150251388549805  -0.4973391592502594  0.50259310007095337,0.55633854866027832 0.40234890580177307 0.31927984952926636, 0.49854707717895508 -0.50150251388549805  -0.4973391592502594  0.50259310007095337
1714565261.4542558,0.55635285377502441 0.40233424305915833 0.31931474804878235, 0.49854689836502075 -0.50147157907485962 -0.49740168452262878  0.50256228446960449,0.55635285377502441 0.40233424305915833 0.31931474804878235, 0.49854689836502075 -0.50147157907485962 -0.49740168452262878  0.50256228446960449
1714565261.459259,0.55635160207748413 0.40232330560684204 0.31928640604019165,  0.4985603392124176 -0.50146442651748657 -0.49734979867935181  0.50260734558105469,0.55635160207748413 0.40232330560684204 0.31928640604019165,  0.4985603392124176 -0.50146442651748657 -0.49734979867935181  0.50260734558105469
1714565261.4642563,0.55637067556381226 0.40230432152748108 0.31926697492599487, 0.49853739142417908 -0.50146305561065674 -0.49739983677864075  0.50258201360702515,0.55637067556381226 0.40230432152748108 0.31926697492599487, 0.49853739142417908 -0.50146305561065674 -0.49739983677864075  0.50258201360702515
1714565261.469286,0.55637550354003906 0.40227818489074707 0.31924974918365479,  0.4985942542552948  -0.5014154314994812 -0.49742591381072998  0.50254732370376587,0.55637550354003906 0.40227818489074707 0.31924974918365479,  0.4985942542552948  -0.5014154314994812 -0.49742591381072998  0.50254732370376587
1714565261.4743009,0.55634790658950806 0.40224930644035339 0.31928145885467529, 0.49859076738357544 -0.50144749879837036 -0.49742308259010315   0.5025215744972229,0.55634790658950806 0.40224930644035339 0.31928145885467529, 0.49859076738357544 -0.50144749879837036 -0.49742308259010315   0.5025215744972229
1714565261.4792631,0.55634599924087524 0.40223836898803711 0.31927704811096191, 0.49864646792411804  -0.5014500617980957 -0.49741941690444946  0.50246739387512207,0.55634599924087524 0.40223836898803711 0.31927704811096191, 0.49864646792411804  -0.5014500617980957 -0.49741941690444946  0.50246739387512207
1714565261.4842625,0.55633842945098877  0.4022296667098999 0.31928035616874695, 0.49868187308311462 -0.50141578912734985 -0.49741470813751221  0.50247108936309814,0.55632632970809937 0.40225127339363098 0.31925827264785767, 0.49864661693572998 -0.50143879652023315 -0.49739420413970947  0.50250345468521118
1714565261.4892612, 0.5563197135925293 0.40223884582519531 0.31927904486656189, 0.49868416786193848 -0.50141805410385132 -0.49740338325500488  0.50247776508331299, 0.5563197135925293 0.40223884582519531 0.31927904486656189, 0.49868416786193848 -0.50141805410385132 -0.49740338325500488  0.50247776508331299
1714565261.4942586,0.55634701251983643 0.40225818753242493 0.31924319267272949, 0.49860075116157532 -0.50149226188659668 -0.49738365411758423  0.50250601768493652,0.55634701251983643 0.40225818753242493 0.31924319267272949, 0.49860075116157532 -0.50149226188659668 -0.49738365411758423  0.50250601768493652
1714565261.4992566,0.5563347339630127 0.4022882878780365 0.3192463219165802, 0.49863091111183167 -0.50144112110137939 -0.49738648533821106  0.50252431631088257,0.5563347339630127 0.4022882878780365 0.3192463219165802, 0.49863091111183167 -0.50144112110137939 -0.49738648533821106  0.50252431631088257
1714565261.5042565, 0.5563499927520752 0.40227213501930237 0.31925866007804871, 0.49860918521881104  -0.5014183521270752 -0.49740436673164368  0.50255095958709717, 0.5563499927520752 0.40227213501930237 0.31925866007804871, 0.49860918521881104  -0.5014183521270752 -0.49740436673164368  0.50255095958709717
1714565261.5092821, 0.5563732385635376 0.40226134657859802 0.31927415728569031, 0.49860659241676331 -0.50139099359512329 -0.49743366241455078  0.50255179405212402, 0.5563732385635376 0.40226134657859802 0.31927415728569031, 0.49860659241676331 -0.50139099359512329 -0.49743366241455078  0.50255179405212402
1714565261.5142555,0.55636757612228394 0.40226420760154724 0.31930786371231079, 0.49858644604682922 -0.50140506029129028   -0.497457355260849  0.50253432989120483,0.55636757612228394 0.40226420760154724 0.31930786371231079, 0.49858644604682922 -0.50140506029129028   -0.497457355260849  0.50253432989120483
1714565261.5192599,0.55638253688812256  0.4022631049156189 0.31926882266998291, 0.49858823418617249 -0.50140738487243652 -0.49744197726249695  0.50254541635513306,0.55638253688812256  0.4022631049156189 0.31926882266998291, 0.49858823418617249 -0.50140738487243652 -0.49744197726249695  0.50254541635513306
1714565261.5242898,0.55636698007583618 0.40226352214813232 0.31929180026054382, 0.49861437082290649  -0.5014340877532959 -0.49740946292877197  0.50252503156661987,0.55636698007583618 0.40226352214813232 0.31929180026054382, 0.49861437082290649  -0.5014340877532959 -0.49740946292877197  0.50252503156661987
1714565261.5292609,0.55637341737747192 0.40224793553352356 0.31928965449333191, 0.49859300255775452 -0.50145697593688965 -0.49743202328681946  0.50250101089477539,0.55637341737747192 0.40224793553352356 0.31928965449333191, 0.49859300255775452 -0.50145697593688965 -0.49743202328681946  0.50250101089477539
1714565261.5342689,0.55634719133377075 0.40227743983268738 0.31928738951683044, 0.49862822890281677 -0.50143659114837646 -0.49740231037139893  0.50251585245132446,0.55634719133377075 0.40227743983268738 0.31928738951683044, 0.49862822890281677 -0.50143659114837646 -0.49740231037139893  0.50251585245132446
1714565261.539268,0.55632919073104858 0.40230473875999451 0.31932267546653748, 0.49861380457878113 -0.50144881010055542 -0.49741137027740479  0.50250899791717529,0.55632919073104858 0.40230473875999451 0.31932267546653748, 0.49861380457878113 -0.50144881010055542 -0.49741137027740479  0.50250899791717529
1714565261.5442612,0.55630689859390259 0.40231901407241821 0.31932708621025085,  0.4986531138420105 -0.50147789716720581 -0.49732327461242676  0.50252813100814819,0.55630689859390259 0.40231901407241821 0.31932708621025085,  0.4986531138420105 -0.50147789716720581 -0.49732327461242676  0.50252813100814819
1714565261.5492597,0.55633032321929932 0.40232500433921814 0.31927698850631714, 0.49854958057403564 -0.50151729583740234 -0.49735343456268311  0.50256168842315674,0.55633032321929932 0.40232500433921814 0.31927698850631714, 0.49854958057403564 -0.50151729583740234 -0.49735343456268311  0.50256168842315674
1714565261.5542617,0.55631554126739502 0.40231865644454956 0.31932464241981506, 0.49860495328903198 -0.50151020288467407 -0.49732178449630737  0.50254517793655396,0.55633360147476196 0.40233007073402405 0.31929901242256165, 0.49857202172279358  -0.5014958381652832 -0.49733841419219971  0.50257575511932373
1714565261.5592592,0.55633920431137085 0.40232929587364197 0.31928345561027527, 0.49861767888069153 -0.50148046016693115 -0.49732357263565063  0.50256043672561646,0.55633920431137085 0.40232929587364197 0.31928345561027527, 0.49861767888069153 -0.50148046016693115 -0.49732357263565063  0.50256043672561646
1714565261.5642934, 0.5564340353012085 0.40227273106575012  0.3193015456199646,  0.4985964298248291 -0.50149261951446533 -0.49737575650215149  0.50251781940460205, 0.5564340353012085 0.40227273106575012  0.3193015456199646,  0.4985964298248291 -0.50149261951446533 -0.49737575650215149  0.50251781940460205
1714565261.5692651,0.55656027793884277 0.40222090482711792 0.31904968619346619, 0.49840813875198364 -0.50153487920761108  -0.4974423348903656  0.50259649753570557,0.55656027793884277 0.40222090482711792 0.31904968619346619, 0.49840813875198364 -0.50153487920761108  -0.4974423348903656  0.50259649753570557
1714565261.5742886,0.55654650926589966 0.40228584408760071 0.31894871592521667, 0.49841931462287903 -0.50150549411773682 -0.49740543961524963  0.50265121459960938,0.55654650926589966 0.40228584408760071 0.31894871592521667, 0.49841931462287903 -0.50150549411773682 -0.49740543961524963  0.50265121459960938
1714565261.5792606,0.55654150247573853 0.40224605798721313 0.31893929839134216, 0.49836552143096924 -0.50150853395462036 -0.49747934937477112   0.5026283860206604,0.55654150247573853 0.40224605798721313 0.31893929839134216, 0.49836552143096924 -0.50150853395462036 -0.49747934937477112   0.5026283860206604
1714565261.5842595,0.55652320384979248 0.40220877528190613 0.31893417239189148, 0.49837115406990051 -0.50150948762893677 -0.49745640158653259  0.50264453887939453,0.55652320384979248 0.40220877528190613 0.31893417239189148, 0.49837115406990051 -0.50150948762893677 -0.49745640158653259  0.50264453887939453
1714565261.589299,0.55649864673614502 0.40214776992797852 0.31900864839553833, 0.49845221638679504 -0.50146961212158203 -0.49743518233299255   0.5026249885559082,0.55649864673614502 0.40214776992797852 0.31900864839553833, 0.49845221638679504 -0.50146961212158203 -0.49743518233299255   0.5026249885559082
1714565261.5942793,0.55645269155502319  0.4022795557975769 0.31903037428855896, 0.49842461943626404 -0.50149071216583252 -0.49739924073219299  0.50266683101654053,0.55645269155502319  0.4022795557975769 0.31903037428855896, 0.49842461943626404 -0.50149071216583252 -0.49739924073219299  0.50266683101654053
1714565261.5992546,0.55644899606704712   0.402261883020401  0.3189932107925415, 0.49840590357780457 -0.50149554014205933 -0.49740791320800781  0.50267195701599121,0.55644899606704712   0.402261883020401  0.3189932107925415, 0.49840590357780457 -0.50149554014205933 -0.49740791320800781  0.50267195701599121
1714565261.6042891,0.55644631385803223 0.40226113796234131 0.31902837753295898, 0.49844241142272949 -0.50149810314178467 -0.49740403890609741  0.50263702869415283,0.55644631385803223 0.40226113796234131 0.31902837753295898, 0.49844241142272949 -0.50149810314178467 -0.49740403890609741  0.50263702869415283
