RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1714566213.9127991,0.57569879293441772 0.68868988752365112 0.31732374429702759,-0.43119919300079346   0.5583452582359314  0.55781698226928711 -0.43721622228622437,0.57569879293441772 0.68868988752365112 0.31732374429702759,-0.43119919300079346   0.5583452582359314  0.55781698226928711 -0.43721622228622437
1714566213.917799,0.57597017288208008  0.6836894154548645 0.31733739376068115,-0.43352940678596497  0.55640566349029541  0.55603277683258057 -0.43965047597885132,0.57597017288208008  0.6836894154548645 0.31733739376068115,-0.43352940678596497  0.55640566349029541  0.55603277683258057 -0.43965047597885132
1714566213.9227989,0.57630288600921631 0.67866057157516479 0.31733137369155884,-0.43579107522964478   0.5547521710395813  0.55406123399734497  -0.4419867992401123,0.57630288600921631 0.67866057157516479 0.31733137369155884,-0.43579107522964478   0.5547521710395813  0.55406123399734497  -0.4419867992401123
1714566213.9327989,0.57676088809967041 0.67109960317611694 0.31739047169685364,-0.43918123841285706  0.55202758312225342  0.55127692222595215 -0.44550997018814087,0.57676088809967041 0.67109960317611694 0.31739047169685364,-0.43918123841285706  0.55202758312225342  0.55127692222595215 -0.44550997018814087
1714566213.9377985,0.57708710432052612 0.66605627536773682 0.31737795472145081,-0.44127008318901062  0.55037647485733032  0.54943192005157471 -0.44776222109794617,0.57708710432052612 0.66605627536773682 0.31737795472145081,-0.44127008318901062  0.55037647485733032  0.54943192005157471 -0.44776222109794617
1714566213.9427989,0.57737636566162109 0.66100817918777466 0.31740584969520569,-0.44342583417892456   0.5485999584197998  0.54772436618804932 -0.44989955425262451,0.57737636566162109 0.66100817918777466 0.31740584969520569,-0.44342583417892456   0.5485999584197998  0.54772436618804932 -0.44989955425262451
1714566213.9477978,0.57772547006607056  0.6559332013130188 0.31742101907730103,-0.44548788666725159  0.54697400331497192  0.54595446586608887  -0.4519885778427124,0.57772547006607056  0.6559332013130188 0.31742101907730103,-0.44548788666725159  0.54697400331497192  0.54595446586608887  -0.4519885778427124
1714566213.957798,0.57822620868682861 0.64834094047546387 0.31751459836959839,-0.44856747984886169  0.54447466135025024  0.54347914457321167 -0.45493406057357788,0.57822620868682861 0.64834094047546387 0.31751459836959839,-0.44856747984886169  0.54447466135025024  0.54347914457321167 -0.45493406057357788
1714566213.9627979,0.57852184772491455 0.64332544803619385 0.31747865676879883,-0.45040979981422424  0.54301756620407104  0.54175180196762085 -0.45691120624542236,0.57852184772491455 0.64332544803619385 0.31747865676879883,-0.45040979981422424  0.54301756620407104  0.54175180196762085 -0.45691120624542236
1714566213.9677975,0.57887089252471924 0.63830912113189697 0.31743189692497253,-0.45223644375801086  0.54147785902023315  0.54013955593109131 -0.45883890986442566,0.57887089252471924 0.63830912113189697 0.31743189692497253,-0.45223644375801086  0.54147785902023315  0.54013955593109131 -0.45883890986442566
1714566213.97277,0.57918399572372437 0.63327586650848389 0.31752204895019531,-0.45397940278053284  0.54023391008377075  0.53852862119674683 -0.46047469973564148,0.57918399572372437 0.63327586650848389 0.31752204895019531,-0.45397940278053284  0.54023391008377075  0.53852862119674683 -0.46047469973564148
